@T,Climate,,,
name,ahum,,,
desc,calculated absolute humidity,,,
,,,,
missing_val,-9999,,,
date_start,01.01.2010 00:00,,,
date_end,08.01.2012 23:00,,,
date_format,dd.MM.yyyy hh:mm,,,
,,,,
tres,h,,,
unit,g/cm3,,,
,,,,
@H,date,ahum[0],ahum[1],ahum[2]
name,,Artern,Erfurt,Schmuecke
ID,,198,1270,4501
elevation,,164,316,937
x,,4451274,4427446,4412785
y,,5694380,5650160,5613300
,01.01.2010 00:00,1.24,1.06,0.91
,01.01.2010 01:00,1.83,1.47,1.23
,01.01.2010 02:00,1.94,1.66,1.56
,01.01.2010 03:00,2.27,1.81,1.73
,01.01.2010 04:00,1.63,1.41,1.55
,01.01.2010 05:00,1.34,1.32,1.87
,01.01.2010 06:00,1.69,1.61,1.97
,01.01.2010 07:00,3.34,2.57,2.33
,01.01.2010 08:00,4.62,4.23,3.47
,01.01.2010 09:00,3.72,3.19,3.31
,01.01.2010 10:00,4.18,3.67,3.41
,01.01.2010 11:00,4.48,3.8,3.39
,01.01.2010 12:00,3.92,3.51,3.13
,01.01.2010 13:00,3.83,3.35,2.87
,01.01.2010 14:00,3.43,2.87,2.72
,01.01.2010 15:00,3.29,2.75,2.42
,01.01.2010 16:00,3.66,3.14,2.8
,01.01.2010 17:00,2.7,2.35,2.11
,01.01.2010 18:00,3.27,2.25,2.17
,01.01.2010 19:00,3.38,2.82,2.27
,01.01.2010 20:00,3.18,2.95,2.37
,01.01.2010 21:00,2.97,2.74,2.61
,01.01.2010 22:00,3.68,3.74,3.65
,01.01.2010 23:00,4.17,3.95,3.77
,02.01.2010 00:00,3.39,2.63,2.8
,02.01.2010 01:00,3.21,2.39,2.55
,02.01.2010 02:00,4.11,3.22,3.36
,02.01.2010 03:00,4.14,3.99,3.42
,02.01.2010 04:00,4.4,3.8,3.41
,02.01.2010 05:00,4.3,3.76,3.78
,02.01.2010 06:00,4.24,3.99,3.56
,02.01.2010 07:00,4.2,3.48,3.38
,02.01.2010 08:00,4.85,4.53,3.92
,02.01.2010 09:00,3.77,2.98,2.88
,02.01.2010 10:00,4.35,3.48,3.35
,02.01.2010 11:00,3.76,3.49,3.52
,02.01.2010 12:00,3.45,2.6,3.06
,02.01.2010 13:00,3.14,2.83,2.93
,02.01.2010 14:00,4.03,3.5,3.63
,02.01.2010 15:00,2.95,2.64,2.58
,02.01.2010 16:00,2.89,2.65,2.34
,02.01.2010 17:00,2.83,2.65,2.22
,02.01.2010 18:00,3.84,3.93,3.62
,02.01.2010 19:00,4.54,4.43,4.86
,02.01.2010 20:00,3.4,3.84,5.02
,02.01.2010 21:00,2.45,2.18,3.24
,02.01.2010 22:00,2.54,2.12,1.98
,02.01.2010 23:00,2.43,2.11,2.1
,03.01.2010 00:00,2.96,2.38,3.89
,03.01.2010 01:00,3.92,3.35,3.68
,03.01.2010 02:00,3.31,3.53,3.46
,03.01.2010 03:00,3.04,2.96,3.4
,03.01.2010 04:00,2.98,2.74,3.03
,03.01.2010 05:00,3.5,3.31,3.22
,03.01.2010 06:00,3.32,3.14,3.28
,03.01.2010 07:00,3.38,2.92,2.91
,03.01.2010 08:00,2.8,2.22,2.85
,03.01.2010 09:00,3.11,2.66,2.91
,03.01.2010 10:00,3,2.58,2.91
,03.01.2010 11:00,3.44,2.9,3.17
,03.01.2010 12:00,4.08,3.51,3.84
,03.01.2010 13:00,5.52,5.09,4.81
,03.01.2010 14:00,5.7,5.75,5.46
,03.01.2010 15:00,4.63,4.66,4.37
,03.01.2010 16:00,5.41,5.47,4.79
,03.01.2010 17:00,5.06,4.7,4.62
,03.01.2010 18:00,4.77,4.08,3.89
,03.01.2010 19:00,4.64,4.15,3.74
,03.01.2010 20:00,4.31,4.05,3.38
,03.01.2010 21:00,4.09,4.15,3.39
,03.01.2010 22:00,5.16,5.23,4.93
,03.01.2010 23:00,4.93,4.46,4.41
,04.01.2010 00:00,5.22,5.25,4.81
,04.01.2010 01:00,4.91,5.32,4.77
,04.01.2010 02:00,5.06,5.17,5.03
,04.01.2010 03:00,4.72,4.15,3.8
,04.01.2010 04:00,4.65,4.71,4.62
,04.01.2010 05:00,4.3,4.16,4.09
,04.01.2010 06:00,4.87,4.45,3.89
,04.01.2010 07:00,5.63,5.52,5.09
,04.01.2010 08:00,4,3.74,3.85
,04.01.2010 09:00,4.37,3.8,3.84
,04.01.2010 10:00,3.82,3.44,3.21
,04.01.2010 11:00,4.61,4.17,4.07
,04.01.2010 12:00,7.58,6.68,6.19
,04.01.2010 13:00,4.81,4.45,4.81
,04.01.2010 14:00,5.83,5.54,5.17
,04.01.2010 15:00,5.55,5.25,4.48
,04.01.2010 16:00,4.99,4.81,4.2
,04.01.2010 17:00,4.94,4.62,4.1
,04.01.2010 18:00,5.07,4.65,4.13
,04.01.2010 19:00,5.72,5.23,4.68
,04.01.2010 20:00,5.13,4.77,4.48
,04.01.2010 21:00,5.02,4.44,4.03
,04.01.2010 22:00,5.81,4.53,4.18
,04.01.2010 23:00,5.48,4.67,4.16
,05.01.2010 00:00,5.42,5.18,4.46
,05.01.2010 01:00,5.35,4.91,4.34
,05.01.2010 02:00,4.67,4.54,4.46
,05.01.2010 03:00,5.13,4.64,4.76
,05.01.2010 04:00,5.35,4.95,4.1
,05.01.2010 05:00,6.17,6.23,6.09
,05.01.2010 06:00,6.12,5.7,5.58
,05.01.2010 07:00,6.41,6.03,5.98
,05.01.2010 08:00,6.17,5.94,6.05
,05.01.2010 09:00,6.95,7.42,6.25
,05.01.2010 10:00,5.4,5.57,4.7
,05.01.2010 11:00,4.17,3.79,3.44
,05.01.2010 12:00,4.31,4.18,3.81
,05.01.2010 13:00,4.81,4.56,4.08
,05.01.2010 14:00,5.79,5.87,5.25
,05.01.2010 15:00,6.28,6.28,5.52
,05.01.2010 16:00,6.94,6.94,6.07
,05.01.2010 17:00,6.73,6.68,6.01
,05.01.2010 18:00,6.74,6.48,5.87
,05.01.2010 19:00,6.41,5.42,4.98
,05.01.2010 20:00,6.01,5.9,5.19
,05.01.2010 21:00,4.78,4.78,4.14
,05.01.2010 22:00,5.11,4.74,4.24
,05.01.2010 23:00,5.25,5.49,4.93
,06.01.2010 00:00,4.58,4.77,4.12
,06.01.2010 01:00,4.54,4.34,4.41
,06.01.2010 02:00,4.39,3.83,3.87
,06.01.2010 03:00,5.17,5,4.38
,06.01.2010 04:00,5.55,5.19,4.25
,06.01.2010 05:00,5.27,5.35,4.35
,06.01.2010 06:00,4.5,3.99,3.55
,06.01.2010 07:00,4.38,3.69,3.48
,06.01.2010 08:00,4.76,5.03,3.9
,06.01.2010 09:00,5.32,5.75,5.57
,06.01.2010 10:00,5.41,5.29,4.98
,06.01.2010 11:00,7.35,7.66,6.77
,06.01.2010 12:00,7.45,7.14,6.63
,06.01.2010 13:00,8.06,7.67,7.13
,06.01.2010 14:00,9.19,7.82,6.76
,06.01.2010 15:00,8.08,7.32,6.25
,06.01.2010 16:00,9.46,9.33,8.39
,06.01.2010 17:00,9.29,9.62,8.78
