@T,Climate,,,,,,,,
name,rainfall,,,,,,,,
desc,measured rainfall,,,,,,,,
,,,,,,,,,
missing_val,-9999,,,,,,,,
date_start,01.01.2010 00:00,,,,,,,,
date_end,09.01.2012 08:00,,,,,,,,
date_format,dd.MM.yyyy hh:mm,,,,,,,,
,,,,,,,,,
tres,h,,,,,,,,
unit,mm,,,,,,,,
,,,,,,,,,
@H,date,Dachwig,Erfurt-Weimar,Kleiner Inselsberg,Martinroda,Schmalkalden,Schmücke,Schwarzburg,Waltershausen
ID,,1574,1513,1445,1440,1502,1560,1431,1559
elevation,,170,316,732,430,330,937,277,353
x,,4416880.38,4427197.8,4393063.63,4421160.55,4390945.07,4413109.29,4443047.55,4397982.81
y,,5429694.71,5650315.5,5635608.06,5622590.38,5622210.34,5613940.06,5612394.36,5641106.08
,01.01.2010 00:00,0,0,0,0.1,0,0,0,0.1
,01.01.2010 01:00,0,0,0,0,0,0,0.1,0
,01.01.2010 02:00,0,0,0,0,0,0,0,0.1
,01.01.2010 03:00,0.1,0.2,0.3,0,0,0,0.3,0.4
,01.01.2010 04:00,0.6,0.6,0.6,0.3,0,0.1,0.6,0.6
,01.01.2010 05:00,0.4,0.6,0.7,0.1,0,0,0.3,0.5
,01.01.2010 06:00,0,0.6,0.8,0.1,0,0.1,0,0.7
,01.01.2010 07:00,0.2,0.7,0,0,0,0,0.6,0.4
,01.01.2010 08:00,0.1,0.4,0,0,0,0,0.1,0
,01.01.2010 09:00,0,0.3,0,0,0,0,0,0
,01.01.2010 10:00,0,0,0,0,0,0,0,0
,01.01.2010 11:00,0.1,0,0,0,0,0,0,0
,01.01.2010 12:00,0,0,0,0,0,0,0,0
,01.01.2010 13:00,0,0,0,0,0,0,0,0
,01.01.2010 14:00,0,0,0.2,0,0,0,0,0
,01.01.2010 15:00,0.1,0,0.4,0.3,0.1,0.1,0,0.5
,01.01.2010 16:00,0.1,0.2,0.1,0.2,0,0,0.6,0.2
,01.01.2010 17:00,0.1,0.3,0,0,0,0,0.1,0.1
,01.01.2010 18:00,0.2,0.7,0.3,0.2,0.2,0.2,0,0.2
,01.01.2010 19:00,0.2,0,0.2,0.2,0.2,0,0,0.3
,01.01.2010 20:00,0.2,0.2,0,0,0,0,0.2,0
,01.01.2010 21:00,0,0.1,0,0,0,0,0,0
,01.01.2010 22:00,0,0,0,0,0,0,0,0
,01.01.2010 23:00,0,0,0,0,0,0,0,0
,02.01.2010 00:00,0,0,0,0,0,0,0,0
,02.01.2010 01:00,0,0,0,0.1,0.1,0,0,0
,02.01.2010 02:00,0,0,0.1,0,0,0,0.1,0.1
,02.01.2010 03:00,0.2,0.1,0.4,0.1,0.2,0.1,0.1,0.2
,02.01.2010 04:00,0.3,0.4,0.3,0.2,0.2,0.2,0.2,0.3
,02.01.2010 05:00,0.1,0.2,0.3,0.2,0.2,0.3,0.2,0.2
,02.01.2010 06:00,0,0,0.3,0.2,0.2,0.3,0.2,0.1
,02.01.2010 07:00,0.1,0.1,0.2,0.3,0.3,0.2,0.2,0.1
,02.01.2010 08:00,0,0.1,0.2,0.3,0.3,0.4,0.2,0.1
,02.01.2010 09:00,0.1,0.3,0.2,0.2,0.1,0.2,0.2,0.2
,02.01.2010 10:00,0.1,0.1,0.4,0.2,0.2,0.2,0.4,0.2
,02.01.2010 11:00,0,0,0.3,0,0.1,0.1,0.1,0
,02.01.2010 12:00,0,0,0.3,0,0,0.1,0.1,0.1
,02.01.2010 13:00,0,0,0,0,0,0,0,0
,02.01.2010 14:00,0,0,0,0,0,0,0,0
,02.01.2010 15:00,0,0,0,0,0,0,0,0
,02.01.2010 16:00,0,0,0,0,0,0,0,0
,02.01.2010 17:00,0,0,0,0,0,0,0,0
,02.01.2010 18:00,0,0,0,0,0,0,0,0
,02.01.2010 19:00,0,0,0,0,0,0,0,0
,02.01.2010 20:00,0,0,0.1,0,0,0,0,0
,02.01.2010 21:00,0,0,0.4,0,0,0,0,0
,02.01.2010 22:00,0.1,0,0.7,0,0.3,0.2,0,0
,02.01.2010 23:00,0.2,0,0.1,0,0,0.2,0,0
,03.01.2010 00:00,0,0,0,0,0,0,0,0
,03.01.2010 01:00,0,0,0.1,0,0,0,0,0
,03.01.2010 02:00,0,0,0,0,0,0,0,0
,03.01.2010 03:00,0,0,0,0,0,0,0,0
,03.01.2010 04:00,0,0,0.3,0,0,0,0,0
,03.01.2010 05:00,0,0,0,0,0,0,0,0
,03.01.2010 06:00,0,0,0.1,0,0,0.1,0,0
,03.01.2010 07:00,0,0,0.2,0,0,0.1,0,0
,03.01.2010 08:00,0,0,0,0,0,0.2,0,0
,03.01.2010 09:00,0,0,0.2,0,0.1,0,0,0
,03.01.2010 10:00,0,0,0.8,0,0.1,0.3,0,0
,03.01.2010 11:00,0.2,0.1,0.5,0,0.2,1,0,0.1
,03.01.2010 12:00,0.4,0.2,0.7,0,0.1,0.2,0,0
,03.01.2010 13:00,0.4,0.1,0.4,0,0.2,0.4,0,0.2
,03.01.2010 14:00,0.4,0.2,0.6,0,0.5,0.3,0,0.3
,03.01.2010 15:00,0.2,0.2,0.2,0.1,0.3,0.1,0,0
,03.01.2010 16:00,0.4,0.3,0,0.1,0,0.1,0.2,0.1
,03.01.2010 17:00,0.3,0.2,0.3,0.1,0.2,0,0,0.8
,03.01.2010 18:00,0.1,0,0.3,0.2,0,0.4,0.1,0.6
,03.01.2010 19:00,0.2,0.1,0,0,0.3,0,0.1,0.1
,03.01.2010 20:00,0.1,0.1,0.1,0.1,0,0,0.2,0
,03.01.2010 21:00,0,0.1,0,0,0,0,0.2,0
,03.01.2010 22:00,0,0,0,0,0,0,0,0
,03.01.2010 23:00,0,0,0,0,0,0,0.1,0
,04.01.2010 00:00,0,0,0,0,0,0,0,0
,04.01.2010 01:00,0,0,0,0,0,0,0,0
,04.01.2010 02:00,0,0,0,0,0,0,0,0
,04.01.2010 03:00,0,0,0,0,0,0,0,0
,04.01.2010 04:00,0,0,0,0,0,0,0,0
,04.01.2010 05:00,0,0,0,0,0,0,0,0
,04.01.2010 06:00,0,0,0,0,0,0,0,0
,04.01.2010 07:00,0,0,0,0,0,0,0,0
,04.01.2010 08:00,0,0,0,0,0,0,0,0
,04.01.2010 09:00,0,0,0,0,0,0,0,0
,04.01.2010 10:00,0,0,0,0,0,0,0,0
,04.01.2010 11:00,0,0,0,0,0,0,0,0
,04.01.2010 12:00,0,0,0,0,0,0,0,0
,04.01.2010 13:00,0,0,0,0,0,0,0,0
,04.01.2010 14:00,0,0,0,0,0,0,0,0
,04.01.2010 15:00,0,0,0,0,0,0,0,0
,04.01.2010 16:00,0,0,0,0,0,0,0,0
,04.01.2010 17:00,0,0,0,0,0,0,0,0
,04.01.2010 18:00,0,0,0,0,0,0,0,0
,04.01.2010 19:00,0,0,0,0,0,0,0,0
,04.01.2010 20:00,0,0,0,0,0,0,0,0
,04.01.2010 21:00,0,0,0,0,0,0,0,0
,04.01.2010 22:00,0,0,0,0,0,0,0,0
,04.01.2010 23:00,0,0,0,0,0,0,0,0
,05.01.2010 00:00,0,0,0,0,0,0,0,0
,05.01.2010 01:00,0,0,0,0,0,0,0,0
,05.01.2010 02:00,0,0,0,0,0,0,0,0
,05.01.2010 03:00,0,0,0,0,0,0,0,0
,05.01.2010 04:00,0,0,0,0,0,0,0,0
,05.01.2010 05:00,0,0,0,0,0,0,0,0
,05.01.2010 06:00,0,0,0,0,0,0,0,0
,05.01.2010 07:00,0,0,0,0,0,0,0,0
,05.01.2010 08:00,0,0,0,0,0,0,0,0
,05.01.2010 09:00,0,0,0,0,0,0,0,0
,05.01.2010 10:00,0,0,0,0,0,0,0,0
,05.01.2010 11:00,0,0,0,0,0,0,0,0
,05.01.2010 12:00,0,0,0,0,0,0,0,0
,05.01.2010 13:00,0,0,0,0,0,0,0,0
,05.01.2010 14:00,0,0,0,0,0,0,0,0
,05.01.2010 15:00,0,0,0,0,0,0,0,0
,05.01.2010 16:00,0,0,0,0,0,0,0,0
,05.01.2010 17:00,0,0,0,0,0,0,0,0
