@T,Climate,,,,,,,,
name,rhum,,,,,,,,
desc,relative humidity,,,,,,,,
,,,,,,,,,
missing_val,-9999,,,,,,,,
date_start,01.01.2010 00:00,,,,,,,,
date_end,08.01.2012 23:00,,,,,,,,
date_format,dd.MM.yyyy hh:mm,,,,,,,,
,,,,,,,,,
tres,h,,,,,,,,
unit,g/cm3,,,,,,,,
,,,,,,,,,
@H,date,ahum[0],ahum[1],ahum[2],ahum[3],ahum[4],ahum[5],ahum[6],ahum[7]
name,,Dachwig,Erfurt-Weimar,Kleiner Inselsberg,Martinroda,Schmalkalden,Schmücke,Schwarzburg,Waltershausen
ID,,1574,1513,1445,1440,1502,1560,1431,1559
elevation,,170,316,732,430,330,937,277,353
x,,4416880.38,4427197.8,4393063.63,4421160.55,4390945.07,4413109.29,4443047.55,4397982.81
y,,5429694.71,5650315.5,5635608.06,5622590.38,5622210.34,5613940.06,5612394.36,5641106.08
,01.01.2010 00:00,94,99,100,100,87,100,91,100
,01.01.2010 01:00,94,99,100,97,88,99,92,99
,01.01.2010 02:00,94,100,100,97,90,99,92,99
,01.01.2010 03:00,94,99,100,97,88,99,93,100
,01.01.2010 04:00,96,99,100,97,86,98,92,100
,01.01.2010 05:00,96,99,97,96,84,100,91,98
,01.01.2010 06:00,95,99,97,96,81,97,89,98
,01.01.2010 07:00,96,99,100,96,82,97,91,98
,01.01.2010 08:00,96,99,100,96,81,100,90,98
,01.01.2010 09:00,94,99,100,96,81,97,88,97
,01.01.2010 10:00,94,99,100,96,82,100,85,97
,01.01.2010 11:00,94,99,100,96,81,100,84,97
,01.01.2010 12:00,94,99,100,96,81,100,85,100
,01.01.2010 13:00,91,99,100,96,83,97,86,100
,01.01.2010 14:00,91,99,100,96,85,97,88,100
,01.01.2010 15:00,94,99,97,96,82,96,89,98
,01.01.2010 16:00,96,99,97,96,81,96,91,97
,01.01.2010 17:00,96,98,97,96,84,96,89,97
,01.01.2010 18:00,96,98,97,96,85,96,89,97
,01.01.2010 19:00,96,98,97,96,81,96,89,97
,01.01.2010 20:00,94,98,97,96,82,96,88,97
,01.01.2010 21:00,92,98,97,96,84,96,87,97
,01.01.2010 22:00,91,98,96,96,85,96,86,97
,01.01.2010 23:00,92,98,96,96,84,96,87,97
,02.01.2010 00:00,91,98,97,96,84,96,87,96
,02.01.2010 01:00,93,100,97,96,84,96,88,96
,02.01.2010 02:00,92,100,96,95,88,95,89,96
,02.01.2010 03:00,94,100,97,94,90,95,87,96
,02.01.2010 04:00,95,98,97,95,91,95,85,96
,02.01.2010 05:00,94,98,97,94,89,96,90,96
,02.01.2010 06:00,93,98,97,94,91,96,91,96
,02.01.2010 07:00,91,100,96,94,90,95,87,96
,02.01.2010 08:00,90,100,96,94,89,95,87,96
,02.01.2010 09:00,91,100,96,93,89,95,89,95
,02.01.2010 10:00,87,97,96,93,86,95,86,93
,02.01.2010 11:00,84,96,96,92,85,96,82,92
,02.01.2010 12:00,80,96,96,91,82,96,83,92
,02.01.2010 13:00,80,95,95,89,78,96,83,92
,02.01.2010 14:00,82,93,95,91,80,95,78,89
,02.01.2010 15:00,82,92,95,92,79,95,80,90
,02.01.2010 16:00,84,91,95,92,87,95,87,93
,02.01.2010 17:00,86,92,95,92,90,94,89,94
,02.01.2010 18:00,91,95,95,92,91,95,91,95
,02.01.2010 19:00,93,95,95,92,88,95,94,87
,02.01.2010 20:00,92,92,95,89,89,95,90,86
,02.01.2010 21:00,93,89,96,91,87,95,91,87
,02.01.2010 22:00,94,87,96,91,90,95,92,87
,02.01.2010 23:00,94,95,96,87,87,95,85,87
,03.01.2010 00:00,95,89,96,87,86,95,87,88
,03.01.2010 01:00,94,90,97,89,86,95,85,89
,03.01.2010 02:00,88,90,97,87,86,95,88,89
,03.01.2010 03:00,87,90,97,88,87,96,89,89
,03.01.2010 04:00,87,92,97,87,87,96,84,87
,03.01.2010 05:00,91,91,100,88,87,96,86,87
,03.01.2010 06:00,88,88,97,84,88,96,87,86
,03.01.2010 07:00,85,90,100,85,88,96,85,87
,03.01.2010 08:00,84,88,100,87,86,96,83,87
,03.01.2010 09:00,89,89,100,84,87,96,81,86
,03.01.2010 10:00,89,91,100,84,88,97,77,89
,03.01.2010 11:00,91,95,98,87,84,97,79,89
,03.01.2010 12:00,94,96,98,82,86,97,78,85
,03.01.2010 13:00,93,96,98,81,89,97,78,89
,03.01.2010 14:00,94,96,98,84,90,97,81,94
,03.01.2010 15:00,95,98,100,89,91,97,83,93
,03.01.2010 16:00,93,97,100,92,92,97,90,94
,03.01.2010 17:00,92,97,97,92,89,97,92,96
,03.01.2010 18:00,94,96,96,95,89,96,90,95
,03.01.2010 19:00,95,97,96,94,90,96,87,93
,03.01.2010 20:00,95,97,96,93,89,95,88,95
,03.01.2010 21:00,94,96,95,94,88,95,86,95
,03.01.2010 22:00,93,96,95,94,88,95,86,95
,03.01.2010 23:00,92,97,95,94,87,95,85,94
,04.01.2010 00:00,93,98,95,94,88,95,85,94
,04.01.2010 01:00,96,98,95,95,90,95,85,94
,04.01.2010 02:00,100,97,95,95,88,95,85,98
,04.01.2010 03:00,97,97,95,95,87,95,86,96
,04.01.2010 04:00,96,98,95,95,87,95,87,94
,04.01.2010 05:00,96,97,95,95,88,95,89,94
,04.01.2010 06:00,96,96,95,94,88,95,87,98
