@T,Climate,,,
name,sunh,,,
,,,,
missing_val,-9999,,,
date_start,01.01.2010 00:00,,,
date_end,08.01.2012 23:00,,,
date_format,dd.MM.yyyy hh:mm,,,
,,,,
tres,h,,,
unit,h,,,
,,,,
@H,date,sunh[0],sunh[1],sunh[2]
name,,Erfurt-Weimar,Martinroda,Schmücke
ID,,1513,1440,1560
elevation,,316,430,937
x,,4427197.8,4421160.55,4413109.29
y,,5650315.5,5622590.38,5613940.06
,01.01.2010 00:00,0,0,0
,01.01.2010 01:00,0,0,0
,01.01.2010 02:00,0,0,0
,01.01.2010 03:00,0,0,0
,01.01.2010 04:00,0,0,0
,01.01.2010 05:00,0,0,0
,01.01.2010 06:00,0,0,0
,01.01.2010 07:00,0,0,0
,01.01.2010 08:00,0,0,0
,01.01.2010 09:00,0,0,0
,01.01.2010 10:00,0,0,0
,01.01.2010 11:00,0,0,0
,01.01.2010 12:00,0,0,0
,01.01.2010 13:00,0,0,0
,01.01.2010 14:00,0,0,0
,01.01.2010 15:00,0,0,0
,01.01.2010 16:00,0,0,0
,01.01.2010 17:00,0,0,0
,01.01.2010 18:00,0,0,0
,01.01.2010 19:00,0,0,0
,01.01.2010 20:00,0,0,0
,01.01.2010 21:00,0,0,0
,01.01.2010 22:00,0,0,0
,01.01.2010 23:00,0,0,0
,02.01.2010 00:00,0,0,0
,02.01.2010 01:00,0,0,0
,02.01.2010 02:00,0,0,0
,02.01.2010 03:00,0,0,0
,02.01.2010 04:00,0,0,0
,02.01.2010 05:00,0,0,0
,02.01.2010 06:00,0,0,0
,02.01.2010 07:00,0,0,0
,02.01.2010 08:00,0,0,0
,02.01.2010 09:00,0,0,0
,02.01.2010 10:00,0,0,0
,02.01.2010 11:00,0,0.02,0
,02.01.2010 12:00,0,0.15,0.02
,02.01.2010 13:00,0,0.52,0.2
,02.01.2010 14:00,0.15,0.27,0.03
,02.01.2010 15:00,0,0,0
,02.01.2010 16:00,0,0,0
,02.01.2010 17:00,0,0,0
,02.01.2010 18:00,0,0,0
,02.01.2010 19:00,0,0,0
,02.01.2010 20:00,0,0,0
,02.01.2010 21:00,0,0,0
,02.01.2010 22:00,0,0,0
,02.01.2010 23:00,0,0,0
,03.01.2010 00:00,0,0,0
,03.01.2010 01:00,0,0,0
,03.01.2010 02:00,0,0,0
,03.01.2010 03:00,0,0,0
,03.01.2010 04:00,0,0,0
,03.01.2010 05:00,0,0,0
,03.01.2010 06:00,0,0,0
,03.01.2010 07:00,0,0,0
,03.01.2010 08:00,0,0,0
,03.01.2010 09:00,0,0,0
,03.01.2010 10:00,0,0,0
,03.01.2010 11:00,0,0,0
,03.01.2010 12:00,0,0,0
,03.01.2010 13:00,0,0,0
,03.01.2010 14:00,0,0,0
,03.01.2010 15:00,0,0,0
,03.01.2010 16:00,0,0,0
,03.01.2010 17:00,0,0,0
,03.01.2010 18:00,0,0,0
,03.01.2010 19:00,0,0,0
,03.01.2010 20:00,0,0,0
,03.01.2010 21:00,0,0,0
,03.01.2010 22:00,0,0,0
,03.01.2010 23:00,0,0,0
,04.01.2010 00:00,0,0,0
,04.01.2010 01:00,0,0,0
,04.01.2010 02:00,0,0,0
,04.01.2010 03:00,0,0,0
,04.01.2010 04:00,0,0,0
,04.01.2010 05:00,0,0,0
,04.01.2010 06:00,0,0,0
,04.01.2010 07:00,0,0,0
,04.01.2010 08:00,0,0,0
,04.01.2010 09:00,0,0,0
,04.01.2010 10:00,0,0,0
,04.01.2010 11:00,0,0,0
,04.01.2010 12:00,0,0.45,0
,04.01.2010 13:00,0,0.12,0
,04.01.2010 14:00,0,0.07,0
,04.01.2010 15:00,0,0,0
,04.01.2010 16:00,0,0,0
,04.01.2010 17:00,0,0,0
,04.01.2010 18:00,0,0,0
,04.01.2010 19:00,0,0,0
,04.01.2010 20:00,0,0,0
,04.01.2010 21:00,0,0,0
,04.01.2010 22:00,0,0,0
,04.01.2010 23:00,0,0,0
,05.01.2010 00:00,0,0,0
,05.01.2010 01:00,0,0,0
,05.01.2010 02:00,0,0,0
,05.01.2010 03:00,0,0,0
,05.01.2010 04:00,0,0,0
,05.01.2010 05:00,0,0,0
,05.01.2010 06:00,0,0,0
,05.01.2010 07:00,0,0,0
,05.01.2010 08:00,0.02,0,0.28
,05.01.2010 09:00,1,0.83,0.03
,05.01.2010 10:00,1,1,0.08
,05.01.2010 11:00,1,1,0.25
,05.01.2010 12:00,1,1,0.37
,05.01.2010 13:00,1,1,0.43
,05.01.2010 14:00,1,1,0.77
,05.01.2010 15:00,1,0.45,0.78
,05.01.2010 16:00,0.03,0,0.23
,05.01.2010 17:00,0,0,0
,05.01.2010 18:00,0,0,0
,05.01.2010 19:00,0,0,0
,05.01.2010 20:00,0,0,0
,05.01.2010 21:00,0,0,0
,05.01.2010 22:00,0,0,0
,05.01.2010 23:00,0,0,0
,06.01.2010 00:00,0,0,0
,06.01.2010 01:00,0,0,0
,06.01.2010 02:00,0,0,0
,06.01.2010 03:00,0,0,0
,06.01.2010 04:00,0,0,0
,06.01.2010 05:00,0,0,0
,06.01.2010 06:00,0,0,0
,06.01.2010 07:00,0,0,0
,06.01.2010 08:00,0,0,0
,06.01.2010 09:00,0,0,0
,06.01.2010 10:00,0,0,0
,06.01.2010 11:00,0.1,0.03,0
,06.01.2010 12:00,1,0.18,0
,06.01.2010 13:00,0.97,0.68,0
,06.01.2010 14:00,1,0.4,0
,06.01.2010 15:00,1,0,0
,06.01.2010 16:00,0,0,0
,06.01.2010 17:00,0,0,0
,06.01.2010 18:00,0,0,0
,06.01.2010 19:00,0,0,0
,06.01.2010 20:00,0,0,0
,06.01.2010 21:00,0,0,0
,06.01.2010 22:00,0,0,0
,06.01.2010 23:00,0,0,0
,07.01.2010 00:00,0,0,0
,07.01.2010 01:00,0,0,0
,07.01.2010 02:00,0,0,0
,07.01.2010 03:00,0,0,0
,07.01.2010 04:00,0,0,0
,07.01.2010 05:00,0,0,0
,07.01.2010 06:00,0,0,0
,07.01.2010 07:00,0,0,0
,07.01.2010 08:00,0,0,0
,07.01.2010 09:00,0,0,0
,07.01.2010 10:00,0,0,0.07
,07.01.2010 11:00,0,0.1,0.25
,07.01.2010 12:00,0,0.93,0.87
,07.01.2010 13:00,0.93,1,0.82
,07.01.2010 14:00,0.72,1,0.1
,07.01.2010 15:00,1,0.42,0.93
,07.01.2010 16:00,0.07,0,0.27
,07.01.2010 17:00,0,0,0
,07.01.2010 18:00,0,0,0
,07.01.2010 19:00,0,0,0
,07.01.2010 20:00,0,0,0
,07.01.2010 21:00,0,0,0
,07.01.2010 22:00,0,0,0
,07.01.2010 23:00,0,0,0
,08.01.2010 00:00,0,0,0
,08.01.2010 01:00,0,0,0
,08.01.2010 02:00,0,0,0
,08.01.2010 03:00,0,0,0
,08.01.2010 04:00,0,0,0
,08.01.2010 05:00,0,0,0
,08.01.2010 06:00,0,0,0
,08.01.2010 07:00,0,0,0
,08.01.2010 08:00,0,0,0
,08.01.2010 09:00,0,0,0
,08.01.2010 10:00,0,0,0
,08.01.2010 11:00,0,0,0
,08.01.2010 12:00,0,0,0
,08.01.2010 13:00,0,0,0
,08.01.2010 14:00,0,0,0
,08.01.2010 15:00,0,0,0
,08.01.2010 16:00,0,0,0
,08.01.2010 17:00,0,0,0
,08.01.2010 18:00,0,0,0
,08.01.2010 19:00,0,0,0
,08.01.2010 20:00,0,0,0
,08.01.2010 21:00,0,0,0
,08.01.2010 22:00,0,0,0
,08.01.2010 23:00,0,0,0
,09.01.2010 00:00,0,0,0
,09.01.2010 01:00,0,0,0
,09.01.2010 02:00,0,0,0
,09.01.2010 03:00,0,0,0
,09.01.2010 04:00,0,0,0
,09.01.2010 05:00,0,0,0
,09.01.2010 06:00,0,0,0
,09.01.2010 07:00,0,0,0
,09.01.2010 08:00,0,0,0
,09.01.2010 09:00,0,0,0
,09.01.2010 10:00,0,0,0
,09.01.2010 11:00,0,0,0
,09.01.2010 12:00,0,0,0
,09.01.2010 13:00,0,0,0
