@T,Climate,,,,,
descr,solar radiation,,,,,
unit,MJ/m2,,,,,
missing_val,-9999,,,,,
date_start,01.01.1990,,,,,
date_end,31.12.2008,,,,,
date_format,dd.MM.yyyy,,,,,
,,,,,,
@H,date,solrad[1],solrad[2],solrad[3],solrad[4],solrad[5]
name,,waterloo,ame,ass,blg,cme
ID,,1,2,3,4,5
elevation,,287,276,275,266,273
x,,662756,673163,669112,666844,660852
y,,4596100,4595540,4591821,4584593,4588796
,01.01.1990,3.93,-9999,-9999,-9999,-9999
,02.01.1990,6.07,-9999,-9999,-9999,-9999
,03.01.1990,4.85,-9999,-9999,-9999,-9999
,04.01.1990,3.72,-9999,-9999,-9999,-9999
,05.01.1990,3.43,-9999,-9999,-9999,-9999
,06.01.1990,4.31,-9999,-9999,-9999,-9999
,07.01.1990,6.19,-9999,-9999,-9999,-9999
,08.01.1990,5.9,-9999,-9999,-9999,-9999
,09.01.1990,5.52,-9999,-9999,-9999,-9999
,10.01.1990,6.65,-9999,-9999,-9999,-9999
,11.01.1990,7.7,-9999,-9999,-9999,-9999
,12.01.1990,4.98,-9999,-9999,-9999,-9999
,13.01.1990,3.43,-9999,-9999,-9999,-9999
,14.01.1990,3.97,-9999,-9999,-9999,-9999
,15.01.1990,4.14,-9999,-9999,-9999,-9999
,16.01.1990,5.02,-9999,-9999,-9999,-9999
,17.01.1990,4.39,-9999,-9999,-9999,-9999
,18.01.1990,3.64,-9999,-9999,-9999,-9999
,19.01.1990,4.48,-9999,-9999,-9999,-9999
,20.01.1990,3.18,-9999,-9999,-9999,-9999
,21.01.1990,3.22,-9999,-9999,-9999,-9999
,22.01.1990,3.47,-9999,-9999,-9999,-9999
,23.01.1990,6.32,-9999,-9999,-9999,-9999
,24.01.1990,5.98,-9999,-9999,-9999,-9999
,25.01.1990,8.12,-9999,-9999,-9999,-9999
,26.01.1990,5.56,-9999,-9999,-9999,-9999
,27.01.1990,4.81,-9999,-9999,-9999,-9999
,28.01.1990,6.78,-9999,-9999,-9999,-9999
,29.01.1990,5.36,-9999,-9999,-9999,-9999
,30.01.1990,5.06,-9999,-9999,-9999,-9999
,31.01.1990,7.36,-9999,-9999,-9999,-9999
,01.02.1990,7.87,-9999,-9999,-9999,-9999
,02.02.1990,5.31,-9999,-9999,-9999,-9999
,03.02.1990,6.36,-9999,-9999,-9999,-9999
,04.02.1990,5.82,-9999,-9999,-9999,-9999
,05.02.1990,7.53,-9999,-9999,-9999,-9999
,06.02.1990,10.08,-9999,-9999,-9999,-9999
,07.02.1990,13.64,-9999,-9999,-9999,-9999
,08.02.1990,7.7,-9999,-9999,-9999,-9999
,09.02.1990,9.79,-9999,-9999,-9999,-9999
