@T,Climate,,,,,,,,
descr,maximum temperature,,,,,,,,
unit,deg C,,,,,,,,
missing_val,-9999,,,,,,,,
date_start,01.01.1990,,,,,,,,
date_end,31.12.2008,,,,,,,,
date_format,dd.MM.yyyy,,,,,,,,
,,,,,,,,,
@H,date,tmpmx[1],tmpmx[2],tmpmx[3],tmpmx[4],tmpmx[5],tmpmx[6],tmpmx[7],tmpmx[8]
name,,waterloo,ad,ame,ang,ass,blg,garr,cme
ID,,1,2,3,4,5,6,7,8
elevation,,287,293,276,308,275,266,265,273
x,,662756,667758,673163,659839,669112,666844,656200,660852
y,,4596100,4593139,4595540,4610524,4591821,4584593,457442,4588796
,01.01.1990,1,-2.93,-2.27,1.1,-2.17,-1.73,-1.11,-9999
,02.01.1990,-1,0.78,1.5,-1.1,1.07,2.04,2.78,-9999
,03.01.1990,3,4.49,5.28,2.75,4.31,5.81,6.67,-9999
,04.01.1990,6,6.07,6.89,5.5,5.7,7.43,8.33,-9999
,05.01.1990,7,-0.28,0.43,7.15,0.14,0.96,1.67,-9999
,06.01.1990,-1,-0.81,-0.12,-1.1,-0.32,0.42,1.11,-9999
,07.01.1990,1,5.01,5.81,1.1,4.77,6.35,7.22,-9999
,08.01.1990,6,5.54,6.35,6.05,5.24,6.89,7.78,-9999
,09.01.1990,8,2.36,3.11,7.7,2.45,3.65,4.44,-9999
,10.01.1990,3,1.84,2.58,3.3,2,3.12,3.89,-9999
,11.01.1990,4,2.36,3.11,3.85,2.45,3.65,4.44,-9999
,12.01.1990,4,-0.28,0.43,3.85,0.14,0.96,1.67,-9999
,13.01.1990,-4,-2.4,-1.74,-3.85,-1.72,-1.2,-0.56,-9999
,14.01.1990,-3,2.36,3.11,-2.75,2.45,3.65,4.44,-9999
,15.01.1990,3,5.01,5.81,2.75,4.77,6.35,7.22,-9999
,16.01.1990,9,8.72,9.58,8.8,8.02,10.12,11.11,-9999
,17.01.1990,13,10.31,11.2,12.65,9.41,11.74,12.78,-9999
,18.01.1990,12,9.78,10.66,12.1,8.94,11.2,12.22,-9999
,19.01.1990,1,-0.81,-0.12,0.55,-0.32,0.42,1.11,-9999
,20.01.1990,1,-1.34,-0.65,0.55,-0.78,-0.11,0.56,-9999
,21.01.1990,1,-0.81,-0.12,0.55,-0.32,0.42,1.11,-9999
,22.01.1990,1,3.43,4.2,1.1,3.39,4.74,5.56,-9999
,23.01.1990,3,2.36,3.11,3.3,2.45,3.65,4.44,-9999
,24.01.1990,8,8.19,9.05,8.25,7.56,9.59,10.56,-9999
,25.01.1990,9,8.72,9.58,8.8,8.02,10.12,11.11,-9999
,26.01.1990,10,-0.28,0.43,10.45,0.14,0.96,1.67,-9999
,27.01.1990,1,7.66,8.51,0.55,7.09,9.05,10,-9999
,28.01.1990,9,7.13,7.96,9.35,6.62,8.5,9.44,-9999
,29.01.1990,3,1.84,2.58,3.3,2,3.12,3.89,-9999
,30.01.1990,3,2.9,3.66,3.3,2.92,4.2,5,-9999
,31.01.1990,4,4.49,5.28,4.4,4.31,5.81,6.67,-9999
,01.02.1990,5,5.01,5.81,4.95,4.77,6.35,7.22,-9999
,02.02.1990,7,5.01,5.81,7.15,4.77,6.35,7.22,-9999
,03.02.1990,-1,-0.81,-0.12,-0.55,-0.32,0.42,1.11,-9999
,04.02.1990,-1,-1.87,-1.19,-0.55,-1.25,-0.66,0,-9999
,05.02.1990,-2,5.01,5.81,-2.2,4.77,6.35,7.22,-9999
,06.02.1990,7,5.54,6.35,6.6,5.24,6.89,7.78,-9999
,07.02.1990,7,4.49,5.28,6.6,4.31,5.81,6.67,-9999
,08.02.1990,6,11.89,12.81,5.5,10.79,13.35,14.44,-9999
,09.02.1990,14,9.78,10.66,13.75,8.94,11.2,12.22,-9999
,10.02.1990,10,5.01,5.81,9.9,4.77,6.35,7.22,-9999
,11.02.1990,4,2.9,3.66,4.4,2.92,4.2,5,-9999
,12.02.1990,3,6.07,6.89,2.75,5.7,7.43,8.33,-9999
,13.02.1990,11,15.07,16.05,11,13.58,16.59,17.78,-9999
,14.02.1990,17,9.25,10.13,16.5,8.48,10.66,11.67,-9999
,15.02.1990,-2,-2.4,-1.74,-2.2,-1.72,-1.2,-0.56,-9999
,16.02.1990,-1,-0.28,0.43,-1.1,0.14,0.96,1.67,-9999
,17.02.1990,2,-1.87,-1.19,1.65,-1.25,-0.66,0,-9999
,18.02.1990,-1,2.9,3.66,-1.1,2.92,4.2,5,-9999
,19.02.1990,4,1.3,2.04,4.4,1.53,2.58,3.33,-9999
,20.02.1990,-1,0.25,0.96,-0.55,0.6,1.5,2.22,-9999
,21.02.1990,1,8.19,9.05,0.55,7.56,9.59,10.56,-9999
,22.02.1990,8,3.95,4.73,8.25,3.85,5.27,6.11,-9999
,23.02.1990,6,3.43,4.2,5.5,3.39,4.74,5.56,-9999
,24.02.1990,2,-1.34,-0.65,1.65,-0.78,-0.11,0.56,-9999
,25.02.1990,-1,-7.69,-7.12,-1.1,-6.34,-6.58,-6.11,-9999
,26.02.1990,-9,-3.99,-3.35,-8.8,-3.1,-2.81,-2.22,-9999
,27.02.1990,0,2.9,3.66,0,2.92,4.2,5,-9999
,28.02.1990,4,-0.28,0.43,4.4,0.14,0.96,1.67,-9999
,01.03.1990,-1,2.9,3.66,-1.1,2.92,4.2,5,-9999
,02.03.1990,4,8.19,9.05,4.4,7.56,9.59,10.56,-9999
,03.03.1990,8,3.95,4.73,7.7,3.85,5.27,6.11,-9999
,04.03.1990,0,0.78,1.5,0,1.07,2.04,2.78,-9999
,05.03.1990,1,-0.81,-0.12,1.1,-0.32,0.42,1.11,-9999
,06.03.1990,-2,-3.46,-2.81,-1.65,-2.64,-2.27,-1.67,-9999
,07.03.1990,-3,1.3,2.04,-2.75,1.53,2.58,3.33,-9999
,08.03.1990,1,2.36,3.11,0.55,2.45,3.65,4.44,-9999
,09.03.1990,9,9.78,10.66,8.8,8.94,11.2,12.22,-9999
,10.03.1990,10,15.07,16.05,9.9,13.58,16.59,17.78,-9999
,11.03.1990,15,20.9,21.98,15.4,18.68,22.52,23.89,-9999
,12.03.1990,23,20.9,21.98,22.55,18.68,22.52,23.89,-9999
,13.03.1990,24,18.78,19.83,23.65,16.82,20.36,21.67,-9999
,14.03.1990,22,22.49,23.6,22,20.07,24.14,25.56,-9999
,15.03.1990,24,20.36,21.44,24.2,18.21,21.98,23.33,-9999
,16.03.1990,23,12.43,13.36,23.1,11.26,13.9,15,-9999
,17.03.1990,14,12.43,13.36,14.3,11.26,13.9,15,-9999
,18.03.1990,9,5.01,5.81,9.35,4.77,6.35,7.22,-9999
,19.03.1990,6,3.43,4.2,5.5,3.39,4.74,5.56,-9999
,20.03.1990,0,3.43,4.2,0,3.39,4.74,5.56,-9999
,21.03.1990,5,10.31,11.2,4.95,9.41,11.74,12.78,-9999
,22.03.1990,12,10.31,11.2,12.1,9.41,11.74,12.78,-9999
,23.03.1990,9,7.13,7.96,8.8,6.62,8.5,9.44,-9999
,24.03.1990,0,1.84,2.58,0,2,3.12,3.89,-9999
,25.03.1990,3,4.49,5.28,2.75,4.31,5.81,6.67,-9999
,26.03.1990,6,4.49,5.28,5.5,4.31,5.81,6.67,-9999
,27.03.1990,4,5.54,6.35,4.4,5.24,6.89,7.78,-9999
,28.03.1990,7,7.13,7.96,6.6,6.62,8.5,9.44,-9999
,29.03.1990,9,5.54,6.35,9.35,5.24,6.89,7.78,-9999
,30.03.1990,6,6.6,7.43,5.5,6.17,7.97,8.89,-9999
,31.03.1990,9,7.13,7.96,8.8,6.62,8.5,9.44,-9999
,01.04.1990,9,8.19,9.05,8.8,7.56,9.59,10.56,-9999
,02.04.1990,10,7.66,8.51,10.45,7.09,9.05,10,-9999
,03.04.1990,6,3.95,4.73,6.05,3.85,5.27,6.11,-9999
,04.04.1990,6,8.72,9.58,6.05,8.02,10.12,11.11,-9999
