@T,Climate,,,,,,,,,
descr,mean temperature,,,,,,,,,
unit,deg C,,,,,,,,,
missing_val,-9999,,,,,,,,
date_start,01.01.1990,,,,,,,,
date_end,31.12.2008,,,,,,,,
date_format,dd.MM.yyyy,,,,,,,,
,,,,,,,,,,
@H,date,tmpmean[1],tmpmean[2],tmpmean[3],tmpmean[4],tmpmean[5],tmpmean[6],tmpmean[7],tmpmean[8],
name,,waterloo,ad,ame,ang,ass,blg,garr,cme,
ID,,1,2,3,4,5,6,7,8,
elevation,,287,293,276,308,275,266,265,273,
x,,662756,667758,673163,659839,669112,666844,656200,660852,
y,,4596100,4593139,4595540,4610524,4591821,4584593,457442,4588796,
,01.01.1990,-2,-2.93,-2.66,-1.95,-2.17,-2.22,-1.67,-9999,
,02.01.1990,-4,-2.88,-2.65,-4.05,-2.11,-2.21,-1.67,-9999,
,03.01.1990,-1.5,1.55,1.91,-1.63,1.74,2.35,3.06,-9999,
,04.01.1990,3.5,3.38,3.79,3.25,3.33,4.23,5,-9999,
,05.01.1990,0.5,-3.16,-2.92,0.58,-2.35,-2.48,-1.95,-9999,
,06.01.1990,-3.5,-3.16,-2.92,-3.55,-2.36,-2.48,-1.95,-9999,
,07.01.1990,-1.5,0.01,0.31,-1.45,0.41,0.75,1.39,-9999,
,08.01.1990,0.5,0.53,0.85,0.53,0.87,1.29,1.95,-9999,
,09.01.1990,2.5,1.53,1.9,2.35,1.71,2.34,3.06,-9999,
,10.01.1990,1,-0.29,0.03,1.15,0.14,0.47,1.11,-9999,
,11.01.1990,1,-0.02,0.29,0.93,0.37,0.73,1.39,-9999,
,12.01.1990,0,-3.16,-2.92,-0.08,-2.35,-2.48,-1.95,-9999,
,13.01.1990,-7,-4.73,-4.54,-6.93,-3.73,-4.1,-3.62,-9999,
,14.01.1990,-5,-2.09,-1.84,-4.88,-1.42,-1.4,-0.84,-9999,
,15.01.1990,0,2.59,2.98,-0.13,2.64,3.42,4.17,-9999,
,16.01.1990,3.5,3.93,4.33,3.4,3.82,4.77,5.56,-9999,
,17.01.1990,9.5,8.6,9.15,9.33,7.86,9.59,10.56,-9999,
,18.01.1990,6.5,4.2,4.6,6.55,4.06,5.04,5.83,-9999,
,19.01.1990,-3.5,-3.68,-3.46,-3.73,-2.81,-3.02,-2.5,-9999,
,20.01.1990,-3,-1.61,-1.32,-3.23,-1.03,-0.88,-0.28,-9999,
,21.01.1990,-0.5,-1.09,-0.79,-0.73,-0.58,-0.35,0.28,-9999,
,22.01.1990,-0.5,1.03,1.37,-0.45,1.28,1.81,2.5,-9999,
,23.01.1990,-1,-1.06,-0.77,-0.85,-0.53,-0.33,0.28,-9999,
,24.01.1990,2.5,4.96,5.41,2.63,4.7,5.85,6.67,-9999,
,25.01.1990,3.5,3.41,3.8,3.4,3.37,4.24,5,-9999,
,26.01.1990,2.5,-3.41,-3.19,2.73,-2.57,-2.75,-2.22,-9999,
,27.01.1990,-2.5,1.59,1.92,-2.73,1.79,2.36,3.06,-9999,
,28.01.1990,1,0.03,0.31,1.18,0.44,0.75,1.39,-9999,
,29.01.1990,-2,-0.8,-0.51,-1.85,-0.31,-0.07,0.56,-9999,
,30.01.1990,-3,-1.82,-1.57,-2.85,-1.18,-1.13,-0.56,-9999,
,31.01.1990,-1.5,-1.03,-0.76,-1.3,-0.49,-0.32,0.28,-9999,
,01.02.1990,-1,1.3,1.64,-1.03,1.53,2.08,2.78,-9999,
,02.02.1990,3,1.3,1.64,3.08,1.53,2.08,2.78,-9999,
,03.02.1990,-2.5,-1.87,-1.59,-2.28,-1.24,-1.15,-0.56,-9999,
,04.02.1990,-3,-3.17,-2.93,-2.78,-2.38,-2.49,-1.95,-9999,
,05.02.1990,-3.5,0.01,0.31,-3.6,0.41,0.75,1.39,-9999,
,06.02.1990,2,1.83,2.18,1.8,1.98,2.62,3.34,-9999,
,07.02.1990,4,3.11,3.52,3.8,3.08,3.96,4.73,-9999,
,08.02.1990,3,5.26,5.68,2.75,4.98,6.12,6.94,-9999,
,09.02.1990,7.5,7.05,7.55,7.38,6.51,7.99,8.89,-9999,
,10.02.1990,3,0.27,0.57,2.95,0.63,1.01,1.67,-9999,
,11.02.1990,0,-0.01,0.3,0.2,0.38,0.74,1.39,-9999,
,12.02.1990,-2.5,-0.75,-0.49,-2.63,-0.24,-0.05,0.56,-9999,
,13.02.1990,1.5,9.7,10.25,1.5,8.83,10.69,11.67,-9999,
,14.02.1990,5.5,1.87,2.2,5.25,2.04,2.64,3.34,-9999,
,15.02.1990,-4,-3.96,-3.73,-4.1,-3.06,-3.29,-2.78,-9999,
,16.02.1990,-2,-1.08,-0.78,-2.05,-0.56,-0.34,0.28,-9999,
,17.02.1990,-2.5,-3.69,-3.46,-2.68,-2.82,-3.02,-2.5,-9999,
,18.02.1990,-4,-2.09,-1.84,-4.05,-1.41,-1.4,-0.84,-9999,
,19.02.1990,-1,-1.33,-1.04,-0.8,-0.76,-0.6,0,-9999,
,20.02.1990,-6,-5.48,-5.33,-5.78,-4.35,-4.89,-4.45,-9999,
,21.02.1990,-5,0.31,0.59,-5.23,0.69,1.03,1.67,-9999,
,22.02.1990,0.5,2.33,2.71,0.63,2.4,3.15,3.89,-9999,
,23.02.1990,1.5,0.25,0.57,1.25,0.61,1.01,1.67,-9999,
,24.02.1990,-1,-5.23,-5.06,-1.18,-4.15,-4.62,-4.17,-9999,
,25.02.1990,-8,-12.29,-12.31,-8.05,-10.28,-11.87,-11.67,-9999,
,26.02.1990,-12.5,-10.7,-10.69,-12.4,-8.88,-10.25,-10,-9999,
,27.02.1990,-6.5,-0.53,-0.23,-6.5,-0.07,0.21,0.84,-9999,
,28.02.1990,-1.5,-3.67,-3.46,-1.3,-2.8,-3.02,-2.5,-9999,
,01.03.1990,-5,-3.12,-2.91,-5.05,-2.3,-2.47,-1.95,-9999,
,02.03.1990,-2,2.64,3,-1.8,2.7,3.44,4.17,-9999,
,03.03.1990,1,-0.52,-0.23,0.85,-0.05,0.21,0.84,-9999,
,04.03.1990,-5,-4.18,-3.99,-5,-3.23,-3.55,-3.06,-9999,
,05.03.1990,-3.5,-1.87,-1.59,-3.45,-1.24,-1.15,-0.56,-9999,
,06.03.1990,-5,-5.26,-5.08,-4.83,-4.19,-4.64,-4.17,-9999,
,07.03.1990,-7,-3.91,-3.72,-6.88,-3,-3.28,-2.78,-9999,
,08.03.1990,-5,-0.8,-0.5,-5.23,-0.3,-0.06,0.56,-9999,
,09.03.1990,2.5,6.53,7.01,2.4,6.06,7.45,8.33,-9999,
,10.03.1990,6,7.37,7.84,5.95,6.82,8.28,9.17,-9999,
,11.03.1990,9.5,14.41,15.08,9.7,12.94,15.52,16.67,-9999,
,12.03.1990,15.5,17.26,18.02,15.28,15.39,18.46,19.73,-9999,
,13.03.1990,19.5,16.21,16.95,19.33,14.47,17.39,18.62,-9999,
,14.03.1990,18,17.02,17.76,18,15.2,18.2,19.45,-9999,
,15.03.1990,19.5,15.44,16.14,19.6,13.82,16.58,17.78,-9999,
,16.03.1990,15.5,9.92,10.5,15.55,9.01,10.94,11.95,-9999,
,17.03.1990,10,7.85,8.36,10.15,7.22,8.8,9.72,-9999,
,18.03.1990,3.5,2.34,2.72,3.68,2.42,3.16,3.89,-9999,
,19.03.1990,1,-0.26,0.04,0.75,0.17,0.48,1.12,-9999,
,20.03.1990,-3.5,-2.07,-1.83,-3.5,-1.4,-1.39,-0.83,-9999,
,21.03.1990,-0.5,3.43,3.81,-0.53,3.4,4.24,5,-9999,
,22.03.1990,5.5,7.05,7.55,5.55,6.52,7.99,8.89,-9999,
,23.03.1990,3.5,2.36,2.72,3.4,2.45,3.16,3.89,-9999,
,24.03.1990,-3,-2.1,-1.84,-3,-1.43,-1.41,-0.84,-9999,
,25.03.1990,-2,-1.03,-0.76,-2.13,-0.49,-0.32,0.28,-9999,
