@T,Parameter,,,,,,,,,,,,,
descr,hrus.csv,,,,,,,,,,,,,
,,,,,,,,,,,,,,
@H,ID,x,y,elevation,area,type,slope,aspect,flowlength,soilID,landuseID,hgeoID,slopelength,sedpool
min,0,0,0,0,0,0,0,0,0,0,0,0,0,0
max,9999,999999,9999999,10000,9999999999,3,90,360,999999,9999,9999,9999,9999,9999
unit,n/a,m,m,m,m2,n/a,deg,deg,m,n/a,n/a,n/a,m,t
,1,661594,4598796,303,124200,2,0.8,117.6913,0,3,21,1,100,0
,2,661279,4598758,306,36900,2,1.7,114.6872,0,3,81,1,100,0
,3,663574,4598834,306,47700,2,0.5,216.8813,0,3,82,1,100,0
,4,661639,4598156,301,928800,2,0.2,-1,0,15,82,1,100,0
,5,666439,4598681,300,208800,2,0.9,161.3288,0,2,81,1,100,0
,6,661069,4598571,308,28800,2,0.9,66.6266,0,3,81,1,100,0
,7,661309,4598625,304,43200,2,1.1,112.88,0,3,21,1,100,0
,8,663514,4598543,305,79200,2,1.5,164.7453,0,2,82,1,100,0
,9,664204,4598564,306,46800,2,0.8,294.8397,0,2,41,1,100,0
,10,663259,4598443,305,64800,2,0.9,165.1081,0,2,81,1,100,0
,11,663709,4598396,307,52200,2,1.1,300.449,0,2,41,1,100,0
,12,664069,4598492,305,85500,2,0.8,116.3594,0,2,81,1,100,0
,13,665959,4598423,301,61200,2,0.3,76.2837,0,2,82,1,100,0
,14,666649,4598428,299,36000,2,2.2,163.297,0,2,82,1,100,0
,15,660829,4597422,303,801000,2,1.1,115.6765,0,15,82,1,100,0
,16,666454,4598494,302,42300,2,2.4,18.1057,0,2,82,1,100,0
,17,661189,4598477,303,18000,2,1.3,114.5096,0,15,81,1,100,0
,18,663484,4598198,304,109800,2,0.4,261.3908,0,2,82,1,100,0
,19,663934,4598292,305,41400,2,0.8,111.5052,0,2,82,1,100,0
,20,666259,4598273,301,58500,2,2.5,118.942,0,2,82,1,100,0
,21,664294,4598295,304,39600,2,0.3,254.7475,0,2,82,1,100,0
,22,663229,4598292,304,18000,2,0.4,39.375,0,2,82,1,100,0
,23,664144,4598305,304,24300,2,0.4,244.9845,0,2,81,1,100,0
,24,666799,4598177,296,720900,2,1.2,158.2305,0,2,82,1,100,0
,25,662464,4598288,303,15300,2,2.1,103.1107,0,2,41,1,100,0
,26,662359,4598245,303,15300,2,2.9,284.4272,0,2,19,1,100,0
,27,662614,4598324,303,71100,2,0.8,291.107,0,2,82,1,100,0
,28,661909,4597531,298,585000,3,1.2,114.4047,0,2,82,1,100,0
,29,662599,4598173,302,131400,2,0.5,27.7345,0,2,82,1,100,0
,30,663094,4598183,304,21600,2,0.3,124.7764,0,2,82,1,100,0
,31,665824,4598112,303,18000,2,1.2,68.6922,0,2,82,1,100,0
,32,663799,4598172,306,42300,2,0.7,24.0205,0,2,82,1,100,0
,33,664339,4598098,304,32400,2,0.6,209.7599,0,2,82,1,100,0
