@T,Observed,
descr,observed runoff at F34 - Upper Cedar Creek,
unit,m³/s,
missing_val,-9999,
date_start,01.06.2005,
date_end,31.07.2012,
date_format,dd.MM.yyyy,
,,
@H,date,orun[1]
name,,F34
ID,,F34
elevation,,266
x,,665983
y,,4585116
,01.06.2005,0.531
,02.06.2005,0.543
,03.06.2005,0.572
,04.06.2005,0.611
,05.06.2005,0.648
,06.06.2005,0.572
,07.06.2005,0.498
,08.06.2005,0.471
,09.06.2005,0.46
,10.06.2005,0.49
,11.06.2005,0.568
,12.06.2005,0.611
,13.06.2005,1.148
,14.06.2005,1.039
,15.06.2005,0.912
,16.06.2005,0.875
,17.06.2005,0.768
,18.06.2005,0.745
,19.06.2005,0.709
,20.06.2005,0.649
,21.06.2005,0.589
,22.06.2005,0.615
,23.06.2005,0.655
,24.06.2005,0.674
,25.06.2005,0.674
,26.06.2005,0.726
,27.06.2005,0.752
,28.06.2005,0.732
,29.06.2005,0.647
,30.06.2005,0.587
,01.07.2005,0.618
,02.07.2005,0.567
,03.07.2005,0.526
,04.07.2005,0.495
,05.07.2005,0.452
,06.07.2005,0.43
,07.07.2005,0.402
,08.07.2005,0.372
,09.07.2005,0.36
,10.07.2005,0.355
,11.07.2005,0.35
,12.07.2005,0.356
,13.07.2005,0.365
,14.07.2005,0.366
,15.07.2005,0.378
,16.07.2005,0.495
,17.07.2005,0.626
,18.07.2005,0.449
,19.07.2005,0.421
,20.07.2005,0.395
,21.07.2005,0.663
,22.07.2005,0.967
,23.07.2005,0.576
,24.07.2005,0.483
,25.07.2005,0.496
,26.07.2005,1.207
,27.07.2005,8.702
,28.07.2005,5.666
,29.07.2005,3.274
,30.07.2005,1.861
,31.07.2005,1.204
,01.08.2005,0.957
,02.08.2005,0.824
,03.08.2005,0.758
,04.08.2005,0.733
,05.08.2005,0.716
,06.08.2005,0.708
,07.08.2005,0.708
,08.08.2005,0.717
,09.08.2005,0.709
,10.08.2005,0.669
,11.08.2005,0.635
,12.08.2005,0.594
,13.08.2005,0.583
,14.08.2005,0.618
,15.08.2005,0.523
,16.08.2005,0.447
,17.08.2005,0.318
,18.08.2005,0.292
,19.08.2005,0.292
,20.08.2005,0.294
,21.08.2005,0.293
,22.08.2005,0.292
,23.08.2005,0.292
,24.08.2005,0.293
,25.08.2005,0.293
,26.08.2005,0.293
,27.08.2005,0.293
,28.08.2005,0.293
,29.08.2005,0.301
,30.08.2005,0.296
,31.08.2005,0.293
,01.09.2005,0.292
,02.09.2005,0.301
,03.09.2005,0.333
,04.09.2005,0.339
,05.09.2005,0.342
,06.09.2005,0.34
,07.09.2005,0.338
,08.09.2005,0.336
,09.09.2005,0.33
,10.09.2005,0.33
,11.09.2005,0.331
,12.09.2005,0.329
,13.09.2005,0.325
,14.09.2005,0.319
,15.09.2005,0.318
,16.09.2005,0.295
,17.09.2005,0.292
,18.09.2005,0.293
,19.09.2005,0.293
,20.09.2005,0.293
,21.09.2005,0.294
,22.09.2005,0.306
,23.09.2005,0.319
,24.09.2005,0.293
,25.09.2005,0.304
,26.09.2005,0.457
,27.09.2005,0.325
,28.09.2005,0.295
,29.09.2005,0.304
,30.09.2005,0.293
,01.10.2005,0.294
,02.10.2005,0.308
,03.10.2005,0.324
,04.10.2005,0.33
,05.10.2005,0.333
,06.10.2005,0.336
,07.10.2005,0.342
,08.10.2005,0.341
,09.10.2005,0.34
,10.10.2005,0.337
,11.10.2005,0.329
,12.10.2005,0.326
,13.10.2005,0.326
,14.10.2005,0.325
,15.10.2005,0.32
,16.10.2005,0.32
,17.10.2005,0.31
,18.10.2005,0.311
,19.10.2005,0.311
,20.10.2005,0.304
,21.10.2005,0.3
,22.10.2005,0.297
,23.10.2005,0.303
,24.10.2005,0.301
,25.10.2005,0.3
,26.10.2005,0.298
,27.10.2005,0.297
,28.10.2005,0.296
,29.10.2005,0.296
,30.10.2005,0.295
,31.10.2005,0.293
,01.11.2005,0.293
,02.11.2005,0.293
,03.11.2005,0.294
,04.11.2005,0.301
,05.11.2005,0.304
,06.11.2005,0.323
,07.11.2005,0.307
,08.11.2005,0.314
,09.11.2005,0.317
,10.11.2005,0.308
,11.11.2005,0.305
,12.11.2005,0.31
,13.11.2005,0.315
,14.11.2005,0.309
,15.11.2005,2.5
,16.11.2005,4.907
,17.11.2005,2.253
,18.11.2005,1.406
,19.11.2005,1.171
,20.11.2005,1.054
,21.11.2005,0.981
,22.11.2005,0.924
,23.11.2005,0.887
,24.11.2005,0.884
,25.11.2005,0.87
,26.11.2005,0.851
,27.11.2005,0.838
,28.11.2005,0.838
,29.11.2005,0.971
,30.11.2005,1.026
,01.01.2006,1.325
,31.03.2006,1.518
,01.04.2006,1.82
,02.04.2006,1.866
,03.04.2006,3.051
,04.04.2006,2.781
,05.04.2006,2.334
,06.04.2006,1.973
,07.04.2006,1.95
,08.04.2006,1.722
,09.04.2006,1.557
,10.04.2006,1.423
,11.04.2006,1.387
,12.04.2006,1.409
,13.04.2006,1.304
,14.04.2006,1.22
,15.04.2006,1.21
,16.04.2006,1.149
,17.04.2006,1.422
,18.04.2006,1.232
,19.04.2006,1.201
,20.04.2006,1.132
,21.04.2006,1.069
,22.04.2006,1.058
,23.04.2006,0.948
,24.04.2006,0.834
,25.04.2006,0.958
,26.04.2006,0.948
,27.04.2006,0.856
,28.04.2006,0.762
,29.04.2006,0.758
,30.04.2006,0.819
,01.05.2006,0.987
,02.05.2006,1.277
,03.05.2006,1.38
,04.05.2006,1.348
,05.05.2006,1.18
,06.05.2006,1.005
,07.05.2006,0.825
,08.05.2006,0.882
,09.05.2006,0.84
,10.05.2006,0.874
,11.05.2006,7.2
,12.05.2006,11.348
,13.05.2006,10.684
,14.05.2006,8.903
,15.05.2006,13.416
,16.05.2006,11.021
,17.05.2006,7.748
,18.05.2006,5.715
,19.05.2006,4.387
,20.05.2006,3.484
,21.05.2006,2.858
,22.05.2006,2.408
,23.05.2006,2.1
,24.05.2006,1.84
,25.05.2006,1.915
,26.05.2006,2.005
,27.05.2006,1.709
,28.05.2006,1.524
,29.05.2006,1.376
,30.05.2006,1.313
,31.05.2006,1.615
,01.06.2006,1.811
,02.06.2006,1.449
,03.06.2006,1.416
,04.06.2006,1.387
,05.06.2006,1.236
,06.06.2006,1.122
,07.06.2006,1.395
,08.06.2006,1.565
,09.06.2006,1.308
,10.06.2006,1.138
,11.06.2006,1.022
,12.06.2006,0.881
,13.06.2006,0.919
,14.06.2006,0.801
,15.06.2006,0.724
,16.06.2006,0.691
,17.06.2006,0.643
,18.06.2006,0.681
,19.06.2006,0.649
,20.06.2006,0.717
,21.06.2006,0.665
,22.06.2006,3.321
,23.06.2006,2.058
,24.06.2006,1.359
,25.06.2006,1.055
,26.06.2006,0.873
,27.06.2006,0.815
,28.06.2006,0.783
,29.06.2006,0.677
,30.06.2006,0.601
,01.07.2006,0.548
,02.07.2006,0.692
,03.07.2006,1.185
,04.07.2006,0.877
,05.07.2006,0.712
,06.07.2006,0.604
,07.07.2006,0.518
,08.07.2006,0.466
,09.07.2006,0.444
,10.07.2006,0.43
,11.07.2006,0.499
,12.07.2006,6.917
,13.07.2006,7.888
,14.07.2006,7.292
,15.07.2006,13.805
,16.07.2006,9.837
,17.07.2006,6.649
,18.07.2006,5.077
,19.07.2006,3.903
,20.07.2006,2.963
,21.07.2006,2.441
,22.07.2006,1.861
,23.07.2006,1.525
,24.07.2006,1.287
,25.07.2006,1.102
,26.07.2006,1.033
,27.07.2006,1.206
,28.07.2006,4.567
,29.07.2006,4.1
,30.07.2006,2.965
,31.07.2006,2.092
,01.08.2006,1.557
,02.08.2006,1.216
,03.08.2006,1.324
,04.08.2006,1.546
,05.08.2006,1.216
,06.08.2006,1.012
,07.08.2006,0.875
,08.08.2006,0.769
,09.08.2006,0.68
,10.08.2006,0.638
,11.08.2006,0.595
,12.08.2006,0.553
,13.08.2006,0.506
,14.08.2006,0.473
,15.08.2006,0.453
,16.08.2006,0.438
,17.08.2006,0.408
,18.08.2006,0.395
,19.08.2006,0.401
,20.08.2006,0.398
,21.08.2006,0.363
,22.08.2006,0.354
,23.08.2006,0.349
,24.08.2006,0.34
,25.08.2006,0.345
,26.08.2006,0.336
,27.08.2006,0.377
,28.08.2006,0.832
,29.08.2006,1.458
,30.08.2006,0.479
,31.08.2006,0.448
,01.09.2006,0.44
,02.09.2006,0.44
,03.09.2006,0.443
,04.09.2006,0.452
,05.09.2006,0.467
,06.09.2006,0.451
,07.09.2006,0.409
,08.09.2006,0.398
,09.09.2006,0.391
,10.09.2006,0.354
,11.09.2006,0.351
,12.09.2006,0.445
,13.09.2006,0.426
,14.09.2006,0.385
,15.09.2006,0.363
,16.09.2006,0.333
,17.09.2006,0.304
,18.09.2006,0.35
,19.09.2006,0.329
,20.09.2006,0.318
,21.09.2006,0.321
,22.09.2006,0.308
,23.09.2006,0.398
,24.09.2006,0.403
,25.09.2006,0.421
,26.09.2006,0.374
,27.09.2006,0.33
,28.09.2006,0.325
,29.09.2006,0.285
,30.09.2006,0.288
,01.10.2006,0.291
,02.10.2006,0.589
,03.10.2006,1.363
,04.10.2006,1.624
,05.10.2006,2.159
,06.10.2006,1.797
,07.10.2006,1.548
,08.10.2006,1.223
,09.10.2006,0.933
,10.10.2006,0.72
,11.10.2006,0.745
,12.10.2006,0.89
,13.10.2006,0.794
,14.10.2006,0.71
,15.10.2006,0.649
,16.10.2006,0.658
,17.10.2006,8.922
,18.10.2006,9.633
,19.10.2006,6.016
,20.10.2006,3.977
,21.10.2006,2.808
,22.10.2006,2.232
,23.10.2006,1.839
,24.10.2006,1.577
,25.10.2006,1.406
,26.10.2006,1.329
,27.10.2006,2.356
,28.10.2006,8.156
,29.10.2006,5.027
,30.10.2006,3.425
,31.10.2006,2.625
,01.11.2006,2.145
,02.11.2006,1.824
,03.11.2006,1.604
,04.11.2006,1.692
,05.11.2006,1.553
,06.11.2006,1.697
,07.11.2006,1.858
,08.11.2006,1.618
,09.11.2006,2.187
,10.11.2006,1.833
,11.11.2006,3.134
,12.11.2006,0.449
,13.11.2006,0.424
,14.11.2006,0.358
,15.11.2006,0.31
,16.11.2006,4.166
,17.11.2006,10.383
,18.11.2006,6.413
,19.11.2006,4.589
,20.11.2006,3.551
,21.11.2006,2.843
,22.11.2006,2.418
,23.11.2006,2.09
,24.11.2006,2.007
,25.11.2006,2.031
,26.11.2006,1.609
,27.11.2006,1.659
,28.11.2006,1.58
,29.11.2006,1.518
,30.11.2006,3.161
,01.12.2006,8.22
,02.12.2006,6.121
,03.12.2006,4.035
,04.12.2006,3.125
,05.12.2006,2.214
,06.12.2006,1.962
,07.12.2006,1.89
,08.12.2006,1.689
,09.12.2006,1.756
,10.12.2006,1.533
,11.12.2006,1.239
,12.12.2006,3.681
,13.12.2006,7.832
,14.12.2006,4.613
,15.12.2006,5.439
,16.12.2006,2.428
,17.12.2006,2.515
,18.12.2006,0.825
,19.12.2006,1.714
,20.12.2006,0.803
,21.12.2006,2.641
,22.12.2006,8.515
,23.12.2006,9.088
,24.12.2006,5.796
,25.12.2006,4.749
,26.12.2006,7.637
,27.12.2006,5.341
,28.12.2006,4.176
,29.12.2006,3.528
,30.12.2006,3.065
,31.12.2006,6.888
,01.01.2007,15.058
,02.01.2007,9.488
,03.01.2007,6.654
,04.01.2007,5.077
,05.01.2007,14.112
,06.01.2007,13.725
,07.01.2007,9.398
,08.01.2007,8.502
,09.01.2007,6.528
,10.01.2007,4.964
,11.01.2007,4.102
,12.01.2007,3.992
,13.01.2007,10.075
,14.01.2007,9.441
,15.01.2007,21.328
,16.01.2007,15.507
,17.01.2007,10.326
,18.01.2007,7.536
,19.01.2007,5.762
,20.01.2007,4.49
,21.01.2007,3.747
,22.01.2007,3.355
,23.01.2007,3.077
,24.01.2007,2.775
,25.01.2007,2.528
,26.01.2007,2.37
,27.01.2007,2.319
,28.01.2007,2.149
,29.01.2007,2.079
,30.01.2007,1.979
,31.01.2007,1.722
,01.02.2007,1.793
,02.02.2007,1.758
,03.02.2007,1.633
,04.02.2007,1.626
,05.02.2007,1.622
,06.02.2007,1.562
,07.02.2007,1.671
,08.02.2007,1.803
,09.02.2007,1.574
,10.02.2007,1.613
,11.02.2007,1.475
,12.02.2007,1.476
,13.02.2007,1.311
,14.02.2007,1.563
,15.02.2007,1.739
,16.02.2007,1.637
,17.02.2007,1.627
,18.02.2007,1.501
,19.02.2007,1.451
,20.02.2007,1.252
,21.02.2007,1.203
,22.02.2007,1.271
,23.02.2007,1.197
,24.02.2007,1.135
,25.02.2007,1.34
,26.02.2007,1.529
,27.02.2007,1.36
,28.02.2007,1.234
,01.03.2007,4.112
,02.03.2007,9.654
,03.03.2007,6.946
,04.03.2007,5.15
,05.03.2007,4.124
,06.03.2007,3.484
,07.03.2007,2.409
,08.03.2007,1.915
,09.03.2007,2.218
,10.03.2007,6.176
,11.03.2007,7.574
,12.03.2007,4.23
,13.03.2007,3.737
,14.03.2007,3.764
,15.03.2007,5.917
,16.03.2007,3.448
,17.03.2007,2.879
,18.03.2007,2.644
,19.03.2007,2.495
,20.03.2007,2.367
,21.03.2007,2.316
,22.03.2007,2.455
,23.03.2007,2.85
,24.03.2007,3.073
,25.03.2007,2.819
,26.03.2007,2.631
,27.03.2007,2.431
,28.03.2007,2.273
,29.03.2007,2.163
,30.03.2007,2.155
,31.03.2007,2.117
,01.04.2007,2.372
,02.04.2007,2.316
,03.04.2007,2.11
,04.04.2007,1.84
,05.04.2007,1.673
,06.04.2007,1.561
,07.04.2007,1.46
,08.04.2007,1.345
,09.04.2007,1.252
,10.04.2007,1.239
,11.04.2007,2.641
,12.04.2007,9.58
,13.04.2007,5.799
,14.04.2007,4.104
,15.04.2007,3.397
,16.04.2007,3.117
,17.04.2007,2.524
,18.04.2007,1.982
,19.04.2007,1.876
,20.04.2007,1.79
,21.04.2007,1.681
,22.04.2007,1.65
,23.04.2007,1.55
,24.04.2007,1.425
,25.04.2007,8.307
,26.04.2007,16.767
,27.04.2007,14.135
,28.04.2007,9.955
,29.04.2007,6.692
,30.04.2007,4.968
,01.05.2007,4.141
,02.05.2007,3.425
,03.05.2007,2.819
,04.05.2007,2.383
,05.05.2007,2.134
,06.05.2007,1.885
,07.05.2007,1.734
,08.05.2007,1.663
,09.05.2007,1.574
,10.05.2007,1.487
,11.05.2007,1.285
,12.05.2007,1.293
,13.05.2007,1.157
,14.05.2007,1.28
,15.05.2007,1.243
,16.05.2007,1.229
,17.05.2007,1.139
,18.05.2007,0.994
,19.05.2007,1.021
,20.05.2007,1.048
,21.05.2007,0.868
,22.05.2007,0.89
,23.05.2007,0.865
,24.05.2007,0.831
,25.05.2007,0.82
,26.05.2007,0.806
,27.05.2007,0.886
,28.05.2007,0.844
,29.05.2007,0.793
,30.05.2007,0.795
,31.05.2007,0.77
,01.06.2007,0.733
,02.06.2007,0.725
,03.06.2007,0.735
,04.06.2007,0.778
,05.06.2007,0.788
,06.06.2007,0.74
,07.06.2007,0.709
,08.06.2007,0.678
,09.06.2007,0.599
,10.06.2007,0.613
,11.06.2007,0.597
,12.06.2007,0.542
,13.06.2007,0.524
,14.06.2007,0.529
,15.06.2007,0.496
,16.06.2007,0.466
,17.06.2007,0.481
,18.06.2007,0.638
,19.06.2007,0.614
,20.06.2007,0.567
,21.06.2007,0.496
,22.06.2007,0.465
,23.06.2007,0.518
,24.06.2007,0.397
,25.06.2007,0.472
,26.06.2007,0.421
,27.06.2007,0.41
,28.06.2007,0.69
,29.06.2007,0.56
,30.06.2007,0.463
,01.07.2007,0.441
,02.07.2007,0.437
,03.07.2007,0.459
,04.07.2007,0.369
,05.07.2007,0.335
,06.07.2007,0.337
,07.07.2007,0.361
,08.07.2007,0.399
,09.07.2007,0.35
,10.07.2007,0.289
,11.07.2007,0.257
,12.07.2007,0.197
,13.07.2007,0.27
,14.07.2007,0.263
,15.07.2007,0.261
,16.07.2007,0.25
,17.07.2007,0.273
,18.07.2007,0.273
,19.07.2007,1.393
,20.07.2007,1.642
,21.07.2007,0.865
,22.07.2007,0.578
,23.07.2007,0.464
,24.07.2007,0.383
,25.07.2007,0.45
,26.07.2007,0.906
,27.07.2007,0.67
,28.07.2007,0.517
,29.07.2007,0.49
,30.07.2007,0.374
,31.07.2007,0.369
,01.08.2007,0.337
,02.08.2007,0.368
,03.08.2007,0.38
,04.08.2007,0.357
,05.08.2007,0.662
,06.08.2007,0.646
,07.08.2007,0.858
,08.08.2007,1.118
,09.08.2007,1.689
,10.08.2007,1.477
,11.08.2007,0.974
,12.08.2007,0.71
,13.08.2007,0.549
,14.08.2007,0.484
,15.08.2007,0.457
,16.08.2007,0.468
,17.08.2007,0.449
,18.08.2007,0.34
,19.08.2007,0.624
,20.08.2007,11.409
,21.08.2007,18.754
,22.08.2007,13.696
,23.08.2007,10.623
,24.08.2007,8.419
,25.08.2007,9.675
,26.08.2007,6.873
,27.08.2007,4.925
,28.08.2007,3.633
,29.08.2007,2.813
,30.08.2007,2.192
,31.08.2007,1.758
,01.09.2007,1.416
,02.09.2007,1.259
,03.09.2007,1.085
,04.09.2007,0.989
,05.09.2007,0.933
,06.09.2007,0.872
,07.09.2007,0.839
,08.09.2007,0.976
,09.09.2007,1.069
,10.09.2007,1.041
,11.09.2007,0.992
,12.09.2007,0.899
,13.09.2007,0.8
,14.09.2007,0.727
,15.09.2007,0.724
,16.09.2007,0.607
,17.09.2007,0.65
,18.09.2007,0.533
,19.09.2007,0.513
,20.09.2007,0.495
,21.09.2007,0.513
,22.09.2007,0.517
,23.09.2007,0.459
,24.09.2007,0.42
,25.09.2007,0.422
,26.09.2007,0.428
,27.09.2007,0.509
,28.09.2007,0.392
,29.09.2007,0.408
,30.09.2007,0.377
,01.10.2007,0.397
,02.10.2007,0.324
,03.10.2007,0.501
,04.10.2007,0.552
,05.10.2007,0.378
,06.10.2007,0.341
,07.10.2007,0.435
,08.10.2007,0.509
,09.10.2007,0.319
,10.10.2007,0.397
,11.10.2007,0.436
,12.10.2007,0.461
,13.10.2007,0.317
,14.10.2007,0.369
,15.10.2007,0.343
,16.10.2007,0.391
,17.10.2007,0.446
,18.10.2007,0.454
,19.10.2007,0.546
,20.10.2007,0.418
,21.10.2007,0.41
,22.10.2007,0.356
,23.10.2007,0.374
,24.10.2007,0.303
,25.10.2007,0.336
,26.10.2007,0.367
,27.10.2007,0.385
,28.10.2007,0.38
,29.10.2007,0.448
,30.10.2007,0.442
,31.10.2007,0.409
,01.11.2007,0.383
,02.11.2007,0.388
,03.11.2007,0.381
,04.11.2007,0.366
,05.11.2007,0.362
,06.11.2007,0.396
,07.11.2007,0.329
,08.11.2007,0.336
,09.11.2007,0.348
,10.11.2007,0.282
,11.11.2007,0.332
,12.11.2007,0.386
,13.11.2007,0.443
,14.11.2007,0.418
,15.11.2007,0.502
,16.11.2007,0.598
,17.11.2007,0.582
,18.11.2007,0.696
,19.11.2007,0.466
,20.11.2007,0.412
,21.11.2007,2.518
,22.11.2007,8.509
,23.11.2007,1.362
,24.11.2007,0.373
,25.11.2007,0.474
,26.11.2007,4.551
,27.11.2007,0.566
,28.11.2007,0.409
,29.11.2007,0.36
,30.11.2007,0.379
,01.12.2007,0.203
,02.12.2007,0.436
,03.12.2007,0.58
,04.12.2007,0.446
,05.12.2007,0.017
,06.12.2007,0.772
,07.12.2007,1.885
,08.12.2007,1.249
,09.12.2007,1.803
,10.12.2007,0.883
,11.12.2007,4.874
,12.12.2007,8.29
,13.12.2007,1.132
,14.12.2007,1.456
,15.12.2007,0.663
,16.12.2007,0.578
,17.12.2007,0.569
,18.12.2007,0.539
,19.12.2007,0.522
,20.12.2007,1.143
,21.12.2007,2.314
,22.12.2007,3.386
,23.12.2007,19.244
,24.12.2007,14.833
,25.12.2007,8.21
,26.12.2007,1.075
,27.12.2007,2.355
,28.12.2007,1.177
,29.12.2007,0.662
,30.12.2007,0.488
,31.12.2007,12.579
,01.01.2008,4.403
,02.01.2008,14.533
,03.01.2008,14.126
,04.01.2008,8.699
,05.01.2008,2.368
,06.01.2008,7.427
,07.01.2008,8.066
,08.01.2008,35.112
,09.01.2008,53.94
,10.01.2008,3.48
,11.01.2008,2.128
,12.01.2008,1.367
,13.01.2008,0.873
,14.01.2008,0.708
,15.01.2008,2.09
,16.01.2008,16.689
,17.01.2008,16.838
,18.01.2008,14.594
,19.01.2008,13.082
,20.01.2008,11.329
,21.01.2008,13.953
,22.01.2008,13.76
,23.01.2008,6.681
,24.01.2008,2.529
,25.01.2008,5.384
,26.01.2008,1.728
,27.01.2008,1.67
,28.01.2008,4.982
,29.01.2008,2.595
,30.01.2008,9.383
,31.01.2008,2.865
,01.02.2008,1.924
,02.02.2008,0.479
,03.02.2008,0.526
,04.02.2008,1.256
,05.02.2008,20.458
,06.02.2008,37.579
,07.02.2008,27.539
,08.02.2008,19.724
,09.02.2008,15.404
,10.02.2008,12.844
,11.02.2008,17.487
,12.02.2008,6.716
,13.02.2008,5.453
,14.02.2008,8.972
,15.02.2008,3.75
,16.02.2008,3.299
,17.02.2008,10.444
,18.02.2008,20.625
,19.02.2008,12.792
,20.02.2008,8.006
,21.02.2008,5.422
,22.02.2008,4.068
,23.02.2008,3.387
,24.02.2008,2.895
,25.02.2008,2.375
,26.02.2008,2.549
,27.02.2008,5.483
,28.02.2008,6.12
,29.02.2008,2.091
,01.03.2008,1.99
,02.03.2008,1.823
,03.03.2008,12.708
,04.03.2008,13.692
,05.03.2008,7.675
,06.03.2008,2.222
,07.03.2008,1.283
,08.03.2008,1.049
,09.03.2008,0.705
,10.03.2008,1.126
,11.03.2008,1.189
,12.03.2008,1.692
,13.03.2008,2.231
,14.03.2008,1.364
,15.03.2008,1.302
,16.03.2008,0.74
,17.03.2008,0.365
,18.03.2008,1.199
,19.03.2008,7.97
,20.03.2008,7.224
,21.03.2008,2.467
,22.03.2008,3.371
,23.03.2008,2.799
,24.03.2008,1.487
,25.03.2008,1.031
,26.03.2008,1.302
,27.03.2008,2.578
,28.03.2008,9.342
,29.03.2008,4.283
,30.03.2008,1.779
,31.03.2008,5.341
,01.04.2008,15.765
,02.04.2008,8.996
,03.04.2008,3.524
,04.04.2008,5.143
,05.04.2008,3.001
,06.04.2008,2.605
,07.04.2008,2.322
,08.04.2008,2.311
,09.04.2008,1.724
,10.04.2008,1.013
,11.04.2008,12.783
,12.04.2008,10.146
,13.04.2008,6.472
,14.04.2008,3.693
,15.04.2008,2.8
,16.04.2008,0.953
,17.04.2008,0.694
,18.04.2008,12.915
,19.04.2008,13.063
,20.04.2008,11.09
,21.04.2008,8.611
,22.04.2008,2.269
,23.04.2008,2.16
,24.04.2008,1.989
,25.04.2008,2.022
,26.04.2008,1.892
,27.04.2008,1.708
,28.04.2008,1.704
,29.04.2008,1.867
,30.04.2008,1.697
,01.05.2008,1.628
,02.05.2008,1.577
,03.05.2008,1.555
,04.05.2008,1.427
,05.05.2008,1.384
,06.05.2008,1.312
,07.05.2008,1.346
,08.05.2008,1.351
