@T,Climate,,,,,,,,,,,,,,,,
descr,rainfall,,,,,,,,,,,,,,,,
unit,mm,,,,,,,,,,,,,,,,
missing_val,-9999,,,,,,,,,,,,,,,,
date_start,01.01.1990,,,,,,,,,,,,,,,,
date_end,30.06.2012,,,,,,,,,,,,,,,,
date_format,dd.MM.yyyy,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
@H,date,rain[1],rain[2],rain[3],rain[4],rain[5],rain[6],rain[7],rain[8],rain[9],rain[10],rain[11],rain[12],rain[13],rain[14],rain[15],rain[16]
name,,ad,alg,ame,as1,as2,axl,blg,bme,clg,cme,d14,ang,aub,but,gar,wat
ID,,ad,alg,ame,as1,as2,axl,blg,bme,clg,cme,d14,ang,aub,but,gar,wat
elevation,,289,272,276,278,273,266,265,270,267,281,294,308,267,259,266,265
x,,667713,670478,673154,669101,669649,666717,666826,671742,665839,660768,661139,659839,663420,679651,656200,662756
y,,4592666,4590999,4595188,4591404,4591124,4586416,4584121,4588696,4586671,4588357,4593315,4610524,4581269,4587676,4577442,4596100
,01.01.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,0,-9999
,02.01.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,0,-9999
,03.01.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,0,-9999
,04.01.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.4,-9999,-9999,10.2,-9999
,05.01.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.3,-9999,-9999,0,-9999
,06.01.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,0,-9999
,07.01.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,0,-9999
,08.01.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,0,-9999
,09.01.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.8,-9999,-9999,3.3,-9999
,10.01.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.8,-9999,-9999,2,-9999
,11.01.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,0,-9999
,12.01.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,0.5,-9999
,13.01.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.8,-9999,-9999,0,-9999
,14.01.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,0,-9999
,15.01.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,0,-9999
,16.01.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,0,-9999
