@T,Climate,,,,,,,,,
descr,relative humidity,,,,,,,,,
unit,%,,,,,,,,,
missing_val,-9999,,,,,,,,,
date_start,01.01.1990,,,,,,,,,
date_end,30.06.2012,,,,,,,,,
date_format,dd.MM.yyyy,,,,,,,,,
,,,,,,,,,,
@H,date,rehum[1],rehum[2],rehum[3],rehum[4],rehum[5],rehum[6],rehum[7],rehum[8],rehum[9]
name,,ad,alg,ame,as1,as2,axl,blg,cme,d14
ID,,ad,alg,ame,as1,as2,axl,blg,cme,d14
elevation,,289,272,276,278,273,266,265,270,294
x,,667713,670478,673154,669101,669649,666717,666826,660768,661139
y,,4592666,4590999,4595188,4591404,4591124,4586416,4584121,4588357,4593315
,01.01.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,02.01.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,03.01.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,04.01.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,05.01.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,06.01.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,07.01.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,08.01.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,09.01.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,10.01.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,11.01.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,12.01.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,13.01.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,14.01.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,15.01.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,16.01.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,17.01.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,18.01.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,19.01.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,20.01.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,21.01.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,22.01.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,23.01.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,24.01.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,25.01.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,26.01.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,27.01.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,28.01.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,29.01.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,30.01.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,31.01.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,01.02.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,02.02.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,03.02.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,04.02.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,05.02.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,06.02.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,07.02.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,08.02.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,09.02.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,10.02.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,11.02.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,12.02.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,13.02.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,14.02.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,15.02.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,16.02.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,17.02.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,18.02.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,19.02.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,20.02.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,21.02.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,22.02.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,23.02.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,24.02.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,25.02.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,26.02.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,27.02.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,28.02.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,01.03.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,02.03.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,03.03.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,04.03.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,05.03.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,06.03.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,07.03.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,08.03.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,09.03.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,10.03.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,11.03.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,12.03.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,13.03.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,14.03.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,15.03.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,16.03.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,17.03.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,18.03.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,19.03.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,20.03.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,21.03.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,22.03.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,23.03.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,24.03.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,25.03.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,26.03.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,27.03.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,28.03.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,29.03.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,30.03.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,31.03.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,01.04.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,02.04.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,03.04.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,04.04.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,05.04.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,06.04.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,07.04.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,08.04.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,09.04.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,10.04.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,11.04.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,12.04.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,13.04.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,14.04.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,15.04.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,16.04.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,17.04.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,18.04.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,19.04.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,20.04.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,21.04.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,22.04.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,23.04.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,24.04.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,25.04.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,26.04.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
