@T, Parameter,,,,,,,,,,,,
desc,routing.csv,,,,,,,,,,,,
,,,,,,,,,,,,,
@H, from, to, weight,,,,,,,,,,
,1,4,1,,,,,,,,,,
,2,17,0.09589,7,0.90411,,,,,,,,
,3,11,1,,,,,,,,,,
,4,28,1,,,,,,,,,,
,5,20,0.41962,24,0.58038,,,,,,,,
,6,2,1,,,,,,,,,,
,7,1,0.36842,17,0.63158,,,,,,,,
,8,18,1,,,,,,,,,,
,9,12,1,,,,,,,,,,
,10,18,1,,,,,,,,,,
,11,18,0.1982,8,0.8018,,,,,,,,
,12,19,1,,,,,,,,,,
,13,5,1,,,,,,,,,,
,14,24,1,,,,,,,,,,
,15,4,1,,,,,,,,,,
,16,5,1,,,,,,,,,,
,17,4,1,,,,,,,,,,
,18,36,1,,,,,,,,,,
,19,23,1,,,,,,,,,,
,20,24,1,,,,,,,,,,
,21,23,0.93182,33,0.06818,,,,,,,,
,22,10,1,,,,,,,,,,
,23,32,1,,,,,,,,,,
,24,77,1,,,,,,,,,,
,25,29,1,,,,,,,,,,
,26,28,1,,,,,,,,,,
,27,29,1,,,,,,,,,,
,28,-3,1,,,,,,,,,,
,29,26,1,,,,,,,,,,
,30,18,1,,,,,,,,,,
,31,5,0.85,13,0.15,,,,,,,,
,32,33,1,,,,,,,,,,
,33,40,1,,,,,,,,,,
,34,35,1,,,,,,,,,,
,35,32,1,,,,,,,,,,
,36,27,1,,,,,,,,,,
,37,36,1,,,,,,,,,,
,38,50,1,,,,,,,,,,
,39,49,1,,,,,,,,,,
,40,55,0.00866,38,0.99134,,,,,,,,
,41,36,1,,,,,,,,,,
,42,65,1,,,,,,,,,,
,43,24,1,,,,,,,,,,
,44,28,1,,,,,,,,,,
,45,59,1,,,,,,,,,,
,46,45,1,,,,,,,,,,
,47,41,1,,,,,,,,,,
,48,47,1,,,,,,,,,,
,49,53,0.59016,35,0.40984,,,,,,,,
,50,55,1,,,,,,,,,,
,51,50,1,,,,,,,,,,
,52,49,1,,,,,,,,,,
,53,55,1,,,,,,,,,,
,54,47,1,,,,,,,,,,
,55,-1,0.99977,-8,0.00023,,,,,,,,
,56,61,0.52941,60,0.47059,,,,,,,,
,57,58,1,,,,,,,,,,
,58,113,0.32653,59,0.67347,,,,,,,,
,59,113,1,,,,,,,,,,
,60,84,1,,,,,,,,,,
,61,71,1,,,,,,,,,,
,62,76,1,,,,,,,,,,
,63,50,1,,,,,,,,,,
,64,63,1,,,,,,,,,,
,65,64,1,,,,,,,,,,
,66,83,1,,,,,,,,,,
,67,59,1,,,,,,,,,,
,68,78,1,,,,,,,,,,
,69,79,1,,,,,,,,,,
,70,60,1,,,,,,,,,,
,71,77,0.71429,24,0.28571,,,,,,,,
,72,54,1,,,,,,,,,,
,73,65,1,,,,,,,,,,
,74,134,1,,,,,,,,,,
,75,101,1,,,,,,,,,,
,76,55,1,,,,,,,,,,
,77,84,1,,,,,,,,,,
,78,104,1,,,,,,,,,,
,79,94,1,,,,,,,,,,
,80,28,1,,,,,,,,,,
,81,94,1,,,,,,,,,,
