@T,Parameter,,,,,,,,,,,
descr,soils_hor.csv,,,,,,,,,,,
,,,,,,,,,,,,
@H,SID,depth,aircapacity,fieldcapacity,deadcapacity,kf,bulk_density,corg,root,kvalue,A_skel,p_content
min,1,0,0,0,0,0,0,0,0,0,0,0
max,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1,100,500
unit,n/a,cm,mm,mm,mm,cm/d,g/cm,%,n/a,n/a,%,mg/100g_soil
,201,5,4.9,11.3,5.4,75,1.5,3,1,0.29,6,10
,202,30,13.5,30.6,11.4,75,1.6,1,1,0.29,6,10
,203,50,5.5,18,7.5,32,1.8,0,0,0.29,6,10
,204,50,5.5,18,7.5,32,1.8,0,0,0.29,6,10
,301,20,30,34.8,17,75,1.5,3,1,0.28,6,20
,302,20,25.4,30,10.4,75,1.6,1,1,0.28,6,20
,303,50,11,13,5.5,32,1.8,0,0,0.28,6,20
,304,50,11,13,5.5,32,1.8,0,0,0.28,6,20
,1001,10,11.2,21.2,20.2,20,1.5,3,1,0.24,6,10
,1002,50,20,40,39,20,1.6,1,1,0.24,6,10
,1003,50,4.5,12.5,15.5,14,1.8,0,0,0.24,6,10
,1004,50,4.5,12.5,15.5,14,1.8,0,0,0.24,6,10
,1101,20,19.6,45.2,21.6,75,1.5,3,1,0.29,6,10
,1102,30,18.9,42.9,15.9,75,1.6,1,1,0.29,6,10
,1103,50,5.5,18,7.5,32,1.8,0,0,0.29,6,10
,1104,50,5.5,18,7.5,32,1.8,0,0,0.29,6,10
,1501,30,29.4,67.8,32.4,75,1.5,3,1,0.29,6,20
,1502,30,25.5,57.6,21.3,75,1.6,1,1,0.29,6,20
,1503,50,5.5,18,7.5,32,1.8,0,0,0.29,6,20
,1504,50,5.5,18,7.5,32,1.8,0,0,0.29,6,20
