@T,Climate,,,,,,,,,,,
descr,maximum temperature,,,,,,,,,,,
unit,deg C,,,,,,,,,,,
missing_val,-9999,,,,,,,,,,,
date_start,01.01.1990,,,,,,,,,,,
date_end,30.06.2012,,,,,,,,,,,
date_format,dd.MM.yyyy,,,,,,,,,,,
,,,,,,,,,,,,
@H,date,tmpmx[1],tmpmx[2],tmpmx[3],tmpmx[4],tmpmx[5],tmpmx[6],tmpmx[7],tmpmx[8],tmpmx[9],tmpmx[10],tmpmx[11]
name,,ad,alg,ame,as1,as2,axl,blg,cme,d14,ang,garr
ID,,ad,alg,ame,as1,as2,axl,blg,cme,d14,ang,garr
elevation,,289,272,276,278,273,266,265,281,294,308,265
x,,667713,670478,673154,669101,669649,666717,666826,660768,661139,659839,656200
y,,4592666,4590999,4595188,4591404,4591124,4586416,4584121,4588357,4593315,4610524,457442
,01.01.1990,-2.93,-9999,-2.27,-2.17,-9999,-9999,-1.73,-9999,-9999,1.1,-1.11
,02.01.1990,0.78,-9999,1.5,1.07,-9999,-9999,2.04,-9999,-9999,-1.1,2.78
,03.01.1990,4.49,-9999,5.28,4.31,-9999,-9999,5.81,-9999,-9999,2.75,6.67
,04.01.1990,6.07,-9999,6.89,5.7,-9999,-9999,7.43,-9999,-9999,5.5,8.33
,05.01.1990,-0.28,-9999,0.43,0.14,-9999,-9999,0.96,-9999,-9999,7.15,1.67
,06.01.1990,-0.81,-9999,-0.12,-0.32,-9999,-9999,0.42,-9999,-9999,-1.1,1.11
,07.01.1990,5.01,-9999,5.81,4.77,-9999,-9999,6.35,-9999,-9999,1.1,7.22
,08.01.1990,5.54,-9999,6.35,5.24,-9999,-9999,6.89,-9999,-9999,6.05,7.78
,09.01.1990,2.36,-9999,3.11,2.45,-9999,-9999,3.65,-9999,-9999,7.7,4.44
,10.01.1990,1.84,-9999,2.58,2,-9999,-9999,3.12,-9999,-9999,3.3,3.89
,11.01.1990,2.36,-9999,3.11,2.45,-9999,-9999,3.65,-9999,-9999,3.85,4.44
,12.01.1990,-0.28,-9999,0.43,0.14,-9999,-9999,0.96,-9999,-9999,3.85,1.67
,13.01.1990,-2.4,-9999,-1.74,-1.72,-9999,-9999,-1.2,-9999,-9999,-3.85,-0.56
,14.01.1990,2.36,-9999,3.11,2.45,-9999,-9999,3.65,-9999,-9999,-2.75,4.44
,15.01.1990,5.01,-9999,5.81,4.77,-9999,-9999,6.35,-9999,-9999,2.75,7.22
,16.01.1990,8.72,-9999,9.58,8.02,-9999,-9999,10.12,-9999,-9999,8.8,11.11
,17.01.1990,10.31,-9999,11.2,9.41,-9999,-9999,11.74,-9999,-9999,12.65,12.78
,18.01.1990,9.78,-9999,10.66,8.94,-9999,-9999,11.2,-9999,-9999,12.1,12.22
,19.01.1990,-0.81,-9999,-0.12,-0.32,-9999,-9999,0.42,-9999,-9999,0.55,1.11
,20.01.1990,-1.34,-9999,-0.65,-0.78,-9999,-9999,-0.11,-9999,-9999,0.55,0.56
,21.01.1990,-0.81,-9999,-0.12,-0.32,-9999,-9999,0.42,-9999,-9999,0.55,1.11
,22.01.1990,3.43,-9999,4.2,3.39,-9999,-9999,4.74,-9999,-9999,1.1,5.56
,23.01.1990,2.36,-9999,3.11,2.45,-9999,-9999,3.65,-9999,-9999,3.3,4.44
,24.01.1990,8.19,-9999,9.05,7.56,-9999,-9999,9.59,-9999,-9999,8.25,10.56
,25.01.1990,8.72,-9999,9.58,8.02,-9999,-9999,10.12,-9999,-9999,8.8,11.11
,26.01.1990,-0.28,-9999,0.43,0.14,-9999,-9999,0.96,-9999,-9999,10.45,1.67
,27.01.1990,7.66,-9999,8.51,7.09,-9999,-9999,9.05,-9999,-9999,0.55,10
,28.01.1990,7.13,-9999,7.96,6.62,-9999,-9999,8.5,-9999,-9999,9.35,9.44
,29.01.1990,1.84,-9999,2.58,2,-9999,-9999,3.12,-9999,-9999,3.3,3.89
,30.01.1990,2.9,-9999,3.66,2.92,-9999,-9999,4.2,-9999,-9999,3.3,5
,31.01.1990,4.49,-9999,5.28,4.31,-9999,-9999,5.81,-9999,-9999,4.4,6.67
,01.02.1990,5.01,-9999,5.81,4.77,-9999,-9999,6.35,-9999,-9999,4.95,7.22
