@T,Climate,,,,,,,,,,,
descr,minimum temperature,,,,,,,,,,,
unit,deg C,,,,,,,,,,,
missing_val,-9999,,,,,,,,,,,
date_start,01.01.1990,,,,,,,,,,,
date_end,30.06.2012,,,,,,,,,,,
date_format,dd.MM.yyyy,,,,,,,,,,,
,,,,,,,,,,,,
@H,date,tmpmn[1],tmpmn[2],tmpmn[3],tmpmn[4],tmpmn[5],tmpmn[6],tmpmn[7],tmpmn[8],tmpmn[9],tmpmn[10],tmpmn[11]
name,,ad,alg,ame,as1,as2,axl,blg,cme,d14,ang,garr
ID,,ad,alg,ame,as1,as2,axl,blg,cme,d14,ang,garr
elevation,,289,272,276,278,273,266,265,281,294,308,265
x,,667713,670478,673154,669101,669649,666717,666826,660768,661139,659839,656200
y,,4592666,4590999,4595188,4591404,4591124,4586416,4584121,4588357,4593315,4610524,457442
,01.01.1990,-2.92,-9999,-3.05,-2.16,-9999,-9999,-2.71,-9999,-9999,-5,-2.22
,02.01.1990,-6.54,-9999,-6.8,-5.29,-9999,-9999,-6.46,-9999,-9999,-6.7,-6.11
,03.01.1990,-1.38,-9999,-1.46,-0.83,-9999,-9999,-1.11,-9999,-9999,-5.6,-0.56
,04.01.1990,0.7,-9999,0.69,0.96,-9999,-9999,1.03,-9999,-9999,0.6,1.67
,05.01.1990,-6.03,-9999,-6.27,-4.85,-9999,-9999,-5.93,-9999,-9999,-5.6,-5.56
,06.01.1990,-5.51,-9999,-5.73,-4.4,-9999,-9999,-5.39,-9999,-9999,-5.6,-5
,07.01.1990,-4.99,-9999,-5.19,-3.95,-9999,-9999,-4.85,-9999,-9999,-4.4,-4.44
,08.01.1990,-4.48,-9999,-4.66,-3.51,-9999,-9999,-4.32,-9999,-9999,-5,-3.89
,09.01.1990,0.7,-9999,0.69,0.96,-9999,-9999,1.03,-9999,-9999,-2.8,1.67
,10.01.1990,-2.41,-9999,-2.52,-1.72,-9999,-9999,-2.18,-9999,-9999,-0.6,-1.67
,11.01.1990,-2.41,-9999,-2.52,-1.72,-9999,-9999,-2.18,-9999,-9999,-2.2,-1.67
,12.01.1990,-6.03,-9999,-6.27,-4.85,-9999,-9999,-5.93,-9999,-9999,-3.9,-5.56
,13.01.1990,-7.07,-9999,-7.34,-5.74,-9999,-9999,-7,-9999,-9999,-10,-6.67
,14.01.1990,-6.54,-9999,-6.8,-5.29,-9999,-9999,-6.46,-9999,-9999,-7.2,-6.11
,15.01.1990,0.18,-9999,0.15,0.51,-9999,-9999,0.49,-9999,-9999,-2.8,1.11
,16.01.1990,-0.86,-9999,-0.92,-0.38,-9999,-9999,-0.58,-9999,-9999,-1.7,-9999
,17.01.1990,6.9,-9999,7.11,6.31,-9999,-9999,7.45,-9999,-9999,5.6,8.33
,18.01.1990,-1.38,-9999,-1.46,-0.83,-9999,-9999,-1.11,-9999,-9999,0.6,-0.56
,19.01.1990,-6.54,-9999,-6.8,-5.29,-9999,-9999,-6.46,-9999,-9999,-7.8,-6.11
,20.01.1990,-1.89,-9999,-1.98,-1.27,-9999,-9999,-1.64,-9999,-9999,-6.7,-1.11
,21.01.1990,-1.38,-9999,-1.46,-0.83,-9999,-9999,-1.11,-9999,-9999,-1.7,-0.56
,22.01.1990,-1.38,-9999,-1.46,-0.83,-9999,-9999,-1.11,-9999,-9999,-1.7,-0.56
,23.01.1990,-4.48,-9999,-4.66,-3.51,-9999,-9999,-4.32,-9999,-9999,-5,-3.89
,24.01.1990,1.73,-9999,1.76,1.85,-9999,-9999,2.1,-9999,-9999,-3.3,2.78
,25.01.1990,-1.89,-9999,-1.98,-1.27,-9999,-9999,-1.64,-9999,-9999,-1.7,-1.11
,26.01.1990,-6.54,-9999,-6.8,-5.29,-9999,-9999,-6.46,-9999,-9999,-5,-6.11
,27.01.1990,-4.48,-9999,-4.66,-3.51,-9999,-9999,-4.32,-9999,-9999,-5.6,-3.89
,28.01.1990,-7.07,-9999,-7.34,-5.74,-9999,-9999,-7,-9999,-9999,-7.2,-6.67
,29.01.1990,-3.44,-9999,-3.59,-2.61,-9999,-9999,-3.25,-9999,-9999,-7.2,-2.78
