@T,soils,,,,,,,,,,,,,,
descr,soils_hor.csv,,,,,,,,,,,,,,
depth_acc, false,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
@H,SID,depth,aircapacity,fieldcapacity,deadcapacity,kf,bulk_density,corg,root,kvalue,A_skel,p_content,initMPS__,initLPS__,initSWC__
min,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
max,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1,100,500,1,1,1
unit,n/a,cm,mm,mm,mm,cm/d,g/cm,%,n/a,n/a,%,mg/100g_soil,Vol.%,Vol.%,Vol.%
,1001,5,10,8,3,2.4,1.2,5,1,0.3,6,10,1,0.23,0.266
,1002,10,20,16,6,1.2,1.2,5,1,0.3,6,10,1,0.23,0.266
,1003,10,20,16,6,1.2,1.2,5,1,0.3,6,10,1,0.23,0.266
,1004,10,20,16,6,1.2,1.2,0.5,1,0.3,6,10,1,0.23,0.266
,1005,10,20,16,6,1.2,1.2,0.5,1,0.3,6,10,1,0.2885,0.2777
,1006,10,20,16,6,1.2,1.2,0.5,1,0.3,6,10,1,0.219,0.2638
,1007,10,20,16,6,1.2,1.2,0.5,1,0.3,6,10,1,0.024,0.2248
,1008,10,20,16,6,1.2,1.2,0.5,1,0.3,6,10,0.95125,0,0.2122
,1009,10,20,16,6,1.2,1.2,0.5,1,0.3,6,10,0.985625,0,0.2177
,1010,10,20,16,6,1.2,1.2,0.5,1,0.3,6,10,0.746875,0,0.1795
,1011,10,20,16,6,1.2,1.2,0.5,1,0.3,6,10,0.688125,0,0.1701
,1012,10,20,16,6,1.2,1.2,0.1,1,0.3,6,10,0.629375,0,0.1607
,1013,10,20,16,6,1.2,1.2,0.1,1,0.3,6,10,0.570625,0,0.1513
,1014,10,20,16,6,1.2,1.2,0.1,1,0.3,6,10,0.598125,0,0.1557
,1015,10,20,16,6,1.2,1.2,0.1,1,0.3,6,10,0.62625,0,0.1602
,1016,10,20,16,6,1.2,1.2,0.1,1,0.3,6,10,0.65375,0,0.1646
,1017,10,20,16,6,1.2,1.2,0.1,1,0.3,6,10,0.68125,0,0.169
,1018,10,20,16,6,1.2,1.2,0.1,1,0.3,6,10,0.70875,0,0.1734
,1019,10,20,16,6,1.2,1.2,0.1,1,0.3,6,10,0.70875,0,0.1734
,1020,10,20,16,6,1.2,1.2,0.1,1,0.3,6,10,0.70875,0,0.1734
