@T,Climate,
name,wind,
desc,speed,direction,
,,,
missing_val,-9999,360,
date_start,01.08.2002,
date_end,01.10.2003,
date_format,dd.MM.yyyy,
,,,
tres,d,
unit,m/s,deg,
,,,
@H,date,wind[0],dir[0],
name,,Drake
ID,,1
elevation,,1572
x,,512701
y,,4495474
,01.08.2002,1.860295594
,02.08.2002,0.384061026
,03.08.2002,1.512240289
,04.08.2002,1.152183077
,05.08.2002,0.480076282
,06.08.2002,0.61209726
,07.08.2002,0.684108702
,08.08.2002,0.120019071
,09.08.2002,0.648102981
,10.08.2002,0.52808391
,11.08.2002,0.252040048
,12.08.2002,3.252516812
,13.08.2002,0.636101074
,14.08.2002,1.0201621
,15.08.2002,1.536244103
,16.08.2002,1.416225033
,17.08.2002,1.104175449
,18.08.2002,2.208350898
,19.08.2002,1.860295594
,20.08.2002,1.0201621
,21.08.2002,1.212192613
,22.08.2002,0.456072468
,23.08.2002,0.81612968
,24.08.2002,1.260200241
,25.08.2002,0.756120145
,26.08.2002,2.748436716
,27.08.2002,3.072488206
,28.08.2002,2.328369969
,29.08.2002,0.324051491
,30.08.2002,1.032164007
,31.08.2002,0.396062933
,01.09.2002,1.068169728
,02.09.2002,1.800286058
,03.09.2002,0.240038141
,04.09.2002,0.372059119
,05.09.2002,0.600095353
,06.09.2002,1.692268895
,07.09.2002,0.948150657
,08.09.2002,0.696110609
,09.09.2002,1.572249824
,10.09.2002,1.920305129
,11.09.2002,0.444070561
,12.09.2002,0.720114423
,13.09.2002,0.060009535
,14.09.2002,0.744118237
,15.09.2002,0.456072468
,16.09.2002,0.504080096
,17.09.2002,1.380219311
,18.09.2002,4.836768544
,19.09.2002,1.488236475
,20.09.2002,0.960152564
,21.09.2002,1.308207869
,22.09.2002,0.120019071
,23.09.2002,1.476234568
,24.09.2002,0.240038141
,25.09.2002,4.128656027
,26.09.2002,0.288045769
,27.09.2002,0.780123959
,28.09.2002,0.456072468
,29.09.2002,0.40806484
,30.09.2002,0.684108702
,01.10.2002,5.208827662
,02.10.2002,1.080171635
,03.10.2002,2.196348991
,04.10.2002,0.540085818
,05.10.2002,1.308207869
,06.10.2002,0.432068654
,07.10.2002,0.228036234
,08.10.2002,3.216511091
