@T,Parameter,,,,,,,,,,,,,
descr,hrus.csv,,,,,,,,,,,,,
,,,,,,,,,,,,,,
@H,ID,x,y,elevation,area,type,slope,aspect,flowlength,soilID,landuseID,hgeoID,slopelength,sedpool
min,0,0,0,0,0,0,0,0,0,0,0,0,0,0
max,9999,999999,9999999,10000,9999999999,3,90,360,999999,9999,9999,9999,9999,9999
unit,n/a,m,m,m,m2,n/a,deg,deg,m,n/a,n/a,n/a,m,t
,1,4413537,5647318,293,783750,3,0.9,194.5122,0,84,7,17,181.456,0
,2,4412387,5647925,298,314375,3,0.6,202.233,0,84,7,18,101.326,0
,3,4414012,5647833,305,205625,2,1.1,205.4226,0,84,7,17,144.06,0
,4,4413600,5647933,302,50625,2,1,203.5426,0,84,7,17,148.742,0
,5,4413950,5648141,303,46250,2,1.1,205.7026,0,84,7,17,123.742,0
,6,4411987,5647868,298,31875,2,1.1,151.5747,0,84,7,18,83.9822,0
,7,4416450,5647177,295,911875,3,0.7,160.5098,0,84,7,17,231.851,0
,8,4412825,5647930,296,411250,3,0.8,17.4677,0,84,7,18,110.593,0
,9,4414737,5647854,309,75625,2,0.7,200.224,0,84,7,17,69.4719,0
,10,4411912,5647738,297,46250,2,1.2,148.0084,0,84,7,18,75.2413,0
,11,4414425,5647840,308,29375,2,1.5,196.2756,0,84,7,17,70.642,0
,12,4411600,5647602,297,73125,3,0.7,116.0867,0,84,7,18,85.1228,0
,13,4415000,5647816,303,110000,2,1.8,197.0066,0,85,7,7,113.42,0
,14,4415087,5647699,309,67500,2,1,190.3029,0,84,7,7,130.659,0
,15,4415425,5647633,307,95000,2,1.3,163.3786,0,84,7,17,63.4452,0
,16,4411737,5647665,296,37500,2,1.4,166.5681,0,84,7,18,29,0
,17,4415500,5646753,291,728125,3,0.9,193.7946,0,84,7,17,185.104,0
,18,4414425,5647443,298,245625,2,1.7,201.9644,0,85,7,7,82.8494,0
,19,4414725,5647676,307,47500,2,1.4,204.3619,0,84,7,7,18.3925,0
,20,4412225,5647694,294,28125,2,0.1,-1,0,84,7,18,22.2222,0
,21,4414350,5647716,300,93750,2,1.7,195.4689,0,84,7,7,41.867,0
,22,4413775,5647402,292,65000,2,1.4,199.8782,0,53,7,17,34.2677,0
,23,4411300,5647308,299,105000,2,0.5,23.3004,0,84,3,7,65.4922,0
,24,4412162,5647618,294,27500,2,0.1,-1,0,84,7,18,25,0
,25,4415450,5647400,300,135000,2,1.6,169.2577,0,84,7,7,87.0192,0
,26,4411825,5647550,294,66875,3,0.1,-1,0,84,7,18,19.6262,0
,27,4412237,5647350,295,213125,3,0.5,-1,0,84,7,18,24.1903,0
,28,4413262,5647385,294,46250,2,0.9,28.7192,0,84,7,18,63.8905,0
,29,4415087,5647305,297,90000,2,1.9,185.5835,0,85,7,7,71.0859,0
,30,4415300,5647193,296,78750,2,1.6,186.5867,0,85,7,7,56.5937,0
,31,4419012,5646607,302,1245625,2,0.6,327.7869,0,84,7,17,175.977,0
