@T,Climate,,,
name,sunh,,,

missing_val,-9999,
date_start,01.01.1979
date_end,31.12.2000
date_format,dd.MM.yyyy

tres,d,,,
unit,h,,,
,,,,
@H,date,sunh[0],sunh[1],sunh[2]
name,,Artern,Erfurt,Schmuecke
ID,,198,1270,4501
elevation,,164,316,937
x,,4451274,4427446,4412785
y,,5694380,5650160,5613300
,01.01.1979,3.6,1.5,0.4
,02.01.1979,5.9,3.3,1
,03.01.1979,0.3,0,0
,04.01.1979,2.7,1.5,0.3
,05.01.1979,4.9,5.1,4.1
,06.01.1979,6.1,3,7.3
,07.01.1979,1.1,0.4,5.6
,08.01.1979,0,0,1.8
,09.01.1979,0,0,0
,10.01.1979,5.7,4.8,0
,11.01.1979,0,0.6,0
,12.01.1979,0.3,0,0
,13.01.1979,0.1,2.1,0
,14.01.1979,3.9,2.6,0.1
,15.01.1979,0,0.2,0
,16.01.1979,0,0,0
,17.01.1979,0,0,0
,18.01.1979,0,3.8,6.4
,19.01.1979,0,1.8,6.8
,20.01.1979,0,0,6.6
,21.01.1979,0,0,0
,22.01.1979,0,0,0
,23.01.1979,0,0,0
,24.01.1979,3.8,3.6,0
,25.01.1979,7.2,7.5,0
,26.01.1979,0,0,0
,27.01.1979,1.8,0,0
,28.01.1979,0,0,0
,29.01.1979,0.7,4.1,0
,30.01.1979,1.2,1.6,0
,31.01.1979,1.6,1,0.2
,01.02.1979,0.2,2.3,0
,02.02.1979,0,0,0
,03.02.1979,4.8,5,1.9
,04.02.1979,0.2,0.4,1
,05.02.1979,2,1.3,0
,06.02.1979,4.2,6.8,6.3
,07.02.1979,0,2.4,1.5
,08.02.1979,6.2,3.8,2.7
,09.02.1979,2.3,0.2,2.2
,10.02.1979,1.4,0,5.9
,11.02.1979,0,0,0
,12.02.1979,0,0,0
,13.02.1979,0,0,0
,14.02.1979,0,0,0
,15.02.1979,0,0,4.1
,16.02.1979,0,0,0
,17.02.1979,0,0,0
,18.02.1979,0,0,0
,19.02.1979,0,0,0
,20.02.1979,0,0,1.4
,21.02.1979,3.3,4.4,5.8
,22.02.1979,0,4.7,7.1
,23.02.1979,0,0,0
,24.02.1979,0,0.9,0
,25.02.1979,6.6,6.6,4.6
,26.02.1979,1.4,6,7.1
,27.02.1979,3.6,6.6,7.5
,28.02.1979,8.8,9.8,9.2
,01.03.1979,7,8.4,2.7
,02.03.1979,2.7,4.6,0.3
,03.03.1979,0,0.7,0
,04.03.1979,0,0,0
,05.03.1979,0,0.7,4.1
,06.03.1979,5.7,8,5.4
,07.03.1979,2.7,3,2.1
,08.03.1979,7.3,5.7,1.2
,09.03.1979,0,1.7,0.9
,10.03.1979,3.9,7.2,0
,11.03.1979,0,0,0
,12.03.1979,2.8,2.5,1.5
,13.03.1979,1.6,0.4,0
,14.03.1979,0,0,0
,15.03.1979,0,0,0.6
,16.03.1979,0,0,0
,17.03.1979,6.8,7.4,4.7
,18.03.1979,0,0.9,3.1
,19.03.1979,1.9,2.7,0
,20.03.1979,0,0,3.8
,21.03.1979,6,6.2,2
,22.03.1979,8.7,9.7,8.3
,23.03.1979,7.4,6.3,3.8
,24.03.1979,8.8,8.4,9
,25.03.1979,1.7,0.9,0.7
,26.03.1979,3.1,1.4,0
,27.03.1979,4.2,5,0
,28.03.1979,0.2,1.1,2.2
,29.03.1979,0,0,0
,30.03.1979,0,0,0
,31.03.1979,0,0,0
,01.04.1979,0,0.2,0
,02.04.1979,2.2,3,0
,03.04.1979,1.2,2.8,0
,04.04.1979,0.7,0,0
,05.04.1979,3.4,3.5,2
,06.04.1979,0,0.3,0
,07.04.1979,0,0,0
,08.04.1979,0,0,0
,09.04.1979,0,0.5,0.2
,10.04.1979,11.7,11.7,10.7
,11.04.1979,11.5,11.5,12.2
,12.04.1979,2.1,2,0.2
,13.04.1979,8.1,11.4,7.6
,14.04.1979,8.1,8.8,8.2
,15.04.1979,10.6,10.6,11.6
,16.04.1979,0,1.9,2.8
,17.04.1979,0,0,0
,18.04.1979,7,4.9,3.7
,19.04.1979,4.1,6,3.6
,20.04.1979,0.3,2.3,2
,21.04.1979,2,3,2.2
,22.04.1979,1,0.2,0
,23.04.1979,0.7,2,0
,24.04.1979,1.7,1.4,0
,25.04.1979,7.5,7.1,4.9
,26.04.1979,2,4.4,2
,27.04.1979,4,0,0.2
,28.04.1979,3.8,1.3,1.7
,29.04.1979,2.2,2.2,3.9
,30.04.1979,2.3,2.4,0
,01.05.1979,4.1,5.2,0
,02.05.1979,7.9,9.4,2
,03.05.1979,6.1,8.4,0.9
,04.05.1979,1.8,3.2,0.5
,05.05.1979,3.1,1.7,1.2
,06.05.1979,4.4,5.9,1.8
,07.05.1979,12.9,11.2,10.8
,08.05.1979,14,13.7,13.5
,09.05.1979,13.5,13.4,13
,10.05.1979,2.7,6.3,4.1
,11.05.1979,0.8,0.2,0
,12.05.1979,0.6,0.8,0.7
,13.05.1979,4.4,6.5,7.4
,14.05.1979,11.6,13.8,13.1
,15.05.1979,13.4,13.3,13.7
,16.05.1979,13.6,13.5,13.9
,17.05.1979,5.6,5.3,4.3
,18.05.1979,2.6,2.8,2.1
,19.05.1979,3.5,3.2,2.1
,20.05.1979,0.5,0.8,2.5
,21.05.1979,7.4,4.6,2.6
,22.05.1979,7.9,7.9,8.7
,23.05.1979,8.2,8.3,7.9
,24.05.1979,8,6.6,6.9
,25.05.1979,10.4,11,3.9
,26.05.1979,8.1,8.2,9.7
,27.05.1979,3.1,5.1,2.5
,28.05.1979,12.7,13.1,7.9
,29.05.1979,12.7,12.4,13
,30.05.1979,11.9,11.1,12.2
,31.05.1979,15,13.7,11.5
,01.06.1979,11.4,10.8,8.3
,02.06.1979,8.2,8.2,7.3
,03.06.1979,10.7,11,13.1
,04.06.1979,13.7,11.7,7.3
,05.06.1979,7.1,5.8,7.6
,06.06.1979,2.1,2.3,0.7
,07.06.1979,2.1,3.7,1.4
,08.06.1979,6.8,7.6,2.9
,09.06.1979,6.5,8.5,7.8
,10.06.1979,8.2,10.3,10
,11.06.1979,5.6,6.9,4.4
,12.06.1979,9.6,9.1,8.1
,13.06.1979,7,9.7,4.5
,14.06.1979,5.2,7.7,5.3
,15.06.1979,0.8,0.1,0
,16.06.1979,0.3,0.8,3.3
,17.06.1979,7.4,6.5,7.7
,18.06.1979,3.6,3.1,1.7
,19.06.1979,3.6,1,0.9
,20.06.1979,13,9.5,9.6
,21.06.1979,12.8,11.3,7.7
,22.06.1979,4.3,0.6,2.5
,23.06.1979,0,0,0.3
,24.06.1979,6.3,7.5,9.9
,25.06.1979,7.6,8.4,9
,26.06.1979,7.1,5.2,7
,27.06.1979,7.9,10.1,7
,28.06.1979,5.2,6.1,4
,29.06.1979,3.9,7,4.6
,30.06.1979,9.7,4.5,2.6
,01.07.1979,4.9,4,2.5
,02.07.1979,7.7,8.6,5
,03.07.1979,3.9,4.9,8.3
,04.07.1979,5.2,3.2,7.5
,05.07.1979,11.5,12.9,10.9
,06.07.1979,5.3,6.8,7.6
,07.07.1979,0.1,0.6,1.3
,08.07.1979,4.9,6.3,5.6
,09.07.1979,0,0,0
,10.07.1979,2,1,1.1
,11.07.1979,6.7,6.8,3.7
,12.07.1979,6.1,6.6,2.3
,13.07.1979,11.6,7.6,0
,14.07.1979,6,10.9,6.6
,15.07.1979,1.7,1,5.8
,16.07.1979,0,0,0
,17.07.1979,3.7,4.8,2.7
,18.07.1979,0.9,1.9,0.6
,19.07.1979,1.9,5.3,0
,20.07.1979,0.6,0.3,0.6
,21.07.1979,4.1,4.3,0.6
,22.07.1979,6.7,5.5,3.8
,23.07.1979,2.4,2.4,2
,24.07.1979,3.4,4.6,1.4
,25.07.1979,0,1,3
,26.07.1979,2.9,6.3,4.1
,27.07.1979,3.5,2.5,6.5
,28.07.1979,8,7.7,6.1
,29.07.1979,5.1,7.4,8.1
,30.07.1979,10.8,8.8,2.6
,31.07.1979,8.8,8.5,5.2
,01.08.1979,4.5,8,4.8
,02.08.1979,2.3,1.4,0.3
