@T,Climate,,,
name,wind,,,
desc,wind speed,,,

missing_val,-9999,
date_start,01.01.1979
date_end,31.12.2000
date_format,dd.MM.yyyy

tres,d,,,
unit,m/s,,,
,,,,
@H,date,wind[0],wind[1],wind[2]
name,,Artern,Erfurt,Schmuecke
ID,,198,1270,4501
elevation,,164,316,937
x,,4451274,4427446,4412785
y,,5694380,5650160,5613300
,01.01.1979,2.47,2.91,4.37
,02.01.1979,3.53,2.47,2.76
,03.01.1979,3.53,3.86,3.53
,04.01.1979,0.89,1.43,2.91
,05.01.1979,0.7,0.7,2.19
,06.01.1979,0.1,0.45,1.8
,07.01.1979,2.62,1.67,5.64
,08.01.1979,3.86,1.93,5.83
,09.01.1979,2.06,1.43,3.7
,10.01.1979,3.86,4.54,4.54
,11.01.1979,4.9,4.54,6.02
,12.01.1979,3.22,3.86,5.45
,13.01.1979,4.72,3.53,4.9
,14.01.1979,4.54,3.53,4.03
,15.01.1979,3.22,2.91,3.37
,16.01.1979,3.22,2.62,2.19
,17.01.1979,0.79,1.09,2.33
,18.01.1979,4.2,3.22,4.03
,19.01.1979,5.83,2.33,3.7
,20.01.1979,5.26,2.33,4.37
,21.01.1979,3.06,1.93,3.53
,22.01.1979,1.31,0.7,2.76
,23.01.1979,1.55,1.67,2.91
,24.01.1979,4.37,3.22,6.61
,25.01.1979,2.33,2.06,4.54
,26.01.1979,1.55,3.06,4.9
,27.01.1979,2.33,1.93,3.53
,28.01.1979,4.03,2.47,4.37
,29.01.1979,1.09,1.43,2.91
,30.01.1979,0.38,1.43,3.22
,31.01.1979,3.86,3.53,3.86
,01.02.1979,3.7,3.7,4.54
,02.02.1979,2.76,4.2,6.41
,03.02.1979,3.06,2.47,3.86
,04.02.1979,2.76,2.06,3.86
,05.02.1979,1.93,1.31,3.22
,06.02.1979,0.7,1.31,2.33
,07.02.1979,1.55,2.19,4.72
,08.02.1979,5.08,4.37,4.54
,09.02.1979,0.89,0.89,1.31
,10.02.1979,1.43,1.8,5.08
,11.02.1979,5.26,4.03,6.81
,12.02.1979,3.7,1.93,4.2
,13.02.1979,2.19,1.43,1.67
,14.02.1979,4.37,3.22,5.45
,15.02.1979,5.45,3.7,2.19
,16.02.1979,6.61,3.37,5.83
,17.02.1979,6.02,2.91,5.45
,18.02.1979,0.38,0.15,0.89
,19.02.1979,2.06,0.53,2.91
,20.02.1979,1.09,0.89,2.91
,21.02.1979,0.7,0.7,1.2
,22.02.1979,0.79,0.79,1.09
,23.02.1979,1.43,1.09,1.43
,24.02.1979,1.93,2.19,1.67
,25.02.1979,1.43,2.19,1.8
,26.02.1979,0.7,1.43,0.79
,27.02.1979,2.19,2.06,3.53
,28.02.1979,1.43,2.91,3.86
,01.03.1979,2.91,3.22,5.45
,02.03.1979,4.72,3.7,8.27
,03.03.1979,4.54,3.86,11.45
,04.03.1979,4.03,3.06,8.48
,05.03.1979,0.7,0.7,1.67
,06.03.1979,1.67,1.43,1.93
,07.03.1979,2.76,3.86,5.83
,08.03.1979,2.91,2.62,4.72
,09.03.1979,5.08,5.83,10.04
,10.03.1979,5.26,4.54,6.61
,11.03.1979,1.67,3.86,5.45
,12.03.1979,4.03,3.7,8.05
,13.03.1979,3.7,3.06,4.2
,14.03.1979,3.53,3.06,2.62
,15.03.1979,5.26,4.37,2.47
,16.03.1979,2.47,2.91,3.86
,17.03.1979,3.22,3.37,4.2
,18.03.1979,3.86,2.91,2.76
,19.03.1979,2.76,2.33,4.03
,20.03.1979,2.33,1.09,2.19
,21.03.1979,2.47,3.53,4.72
,22.03.1979,4.03,4.37,5.45
,23.03.1979,4.03,3.86,4.9
,24.03.1979,1.09,1.09,0.89
,25.03.1979,3.22,5.26,8.48
,26.03.1979,3.22,3.86,10.04
,27.03.1979,5.08,5.08,9.81
,28.03.1979,3.53,4.2,7.84
,29.03.1979,2.91,3.7,2.47
,30.03.1979,4.37,4.2,3.53
,31.03.1979,3.37,2.91,3.53
,01.04.1979,3.06,2.91,2.76
,02.04.1979,2.91,4.03,4.03
,03.04.1979,3.53,4.2,7.21
,04.04.1979,1.43,1.2,1.67
,05.04.1979,1.67,1.93,2.47
,06.04.1979,2.06,2.06,1.8
,07.04.1979,3.7,3.86,3.37
,08.04.1979,2.19,2.19,2.76
,09.04.1979,3.22,2.33,2.06
,10.04.1979,3.53,2.91,2.76
,11.04.1979,4.72,4.2,4.37
,12.04.1979,1.2,1.31,2.62
,13.04.1979,0.79,1.55,1.31
