@T,rot_hru,,
name,hrus_rot,,
descr,hru rotation input parameters,,
,,,
@H,ID,RID,REDU
,1,20,1
,2,21,1
,3,22,1
,4,23,1
,5,24,1
,6,25,1
,7,4,1
,8,26,1
,9,20,1
,10,21,1
,11,22,1
,12,23,1
,13,24,1
,14,25,1
,15,5,1
,16,26,1
,17,20,1
,18,21,1
,19,22,1
,20,23,1
,21,24,1
,22,25,1
,23,26,1
,24,20,1
,25,21,1
,26,22,1
,27,23,1
,28,24,1
,29,5,1
,30,25,1
,31,5,1
,32,26,1
,33,20,1
,34,21,1
,35,5,1
,36,5,1
,37,22,1
,38,23,1
,39,5,1
,40,5,1
,41,24,1
,42,5,1
,43,4,1
,44,25,1
,45,26,1
,46,20,1
,47,5,1
,48,5,1
,49,21,1
,50,22,1
,51,4,1
,52,23,1
,53,24,1
,54,4,1
,55,25,1
,56,5,1
,57,5,1
,58,26,1
,59,20,1
,60,5,1
,61,21,1
,62,22,1
,63,23,1
,64,24,1
,65,4,1
,66,25,1
,67,26,1
,68,20,1
,69,21,1
,70,22,1
,71,23,1
,72,24,1
,73,25,1
,74,5,1
,75,4,1
,76,4,1
,77,4,1
,78,26,1
,79,20,1
,80,21,1
,81,4,1
,82,22,1
,83,23,1
,84,24,1
,85,25,1
,86,26,1
,87,20,1
,88,21,1
,89,22,1
,90,23,1
,91,24,1
,92,25,1
,93,26,1
,94,5,1
,95,20,1
,96,4,1
,97,21,1
,98,22,1
,99,23,1
,100,24,1
,101,25,1
,102,26,1
,103,20,1
,104,4,1
,105,21,1
,106,22,1
,107,23,1
,108,24,1
,109,25,1
,110,26,1
,111,20,1
,112,21,1
,113,4,1
,114,22,1
,115,23,1
,116,24,1
,117,3,1
,118,4,1
,119,4,1
,120,25,1
,121,26,1
,122,5,1
,123,20,1
,124,21,1
,125,22,1
,126,3,1
,127,4,1
,128,23,1
,129,3,1
,130,24,1
,131,25,1
,132,5,1
,133,26,1
,134,3,1
,135,20,1
,136,21,1
,137,22,1
,138,23,1
,139,24,1
,140,25,1
,141,5,1
,142,26,1
,143,20,1
,144,21,1
,145,22,1
,146,23,1
,147,24,1
,148,25,1
,149,4,1
,150,26,1
,151,6,1
,152,20,1
,153,5,1
,154,21,1
,155,3,1
,156,22,1
,157,23,1
,158,24,1
,159,25,1
,160,26,1
,161,20,1
,162,21,1
,163,22,1
,164,3,1
,165,23,1
,166,24,1
,167,25,1
,168,26,1
,169,20,1
,170,21,1
,171,4,1
,172,22,1
,173,23,1
,174,24,1
,175,25,1
,176,26,1
,177,3,1
,178,20,1
,179,21,1
,180,22,1
,181,23,1
,182,24,1
,183,25,1
,184,5,1
,185,26,1
,186,20,1
,187,4,1
,188,21,1
,189,22,1
,190,23,1
,191,24,1
,192,6,1
,193,25,1
,194,26,1
,195,20,1
,196,6,1
,197,21,1
,198,4,1
,199,22,1
,200,23,1
,201,24,1
,202,25,1
,203,26,1
,204,20,1
,205,21,1
,206,22,1
,207,23,1
,208,24,1
,209,25,1
,210,26,1
,211,20,1
,212,21,1
,213,4,1
,214,22,1
,215,23,1
,216,3,1
,217,6,1
,218,6,1
,219,24,1
,220,25,1
,221,26,1
,222,6,1
,223,20,1
,224,3,1
,225,21,1
,226,22,1
,227,23,1
,228,24,1
,229,4,1
,230,25,1
,231,26,1
,232,20,1
,233,4,1
,234,21,1
,235,22,1
,236,23,1
,237,24,1
,238,3,1
,239,25,1
,240,26,1
,241,20,1
,242,3,1
,243,6,1
,244,4,1
,245,21,1
,246,22,1
,247,4,1
,248,3,1
,249,6,1
,250,23,1
,251,3,1
,252,24,1
,253,25,1
,254,26,1
,255,20,1
,256,21,1
,257,3,1
,258,6,1
,259,22,1
,260,23,1
,261,24,1
,262,6,1
