@T,climate
name,rainfall
desc,measured rainfall

missing_val,-9999
date_start,01.01.1980
date_end,13.08.2013
date_format,dd.MM.yyyy

tres,d
unit,mm

@H,date,Alperstedt,Artern,Arnstadt,Boesleben,Crawinkel,Dachwig,Dienstedt,Dosdorf,Eichelborn-ILMS,Elgersburg,Erfurt (Flugwewa),Erfurt-Egstedt,Erfurt-Frienstedt,Erfurt-Weimar,Finsterbergen,Floh,Frankenhain,Gehlberg,Geraberg-ILMS,Gossel-ILMS,Graefenroda,Graefinau-Angstedt,Herrenhof,Ilmenau,Kirchheim-ILMS,Kleiner Inselsberg,Luisenthal,Luisenthal Talsperre,Martinroda,Moenchenholzhausen,Molschleben,Muehlberg,Oberhof,Oberhof (Forsth. Sattelbach,Oberhof-ILMS,Oberschoenau,Ohrdruf-ILMS,Riechheim-ILMS,Schmuecke (WST),Sondershausen,Stadtilm,Stuetzerbach,Tambach-Dietharz,Tambach-Dietharz (Forsthaus,Tambach-Dietharz (Talsperre,Tuettleben,Waltershausen,Wandersleben-ILMS,Wipfra-ILMS
ID,,1,2,1261,1431,1440,4,1281,1445,17,1455,1680,1288,1289,1513,1293,1492,1295,1470,10,11,1479,1481,1502,1513,12,1445,1338,1339,1341,1559,1347,1560,1354,1355,16,1574,15,14,1613,25,1630,1641,1386,1387,1388,1393,1661,14,13
elevation,,159,164,267,360,469,173,325,325,297,518,316,339,297,254,715,381,588,573,481,495,460,410,360,498,265,732,428,528,430,262,300,286,810,820,753,525,334,385,937,199,370,600,470,544,475,283,342,268,390
x,,4433464,4451274,4427238,4434256,4414207,4420217,4441258,4423636,4442550,4419941,4427446,4433202,4422710,4427197.8,4397864,4394154,4412939,4414025,4419536,4419170,4415292,4430540,4408462,4422269,4430864,4393063.63,4410714,4409474,4421175,4440297,4414605,4416709,4410523,4410491,4410380,4402319,4410133,4437737,4412785,4423403,4435359,4419830,4402490,4400176,4402455,4414513,4400352,4419539,4427535
y,,5663059,5694380,5635329,5633382,5628111,5661163,5629590,5629818,5645920,5618749,5650160,5642666,5646520,5650315.5,5633969,5624770,5622569,5616988,5620440,5629635,5622527,5618597,5635626,5616856,5638197,5635608.06,5630024,5626336,5622438,5648145,5652210,5637345,5618901,5617047,5619041,5620906,5636558,5638512,5613300,5692868,5627802,5611330,5630171,5632069,5628317,5646649,5641338,5640401,5625098
,01.01.1980,1,0.1,0,0.6,0.6,2.7,0,0.3,-9999,0.8,0.4,0,0.1,-9999,2.8,3.4,1.2,4.9,-9999,-9999,0.3,0.3,0,3.7,-9999,4.6,0.8,1.4,0.8,2.8,0,0.1,4.81,3.5,-9999,4.6,-9999,-9999,8.6,0.4,0.8,1.7,2,2.4,2,0.5,0.3,-9999,-9999
,02.01.1980,0,0.1,0.1,0.3,0.9,0,1.9,0.2,-9999,0.2,0.1,0.5,0.3,-9999,0.9,0.3,2.3,2.8,-9999,-9999,0.4,0.8,0,2.1,-9999,2.5,1.1,1.8,0.2,0,0.2,0.1,2.75,0.4,-9999,1.4,-9999,-9999,1.9,0.2,0.1,0.9,0.6,0.6,0.5,0.5,0.3,-9999,-9999
,03.01.1980,0,0,0,0.8,0.4,0,0,0.3,-9999,0.4,0,0,0,-9999,0.2,0.5,0.1,0,-9999,-9999,0,0.1,0,0,-9999,0.5,0.2,0.4,0.4,0.2,0,0,0,3,-9999,0.8,-9999,-9999,0.5,0,3.2,0.2,0,0.3,0,0,0,-9999,-9999
,04.01.1980,3.1,1.9,3.4,5,2.7,3.3,3.3,3.5,-9999,0.6,2,2.5,2.5,-9999,2,6.8,1,3.9,-9999,-9999,2.7,3,0.2,2,-9999,5.4,1.9,1.8,0.6,0.3,3.8,3.5,3.83,0.5,-9999,5.4,-9999,-9999,4.1,1.2,3,2.9,3.8,4.1,2.6,4,3.3,-9999,-9999
,05.01.1980,0,0.1,2.1,1,0,0.9,0,1.5,-9999,1.8,2,2,1.5,-9999,0.3,1.1,0.8,0,-9999,-9999,0,0.7,0.3,0,-9999,0.1,1.2,0.1,1.81,0.8,0.4,0.4,0,6.6,-9999,2.5,-9999,-9999,1.4,0.5,2,0.3,0.7,0.6,1.2,0.5,0,-9999,-9999
,06.01.1980,1.6,0.8,0.7,0.5,0.6,1.4,0,0.5,-9999,0,0.6,0.5,0.3,-9999,2.6,3.4,4.2,2.9,-9999,-9999,0,0.5,1.4,0,-9999,3.3,0.1,0.5,0,0.5,0.2,0.5,2.85,2.9,-9999,5.6,-9999,-9999,4.5,0.6,3.1,1.5,1.2,1.8,1,1,0,-9999,-9999
