@T,reaches,,,,,
name,reach.csv,,,,,
descr,reach input parameters,,,,,
,,,,,,
@H,ID,length,slope,rough,width,deepsink
min,0,0,0,0,0,0
max,99999999,99999999,9999,99999999,1,1
unit,n/a,m,%,m,n/a,n/a
,-445,1857,3.547,30,0.8,0
,-444,657,4.134,30,0.7,0
,-443,1713,6.415,30,0.9,0
,-442,307,8.572,30,0.7,0
,-441,2184,3.35,30,1.3,0
,-440,897,6.455,30,0.7,0
,-439,1796,7.01,30,0.8,0
,-438,1892,3.181,30,1.7,0
,-437,1590,4.17,30,1.4,0
,-436,607,5.036,30,0.7,0
,-435,75,11.575,30,0.6,0
,-434,4078,5.381,30,1.1,0
,-433,3338,2.25,30,2.1,0
,-432,412,4.393,30,1.5,0
,-431,1946,2.211,30,1,0
,-430,628,4.618,30,0.7,0
,-429,1346,1.953,30,0.9,0
,-428,597,1.398,30,0.7,0
,-427,3742,5.083,30,1.1,0
,-426,4029,1.865,30,1.9,0
,-425,451,2.663,30,0.7,0
,-424,965,1.156,30,1.4,0
,-423,1030,0.984,30,1.3,0
,-422,2173,1.589,30,1,0
,-421,774,1.909,30,1.6,0
,-420,2872,4.253,30,0.8,0
,-419,2389,5.416,30,0.8,0
,-418,2634,1.674,30,2.5,0
,-417,834,5.755,30,0.7,0
,-416,2121,1.709,30,2.7,0
,-415,457,2.021,30,2.9,0
,-414,3640,5.804,30,1,0
,-413,2304,5.365,30,1.1,0
,-412,356,4.566,30,0.7,0
,-411,376,1.393,30,0.7,0
,-410,2208,1.422,30,1.1,0
,-409,1906,1.167,30,2,0
,-408,895,0.085,30,1.2,0
,-407,2399,0.635,30,1.8,0
,-406,2208,5.24,30,0.9,0
,-405,801,2.552,30,1.5,0
,-404,1656,0.923,30,0.8,0
,-403,3497,3.626,30,1,0
,-402,3034,3.402,30,1.1,0
,-401,1978,2.056,30,1,0
,-400,150,5.755,30,0.6,0
,-399,1207,0.001,30,2.3,0
,-398,2778,0.482,30,1.2,0
,-397,3061,1.18,30,2.9,0
,-396,1786,2.011,30,1.4,0
,-395,1099,4.531,30,0.7,0
,-394,2381,1.265,30,3.2,0
,-393,624,1.678,30,2.2,0
,-392,737,6.473,30,0.7,0
,-391,1009,8.915,30,0.7,0
,-390,2096,5.698,30,1.8,0
,-389,880,6.063,30,0.7,0
,-388,156,10.049,30,0.8,0
,-387,2098,0.958,30,2.5,0
,-386,701,2.404,30,2.1,0
,-385,1651,9.548,30,0.8,0
,-384,376,0.036,30,0.8,0
,-383,1477,0.578,30,3.3,0
,-382,1045,3.455,30,0.7,0
,-381,682,7.332,30,0.7,0
,-380,1221,3.955,30,1.1,0
,-379,2293,1.122,30,4,0
,-378,865,1.22,30,0.7,0
,-377,3167,1.656,30,2,0
,-376,936,7.703,30,0.7,0
,-375,695,8.972,30,0.7,0
,-374,522,4.148,30,1.4,0
,-373,3420,0.616,30,2.8,0
,-372,1602,0.001,30,2.3,0
,-371,1686,6.333,30,1.2,0
,-370,5011,5.531,30,1.2,0
,-369,216,0.001,30,3.1,0
,-368,1639,1.499,30,0.8,0
,-367,1134,1.16,30,3.4,0
,-366,1013,3.681,30,0.7,0
,-365,1377,0.854,30,1.3,0
,-364,1307,2.03,30,0.7,0
,-363,457,3.792,30,0.7,0
,-362,220,1.745,30,0.8,0
,-361,1332,8.106,30,0.9,0
,-360,220,13.255,30,0.6,0
,-359,587,0.001,30,2.3,0
,-358,1754,7.845,30,0.8,0
,-357,251,6.327,30,1.2,0
,-356,1639,0.092,30,2,0
,-355,1588,1.989,30,0.9,0
,-354,946,6.893,30,0.9,0
,-353,1340,7.387,30,0.7,0
,-352,1610,6.628,30,0.8,0
,-351,345,11.326,30,0.6,0
,-350,703,3.286,30,0.8,0
,-349,3522,1.873,30,1.2,0
,-348,481,4.701,30,1.5,0
,-347,3085,2.088,30,1,0
,-346,512,2.553,30,0.8,0
,-345,2978,2.816,30,0.9,0
,-344,2306,0.462,30,3.6,0
,-343,418,2.173,30,0.7,0
,-342,3717,0.839,30,4.2,0
,-341,768,9.503,30,0.8,0
,-340,1982,4.287,30,0.9,0
,-339,3930,1.008,30,3.5,0
,-338,226,3.458,30,0.7,0
,-337,3804,1.057,30,2.8,0
,-336,2196,1.776,30,1.9,0
,-335,2185,0.474,30,3.8,0
,-334,886,3.922,30,1.2,0
,-333,1962,3.119,30,3.3,0
,-332,1496,2.695,30,0.8,0
,-331,2285,0.334,30,1.7,0
,-330,507,6.897,30,0.6,0
,-329,1096,1.013,30,4.6,0
,-328,1040,0.43,30,3.9,0
,-327,699,1.418,30,1.3,0
,-326,1674,0.782,30,4.7,0
,-325,588,10.644,30,0.7,0
,-324,1008,3.93,30,1.7,0
,-323,547,0.471,30,4.5,0
,-322,1283,3.056,30,1.3,0
,-321,387,5.924,30,0.7,0
,-320,587,0.371,30,4.9,0
,-319,4133,1.204,30,1.2,0
,-318,476,0.433,30,4,0
,-317,2414,0.493,30,4.2,0
,-316,2014,1.537,30,0.9,0
,-315,1009,1.033,30,0.7,0
,-314,922,0.777,30,2,0
,-313,690,0.8,30,6.5,0
,-312,1444,1.999,30,1.4,0
,-311,212,0.571,30,6.6,0
,-310,3085,3.419,30,0.9,0
,-309,1174,1.1,30,1.6,0
,-308,620,0.836,30,6.7,0
,-307,2239,2.08,30,2,0
,-306,1108,2.759,30,0.7,0
,-305,1352,6.627,30,0.8,0
,-304,2160,1.207,30,3.6,0
,-303,628,2.076,30,1.8,0
,-302,538,3.242,30,0.6,0
,-301,1742,5.196,30,0.9,0
,-300,3297,3.88,30,1.1,0
,-299,1365,4.719,30,0.8,0
,-298,2088,2.717,30,0.8,0
,-297,1138,4.456,30,0.7,0
,-296,834,0.496,30,6.8,0
,-295,2079,4.044,30,2.2,0
,-294,1067,0.479,30,4.3,0
,-293,3141,2.884,30,0.9,0
,-292,1336,1.988,30,2.6,0
,-291,553,1.795,30,0.7,0
,-290,4107,1.679,30,1.2,0
,-289,2777,3.271,30,1,0
,-288,1323,1.729,30,2.5,0
,-287,3474,1.432,30,1.1,0
,-286,518,4.962,30,0.7,0
,-285,1818,3.033,30,1.2,0
,-284,376,1.496,30,2.7,0
,-283,25,2.001,30,0.6,0
,-282,878,0.614,30,6.8,0
,-281,1480,1.92,30,1.9,0
,-280,1076,0.754,30,4.5,0
,-279,170,0.462,30,0.8,0
,-278,247,1.597,30,3.6,0
,-277,287,1.966,30,2.3,0
,-276,412,0.541,30,1.6,0
,-275,1130,3.084,30,0.7,0
,-274,2441,3.231,30,1.2,0
,-273,1580,1.663,30,0.7,0
,-272,3769,2.859,30,0.8,0
,-271,262,2.082,30,0.7,0
,-270,131,0.691,30,1.3,0
,-269,468,0.002,30,4.7,0
,-268,453,0.518,30,1.4,0
,-267,805,1.46,30,0.7,0
,-266,3153,5.244,30,0.8,0
,-265,3661,2.13,30,1.8,0
,-264,3659,4.394,30,1.1,0
,-263,1213,2.299,30,1.7,0
,-262,306,1.242,30,0.7,0
,-261,60,2.703,30,0.7,0
,-260,1961,1.313,30,1.2,0
,-259,1596,0.623,30,7.1,0
,-258,4523,1.342,30,1.2,0
,-257,125,2.536,30,1.5,0
,-256,734,0.165,30,4.8,0
,-255,2447,1.639,30,0.8,0
,-254,1644,0.706,30,4.3,0
,-253,1427,2.773,30,0.8,0
,-252,106,0.001,30,4.4,0
,-251,1158,1.798,30,0.9,0
,-250,1601,1.878,30,0.9,0
,-249,1417,1.222,30,1.6,0
,-248,170,0.96,30,1.8,0
,-247,2177,1.364,30,0.9,0
,-246,1180,2.852,30,0.8,0
,-245,1488,1.035,30,2.2,0
,-244,503,2.7,30,0.7,0
,-243,1055,0.722,30,4.9,0
,-242,206,1.737,30,0.6,0
,-241,1883,5.19,30,0.8,0
,-240,191,5.029,30,0.6,0
,-239,759,9.573,30,0.7,0
,-238,387,1.021,30,0.6,0
,-237,1045,2.628,30,0.8,0
,-236,3099,1.393,30,2.5,0
,-235,1517,0.982,30,2.7,0
,-234,3073,2.347,30,0.9,0
,-233,175,3.454,30,0.6,0
,-232,909,1.995,30,0.7,0
,-231,25,1.335,30,0.6,0
,-230,1117,0.502,30,4.9,0
,-229,847,4.037,30,1.3,0
,-228,2116,0.975,30,4.6,0
,-227,1032,1.25,30,0.9,0
,-226,1045,1.281,30,2.6,0
,-225,501,1.014,30,0.7,0
,-224,2797,1.876,30,1,0
,-223,1947,2.225,30,0.8,0
,-222,1617,1.077,30,2.2,0
,-221,387,2.932,30,0.7,0
,-220,1290,0.944,30,1.6,0
,-219,5362,1.006,30,4.2,0
,-218,824,3.701,30,0.8,0
,-217,549,3.146,30,0.7,0
,-216,996,0.789,30,4.7,0
,-215,1534,2.064,30,1.1,0
,-214,782,3.761,30,0.7,0
,-213,657,1.453,30,1.3,0
,-212,266,2.732,30,0.6,0
,-211,1685,2.695,30,0.8,0
,-210,1569,0.37,30,5.1,0
,-209,1750,1.167,30,1.1,0
,-208,3982,0.515,30,7.3,0
,-207,1823,2.735,30,0.8,0
,-206,106,1.084,30,0.6,0
,-205,2453,1.181,30,0.8,0
,-204,1393,0.768,30,1.1,0
,-203,382,1.526,30,0.7,0
,-202,1049,0.957,30,4.5,0
,-201,516,1.374,30,0.7,0
,-200,1513,1.045,30,2.4,0
,-199,728,1.168,30,1.2,0
,-198,1902,0.881,30,4.9,0
,-197,2766,1.885,30,0.9,0
,-196,2277,1.97,30,1.4,0
,-195,1289,3.028,30,0.7,0
,-194,963,0.914,30,5.2,0
,-193,3636,1.052,30,2.2,0
,-192,2935,0.806,30,1.6,0
,-191,701,1.898,30,1.9,0
,-190,1262,1.149,30,1.8,0
,-189,1448,2.446,30,0.8,0
,-188,2327,2.135,30,1.2,0
,-187,3772,1.99,30,0.9,0
,-186,1177,0.898,30,0.7,0
,-185,759,1.476,30,0.9,0
,-184,1996,1.119,30,1.5,0
,-183,1706,0.702,30,2.8,0
,-182,1143,0.958,30,4.6,0
,-181,2888,0.977,30,1.6,0
,-180,1515,0.471,30,7.4,0
,-179,5881,0.911,30,3.8,0
,-178,1977,0.972,30,0.9,0
,-177,75,1.677,30,0.6,0
,-176,418,2.215,30,3,0
,-175,260,1.344,30,4.8,0
,-174,2841,0.59,30,5.1,0
,-173,1057,3.31,30,0.7,0
,-172,2241,1.671,30,1,0
,-171,1261,0.306,30,0.9,0
,-170,4506,0.989,30,1.1,0
,-169,3714,1.605,30,1.2,0
,-168,426,1.159,30,0.6,0
,-167,106,0.906,30,0.6,0
,-166,2445,0.476,30,5.5,0
,-165,195,0.001,30,0.7,0
,-164,1806,0.712,30,5.3,0
,-163,1508,0.322,30,5.6,0
,-162,301,0.937,30,0.6,0
,-161,270,0.964,30,0.6,0
,-160,1426,3.11,30,0.7,0
,-159,632,0.733,30,5.3,0
,-158,2762,0.909,30,1.5,0
,-157,326,0.001,30,1.8,0
,-156,1999,0.481,30,8.3,0
,-155,522,0.506,30,5.4,0
,-154,951,1.722,30,1.5,0
,-153,422,3.081,30,5.7,0
,-152,366,2.286,30,5.6,0
,-151,1276,3.427,30,0.7,0
,-150,1321,1.362,30,1,0
,-149,591,0.888,30,8.5,0
,-148,35,0.001,30,0.7,0
,-147,2286,0.609,30,0.8,0
,-146,990,0.516,30,0.8,0
,-145,1555,2.687,30,0.8,0
,-144,256,4.745,30,0.6,0
,-143,713,1.264,30,1.4,0
,-142,1922,1.347,30,2,0
,-141,651,2.662,30,0.7,0
,-140,1800,0.711,30,5.7,0
,-139,599,1.23,30,2.2,0
,-138,2128,0.845,30,1.3,0
,-137,3775,1.856,30,1.1,0
,-136,3084,2.111,30,1.1,0
,-135,895,1.487,30,2.3,0
,-134,543,0.38,30,6.1,0
,-133,1034,0.636,30,6.4,0
,-132,1071,0.308,30,8.5,0
,-131,422,1.785,30,0.7,0
,-130,1280,0.818,30,0.9,0
,-129,2331,1.106,30,0.8,0
,-128,1101,1.407,30,2,0
,-127,2286,0.922,30,1.8,0
,-126,1415,0.578,30,1.5,0
,-125,1948,1.69,30,1.5,0
,-124,1573,0.404,30,6.6,0
,-123,160,0.247,30,0.6,0
,-122,526,0.271,30,8.6,0
,-121,638,0.246,30,6.5,0
,-120,60,0.571,30,8.6,0
,-119,35,0.368,30,0.7,0
,-118,1654,0.54,30,0.9,0
,-117,949,0.463,30,2.5,0
,-116,2278,2.615,30,1,0
,-115,2206,0.764,30,1.6,0
,-114,401,0.711,30,0.7,0
,-113,1827,2.077,30,0.7,0
,-112,2109,1.928,30,0.9,0
,-111,2291,0.58,30,1.4,0
,-110,1502,0.404,30,1.2,0
,-109,1835,3.13,30,0.7,0
,-108,2314,0.095,30,2.1,0
,-107,388,0.001,30,0.8,0
,-106,809,0.302,30,2.8,0
,-105,176,0.001,30,2.3,0
,-104,1706,0.001,30,2.9,0
,-103,572,0.524,30,0.7,0
,-102,2395,1.824,30,1.1,0
,-101,2491,0.302,30,6.7,0
,-100,1438,1.77,30,0.8,0
,-99,25,1.715,30,0.6,0
,-98,1865,0.561,30,0.8,0
,-97,366,1.919,30,0.7,0
,-96,697,0.001,30,0.7,0
,-95,813,0.001,30,3.7,0
,-94,331,2.006,30,0.7,0
,-93,3450,3.145,30,0.9,0
,-92,1648,0.474,30,7,0
,-91,1827,0.6,30,2,0
,-90,2833,0.871,30,0.9,0
,-89,2403,1.134,30,0.9,0
,-88,70,0.567,30,0.7,0
,-87,3976,1.9,30,0.9,0
,-86,921,0.021,30,1.3,0
,-85,5755,0.32,30,7.9,0
,-84,381,0.471,30,7.1,0
,-83,2544,0.455,30,8.8,0
,-82,141,0.001,30,11.1,0
,-81,626,0.725,30,2.3,0
,-80,1215,0.366,30,0.7,0
