@T,routing,,
name,routing_mf.csv,,
descr,multi-flow routing configuration,,
,,,
# Multiflow Routing,,,
# Thu Sep 12 14:23:39 MDT 2013,,,
@H, from, to, weight
,1,-1,1
,2,6,1
,3,-5,1
,4,8,1
,5,39,1
,6,1,1
,7,1,1
,8,5,1
,9,23,1
,10,32,1
,11,7,1
,12,34,1
,13,22,1
,14,33,1
,15,31,1
,16,27,1
,17,25,1
,18,28,1
,19,29,1
,20,22,1
,21,-2,1
,22,27,1
,23,-2,1
,24,18,1
,25,22,1
,26,99,1
,27,-3,1
,28,30,1
,29,40,1
,30,48,1
,31,42,1
,32,-9,1
,33,41,1
,34,41,1
,35,54,1
,36,54,1
,37,46,1
,38,-3,1
,39,-4,1
,40,57,1
,41,-2,1
,42,51,1
,43,57,1
,44,61,1
,45,52,1
,46,-6,1
,47,30,1
,48,75,1
,49,-10,1
,50,45,1
,51,56,1
,52,-11,1
,53,63,1
,54,65,1
,55,92,1
,56,69,1
,57,76,1
,58,-2,1
,59,-4,1
,60,-7,1
,61,62,1
,62,-3,1
,63,85,1
,64,-8,1
,65,-7,1
,66,-12,1
,67,88,1
,68,85,1
,69,65,1
,70,128,1
,71,85,1
,72,-8,1
,73,74,1
,74,97,1
,75,-7,1
,76,-7,1
,77,62,1
,78,111,1
,79,153,1
,80,136,1
,81,95,1
,82,170,1
,83,153,1
,84,-13,1
,85,105,1
,86,148,1
,87,186,1
,88,46,1
,89,103,1
,90,146,1
,91,170,1
,92,108,1
,93,-6,1
,94,95,1
,95,69,1
,96,-7,1
,97,41,1
,98,199,1
,99,-18,1
,100,138,1
,101,220,1
,102,65,1
,103,140,1
,104,-7,1
,105,142,1
,106,-19,1
,107,111,1
,108,-6,1
,109,123,1
,110,232,1
,111,108,1
,112,136,1
,113,-7,1
,114,-16,1
,115,116,1
,116,154,1
,117,94,1
,118,66,1
,119,-11,1
,120,170,1
,121,154,1
,122,65,1
,123,-15,1
,124,135,1
,125,101,1
,126,129,1
,127,134,1
,128,-2,1
,129,180,1
,130,112,1
,131,129,1
,132,102,1
,133,76,1
,134,96,1
,135,99,1
,136,142,1
,137,178,1
,138,140,1
,139,-11,1
,140,142,1
,141,202,1
,142,-14,1
,143,180,1
,144,208,1
,145,52,1
,146,99,1
,147,-2,1
,148,209,1
,149,84,1
,150,141,1
,151,102,1
,152,122,1
,153,199,1
,154,225,1
,155,127,1
,156,159,1
,157,-11,1
,158,166,1
,159,169,1
,160,231,1
,161,-6,1
,162,182,1
,163,165,1
,164,222,1
,165,245,1
,166,175,1
,167,185,1
,168,155,1
,169,106,1
,170,163,1
,171,123,1
,172,154,1
,173,-14,1
,174,184,1
,175,-22,1
,176,137,1
,177,222,1
,178,75,1
,179,-21,1
,180,207,1
,181,230,1
,182,204,1
,183,229,1
,184,229,1
,185,175,1
,186,231,1
,187,247,1
,188,229,1
,189,178,1
,190,123,1
,191,285,1
,192,189,1
,193,163,1
,194,-17,1
,195,211,1
,196,222,1
,197,118,1
,198,237,1
,199,141,1
,200,232,1
,201,184,1
,202,194,1
,203,260,1
,204,228,1
,205,123,1
,206,123,1
,207,222,1
,208,-23,1
,209,-24,1
,210,-26,1
,211,228,1
,212,-17,1
,213,136,1
,214,219,1
,215,106,1
,216,197,1
,217,149,1
,218,205,1
,219,106,1
,220,163,1
,221,163,1
,222,-22,1
,223,206,1
,224,-22,1
,225,173,1
,226,-20,1
,227,-2,1
,228,294,1
,229,-22,1
,230,-25,1
,231,-17,1
,232,210,1
,233,206,1
,234,212,1
,235,154,1
,236,247,1
,237,277,1
,238,216,1
,239,106,1
,240,-17,1
,241,212,1
,242,168,1
,243,218,1
,244,239,1
,245,-17,1
,246,252,1
,247,-33,1
,248,-22,1
,249,233,1
,250,260,1
,251,224,1
,252,224,1
,253,254,1
,254,226,1
,255,248,1
,256,226,1
,257,168,1
,258,265,1
,259,283,1
,260,294,1
,261,248,1
,262,233,1
,263,-20,1
,264,231,1
,265,278,1
,266,278,1
,267,230,1
,268,-17,1
,269,-17,1
,270,308,1
,271,206,1
,272,231,1
,273,283,1
,274,292,1
,275,286,1
,276,246,1
,277,175,1
,278,329,1
,279,272,1
,280,-28,1
,281,-27,1
,282,297,1
,283,280,1
,284,287,1
,285,-29,1
,286,326,1
,287,-38,1
,288,321,1
,289,345,1
,290,230,1
,291,226,1
,292,-17,1
,293,272,1
,294,-30,1
,295,308,1
,296,329,1
,297,412,1
,298,355,1
,299,-27,1
,300,255,1
,301,270,1
,302,267,1
,303,287,1
,304,308,1
,305,311,1
,306,264,1
,307,308,1
,308,-40,1
,309,392,1
,310,287,1
,311,312,1
,312,263,1
,313,263,1
,314,291,1
,315,-32,1
,316,282,1
,317,303,1
,318,332,1
,319,-30,1
,320,287,1
,321,329,1
,322,314,1
,323,367,1
,324,280,1
,325,247,1
,326,-33,1
,327,-31,1
,328,327,1
,329,374,1
,330,290,1
,331,-35,1
,332,382,1
,333,367,1
,334,439,1
,335,339,1
,336,376,1
,337,362,1
,338,375,1
,339,400,1
,340,294,1
,341,381,1
,342,303,1
,343,329,1
,344,-39,1
,345,357,1
,346,368,1
,347,314,1
,348,-39,1
,349,-33,1
,350,447,1
,351,-34,1
,352,396,1
,353,460,1
,354,308,1
,355,-37,1
,356,392,1
,357,374,1
,358,-36,1
,359,-36,1
,360,-39,1
,361,-33,1
,362,395,1
,363,-42,1
,364,388,1
,365,456,1
,366,618,1
,367,439,1
,368,430,1
,369,-42,1
,370,308,1
,371,378,1
,372,-41,1
,373,391,1
,374,-49,1
,375,344,1
,376,-42,1
,377,-36,1
,378,-33,1
,379,349,1
,380,381,1
,381,478,1
,382,415,1
,383,374,1
,384,313,1
,385,312,1
,386,297,1
,387,355,1
,388,414,1
,389,398,1
,390,408,1
,391,390,1
,392,-43,1
,393,356,1
,394,447,1
,395,472,1
,396,445,1
,397,556,1
,398,399,1
,399,584,1
,400,-39,1
,401,348,1
,402,444,1
,403,359,1
,404,319,1
,405,359,1
,406,460,1
,407,413,1
,408,-45,1
,409,384,1
,410,-41,1
,411,322,1
,412,-44,1
,413,410,1
,414,-43,1
,415,-40,1
,416,421,1
,417,-41,1
,418,372,1
,419,387,1
,420,438,1
,421,394,1
,422,359,1
,423,482,1
,424,400,1
,425,419,1
,426,392,1
,427,547,1
,428,451,1
,429,384,1
,430,344,1
,431,424,1
,432,387,1
,433,387,1
,434,-43,1
,435,355,1
,436,376,1
,437,440,1
,438,441,1
,439,466,1
,440,478,1
,441,443,1
,442,475,1
,443,444,1
,444,468,1
,445,-36,1
,446,512,1
,447,468,1
,448,429,1
,449,-46,1
,450,455,1
,451,427,1
,452,431,1
,453,508,1
,454,392,1
,455,444,1
,456,472,1
,457,460,1
,458,436,1
,459,558,1
,460,-44,1
,461,437,1
,462,479,1
,463,505,1
,464,432,1
,465,451,1
,466,449,1
,467,344,1
,468,-48,1
,469,467,1
,470,424,1
,471,356,1
,472,547,1
,473,440,1
,474,471,1
,475,-36,1
,476,483,1
,477,425,1
,478,-45,1
,479,434,1
,480,462,1
,481,471,1
,482,532,1
,483,585,1
,484,543,1
,485,413,1
,486,425,1
,487,458,1
,488,-47,1
,489,393,1
,490,554,1
,491,548,1
,492,541,1
,493,542,1
,494,576,1
,495,614,1
,496,471,1
,497,567,1
,498,519,1
,499,488,1
,500,572,1
,501,426,1
,502,474,1
,503,517,1
,504,529,1
,505,413,1
