@T,climate,,,,,,,
name,sunh,,,,,,,
desc,sunh,,,,,,,
,,,,,,,,
missing_val,-9999,,,,,,,
date_start,01.01.1960,,,,,,,
date_end,04.08.2013,,,,,,,
date_format,dd.MM.yyyy,,,,,,,
,,,,,,,,
tres,d,,,,,,,
unit,h,,,,,,,
,,,,,,,,
@H,date,sunh[0],sunh[1],sunh[2],sunh[3],sunh[4],sunh[5],sunh[6]
name,,Artern,Erfurt - FWW,Weimar,Jena,Leinefelde,Schmuecke,Martinroda
ID,,198,1270,5419,2444,2925,4501,1440
elevation,,164,316,264,155,356,937,430
x,,4451274,4427446,4452021,4470713,4382871,4412785,4421160.55
y,,5694380,5650160,5649874,5644173,5697346,5613300,5622590.38
,01.01.1960,0.5,1.2,0.4832,0,1.2,0.5295,-9999
,02.01.1960,0.1,1.6,0.09664,2.1,0.1,0.62562,-9999
,03.01.1960,0,0,0,0,0,0.5295,-9999
,04.01.1960,0,0,0,0,0,0.62562,-9999
,05.01.1960,0,0,0,0,0,0.5295,-9999
,06.01.1960,0.6,1.4,0.57984,0,0.6,0.62562,-9999
,07.01.1960,0,0,0,0,0,0.5295,-9999
,08.01.1960,0.9,0.1,0.86976,0,1,1.4907,-9999
,09.01.1960,3.9,0.2,3.76896,0,2.2,5.23938,-9999
,10.01.1960,5.6,0.7,5.41184,0,4.8,4.47042,-9999
,11.01.1960,0,0,0,0,0.1,0.5295,-9999
,12.01.1960,4.4,4.6,4.25216,3,2.7,0.62562,-9999
,13.01.1960,1.8,1.2,1.73952,0,1.9,0.72174,-9999
,14.01.1960,0,0,0,0,0,0.5295,-9999
,15.01.1960,4.4,2.9,4.25216,0,6.9,7.2579,-9999
,16.01.1960,0,0,0,0,0,0.5295,-9999
,17.01.1960,0,0.3,0,0,0.4,0.5295,-9999
,18.01.1960,0,0,0,0,0.2,0.5295,-9999
,19.01.1960,0,0,0,0,0.6,0.5295,-9999
,20.01.1960,3.4,4.1,3.28576,3.5,0.5,1.68294,-9999
,21.01.1960,0,0.3,0,0,0,0.5295,-9999
,22.01.1960,0,1.9,0,0.3,0.4,0.5295,-9999
,23.01.1960,1.2,4.2,1.15968,5.2,1.4,0.5295,-9999
,24.01.1960,4.8,3.2,4.63872,1.2,4.2,3.12474,-9999
,25.01.1960,0.2,0,0.19328,0.2,0.2,2.4519,-9999
,26.01.1960,4.9,3.6,4.73536,0.9,0.3,0.5295,-9999
,27.01.1960,0,0.7,0,0.6,0,1.68294,-9999
,28.01.1960,0,0.7,0,0.2,0.5,0.91398,-9999
,29.01.1960,0,1.2,0,1.3,0.3,0.5295,-9999
,30.01.1960,1.2,0,1.15968,0,0,0.5295,-9999
,31.01.1960,0.3,0,0.28992,0,0,0.5295,-9999
,01.02.1960,8.1,0.3,7.82784,3.7,0.2,0.5295,-9999
,02.02.1960,3.2,0.9,3.09248,2.6,0,0.5295,-9999
,03.02.1960,1,2.7,0.9664,0,0.5,0.5295,-9999
,04.02.1960,0,0,0,0,0,0.5295,-9999
,05.02.1960,1.4,1.5,1.35296,0,0.6,0.72174,-9999
,06.02.1960,1,0,0.9664,0,0.1,0.5295,-9999
