@T,climate,,,,,,,,,,,,,,,,
name,tmin,,,,,,,,,,,,,,,,
desc,min temperature,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
missing_val,-9999,,,,,,,,,,,,,,,,
date_start,01.01.1979,,,,,,,,,,,,,,,,
date_end,05.08.2013,,,,,,,,,,,,,,,,
date_format,dd.MM.yyyy,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
tres,d,,,,,,,,,,,,,,,,
unit,C,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
@H,date,tmin[0],tmin[1],tmin[2],tmin[3],tmin[4],tmin[5],tmin[6],tmin[7],tmin[8],tmin[9],tmin[10],tmin[11],tmin[12],tmin[13],tmin[14],tmin[15]
name,,Artern,Erfurt,Schmuecke,Kleiner Inselsberg,Martinroda,Waltershausen,Meiningen,Eichelborn-ILMS,Geraberg-ILMS,Gossel-ILMS,Kirchheim-ILMS,Oberhof-ILMS,Ohrdruf-ILMS,Riechheim-ILMS,Wandersleben-ILMS,Wipfra-ILMS
ID,,198,1270,4501,1445,1440,1559,3807,1,2,3,4,5,6,7,8,9
elevation,,164,316,937,732,430,353,450,297,481,495,265,753,334,385,268,390
x,,4451274,4427446,4412785,4393063.63,4421160.55,4397982.81,4385314,4442550,4419536,4419170,4430864,4410380,4410133,4437737,4419539,4427535
y,,5694380,5650160,5613300,5635608.06,5622590.38,5641106.08,5603951,5645920,5620440,5629635,5638197,5619041,5636558,5638512,5640401,5625098
,01.01.1979,-19.1,-20.4,-25.5,-9999,-9999,-9999,-21,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,02.01.1979,-13.3,-15.3,-18.3,-9999,-9999,-9999,-14.6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,03.01.1979,-15.3,-17.6,-16.4,-9999,-9999,-9999,-16.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,04.01.1979,-14.2,-15.2,-15.8,-9999,-9999,-9999,-13.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,05.01.1979,-16.5,-16.4,-16.2,-9999,-9999,-9999,-16.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,06.01.1979,-18.4,-17.8,-15.5,-9999,-9999,-9999,-16.4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,07.01.1979,-20.3,-18.1,-13.7,-9999,-9999,-9999,-17.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,08.01.1979,-2.9,-4.6,-11.6,-9999,-9999,-9999,-8.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
