@T,climate,,,,,,,,,,,,,
name,wind,,,,,,,,,,,,,
desc,wind speed,,,,,,,,,,,,,
,,,,,,,,,,,,,,
missing_val,-9999,,,,,,,,,,,,,
date_start,01.01.1960,,,,,,,,,,,,,
date_end,04.08.2013,,,,,,,,,,,,,
date_format,dd.MM.yyyy,,,,,,,,,,,,,
,,,,,,,,,,,,,,
tres,d,,,,,,,,,,,,,
unit,m/s,,,,,,,,,,,,,
,,,,,,,,,,,,,,
@H,date,wind[0],wind[1],wind[2],wind[3],wind[4],wind[5],wind[6],wind[7],wind[8],wind[9],wind[10],wind[11],wind[12]
name,,Artern,Erfurt,Schmuecke,Leinefelde,Eichelborn-ILMS,Geraberg-ILMS,Gossel-ILMS,Kirchheim-ILMS,Oberhof-ILMS,Ohrdruf-ILMS,Riechheim-ILMS,Wandersleben-ILMS,Wipfra-ILMS
ID,,198,1270,4501,2925,1,2,3,4,5,6,7,8,9
elevation,,164,316,937,356,297,481,495,265,753,334,385,268,390
x,,4451274,4427446,4412785,4382871,4442550,4419536,4419170,4430864,4410380,4410133,4437737,4419539,4427535
y,,5694380,5650160,5613300,5697346,5645920,5620440,5629635,5638197,5619041,5636558,5638512,5640401,5625098
,01.01.1960,2.7,4.3,5.26449,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,02.01.1960,2.3,3,3.6729,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,03.01.1960,2.3,2,2.4486,0.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,04.01.1960,1,1.7,2.08131,1.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,05.01.1960,3.3,3.3,4.04019,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,06.01.1960,3.3,4.7,5.75421,4.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,07.01.1960,2,4.3,5.26449,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,08.01.1960,3.3,3.3,4.04019,2.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,09.01.1960,2.7,4,4.8972,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,10.01.1960,3,3.3,4.04019,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,11.01.1960,2.7,3,3.6729,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,12.01.1960,2.7,3,3.6729,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,13.01.1960,2.7,4,4.8972,2.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,14.01.1960,2.3,3.7,4.52991,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,15.01.1960,1.3,1,1.2243,0.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,16.01.1960,2,2.7,3.30561,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,17.01.1960,1.7,3.3,4.04019,0.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,18.01.1960,4,4.7,5.75421,3.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,19.01.1960,4.7,5,6.1215,3.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,20.01.1960,6.7,6.7,8.20281,6.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,21.01.1960,2.7,2.7,3.30561,2.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,22.01.1960,2,2.7,3.30561,1.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,23.01.1960,0.7,1.7,2.08131,1.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,24.01.1960,1.3,3.7,4.52991,2.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,25.01.1960,0.3,2,2.4486,1.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,26.01.1960,1.7,2.7,3.30561,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,27.01.1960,2,2.3,2.81589,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,28.01.1960,1.7,3.7,4.52991,2.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
