@T,reaches
name,reach 
descr,reach.csv 

@H,ID,length,slope,rough,width,deepsink
min,0,0,0,0,0,0
max,99999999,99999999,90,9999,99999999,1
unit,n/a,m,%,n/a,m,n/a
,-1,392,1.16,30,0.7,0
,-2,2804,1.37,30,0.9,0
,-3,3567,1.38,30,1,0
,-4,819,0.6,30,0.7,0
,-5,1813,1.26,30,1.2,0
,-6,90,0.44,30,0.6,0
,-7,417,1.25,30,1.4,0
,-8,1183,0.44,30,0.8,0
,-9,1221,0.66,30,0.9,0
,-10,2125,0.77,30,1.1,0
,-11,349,0.84,30,1.9,0
,-12,1541,0.55,30,0.9,0
,-13,254,0.77,30,0.7,0
,-14,192,0.95,30,1.4,0
,-15,1059,0.94,30,1.9,0
,-16,422,0.44,30,0.7,0
,-17,1556,1.56,30,2.1,0
,-18,302,0.62,30,0.6,0
,-19,1586,2.26,30,0.8,0
,-20,632,0.5,30,0.7,0
,-21,537,0.53,30,1,0
,-22,4251,2.13,30,1.7,0
,-23,2177,0.86,30,1.5,0
,-24,439,1.53,30,1,0
,-25,1734,1.94,30,0.8,0
,-26,157,0.25,30,0.7,0
,-27,204,0.55,30,0.7,0
,-28,42,0.01,30,1.2,0
,-29,1547,0.33,30,1.5,0
,-30,537,0.31,30,0.7,0
,-31,487,1.74,30,0.6,0
,-32,669,1.88,30,0.9,0
,-33,959,0.89,30,0.8,0
,-34,2785,1.65,30,2.6,0
,-35,1176,2.06,30,1.4,0
,-36,222,0.49,30,2.2,0
,-37,3766,1.19,30,1,0
,-38,2600,0.91,30,0.9,0
,-39,414,0.38,30,2.3,0
,-40,531,0.75,30,2.5,0
,-41,966,0.99,30,3.4,0
,-42,1425,1.68,30,0.7,0
,-43,2347,2.01,30,2.1,0
,-44,1019,0.84,30,2.8,0
,-45,589,0.24,30,1.9,0
,-46,669,1.18,30,0.7,0
,-47,324,0.36,30,0.7,0
,-48,474,2.77,30,0.8,0
,-49,2230,1.51,30,0.8,0
,-50,302,0.46,30,0.6,0
,-51,42,0.57,30,0.9,0
,-52,1483,0.58,30,2.1,0
,-53,120,1.46,30,0.7,0
,-54,913,1.42,30,1.1,0
,-55,2540,1.12,30,0.8,0
,-56,1975,2.58,30,2.7,0
,-57,1828,1.05,30,0.8,0
,-58,2088,0.91,30,1,0
,-59,114,1.78,30,0.7,0
,-60,1903,1.96,30,3.6,0
,-61,1853,1.6,30,3.9,0
,-62,731,1.42,30,4,0
,-63,494,3.18,30,0.6,0
,-64,1224,1.73,30,3.8,0
,-65,1276,0.7,30,0.8,0
,-66,7154,1.33,30,1.9,0
,-67,949,1.09,30,0.7,0
,-68,1318,0.6,30,2.5,0
,-69,1144,0.94,30,4,0
,-70,584,1.97,30,4.1,0
,-71,1678,2.37,30,1.4,0
,-72,591,0.49,30,1.2,0
,-73,654,0.58,30,0.7,0
,-74,3332,0.74,30,1,0
,-75,2687,1.49,30,4,0
,-76,367,2.1,30,0.8,0
,-77,381,0.19,30,2.7,0
,-78,779,0.69,30,0.7,0
,-79,277,2.07,30,4.3,0
,-80,1566,1.22,30,0.7,0
,-81,2110,2.56,30,0.9,0
,-82,544,0.16,30,2.8,0
,-83,162,0.57,30,0.6,0
,-84,762,1.75,30,2.1,0
,-85,736,2.08,30,4.7,0
,-86,2557,1.86,30,0.9,0
,-87,1873,0.66,30,1.9,0
,-88,847,0.52,30,0.7,0
,-89,1611,0.9,30,0.8,0
,-90,946,0.7,30,0.7,0
,-91,169,0.01,30,3,0
,-92,2507,0.72,30,3.2,0
,-93,671,1.14,30,0.7,0
,-94,706,0.8,30,0.8,0
,-95,1363,1.97,30,0.8,0
,-96,1391,0.51,30,1.2,0
,-97,1955,0.74,30,1.5,0
,-98,3144,1.6,30,4.9,0
,-99,1911,0.96,30,0.9,0
,-100,4391,0.43,30,1,0
,-101,439,1.09,30,0.7,0
,-102,2423,1.86,30,6.3,0
,-103,1860,0.51,30,3.5,0
,-104,1016,1.03,30,6.4,0
,-105,904,3.66,30,0.7,0
,-106,939,0.39,30,0.7,0
,-107,3479,2.9,30,1.2,0
,-108,2248,1.68,30,1.5,0
,-109,1158,0.86,30,0.9,0
,-110,4418,0.93,30,1.3,0
,-111,644,4.69,30,1.7,0
,-112,699,0.91,30,0.7,0
,-113,888,2.85,30,0.7,0
,-114,524,0.31,30,3.7,0
,-115,561,1.42,30,2.2,0
,-116,1024,1.22,30,7.3,0
,-117,3260,1.74,30,1.1,0
,-118,1935,0.66,30,0.9,0
,-119,2043,1.57,30,2.4,0
,-120,796,2.42,30,0.8,0
,-121,3175,2.03,30,0.9,0
,-122,609,1.14,30,0.7,0
,-123,1618,2.45,30,0.8,0
,-124,547,0.28,30,0.7,0
,-125,5055,1.51,30,1.3,0
,-126,512,2.9,30,0.7,0
,-127,399,2.59,30,1.3,0
,-128,2323,0.93,30,1.9,0
,-129,517,2.06,30,7.5,0
,-130,2567,2.33,30,1.6,0
,-131,524,0.89,30,0.7,0
,-132,6155,0.54,30,2,0
,-133,2914,1.04,30,7.6,0
