@T,climate 
descr,relative humidity 
unit,% 
missing_val,-9999
date_start,01.01.1990
date_end,31.12.2008
date_format,dd.MM.yyyy

@H,date,rehum[1],rehum[2],rehum[3],rehum[4],rehum[5]
namewaterloo,ame,ass,blg,cme
ID,-,1,2,3,4,5
elevation,-,287,276,275,266,273
x,-,662756,673163,669112,666844,660852
y,-,4596100,4595540,4591821,4584593,4588796
,01.01.1990,69.69,-9999,-9999,-9999,-9999
,02.01.1990,90.63,-9999,-9999,-9999,-9999
,03.01.1990,54.93,-9999,-9999,-9999,-9999
,04.01.1990,98.85,-9999,-9999,-9999,-9999
,05.01.1990,99.26,-9999,-9999,-9999,-9999
,06.01.1990,100,-9999,-9999,-9999,-9999
,07.01.1990,98.54,-9999,-9999,-9999,-9999
,08.01.1990,70,-9999,-9999,-9999,-9999
,09.01.1990,91.49,-9999,-9999,-9999,-9999
,10.01.1990,57.74,-9999,-9999,-9999,-9999
,11.01.1990,90.41,-9999,-9999,-9999,-9999
,12.01.1990,99.6,-9999,-9999,-9999,-9999
,13.01.1990,82.5,-9999,-9999,-9999,-9999
,14.01.1990,75.54,-9999,-9999,-9999,-9999
,15.01.1990,62.52,-9999,-9999,-9999,-9999
,16.01.1990,98.85,-9999,-9999,-9999,-9999
,17.01.1990,99.26,-9999,-9999,-9999,-9999
,18.01.1990,72.97,-9999,-9999,-9999,-9999
,19.01.1990,76.89,-9999,-9999,-9999,-9999
,20.01.1990,77.67,-9999,-9999,-9999,-9999
,21.01.1990,99.22,-9999,-9999,-9999,-9999
,22.01.1990,98.87,-9999,-9999,-9999,-9999
,23.01.1990,64.81,-9999,-9999,-9999,-9999
,24.01.1990,69.02,-9999,-9999,-9999,-9999
,25.01.1990,84.38,-9999,-9999,-9999,-9999
,26.01.1990,99.23,-9999,-9999,-9999,-9999
,27.01.1990,98.55,-9999,-9999,-9999,-9999
,28.01.1990,89.83,-9999,-9999,-9999,-9999
,29.01.1990,96.33,-9999,-9999,-9999,-9999
,30.01.1990,81.97,-9999,-9999,-9999,-9999
,31.01.1990,73.16,-9999,-9999,-9999,-9999
,01.02.1990,98.92,-9999,-9999,-9999,-9999
,02.02.1990,78.14,-9999,-9999,-9999,-9999
,03.02.1990,98.88,-9999,-9999,-9999,-9999
,04.02.1990,99.23,-9999,-9999,-9999,-9999
,05.02.1990,78.55,-9999,-9999,-9999,-9999
,06.02.1990,74.85,-9999,-9999,-9999,-9999
,07.02.1990,81.19,-9999,-9999,-9999,-9999
,08.02.1990,97.9,-9999,-9999,-9999,-9999
,09.02.1990,95.65,-9999,-9999,-9999,-9999
,10.02.1990,62.98,-9999,-9999,-9999,-9999
,11.02.1990,94.01,-9999,-9999,-9999,-9999
,12.02.1990,78.12,-9999,-9999,-9999,-9999
,13.02.1990,67.63,-9999,-9999,-9999,-9999
,14.02.1990,59.68,-9999,-9999,-9999,-9999
,15.02.1990,66.12,-9999,-9999,-9999,-9999
,16.02.1990,100,-9999,-9999,-9999,-9999
,17.02.1990,87.25,-9999,-9999,-9999,-9999
,18.02.1990,82.33,-9999,-9999,-9999,-9999
,19.02.1990,76.9,-9999,-9999,-9999,-9999
,20.02.1990,69.15,-9999,-9999,-9999,-9999
,21.02.1990,88.5,-9999,-9999,-9999,-9999
,22.02.1990,54.76,-9999,-9999,-9999,-9999
,23.02.1990,73.35,-9999,-9999,-9999,-9999
,24.02.1990,98.88,-9999,-9999,-9999,-9999
,25.02.1990,78.35,-9999,-9999,-9999,-9999
,26.02.1990,56.63,-9999,-9999,-9999,-9999
,27.02.1990,89.62,-9999,-9999,-9999,-9999
,28.02.1990,84.19,-9999,-9999,-9999,-9999
,01.03.1990,69.47,-9999,-9999,-9999,-9999
,02.03.1990,50.43,-9999,-9999,-9999,-9999
,03.03.1990,63.57,-9999,-9999,-9999,-9999
,04.03.1990,69.36,-9999,-9999,-9999,-9999
,05.03.1990,52.6,-9999,-9999,-9999,-9999
,06.03.1990,64.03,-9999,-9999,-9999,-9999
,07.03.1990,72.13,-9999,-9999,-9999,-9999
,08.03.1990,85.93,-9999,-9999,-9999,-9999
,09.03.1990,67.25,-9999,-9999,-9999,-9999
,10.03.1990,68.77,-9999,-9999,-9999,-9999
,11.03.1990,86.81,-9999,-9999,-9999,-9999
,12.03.1990,69.4,-9999,-9999,-9999,-9999
,13.03.1990,73.24,-9999,-9999,-9999,-9999
,14.03.1990,66.77,-9999,-9999,-9999,-9999
,15.03.1990,72.76,-9999,-9999,-9999,-9999
,16.03.1990,77.15,-9999,-9999,-9999,-9999
,17.03.1990,64.94,-9999,-9999,-9999,-9999
,18.03.1990,61.86,-9999,-9999,-9999,-9999
,19.03.1990,71.01,-9999,-9999,-9999,-9999
,20.03.1990,94.18,-9999,-9999,-9999,-9999
,21.03.1990,98.27,-9999,-9999,-9999,-9999
,22.03.1990,62.98,-9999,-9999,-9999,-9999
,23.03.1990,72.43,-9999,-9999,-9999,-9999
,24.03.1990,97.98,-9999,-9999,-9999,-9999
,25.03.1990,59.51,-9999,-9999,-9999,-9999
,26.03.1990,71.57,-9999,-9999,-9999,-9999
,27.03.1990,75.73,-9999,-9999,-9999,-9999
,28.03.1990,59.38,-9999,-9999,-9999,-9999
,29.03.1990,61.17,-9999,-9999,-9999,-9999
,30.03.1990,57.85,-9999,-9999,-9999,-9999
,31.03.1990,66.61,-9999,-9999,-9999,-9999
,01.04.1990,52.83,-9999,-9999,-9999,-9999
,02.04.1990,51.26,-9999,-9999,-9999,-9999
,03.04.1990,70.82,-9999,-9999,-9999,-9999
,04.04.1990,79.18,-9999,-9999,-9999,-9999
,05.04.1990,69.9,-9999,-9999,-9999,-9999
,06.04.1990,51.26,-9999,-9999,-9999,-9999
,07.04.1990,43.05,-9999,-9999,-9999,-9999
,08.04.1990,54.63,-9999,-9999,-9999,-9999
,09.04.1990,82.05,-9999,-9999,-9999,-9999
,10.04.1990,80.78,-9999,-9999,-9999,-9999
,11.04.1990,60.47,-9999,-9999,-9999,-9999
,12.04.1990,85.1,-9999,-9999,-9999,-9999
,13.04.1990,46.58,-9999,-9999,-9999,-9999
,14.04.1990,80.3,-9999,-9999,-9999,-9999
,15.04.1990,54,-9999,-9999,-9999,-9999
,16.04.1990,61.97,-9999,-9999,-9999,-9999
,17.04.1990,65.86,-9999,-9999,-9999,-9999
,18.04.1990,49.88,-9999,-9999,-9999,-9999
,19.04.1990,42.76,-9999,-9999,-9999,-9999
,20.04.1990,65.08,-9999,-9999,-9999,-9999
,21.04.1990,77.98,-9999,-9999,-9999,-9999
,22.04.1990,77.63,-9999,-9999,-9999,-9999
,23.04.1990,77.77,-9999,-9999,-9999,-9999
,24.04.1990,57.21,-9999,-9999,-9999,-9999
,25.04.1990,80.72,-9999,-9999,-9999,-9999
,26.04.1990,68.34,-9999,-9999,-9999,-9999
,27.04.1990,56.09,-9999,-9999,-9999,-9999
,28.04.1990,58.34,-9999,-9999,-9999,-9999
,29.04.1990,64.57,-9999,-9999,-9999,-9999
,30.04.1990,89.2,-9999,-9999,-9999,-9999
,01.05.1990,57.38,-9999,-9999,-9999,-9999
,02.05.1990,64.79,-9999,-9999,-9999,-9999
,03.05.1990,67.82,-9999,-9999,-9999,-9999
,04.05.1990,66.14,-9999,-9999,-9999,-9999
,05.05.1990,59.3,-9999,-9999,-9999,-9999
,06.05.1990,70.43,-9999,-9999,-9999,-9999
,07.05.1990,71.02,-9999,-9999,-9999,-9999
,08.05.1990,59.38,-9999,-9999,-9999,-9999
,09.05.1990,59.36,-9999,-9999,-9999,-9999
,10.05.1990,63.33,-9999,-9999,-9999,-9999
,11.05.1990,67.33,-9999,-9999,-9999,-9999
,12.05.1990,68.52,-9999,-9999,-9999,-9999
,13.05.1990,65.45,-9999,-9999,-9999,-9999
,14.05.1990,71.59,-9999,-9999,-9999,-9999
,15.05.1990,69.96,-9999,-9999,-9999,-9999
,16.05.1990,74.81,-9999,-9999,-9999,-9999
,17.05.1990,75.19,-9999,-9999,-9999,-9999
,18.05.1990,70.82,-9999,-9999,-9999,-9999
,19.05.1990,53.62,-9999,-9999,-9999,-9999
