@T,soils,,,,,,,,,,,
name,soils_hor.csv,,,,,,,,,,,
descr,soil input parameters by horizon,,,,,,,,,,,
,,,,,,,,,,,,
@H,SID,depth,aircapacity,fieldcapacity,deadcapacity,kf,bulk_density,corg,root,kvalue,A_skel,p_content
min,1,0,0,0,0,0,0,0,0,0,0,0
max,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1,100,500
unit,n/a,cm,mm,mm,mm,cm/d,g/cm,%,n/a,n/a,%,mg/100g_soil
,201,5,4.9,11.3,5.4,75,1.5,3,1,0.29,6,10
,202,30,13.5,30.6,11.4,75,1.6,1,1,0.29,6,10
,203,50,5.5,18,7.5,32,1.8,0,0,0.29,6,10
,204,50,5.5,18,7.5,32,1.8,0,0,0.29,6,10
,301,10,11.2,21.2,20.2,20,1.5,3,1,0.25,6,10
,302,90,14.4,28.8,27.9,20,1.6,1,1,0.25,6,10
,401,20,30,34.8,17,75,1.5,3,1,0.28,6,20
,402,20,25.4,30,10.4,75,1.6,1,1,0.28,6,20
,403,50,11,13,5.5,32,1.8,0,0,0.28,6,20
,404,50,11,13,5.5,32,1.8,0,0,0.28,6,20
,1001,10,11.2,21.2,20.2,20,1.5,3,1,0.24,6,10
,1002,50,20,40,39,20,1.6,1,1,0.24,6,10
,1003,50,4.5,12.5,15.5,14,1.8,0,0,0.24,6,10
,1004,50,4.5,12.5,15.5,14,1.8,0,0,0.24,6,10
,1101,20,20,37.8,36.2,20,1.5,5,1,0.25,16,10
,1102,80,12.8,25.6,24.8,20,1.6,1,1,0.25,16,10
,1501,20,19.6,45.2,21.6,75,1.5,3,1,0.29,6,10
,1502,30,18.9,42.9,15.9,75,1.6,1,1,0.29,6,10
,1503,50,5.5,18,7.5,32,1.8,0,0,0.29,6,10
,1504,50,5.5,18,7.5,32,1.8,0,0,0.29,6,10
,2401,30,33.6,63.6,60.6,20,1.5,3,1,0.25,6,10
,2402,80,12.8,25.6,24.8,20,1.6,1,1,0.25,6,10
,4101,30,29.4,67.8,32.4,75,1.5,3,1,0.29,6,20
,4102,30,25.5,57.6,21.3,75,1.6,1,1,0.29,6,20
,4103,50,5.5,18,7.5,32,1.8,0,0,0.29,6,20
,4104,50,5.5,18,7.5,32,1.8,0,0,0.29,6,20
,4201,30,38.1,60.6,42.3,43,1.5,3,1,0.24,6,20
,4202,30,21,36,24,43,1.6,1,1,0.24,6,20
,4203,50,5.5,14.5,11,21,1.8,0,0,0.24,6,20
,4204,50,5.5,14.5,11,21,1.8,0,0,0.24,6,20
,4301,40,40,75.6,72.4,20,1.5,5,1,0.25,16,10
,4302,60,9.6,19.2,18.6,20,1.6,1,1,0.25,16,10
,4401,20,12.2,39.4,76.2,10,1.5,5,1,0.22,6,20
,4402,80,5.6,23.2,57.6,10,1.6,1,1,0.22,6,20
,5101,30,31.5,70.5,58.5,31,1.5,3,1,0.51,0,20
,5102,40,22,82,62,31,1.6,1,1,0.51,0,20
,5103,50,2.5,18,15.5,9,1.8,0,0,0.51,0,20
,5104,50,2.5,18,15.5,9,1.8,0,0,0.51,0,20
,5201,30,31.5,72,34.5,75,1.5,3,1,0.29,0,40
,5202,50,45,102.5,37.5,75,1.6,1,1,0.29,0,40
,5203,50,48.5,26.5,15,229,1.8,0,0,0.29,0,40
,5204,50,19.5,10.5,6,229,1.8,0,0,0.29,0,40
,5301,30,18.3,59.1,114.3,10,1.5,5,1,0.24,6,20
,5302,70,4.9,20.3,50.4,10,1.6,1,1,0.24,6,20
,5401,30,33.6,63.6,60.6,20,1.5,3,1,0.25,6,10
,5402,50,20,40,39,20,1.6,1,1,0.25,6,10
,5403,50,4.5,12.5,15.5,14,1.8,0,0,0.25,6,10
,5404,50,4.5,12.5,15.5,14,1.8,0,0,0.25,6,10
,5501,30,33.6,63.6,60.6,20,1.5,5,1,0.25,6,20
,5502,50,28,56,54.5,20,1.6,1,1,0.25,6,20
,5503,50,4.5,12.5,15.5,14,1.8,0,0,0.25,6,20
,6101,40,44.8,84.8,80.8,20,1.5,5,1,0.25,6,20
,6102,60,28.8,57.6,55.8,20,1.6,1,1,0.25,6,20
,6103,50,4.5,12.5,15.5,14,1.8,0,0,0.25,6,20
,6201,30,33.6,63.6,60.6,20,1.5,3,1,0.25,6,10
,6202,50,37.5,75,73,20,1.6,1,1,0.25,6,10
,6203,50,4.5,12.5,15.5,14,1.8,0,0,0.25,6,10
,6204,50,4.5,12.5,15.5,14,1.8,0,0,0.25,6,10
,6301,20,12.2,39.4,76.2,10,1.5,5,1,0.22,6,20
,6302,40,8.4,34.8,86.4,10,1.6,1,1,0.22,6,20
,6303,50,2,11,32.5,3,1.8,0,0,0.22,6,20
,6401,30,31.5,72,34.5,75,1.5,3,1,0.29,0,10
,6402,50,45,102.5,37.5,75,1.6,1,1,0.29,0,10
,6403,50,27.5,90,37.5,32,1.8,0,0,0.29,0,10
,6404,50,27.5,90,37.5,32,1.8,0,0,0.29,0,10
,6501,40,66,92,77.2,43,1.5,15,1,0.24,6,10
,6502,50,47,80,54,43,1.6,1,1,0.24,6,10
,6503,50,5.5,14.5,11,21,1.8,0,0,0.24,6,10
,6504,50,5.5,14.5,11,21,1.8,0,0,0.24,6,10
,6601,20,20,54,32,35,1.5,3,1,0.01,0,20
,6602,20,16,32,31,20,1.6,1,1,0.01,0,20
,6603,50,4.5,12.5,15.5,14,1.8,0,0,0.01,0,20
,6604,50,4.5,12.5,15.5,14,1.8,0,0,0.01,0,20
,7101,30,36,67.5,64.5,20,1.5,3,1,0.25,0,10
,7102,50,40,80,77.5,20,1.6,1,1,0.25,0,10
,7103,50,22.5,62.5,77.5,14,1.8,0,0,0.25,0,10
,7104,50,22.5,62.5,77.5,14,1.8,0,0,0.25,0,10
,7201,20,12.2,39.4,76.2,10,1.5,5,1,0.22,6,50
,7202,50,12,51,126,10,1.6,1,1,0.22,6,50
,7203,50,2,11,32.5,3,1.8,0,0,0.22,6,50
,7301,50,60,112.5,107.5,20,1.5,5,1,0.25,0,20
,7302,50,40,80,77.5,20,1.6,1,1,0.25,0,20
,7303,50,22.5,62.5,77.5,14,1.8,0,0,0.25,0,20
,7304,50,22.5,62.5,77.5,14,1.8,0,0,0.25,0,20
,7401,70,115.5,157.5,94.5,109,1.5,40,1,0.17,0,30
,7402,50,62.5,87.5,32.5,109,1.6,1,1,0.17,0,30
,7403,50,45,80,22.5,49,1.8,0,0,0.17,0,30
,7404,50,45,80,22.5,49,1.8,0,0,0.17,0,30
,7501,40,33.6,84.8,94,26,1.5,5,1,0.43,6,50
,7502,50,28.5,80,91.5,26,1.6,1,1,0.43,6,50
,7503,50,10,36.5,47.5,18,1.8,0,0,0.43,6,50
,7504,50,4,14.5,19,18,1.8,0,0,0.43,6,50
,7601,30,31.5,70.5,58.5,31,1.5,3,1,0.51,0,50
,7602,50,27.5,102.5,77.5,31,1.6,1,1,0.51,0,50
,7603,50,2.5,18,15.5,9,1.8,0,0,0.51,0,50
,7604,50,2.5,18,15.5,9,1.8,0,0,0.51,0,50
,7701,30,30,81,48,35,1.5,3,1,0.01,0,30
,7702,70,45.5,154,77,35,1.6,1,1,0.01,0,30
,7703,50,22.5,62.5,77.5,14,1.8,0,0,0.01,0,30
,7704,50,4.5,12.5,15.5,14,1.8,0,0,0.01,0,30
,8101,70,66.5,199.5,87.5,41,1.5,5,1,0.36,0,20
,8102,50,97.5,52.5,30,349,1.6,1,1,0.36,0,20
,8103,50,97.5,52.5,30,229,1.8,0,0,0.36,0,20
,8104,50,97.5,52.5,30,229,1.8,0,0,0.36,0,20
,8201,70,73.5,164.5,136.5,31,1.5,5,1,0.51,0,50
,8202,50,17.5,70,147.5,10,1.6,1,1,0.51,0,50
,8203,50,10,55,162.5,3,1.8,0,0,0.51,0,50
,8204,50,10,55,162.5,3,1.8,0,0,0.51,0,50
,8301,30,18.3,59.1,114.3,10,1.5,5,1,0.22,6,50
,8302,60,14.4,61.2,151.2,10,1.6,1,1,0.22,6,50
,8303,50,2,11,32.5,3,1.8,0,0,0.22,6,50
,8401,70,73.5,164.5,136.5,31,1.5,5,1,0.51,0,50
,8402,50,27.5,102.5,77.5,31,1.6,1,1,0.51,0,50
,8403,50,12.5,90,77.5,9,1.8,0,0,0.51,0,50
,8404,50,12.5,90,77.5,9,1.8,0,0,0.51,0,50
,8501,70,78.4,148.4,141.4,20,1.5,5,1,0.25,6,50
,8502,50,37.5,75,73,20,1.6,1,1,0.25,6,50
,8503,50,4.5,12.5,15.5,14,1.8,0,0,0.25,6,50
,8504,50,4.5,12.5,15.5,14,1.8,0,0,0.25,6,50
,8601,20,21,47,39,31,1.5,3,1,0.01,0,50
,8602,50,17.5,70,147.5,10,1.6,1,1,0.01,0,50
,8603,50,10,55,162.5,3,1.8,0,0,0.01,0,50
,8604,50,10,55,162.5,3,1.8,0,0,0.01,0,50
,9101,40,26,84,162,10,1.5,5,1,0.22,0,50
,9102,70,16.8,71.4,176.4,10,1.6,1,1,0.22,0,50
,9103,50,2,11,32.5,3,1.8,0,0,0.22,0,50
,9201,40,38,114,172,10,1.5,15,1,0.24,0,50
,9202,50,17.5,72.5,180,10,1.6,1,1,0.24,0,50
,9203,50,10,55,162.5,3,1.8,0,0,0.24,0,50
,9204,50,10,55,162.5,3,1.8,0,0,0.24,0,50
,9301,70,45.5,147,283.5,10,1.5,5,1,0.24,0,50
,9302,50,17.5,72.5,180,10,1.6,1,1,0.24,0,50
,9303,50,10,55,162.5,3,1.8,0,0,0.24,0,50
,9304,50,10,55,162.5,3,1.8,0,0,0.24,0,50
,10001,100,45,125,155,6,2,0,0,0.01,0,20
,10002,100,45,125,155,6,2,0,0,0.01,0,20
