@T,climate
descr,minimum temperature
unit,deg C
missing_val,-9999
date_start,01.01.1990
date_end,31.12.2008
date_format,dd.MM.yyyy
 
@H,date,tmpmn[1],tmpmn[2],tmpmn[3],tmpmn[4],tmpmn[5],tmpmn[6],tmpmn[7],tmpmn[8]
namewaterloo,ad,ame,ang,ass,blg,garr,cme
ID,-,1,2,3,4,5,6,7,8
elevation,-,287,293,276,308,275,266,265,273
x,-,662756,667758,673163,659839,669112,666844,656200,660852
y,-,4596100,4593139,4595540,4610524,4591821,4584593,457442,4588796
,01.01.1990,-5,-2.92,-3.05,-5,-2.16,-2.71,-2.22,-9999
,02.01.1990,-7,-6.54,-6.8,-7,-5.29,-6.46,-6.11,-9999
,03.01.1990,-6,-1.38,-1.46,-6,-0.83,-1.11,-0.56,-9999
,04.01.1990,1,0.7,0.69,1,0.96,1.03,1.67,-9999
,05.01.1990,-6,-6.03,-6.27,-6,-4.85,-5.93,-5.56,-9999
,06.01.1990,-6,-5.51,-5.73,-6,-4.4,-5.39,-5,-9999
,07.01.1990,-4,-4.99,-5.19,-4,-3.95,-4.85,-4.44,-9999
,08.01.1990,-5,-4.48,-4.66,-5,-3.51,-4.32,-3.89,-9999
,09.01.1990,-3,0.7,0.69,-3,0.96,1.03,1.67,-9999
,10.01.1990,-1,-2.41,-2.52,-1,-1.72,-2.18,-1.67,-9999
,11.01.1990,-2,-2.41,-2.52,-2,-1.72,-2.18,-1.67,-9999
,12.01.1990,-4,-6.03,-6.27,-4,-4.85,-5.93,-5.56,-9999
,13.01.1990,-10,-7.07,-7.34,-10,-5.74,-7,-6.67,-9999
,14.01.1990,-7,-6.54,-6.8,-7,-5.29,-6.46,-6.11,-9999
,15.01.1990,-3,0.18,0.15,-3,0.51,0.49,1.11,-9999
,16.01.1990,-2,-0.86,-0.92,-2,-0.38,-0.58,0,-9999
,17.01.1990,6,6.9,7.11,6,6.31,7.45,8.33,-9999
,18.01.1990,1,-1.38,-1.46,1,-0.83,-1.11,-0.56,-9999
,19.01.1990,-8,-6.54,-6.8,-8,-5.29,-6.46,-6.11,-9999
,20.01.1990,-7,-1.89,-1.98,-7,-1.27,-1.64,-1.11,-9999
,21.01.1990,-2,-1.38,-1.46,-2,-0.83,-1.11,-0.56,-9999
,22.01.1990,-2,-1.38,-1.46,-2,-0.83,-1.11,-0.56,-9999
,23.01.1990,-5,-4.48,-4.66,-5,-3.51,-4.32,-3.89,-9999
,24.01.1990,-3,1.73,1.76,-3,1.85,2.1,2.78,-9999
,25.01.1990,-2,-1.89,-1.98,-2,-1.27,-1.64,-1.11,-9999
,26.01.1990,-5,-6.54,-6.8,-5,-5.29,-6.46,-6.11,-9999
,27.01.1990,-6,-4.48,-4.66,-6,-3.51,-4.32,-3.89,-9999
,28.01.1990,-7,-7.07,-7.34,-7,-5.74,-7,-6.67,-9999
,29.01.1990,-7,-3.44,-3.59,-7,-2.61,-3.25,-2.78,-9999
,30.01.1990,-9,-6.54,-6.8,-9,-5.29,-6.46,-6.11,-9999
,31.01.1990,-7,-6.54,-6.8,-7,-5.29,-6.46,-6.11,-9999
,01.02.1990,-7,-2.41,-2.52,-7,-1.72,-2.18,-1.67,-9999
,02.02.1990,-1,-2.41,-2.52,-1,-1.72,-2.18,-1.67,-9999
,03.02.1990,-4,-2.92,-3.05,-4,-2.16,-2.71,-2.22,-9999
,04.02.1990,-5,-4.48,-4.66,-5,-3.51,-4.32,-3.89,-9999
,05.02.1990,-5,-4.99,-5.19,-5,-3.95,-4.85,-4.44,-9999
,06.02.1990,-3,-1.89,-1.98,-3,-1.27,-1.64,-1.11,-9999
,07.02.1990,1,1.73,1.76,1,1.85,2.1,2.78,-9999
,08.02.1990,0,-1.38,-1.46,0,-0.83,-1.11,-0.56,-9999
,09.02.1990,1,4.32,4.44,1,4.08,4.78,5.56,-9999
,10.02.1990,-4,-4.48,-4.66,-4,-3.51,-4.32,-3.89,-9999
,11.02.1990,-4,-2.92,-3.05,-4,-2.16,-2.71,-2.22,-9999
,12.02.1990,-8,-7.58,-7.87,-8,-6.18,-7.53,-7.22,-9999
,13.02.1990,-8,4.32,4.44,-8,4.08,4.78,5.56,-9999
,14.02.1990,-6,-5.51,-5.73,-6,-4.4,-5.39,-5,-9999
,15.02.1990,-6,-5.51,-5.73,-6,-4.4,-5.39,-5,-9999
,16.02.1990,-3,-1.89,-1.98,-3,-1.27,-1.64,-1.11,-9999
,17.02.1990,-7,-5.51,-5.73,-7,-4.4,-5.39,-5,-9999
,18.02.1990,-7,-7.07,-7.34,-7,-5.74,-7,-6.67,-9999
,19.02.1990,-6,-3.96,-4.12,-6,-3.06,-3.78,-3.33,-9999
,20.02.1990,-11,-11.2,-11.61,-11,-9.3,-11.27,-11.11,-9999
,21.02.1990,-11,-7.58,-7.87,-11,-6.18,-7.53,-7.22,-9999
,22.02.1990,-7,0.7,0.69,-7,0.96,1.03,1.67,-9999
,23.02.1990,-3,-2.92,-3.05,-3,-2.16,-2.71,-2.22,-9999
,24.02.1990,-4,-9.13,-9.48,-4,-7.52,-9.14,-8.89,-9999
,25.02.1990,-15,-16.89,-17.5,-15,-14.21,-17.16,-17.22,-9999
,26.02.1990,-16,-17.41,-18.04,-16,-14.66,-17.7,-17.78,-9999
,27.02.1990,-13,-3.96,-4.12,-13,-3.06,-3.78,-3.33,-9999
,28.02.1990,-7,-7.07,-7.34,-7,-5.74,-7,-6.67,-9999
,01.03.1990,-9,-9.13,-9.48,-9,-7.52,-9.14,-8.89,-9999
,02.03.1990,-8,-2.92,-3.05,-8,-2.16,-2.71,-2.22,-9999
,03.03.1990,-6,-4.99,-5.19,-6,-3.95,-4.85,-4.44,-9999
,04.03.1990,-10,-9.13,-9.48,-10,-7.52,-9.14,-8.89,-9999
,05.03.1990,-8,-2.92,-3.05,-8,-2.16,-2.71,-2.22,-9999
,06.03.1990,-8,-7.07,-7.34,-8,-5.74,-7,-6.67,-9999
,07.03.1990,-11,-9.13,-9.48,-11,-7.52,-9.14,-8.89,-9999
,08.03.1990,-11,-3.96,-4.12,-11,-3.06,-3.78,-3.33,-9999
,09.03.1990,-4,3.28,3.36,-4,3.18,3.7,4.44,-9999
,10.03.1990,2,-0.33,-0.38,2,0.07,-0.04,0.56,-9999
,11.03.1990,4,7.93,8.17,4,7.2,8.52,9.44,-9999
,12.03.1990,8,13.63,14.07,8,12.11,14.41,15.56,-9999
,13.03.1990,15,13.63,14.07,15,12.11,14.41,15.56,-9999
,14.03.1990,14,11.55,11.92,14,10.32,12.26,13.33,-9999
,15.03.1990,15,10.52,10.85,15,9.43,11.19,12.22,-9999
,16.03.1990,8,7.42,7.65,8,6.76,7.99,8.89,-9999
,17.03.1990,6,3.28,3.36,6,3.18,3.7,4.44,-9999
,18.03.1990,-2,-0.33,-0.38,-2,0.07,-0.04,0.56,-9999
,19.03.1990,-4,-3.96,-4.12,-4,-3.06,-3.78,-3.33,-9999
,20.03.1990,-7,-7.58,-7.87,-7,-6.18,-7.53,-7.22,-9999
,21.03.1990,-6,-3.44,-3.59,-6,-2.61,-3.25,-2.78,-9999
,22.03.1990,-1,3.8,3.9,-1,3.63,4.24,5,-9999
,23.03.1990,-2,-2.41,-2.52,-2,-1.72,-2.18,-1.67,-9999
,24.03.1990,-6,-6.03,-6.27,-6,-4.85,-5.93,-5.56,-9999
,25.03.1990,-7,-6.54,-6.8,-7,-5.29,-6.46,-6.11,-9999
,26.03.1990,-6,-2.41,-2.52,-6,-1.72,-2.18,-1.67,-9999
,27.03.1990,-9,-9.13,-9.48,-9,-7.52,-9.14,-8.89,-9999
,28.03.1990,-7,-6.03,-6.27,-7,-4.85,-5.93,-5.56,-9999
,29.03.1990,-2,1.21,1.22,-2,1.4,1.56,2.22,-9999
,30.03.1990,2,1.21,1.22,2,1.4,1.56,2.22,-9999
