@T,hrus ,,,,,,,,,,,,,,
descr,hrus.csv ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
@H,ID,x,y,elevation,area,type,slope,aspect,flowlength,soilID,landuseID,hgeoID,slopelength,sedpool,tiledrainage
min,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
max,9999,9999999,9999999,10000,9999999999,3,90,360,999999,9999,9999,9999,9999,9999,1
unit,n/a,m,m,m,m2,n/a,deg,deg,m,n/a,n/a,n/a,m,t,n/a
,1,661549,4598805,303,64800,2,0.8,117.8906,0,2,21,1,181.456,0,0
,2,661399,4598670,304,78300,2,1.1,116.7296,0,2,21,1,101.326,0,0
,3,663574,4598834,305,638100,2,0.9,293.4391,0,2,82,1,144.06,0,0
,4,661384,4598073,302,1986300,3,0.7,-1,0,15,82,1,148.742,0,0
,5,666424,4598620,300,194400,2,1.4,161.3288,0,2,82,1,123.742,0,0
,6,664009,4598539,305,126000,2,0.8,117.1849,0,2,81,1,83.9822,0,0
,7,666904,4598203,296,619200,3,1.3,160.4511,0,2,82,1,231.851,0,0
,8,665914,4598338,301,59400,2,0.4,71.0956,0,2,82,1,110.593,0,0
,9,663949,4598301,305,50400,2,0.8,113.5751,0,2,82,1,69.4719,0,0
,10,666274,4598167,300,244800,2,1.8,161.1013,0,2,82,1,75.2413,0,0
,11,664264,4598322,304,54900,2,0.3,249.6974,0,2,82,1,70.642,0,0
,12,666019,4598256,302,70200,2,0.6,73.0648,0,2,82,1,85.1228,0,0
,13,662449,4598109,302,558000,3,0.8,-1,0,2,82,1,113.42,0,0
,14,664294,4598177,305,74700,2,0.7,23.2609,0,2,82,1,130.659,0,0
,15,663859,4597939,307,64800,2,1.5,72.0687,0,2,82,1,63.4452,0,0
,16,664069,4598025,304,58500,2,0.5,77.0781,0,2,91,1,29,0,0
,17,664744,4597990,302,250200,2,0.9,165.5974,0,2,41,1,185.104,0,0
,18,666169,4597909,301,50400,2,1.6,342.5733,0,2,81,1,82.8494,0,0
,19,665509,4597873,303,174600,2,0.9,208.1636,0,2,82,1,18.3925,0,0
,20,662614,4597612,301,549900,2,1.2,255.0565,0,2,82,1,22.2222,0,0
,21,664039,4597860,304,68400,2,1.5,106.6708,0,2,82,1,41.867,0,0
,22,666664,4597637,297,180000,3,2,115.4529,0,2,81,1,34.2677,0,0
,23,665284,4597904,297,2629800,3,1.3,159.7137,0,2,82,1,65.4922,0,0
,24,665779,4597618,303,127800,2,1.5,163.7005,0,2,81,1,25,0,0
,25,663199,4597656,305,98100,2,0.8,-1,0,2,82,1,87.0192,0,0
,26,667339,4597442,294,327600,2,1.1,73.7258,0,2,81,1,19.6262,0,0
,27,667759,4597177,292,149400,2,0.7,250.4716,0,10,41,1,24.1903,0,0
