@T,rot_hru,,
name,hrus_rot,,
descr,hru rotation input parameters,,
 ,,,
@H,ID,RID,REDU
,1,20,1
,2,21,1
,3,22,1
,4,23,1
,5,24,1
,6,25,1
,7,26,1
,8,20,1
,9,21,1
,10,22,1
,11,23,1
,12,24,1
,13,25,1
,14,26,1
,15,20,1
,16,21,1
,17,22,1
,18,23,1
,19,24,1
,20,25,1
,21,26,1
,22,20,1
,23,4,1
,24,21,1
,25,22,1
,26,23,1
,27,24,1
,28,25,1
,29,26,1
,30,20,1
,31,21,1
,32,22,1
,33,23,1
,34,24,1
,35,25,1
,36,26,1
,37,20,1
,38,21,1
,39,22,1
,40,23,1
,41,24,1
,42,25,1
,43,26,1
,44,5,1
,45,4,1
,46,20,1
,47,21,1
,48,22,1
,49,4,1
,50,5,1
,51,23,1
,52,24,1
,53,5,1
,54,25,1
,55,26,1
,56,20,1
,57,21,1
,58,22,1
,59,23,1
,60,24,1
,61,25,1
,62,26,1
,63,20,1
,64,21,1
,65,22,1
,66,23,1
,67,24,1
,68,25,1
,69,26,1
,70,5,1
,71,20,1
,72,5,1
,73,21,1
,74,22,1
,75,23,1
,76,5,1
,77,24,1
,78,5,1
,79,25,1
,80,26,1
,81,20,1
,82,21,1
,83,22,1
,84,23,1
,85,24,1
,86,5,1
,87,25,1
,88,26,1
,89,20,1
,90,21,1
,91,5,1
,92,22,1
,93,5,1
,94,23,1
,95,5,1
,96,5,1
,97,5,1
,98,5,1
,99,5,1
,100,24,1
,101,5,1
,102,25,1
,103,26,1
,104,4,1
,105,4,1
,106,20,1
,107,21,1
,108,22,1
,109,5,1
,110,23,1
,111,24,1
,112,25,1
,113,5,1
,114,5,1
,115,26,1
,116,5,1
,117,20,1
,118,21,1
,119,22,1
,120,23,1
,121,24,1
,122,25,1
,123,4,1
,124,5,1
,125,26,1
,126,5,1
,127,4,1
,128,20,1
,129,21,1
,130,22,1
,131,4,1
,132,5,1
,133,23,1
,134,24,1
,135,25,1
,136,5,1
,137,26,1
,138,4,1
,139,4,1
,140,20,1
,141,5,1
,142,21,1
,143,5,1
,144,5,1
,145,22,1
,146,5,1
,147,23,1
,148,24,1
,149,5,1
,150,25,1
,151,26,1
,152,20,1
,153,4,1
,154,21,1
,155,5,1
,156,4,1
,157,4,1
,158,22,1
,159,23,1
,160,24,1
,161,4,1
,162,4,1
,163,25,1
,164,26,1
,165,20,1
,166,6,1
,167,4,1
,168,21,1
,169,22,1
,170,4,1
,171,4,1
,172,23,1
,173,24,1
,174,25,1
,175,4,1
,176,26,1
,177,20,1
,178,21,1
,179,22,1
,180,23,1
,181,24,1
,182,5,1
,183,25,1
,184,26,1
,185,20,1
,186,4,1
,187,4,1
,188,21,1
,189,22,1
,190,23,1
,191,24,1
,192,25,1
,193,5,1
,194,4,1
,195,26,1
,196,20,1
,197,21,1
,198,22,1
,199,23,1
,200,24,1
,201,25,1
,202,26,1
,203,20,1
,204,5,1
,205,22,1
,206,23,1
,207,24,1
,208,25,1
,209,26,1
,210,20,1
,211,21,1
,212,22,1
,213,23,1
,214,24,1
,215,25,1
,216,26,1
,217,20,1
,218,21,1
,219,22,1
,220,23,1
,221,24,1
,222,25,1
,223,26,1
,224,20,1
,225,21,1
,226,22,1
,227,23,1
,228,24,1
,229,25,1
,230,26,1
,231,20,1
,232,21,1
,233,22,1
,234,23,1
,235,24,1
,236,25,1
,237,26,1
,238,4,1
,239,20,1
,240,21,1
,241,22,1
,242,23,1
,243,24,1
,244,25,1
,245,26,1
,246,4,1
,247,20,1
,248,21,1
,249,22,1
,250,23,1
,251,24,1
,252,25,1
,253,26,1
,254,4,1
,255,4,1
,256,4,1
,257,4,1
,258,20,1
,259,21,1
,260,22,1
,261,23,1
,262,24,1
