@T,management 
name,managment.csv 
desc,management input parameters 

# landuse management
# Date format 'MM-DD' 
# ID crop-ID referred to crop.csv
# Date when operation starts
# Till-id according to till.csv
# Fert-id according to fert.csv
# FAmount amount of fertilizer application [kg/ha] absolut
# Plant (1) assumes that planting operation; - no planting
# Harvest (1-4)assumes that plant is harvested; - no harvest
# for harvesting 4 codes are implemented:
# (1) assumes harvesting with main crop & cover crop, cover crop leaves the field, plant growth stopped
# (2) assumes harvesting with main crop cover crop remains on the field; plant growth stopped
# (3) assumes harvesting with main crop & cover crop; plant growth continues (may not be suitable for meadows)
# (4) assumes harvesting with main crop plant growth continues
# FracHarv is the fraction of the target biomass which will be removed by the harvest (according to harvest code)
# CID 27 spring wheat; 88 winter rape; 97 winter barley; 12 pasture; 7 Forrest-Deciduous; 98 urban; 8 Coniferous Forrest; 28 Winter-Wheat; 31Spring Barley; 20 Maize; 100 yellow Mustard; 16 Range-Brush; 18 Water
# MID: 0 Fallow; 1 Forrest-Deciduous; 2 Forrest-Coniferous; 3 Pasture; 4 Range-Grasses; 5 Range-Brush; 6 Water(not supported in AgES-W); 7 Urban Areas; 
# Tue Aug 27 12:04:23 MDT 2013

@H,MID,CID,Date,TID,FID,FAmount,PLANT,HARVEST,FRACHARV,Description
,0,1, 01-01,-,-,-,-,-,-,Fallow
,0,1, 12-31,-,-,-,-,-,-,Fallow
,1,7, 01-01,-,-,-,-,-,-,Forrest-Deciduous
,1,7, 10-22,-,-,-,-,1,0.1,Forrest-Deciduous
,1,7, 12-31,-,-,-,-,-,-,Forrest-Deciduous
,2,8, 01-01,-,-,-,-,-,-,Forrest-Coniferous
,2,8, 11-16,-,-,-,-,1,0.1,Forrest-Coniferous
,2,8, 12-31,-,-,-,-,-,-,Forrest-Coniferous
,3,12, 03-31,-,45,1125,-,-,-,Pasture
,3,12, 06-29,-,-,-,-,1,0.9,Pasture
,3,12, 07-09,-,21,100,-,-,-,Pasture
,3,12, 10-27,-,-,-,-,1,0.9,Pasture
,4,15, 01-01,-,-,-,-,-,-,Range-Grasses
,4,15, 10-22,-,-,-,-,1,0.1,Range-Grasses
,4,15, 12-31,-,-,-,-,-,-,Range-Grasses
,5,16, 01-01,-,-,-,-,-,-,Range-Brush
,5,16, 10-22,-,-,-,-,1,0.1,Range-Brush
,5,16, 12-31,-,-,-,-,-,-,Range-Brush
,6,18, 01-01,-,-,-,-,-,-,Water
,6,18, 12-31,-,-,-,-,-,-,Water
,7,98, 01-01,-,-,-,1,-,-,Urban Areas
,7,98, 12-31,-,-,-,-,1,-,Urban Areas
,8,28, 06-01,1,-,-,-,-,-,\Sweep plow wider  than 40 in w/ mulch treader   
,8,28, 08-30,2,-,-,-,-,-,\Rodweeder 
,8,28, 09-10,-,-,-,1,-,-,\Drill or airseeder; double disk   \Wheat; winter 14in rows
,8,28, 07-10,-,-,-,-,1,0.5,\Harvest; killing crop 50pct standing stubble 
,9,28, 09-10,-,-,-,1,-,-,\Drill or airseeder; double disk   \Wheat; winter 7in rows
,9,28, 07-10,-,-,-,-,1,0.5,\Harvest; killing crop 50pct standing stubble 
,9,28, 10-20,3,-,-,-,-,-,\Chisel; sweep shovel  
,10,20, 03-15,76,-,-,-,-,-,desc
,10,20, 03-30,-,45,2300,-,-,-,desc
,10,20, 04-09,-,-,-,1,-,-,desc
,10,20, 05-19,-,21,740,-,-,-,desc
,10,20, 10-26,-,-,-,-,1,0.9,desc
,10,20, 10-31,1,-,-,-,-,-,desc
,10,31, 02-19,76,-,-,-,-,-,desc
,10,31, 03-01,-,-,-,1,-,-,desc
