@T,reaches
name,reach 
descr,reach.csv 

@H,ID,length,slope,rough,width,deepsink
min,0,0,0,0,0,0
max,99999999,99999999,90,9999,99999999,1
,-73,30,0.4,30,0.8,0
,-72,1938,1.36,30,7.5,0
,-71,2323,0.93,30,1.9,0
,-70,1833,0.67,30,0.9,0
,-69,1024,1.22,30,7.3,0
,-68,524,0.31,30,3.7,0
,-67,4658,0.88,30,1.3,0
,-66,844,0.74,30,0.9,0
,-65,1860,0.51,30,3.5,0
,-64,3439,1.64,30,6.3,0
,-63,1349,0.87,30,1,0
,-62,3881,1.69,30,4.8,0
,-61,1955,0.74,30,1.5,0
,-60,1391,0.51,30,1.2,0
,-59,102,1.04,30,0.8,0
,-58,537,1,30,0.8,0
,-57,1183,0.76,30,0.9,0
,-56,2676,0.68,30,3.2,0
,-55,1873,0.66,30,1.9,0
,-54,1708,2.25,30,1,0
,-53,192,0.6,30,0.8,0
,-52,762,1.75,30,2.1,0
,-51,837,1.32,30,0.8,0
,-50,277,2.07,30,4.3,0
,-49,926,0.17,30,2.7,0
,-48,307,2.55,30,0.8,0
,-47,2687,1.49,30,4,0
,-46,2820,0.75,30,1.1,0
,-45,1678,2.37,30,1.4,0
,-44,1318,0.6,30,2.5,0
,-43,1006,0.63,30,0.8,0
,-42,7154,1.33,30,1.9,0
,-41,1224,1.73,30,3.8,0
,-40,4313,1.44,30,4,0
,-39,1903,1.96,30,3.6,0
,-38,1926,0.95,30,1.1,0
,-37,1581,1.05,30,0.9,0
,-36,2237,1.34,30,1,0
,-35,1975,2.58,30,2.7,0
,-34,1259,1.46,30,0.9,0
,-33,42,0.57,30,0.9,0
,-32,1298,2.08,30,1,0
,-31,3144,1.11,30,1,0
,-30,2073,0.48,30,2.1,0
,-29,1019,0.84,30,2.8,0
,-28,2347,2.01,30,2.1,0
,-27,379,2.34,30,0.8,0
,-26,966,0.99,30,3.4,0
,-25,531,0.75,30,2.5,0
,-24,414,0.38,30,2.3,0
,-23,2220,0.84,30,0.9,0
,-22,1176,2.06,30,1.4,0
,-21,422,1.07,30,0.9,0
,-20,2785,1.65,30,2.6,0
,-19,434,0.55,30,0.8,0
,-18,162,0.45,30,0.8,0
,-17,1547,0.33,30,1.5,0
,-16,427,2.58,30,1,0
,-15,439,1.53,30,1,0
,-14,2177,0.86,30,1.5,0
,-13,4251,2.13,30,1.7,0
,-12,894,3.51,30,0.9,0
,-11,711,0.46,30,1,0
,-10,1259,0.58,30,0.9,0
,-9,589,0.74,30,0.8,0
,-8,1059,0.94,30,1.9,0
,-7,192,0.95,30,1.4,0
,-6,2128,1.32,30,2.1,0
,-5,1770,0.6,30,1.2,0
,-4,1178,0.68,30,0.9,0
,-3,2273,1.24,30,1.2,0
,-2,1895,1.41,30,1,0
,-1,3145,1.35,30,1,0
