@T,Parameter
descr,soils_hor.csv
 
@H,SID,depth,kf_min,depth_min,kf_max,cap_rise,aircap,fc_sum,fc_1,fc_2,fc_3,fc_4,fc_5,fc_6,fc_7,fc_8,fc_9,fc_10,fc_11,fc_12,fc_13,fc_14,fc_15,fc_16,fc_17,fc_18,fc_19,fc_20,fc_21,fc_22
min,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
max,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
unit,n/a,cm,m/d,m,m/d,0/1,mm,mm,mm/dm,mm/dm,mm/dm,mm/dm,mm/dm,mm/dm,mm/dm,mm/dm,mm/dm,mm/dm,mm/dm,mm/dm,mm/dm,mm/dm,mm/dm,mm/dm,mm/dm,mm/dm,mm/dm,mm/dm,mm/dm,mm/dm
,201,152,0.08,86.4,0.92,0,68.8,157.4,21.4,21.4,26.2,26.2,12.3,12.3,12.3,4.1,4.1,4.1,2.6,2.6,2.6,2.6,2.6,0,0,0,0,0,0,0
,202,152,0.08,86.4,0.92,0,68.8,157.4,21.4,21.4,26.2,26.2,12.3,12.3,12.3,4.1,4.1,4.1,2.6,2.6,2.6,2.6,2.6,0,0,0,0,0,0,0
,203,152,0.08,86.4,0.92,0,68.8,157.4,21.4,21.4,26.2,26.2,12.3,12.3,12.3,4.1,4.1,4.1,2.6,2.6,2.6,2.6,2.6,0,0,0,0,0,0,0
,301,152,0.08,86.4,0.92,0,68.8,157.4,21.4,21.4,26.2,26.2,12.3,12.3,12.3,4.1,4.1,4.1,2.6,2.6,2.6,2.6,2.6,0,0,0,0,0,0,0
,302,152,0.08,86.4,0.92,0,68.8,157.4,21.4,21.4,26.2,26.2,12.3,12.3,12.3,4.1,4.1,4.1,2.6,2.6,2.6,2.6,2.6,0,0,0,0,0,0,0
,303,152,0.08,86.4,0.92,0,68.8,157.4,21.4,21.4,26.2,26.2,12.3,12.3,12.3,4.1,4.1,4.1,2.6,2.6,2.6,2.6,2.6,0,0,0,0,0,0,0
,401,152,0.08,86.4,0.92,0,68.8,157.4,21.4,21.4,26.2,26.2,12.3,12.3,12.3,4.1,4.1,4.1,2.6,2.6,2.6,2.6,2.6,0,0,0,0,0,0,0
,402,152,0.08,86.4,0.92,0,68.8,157.4,21.4,21.4,26.2,26.2,12.3,12.3,12.3,4.1,4.1,4.1,2.6,2.6,2.6,2.6,2.6,0,0,0,0,0,0,0
,403,152,0.08,86.4,0.92,0,68.8,157.4,21.4,21.4,26.2,26.2,12.3,12.3,12.3,4.1,4.1,4.1,2.6,2.6,2.6,2.6,2.6,0,0,0,0,0,0,0
,1001,152,0.08,86.4,0.92,0,68.8,157.4,21.4,21.4,26.2,26.2,12.3,12.3,12.3,4.1,4.1,4.1,2.6,2.6,2.6,2.6,2.6,0,0,0,0,0,0,0
