@T,A1A2A3,,,,
descr,average observed soil water content at probes A1 A2 A3 depths 30cm 60cm 90cm 120cm,,,,
unit,dimensionless,,,,
,,,,,
missing_val,-9999,,,,
date_start,18.10.2002,,,,
date_end,19.09.2012,,,,
date_format,dd.MM.yyyy,,,,
,,,,,
@H,date,swc[0],swc[1],swc[2],swc[3]
name,,Drake,,,
ID,,1,,,
elevation,,1570.333333,,,
x,,513651,,,
y,,4495344.667,,,
,18.10.2002,0.10972601,0.202214658,0.168540729,0.143534123
,19.10.2002,0.103460651,0.201519981,0.167891956,0.143129813
,20.10.2002,0.099524307,0.20081579,0.167419503,0.142712641
,21.10.2002,0.096051996,0.200321509,0.16707101,0.14233477
,22.10.2002,0.095055546,0.198660082,0.166661654,0.141999952
,23.10.2002,0.134443311,0.187900755,0.147496255,0.139566873
,24.10.2002,0.139555308,0.185300506,0.146386931,0.138910144
,25.10.2002,0.142916215,0.184072239,0.145281769,0.13811419
,26.10.2002,0.142535307,0.184244359,0.144604248,0.137308095
,27.10.2002,0.153920918,0.184956956,0.144260637,0.136679352
,28.10.2002,0.152847228,0.184566126,0.144172035,0.13622437
,29.10.2002,0.170130048,0.183892103,0.143915433,0.13587825
,30.10.2002,0.234930032,0.181540721,0.143333673,0.135468631
,31.10.2002,0.254663476,0.179311167,0.142370858,0.134880673
,01.11.2002,0.259658624,0.177365025,0.14132425,0.134178061
,02.11.2002,0.262223994,0.175479232,0.140287884,0.133422328
,03.11.2002,0.258766975,0.173714122,0.139340071,0.132727669
,04.11.2002,0.255405484,0.172398993,0.138467934,0.131998124
,05.11.2002,0.25463129,0.171155317,0.137659046,0.131242708
,06.11.2002,0.256761822,0.170217788,0.136878897,0.130508856
,07.11.2002,0.258666191,0.169958513,0.13633017,0.129864391
,08.11.2002,0.258854122,0.170292066,0.13597136,0.129351389
,09.11.2002,0.252533087,0.171714234,0.13588206,0.128925143
,10.11.2002,0.245709714,0.172286867,0.135929127,0.128623672
,11.11.2002,0.241073976,0.172645279,0.135814536,0.128363269
,12.11.2002,0.235698278,0.17230012,0.135510647,0.128018483
,13.11.2002,0.238846489,0.172702195,0.135037497,0.127648914
,14.11.2002,0.23946706,0.174461159,0.134833593,0.127301575
,15.11.2002,0.236077294,0.17561132,0.13490496,0.127051617
,16.11.2002,0.232230561,0.175580381,0.134850174,0.126845502
,17.11.2002,0.232841726,0.17595999,0.134570769,0.12658394
,18.11.2002,0.231046109,0.177495681,0.134453132,0.12633401
,19.11.2002,0.229986974,0.178572629,0.134549921,0.126169747
,20.11.2002,0.232796921,0.179871952,0.134712612,0.126115513
,21.11.2002,0.238582222,0.181729298,0.134984046,0.126133783
,22.11.2002,0.23976418,0.183050154,0.135340882,0.126224165
,23.11.2002,0.241022751,0.184319494,0.135678457,0.126364503
,24.11.2002,0.239639809,0.18493511,0.136001343,0.126538114
,25.11.2002,0.237379704,0.184227968,0.135945768,0.126609474
,26.11.2002,0.235266372,0.183194185,0.135500171,0.126447312
,27.11.2002,0.233107987,0.181821233,0.134829128,0.126101375
,28.11.2002,0.232334673,0.180709927,0.13403115,0.12559397
,29.11.2002,0.233013182,0.180306492,0.133314351,0.125017513
,30.11.2002,0.233787778,0.18075823,0.132880592,0.124527227
,01.12.2002,0.233582742,0.180873029,0.132665497,0.124147474
,02.12.2002,0.235119126,0.181438028,0.132483205,0.123828983
,03.12.2002,0.235381679,0.182383358,0.132508744,0.12363323
,04.12.2002,0.233709109,0.182201323,0.132538085,0.123513497
,05.12.2002,0.233098295,0.181765552,0.132317629,0.123326603
,06.12.2002,0.232504933,0.181569312,0.132016263,0.123080125
,07.12.2002,0.231387768,0.181066318,0.131706738,0.122793012
,08.12.2002,0.230714304,0.180560947,0.131301011,0.122463638
,09.12.2002,0.229957886,0.180151455,0.130899495,0.122162299
,10.12.2002,0.229372266,0.179708305,0.130492739,0.121831148
,11.12.2002,0.229676783,0.179483424,0.130102312,0.121496237
,12.12.2002,0.230134913,0.179791679,0.129849491,0.121194956
,13.12.2002,0.229623822,0.179837181,0.129715387,0.120923406
,14.12.2002,0.229791322,0.179851451,0.129557449,0.120701002
,15.12.2002,0.230116431,0.180121267,0.129452558,0.120490837
,16.12.2002,0.23023145,0.180406486,0.12940151,0.120317943
,17.12.2002,0.230348833,0.180586704,0.12938285,0.120186437
,18.12.2002,0.230661151,0.181008789,0.129388464,0.120074169
,19.12.2002,0.229283478,0.180899952,0.129416154,0.120010351
,20.12.2002,0.227472096,0.180182895,0.129244847,0.119889413
,21.12.2002,0.226629415,0.179338713,0.128852327,0.119717335
,22.12.2002,0.225873962,0.178812096,0.128436505,0.119462612
,23.12.2002,0.225244215,0.17834057,0.128065154,0.119186632
,24.12.2002,0.223972234,0.177842419,0.127701391,0.118892876
,25.12.2002,0.221605285,0.177112534,0.127282546,0.118583141
,26.12.2002,0.215046267,0.176267043,0.126771562,0.118244527
,27.12.2002,0.207170074,0.175350732,0.126195364,0.117848195
,28.12.2002,0.206233181,0.174840429,0.125618835,0.117417029
,29.12.2002,0.209058232,0.174828337,0.125245131,0.116991205
,30.12.2002,0.213673033,0.1750991,0.125093763,0.116692766
,31.12.2002,0.215807661,0.175612187,0.125138133,0.116504196
,01.01.2003,0.218918799,0.176032914,0.125249681,0.116380352
,02.01.2003,0.221796391,0.176613522,0.12540698,0.116330918
,03.01.2003,0.224514445,0.176835168,0.125555684,0.116328756
,04.01.2003,0.227357764,0.177687221,0.125706619,0.116318328
,05.01.2003,0.227922042,0.178612912,0.126036235,0.116378615
,06.01.2003,0.228590799,0.179360301,0.126396869,0.116503881
,07.01.2003,0.228249789,0.179843929,0.126738005,0.11667748
,08.01.2003,-9999,-9999,-9999,-9999
,09.01.2003,-9999,-9999,-9999,-9999
,10.01.2003,-9999,-9999,-9999,-9999
,11.01.2003,-9999,-9999,-9999,-9999
,12.01.2003,-9999,-9999,-9999,-9999
,13.01.2003,-9999,-9999,-9999,-9999
,14.01.2003,-9999,-9999,-9999,-9999
,15.01.2003,-9999,-9999,-9999,-9999
,16.01.2003,-9999,-9999,-9999,-9999
,17.01.2003,-9999,-9999,-9999,-9999
,18.01.2003,-9999,-9999,-9999,-9999
,19.01.2003,-9999,-9999,-9999,-9999
,20.01.2003,-9999,-9999,-9999,-9999
,21.01.2003,-9999,-9999,-9999,-9999
,22.01.2003,-9999,-9999,-9999,-9999
,23.01.2003,-9999,-9999,-9999,-9999
,24.01.2003,-9999,-9999,-9999,-9999
,25.01.2003,-9999,-9999,-9999,-9999
,26.01.2003,-9999,-9999,-9999,-9999
,27.01.2003,-9999,-9999,-9999,-9999
,28.01.2003,-9999,-9999,-9999,-9999
,29.01.2003,-9999,-9999,-9999,-9999
,30.01.2003,-9999,-9999,-9999,-9999
