@T,A4C1C2C3C4,,,,
descr,average observed soil water content at probe A4 C1 C2 C3 C4 depths 30cm 60cm 90cm 120cm,,,,
unit,dimensionless,,,,
,,,,,
missing_val,-9999,,,,
date_start,22.10.2002,,,,
date_end,19.09.2012,,,,
date_format,dd.MM.yyyy,,,,
,,,,,
@H,date,swc[0],swc[1],swc[2],swc[3]
name,,Drake,,,
ID,,1,,,
elevation,,1580.4,,,
x,,513568.6,,,
y,,4494995,,,
,22.10.2002,0.104143897,0.123114576,0.100884032,0.125533735
,23.10.2002,0.101718172,0.12089798,0.100320678,0.125167861
,24.10.2002,0.103800831,0.118837092,0.099362266,0.124623789
,25.10.2002,0.108795711,0.118145889,0.098418282,0.123900512
,26.10.2002,0.110880946,0.118325131,0.097792717,0.123177963
,27.10.2002,0.113577754,0.118815713,0.097460445,0.122572732
,28.10.2002,0.113752386,0.119033577,0.097330947,0.122129796
,29.10.2002,0.118208852,0.118773183,0.097168071,0.121800419
,30.10.2002,0.134102053,0.117734862,0.096876201,0.121472013
,31.10.2002,0.141031146,0.116288337,0.096310983,0.121055691
,01.11.2002,0.142687051,0.114927075,0.095575393,0.120498778
,02.11.2002,0.143177136,0.113976513,0.094840233,0.119858902
,03.11.2002,0.140745813,0.113129796,0.09419901,0.119214795
,04.11.2002,0.138247702,0.112295491,0.093604202,0.11858918
,05.11.2002,0.139236247,0.111614361,0.093036188,0.117969013
,06.11.2002,0.139842674,0.110981172,0.092506498,0.117375142
,07.11.2002,0.140184179,0.110568386,0.092030359,0.116810214
,08.11.2002,0.140947147,0.11033147,0.091629586,0.116281064
,09.11.2002,0.140378887,0.110723065,0.091374707,0.115819127
,10.11.2002,0.138350237,0.110870809,0.091298225,0.115462263
,11.11.2002,0.136681708,0.110631789,0.091169314,0.115186511
,12.11.2002,0.134944546,0.110068431,0.090933294,0.114911247
,13.11.2002,0.13502919,0.109553614,0.090597119,0.114583026
,14.11.2002,0.135850923,0.10980171,0.090320102,0.11421868
,15.11.2002,0.135195833,0.110123847,0.090243099,0.113925436
,16.11.2002,0.133663859,0.109862356,0.090169876,0.113710012
,17.11.2002,0.133513063,0.109467998,0.089956777,0.113486408
,18.11.2002,0.133752065,0.109728265,0.089775377,0.113233514
,19.11.2002,0.133640184,0.110047087,0.089747391,0.113018791
,20.11.2002,0.133956429,0.110442878,0.089781783,0.112866305
,21.11.2002,0.134471456,0.110907117,0.089889053,0.112764764
,22.11.2002,0.134698717,0.1114306,0.090016906,0.112719361
,23.11.2002,0.134443817,0.112033462,0.090190848,0.112725051
,24.11.2002,0.133358271,0.111907798,0.09037026,0.112785867
,25.11.2002,0.131775406,0.11087269,0.090270077,0.112802758
,26.11.2002,0.108767206,0.109672814,0.089901567,0.112680446
,27.11.2002,0.106824258,0.108370856,0.089365431,0.112394441
,28.11.2002,0.132822724,0.107337065,0.08872633,0.111971147
,29.11.2002,0.134538739,0.106868403,0.088147376,0.111486765
,30.11.2002,0.134122249,0.106989258,0.087801197,0.111035286
,01.12.2002,0.133691288,0.106903127,0.087592799,0.110674438
,02.12.2002,0.134007094,0.107197316,0.08742606,0.110370756
,03.12.2002,0.133131245,0.107568873,0.087440882,0.110154189
,04.12.2002,0.131760468,0.107258205,0.087407116,0.110010166
,05.12.2002,0.130865494,0.106819078,0.087200516,0.109835679
,06.12.2002,0.130306089,0.106777762,0.08699843,0.109603511
,07.12.2002,0.13199426,0.106808514,0.086774094,0.109327013
,08.12.2002,0.131322013,0.106330174,0.08647801,0.109045336
,09.12.2002,0.130681948,0.105924284,0.086161341,0.108745597
,10.12.2002,0.130079631,0.105455268,0.085837552,0.108421517
,11.12.2002,0.130174417,0.1051281,0.085525081,0.108083486
,12.12.2002,0.130619597,0.105217906,0.085302172,0.10776969
,13.12.2002,0.130199809,0.105151309,0.085164766,0.10750054
,14.12.2002,0.130297535,0.105048073,0.085010204,0.10727397
,15.12.2002,0.130642367,0.105134315,0.084892708,0.107058799
,16.12.2002,0.130936435,0.105299308,0.084832971,0.106879717
,17.12.2002,0.131008655,0.105375344,0.084798808,0.106729226
,18.12.2002,0.131370793,0.105607572,0.084786281,0.106613419
,19.12.2002,0.130284329,0.105477745,0.084779066,0.106520041
,20.12.2002,0.128743097,0.104852763,0.084627723,0.106404975
,21.12.2002,0.128003492,0.104092787,0.08432351,0.106193173
,22.12.2002,0.127443929,0.103630255,0.083998131,0.105917803
,23.12.2002,0.127001481,0.103179507,0.083691185,0.105615706
,24.12.2002,0.125836553,0.102679181,0.08340558,0.105303305
,25.12.2002,0.124375549,0.101839604,0.083039334,0.104964152
,26.12.2002,0.121749231,0.100900232,0.082549556,0.104576965
,27.12.2002,0.117561926,0.100038447,0.081976121,0.104120115
,28.12.2002,0.117411145,0.09980556,0.081477299,0.103632505
