@T,B4D1D2D3D4,,,,
descr,average observed soil water content at probe B4 D1 D2 D3 D4 depths 30cm 60cm 90cm 150cm,,,,
unit,dimensionless,,,,
,,,,,
missing_val,-9999,,,,
date_start,04.10.2002,,,,
date_end,19.09.2012,,,,
date_format,dd.MM.yyyy,,,,
,,,,,
@H,date,swc[0],swc[1],swc[2],swc[3]
name,,Drake,,,
ID,,1,,,
elevation,,1577,,,
x,,513649,,,
y,,4495037.6,,,
,04.10.2002,0.170612356,0.227302438,0.192940111,0.205218955
,05.10.2002,0.157601753,0.229332164,0.20825522,0.219892891
,06.10.2002,0.14722088,0.229495315,0.207522758,0.219363155
,07.10.2002,0.141489991,0.228986605,0.206937269,0.218836167
,08.10.2002,0.148132148,0.230076468,0.20657072,0.218327746
,09.10.2002,0.15822911,0.231928634,0.206681002,0.217880682
,10.10.2002,0.157910912,0.232243917,0.206895653,0.217512464
,11.10.2002,0.158327242,0.232481462,0.206960769,0.217221987
,12.10.2002,0.15771399,0.232796932,0.207055724,0.2169897
,13.10.2002,0.154757572,0.23154279,0.206913439,0.216783791
,14.10.2002,0.153953299,0.230010862,0.206243286,0.216588408
,15.10.2002,0.152741614,0.228863492,0.205506837,0.216347265
,16.10.2002,0.151996033,0.22767608,0.204715038,0.216057257
,17.10.2002,0.157915243,0.22410924,0.187176967,0.200739616
,18.10.2002,0.120473164,0.234786574,0.270031533,0.275255839
,19.10.2002,0.120861863,0.234735472,0.269401915,0.274792455
,20.10.2002,0.120499215,0.234515265,0.268981581,0.274359705
,21.10.2002,0.120334865,0.234154823,0.268564945,0.273930716
,22.10.2002,0.149363399,0.224154834,0.201265972,0.213816865
,23.10.2002,0.145637262,0.222217316,0.200629273,0.213481756
,24.10.2002,0.142708551,0.219400324,0.199397235,0.21313304
,25.10.2002,0.142113221,0.217150696,0.197909031,0.212695469
,26.10.2002,0.143231992,0.216555454,0.196709989,0.21215634
,27.10.2002,0.144872569,0.216736353,0.212106896,0.211582226
,28.10.2002,0.144239506,0.216978313,0.195721415,0.211020193
,29.10.2002,0.143721969,0.216639988,0.195387617,0.21053869
,30.10.2002,0.140451292,0.215157139,0.194871938,0.210097611
,31.10.2002,0.138133157,0.212848696,0.193822386,0.209659982
,01.11.2002,0.136828302,0.210774777,0.192506648,0.209177283
,02.11.2002,0.136023244,0.209300231,0.191235921,0.208623759
,03.11.2002,0.135265087,0.2081093,0.190132281,0.208007518
,04.11.2002,0.13450324,0.207018971,0.1891312,0.20738129
,05.11.2002,0.133860958,0.20598149,0.188188513,0.206742003
,06.11.2002,0.13353029,0.205110497,0.187322667,0.206106971
,07.11.2002,0.133856402,0.204713974,0.186593572,0.205483393
,08.11.2002,0.134619128,0.204530317,0.186065518,0.204874107
,09.11.2002,0.136383673,0.205202172,0.185785227,0.204314415
,10.11.2002,0.135930873,0.205598694,0.185777442,0.203799857
,11.11.2002,0.135302734,0.205328194,0.185648676,0.20336722
,12.11.2002,0.134028061,0.204581661,0.185329699,0.202973437
,13.11.2002,0.133963559,0.203696842,0.184800105,0.202591137
,14.11.2002,0.135660173,0.203900467,0.184363513,0.202197045
,15.11.2002,0.135782752,0.204439213,0.184289155,0.201798481
,16.11.2002,0.134578568,0.204156265,0.184223759,0.201430399
,17.11.2002,0.134476568,0.203456242,0.183895869,0.201108799
,18.11.2002,0.136042312,0.203741173,0.183610362,0.200791172
,19.11.2002,0.13639292,0.204194655,0.183615595,0.200472739
,20.11.2002,0.137926102,0.205103107,0.183734937,0.200188379
,21.11.2002,0.139149506,0.20612124,0.183978947,0.199936083
,22.11.2002,0.13993613,0.206748185,0.184211597,0.19974054
,23.11.2002,0.140862349,0.207630417,0.184541616,0.19957965
,24.11.2002,0.13875203,0.207666755,0.18487923,0.199471649
,25.11.2002,0.136065305,0.20610429,0.184694882,0.199390714
,26.11.2002,0.133958258,0.204336203,0.184030158,0.199287021
,27.11.2002,0.13187594,0.202383534,0.18310748,0.199107742
,28.11.2002,0.130880431,0.200655478,0.182024238,0.198837801
,29.11.2002,0.131292026,0.199624357,0.18101288,0.198463675
,30.11.2002,0.132092702,0.199697174,0.180360902,0.198052175
,01.12.2002,0.131893669,0.199432258,0.179997917,0.197623856
,02.12.2002,0.133490195,0.199736037,0.179705081,0.197218894
,03.12.2002,0.133744679,0.200480656,0.179736994,0.19686588
,04.12.2002,0.132239585,0.199968167,0.179736689,0.19656662
,05.12.2002,0.131766624,0.199234366,0.179412034,0.196294241
,06.12.2002,0.13141149,0.198857413,0.179056865,0.19603834
,07.12.2002,0.130497341,0.198115534,0.178665055,0.195752696
,08.12.2002,0.129976106,0.197358637,0.178189484,0.195473075
