@T,climate ,
descr,relative humidity ,
unit,% ,
 missing_value,-9999,
 date_start,21.11.2001 ,
 date_end,14.02.2014,
 date_format,dd.MM.yyyy ,
,,
@H,date,rehum[1]
name,-,Drake
ID,-,1
elevation,-,1572
x,-,512701
y,-,4495474
,21.11.2001,30.55
,22.11.2001,50.1
,23.11.2001,73.68333333
,24.11.2001,54.68333333
,25.11.2001,91.60833333
,26.11.2001,89.20833333
,27.11.2001,86.625
,28.11.2001,87.00833333
,29.11.2001,84.21666667
,30.11.2001,61.14166667
,01.12.2001,63.23333333
,02.12.2001,60.53333333
,03.12.2001,52.80833333
,04.12.2001,60.63333333
,05.12.2001,33.69166667
,06.12.2001,41.65
,07.12.2001,48.875
,08.12.2001,48.175
,09.12.2001,45.1
,10.12.2001,66.74166667
,11.12.2001,68.075
,12.12.2001,81.99166667
,13.12.2001,73.78333333
,14.12.2001,60.76666667
,15.12.2001,62.01666667
,16.12.2001,80.45833333
,17.12.2001,48.64166667
,18.12.2001,67.61666667
,19.12.2001,65.05833333
,20.12.2001,65.71666667
,21.12.2001,64.8
,22.12.2001,64.625
,23.12.2001,71.13333333
,24.12.2001,51.63333333
,25.12.2001,31.79166667
,26.12.2001,38.75
,27.12.2001,44.85833333
,28.12.2001,61.79166667
,29.12.2001,78.95
,30.12.2001,85.1
,31.12.2001,82.06666667
,01.01.2002,90.56666667
,02.01.2002,79.94166667
,03.01.2002,50.975
,04.01.2002,63.53333333
,05.01.2002,61.94166667
,06.01.2002,56.23333333
,07.01.2002,48.86666667
,08.01.2002,29.38333333
,09.01.2002,64.775
,10.01.2002,92.925
,11.01.2002,62.25833333
,12.01.2002,62.85
,13.01.2002,43.59166667
,14.01.2002,62.375
,15.01.2002,86.85
,16.01.2002,80.91666667
,17.01.2002,68.08333333
,18.01.2002,58.01666667
,19.01.2002,41.55833333
,20.01.2002,32.34166667
,21.01.2002,39.15
,22.01.2002,51.76666667
,23.01.2002,82.93333333
,24.01.2002,53.39166667
,25.01.2002,45.43333333
,26.01.2002,33.125
,27.01.2002,28.64166667
,28.01.2002,88.48333333
,29.01.2002,83.51666667
,30.01.2002,83.11666667
,31.01.2002,50.54166667
,01.02.2002,52.675
,02.02.2002,48.95
,03.02.2002,50.25833333
,04.02.2002,45.6
,05.02.2002,50.725
,06.02.2002,33.34166667
,07.02.2002,30.71666667
