@T,rot_hru,,
descr,hrus_rot.csv,,
 ,,,
@H,ID,RID,REDU
,35,1,1
,47,1,1
,52,1,1
,17,1,1
,41,1,1
,48,1,1
,55,1,1
,58,1,1
,9,2,1
,23,2,1
,25,2,1
,26,2,1
,27,2,1
,29,2,1
,33,2,1
,34,2,1
,46,2,1
,54,2,1
,8,2,1
,6,2,1
,24,2,1
,38,2,1
,39,2,1
,10,2,1
,12,2,1
,15,2,1
,28,2,1
,21,3,1
,44,3,1
,49,3,1
,57,3,1
,13,3,1
,37,3,1
,40,3,1
,50,3,1
,56,3,1
,4,3,1
,5,3,1
,20,3,1
,22,3,1
,31,3,1
,32,3,1
,36,3,1
,43,3,1
,45,3,1
,51,3,1
,53,3,1
,2,3,1
,19,3,1
,30,3,1
,1,4,1
