@T,B1B2B3,,,,
descr,average observed soil water content at probe B1 B2 B3 depths 30cm 60cm 90cm 150cm,,,,
unit,dimensionless,,,,
,,,,,
missing_val,-9999,,,,
date_start,03.10.2002,,,,
date_end,19.09.2012,,,,
date_format,dd.MM.yyyy,,,,
,,,,,
@H,date,swc[0],swc[1],swc[2],swc[3]
name,,Drake,,,
ID,,1,,,
elevation,,1568.666667,,,
x,,513721.3333,,,
y,,4495332.667,,,
,03.10.2002,0.192940936,0.178886828,0.168342755,0.210675186
,04.10.2002,0.201183953,0.175949189,0.166889545,0.21019842
,05.10.2002,0.204723833,0.175374216,0.16598726,0.220004883
,06.10.2002,0.202869149,0.175448365,0.165479035,0.219530991
,07.10.2002,0.202284379,0.1751318,0.16510477,0.219050609
,08.10.2002,0.203035968,0.175697322,0.16490032,0.218608908
,09.10.2002,0.203486327,0.176650775,0.164962825,0.218214151
,10.10.2002,0.201922563,0.176997039,0.165118806,0.217906799
,11.10.2002,0.20138976,0.177207222,0.165195639,0.217660643
,12.10.2002,0.200252458,0.177445198,0.165293672,0.217463867
,13.10.2002,0.196844261,0.176572889,0.165226749,0.217299063
,14.10.2002,0.195360591,0.175449391,0.164767684,0.217153741
,15.10.2002,0.193730205,0.17456069,0.164254961,0.216954418
,16.10.2002,0.192563525,0.173694179,0.163709405,0.216701169
,17.10.2002,-9999,-9999,-9999,-9999
,18.10.2002,0.190483672,0.171925434,0.162547763,0.216074005
,19.10.2002,0.190742664,0.171815057,0.162107617,0.215710491
,20.10.2002,0.190156917,0.171636011,0.161837468,0.215350619
,21.10.2002,0.189773606,0.171354032,0.161560484,0.215009476
,22.10.2002,0.188388407,0.170972658,0.161298058,0.214698632
,23.10.2002,0.184770961,0.169561129,0.160848721,0.214398833
,24.10.2002,0.181681943,0.167459452,0.159968027,0.214076105
,25.10.2002,0.180673583,0.165767207,0.158902158,0.21368229
,26.10.2002,0.181601366,0.165330981,0.158038201,0.213213155
,27.10.2002,0.182952939,0.165482517,0.157570935,0.212693908
,28.10.2002,0.182269827,0.165702301,0.157390934,0.212195827
,29.10.2002,0.181751249,0.165423588,0.157172878,0.211758279
,30.10.2002,0.178469608,0.164339685,0.156828801,0.21138133
,31.10.2002,0.17580852,0.162592075,0.156082186,0.210997012
,01.11.2002,0.174377636,0.16101792,0.155140039,0.210570106
,02.11.2002,0.173456188,0.159907236,0.154206962,0.210065227
,03.11.2002,0.172512076,0.158986458,0.15339307,0.209517994
,04.11.2002,0.171539255,0.158126906,0.152646623,0.208948227
,05.11.2002,0.170714677,0.157312353,0.151920037,0.208356591
,06.11.2002,0.170203995,0.156660962,0.151261731,0.207773647
,07.11.2002,0.170401281,0.15640191,0.150735335,0.207195983
,08.11.2002,0.170788799,0.15624872,0.150361783,0.206650633
,09.11.2002,0.172502045,0.156762109,0.150141594,0.206127697
,10.11.2002,0.172164544,0.157112251,0.150154199,0.205673583
,11.11.2002,0.1715493,0.156959015,0.150085092,0.205291457
,12.11.2002,0.170191134,0.156425986,0.149877685,0.204946174
