@T,C1C2C3,,,,
descr,average observed soil water content at probe C1 C2 C3 depths 30cm 60cm 90cm 120cm,,,,
unit,dimensionless,,,,
,,,,,
missing_val,-9999,,,,
date_start,22.10.2002,,,,
date_end,19.09.2012,,,,
date_format,dd.MM.yyyy,,,,
,,,,,
@H,date,swc[0],swc[1],swc[2],swc[3]
name,,Drake,,,
ID,,1,,,
elevation,,1584.333333,,,
x,,513547,,,
y,,4494896.333,,,
,22.10.2002,0.101112059,0.127574087,0.106460698,0.132129503
,23.10.2002,0.099223563,0.125176407,0.105774448,0.131746369
,24.10.2002,0.102761996,0.12314862,0.104664368,0.131157584
,25.10.2002,0.109416242,0.122703811,0.103632007,0.130382641
,26.10.2002,0.112542256,0.123030564,0.103015953,0.12964742
,27.10.2002,0.115159273,0.123538328,0.102719548,0.129057361
,28.10.2002,0.115961655,0.123935507,0.102641231,0.128638502
,29.10.2002,0.116437558,0.123832806,0.102521356,0.128335124
,30.10.2002,0.114588786,0.123058827,0.10226898,0.128042036
,31.10.2002,0.112958147,0.121661379,0.101689617,0.127660926
,01.11.2002,0.112201093,0.120349436,0.100901772,0.127123727
,02.11.2002,0.111942205,0.119466982,0.100131627,0.126489737
,03.11.2002,0.111593363,0.118748022,0.099468406,0.125843845
,04.11.2002,0.111124751,0.118064951,0.098853709,0.125226841
,05.11.2002,0.110661463,0.117387954,0.098270516,0.124617428
,06.11.2002,0.110323002,0.116766547,0.097704573,0.124026938
,07.11.2002,0.110387313,0.116355264,0.097193461,0.123473211
,08.11.2002,0.110724668,0.11607252,0.096766893,0.122943118
,09.11.2002,0.112160648,0.116343547,0.096488348,0.122483817
,10.11.2002,0.112065208,0.116571732,0.096408465,0.122125168
,11.11.2002,0.111687314,0.116361136,0.096282962,0.121854956
,12.11.2002,0.110775336,0.115875322,0.09603925,0.121580026
,13.11.2002,0.110502134,0.115270629,0.095670941,0.121256838
,14.11.2002,0.111784515,0.115304635,0.095348914,0.120890738
,15.11.2002,0.112107051,0.115624136,0.09526027,0.120589201
,16.11.2002,0.11130445,0.115476549,0.095189225,0.120373041
,17.11.2002,0.110994052,0.114993093,0.094963942,0.12014913
,18.11.2002,0.11220129,0.115082297,0.09475073,0.119893216
,19.11.2002,0.112587901,0.115375702,0.094718327,0.119675013
,20.11.2002,0.113411419,0.115706008,0.09473694,0.119526232
,21.11.2002,0.114074654,0.11608951,0.094840671,0.119433473
,22.11.2002,0.114766627,0.116504027,0.094975512,0.119395805
,23.11.2002,0.115667353,0.117018206,0.095162835,0.11940075
,24.11.2002,0.114504098,0.117118643,0.095376501,0.119464234
,25.11.2002,0.112556402,0.116285066,0.095306716,0.119493175
,26.11.2002,0.110821497,0.115211374,0.094936378,0.119387604
,27.11.2002,0.108785032,0.113904834,0.094356157,0.1191122
,28.11.2002,0.107919199,0.112715902,0.09363365,0.118684387
,29.11.2002,0.108317698,0.112108832,0.092984237,0.118187744
,30.11.2002,0.109152905,0.112194442,0.09259706,0.11771657
