@T,D1D2,,,,
descr,average observed soil water content at probe D1 D2 depths 30cm 60cm 90cm 150cm,,,,
unit,dimensionless,,,,
,,,,,
missing_val,-9999,,,,
date_start,04.10.2002,,,,
date_end,19.09.2012,,,,
date_format,dd.MM.yyyy,,,,
,,,,,
@H,date,swc[0],swc[1],swc[2],swc[3]
name,,Drake,,,
ID,,1,,,
elevation,,1583.5,,,
x,,513610.5,,,
y,,4494889.5,,,
,04.10.2002,0.215696497,0.205740091,0.178414644,0.229055885
,05.10.2002,0.212253008,0.205251637,0.176996909,0.228552844
,06.10.2002,0.203832313,0.205469459,0.176254148,0.227942511
,07.10.2002,0.198125988,0.205114252,0.17571413,0.227333718
,08.10.2002,0.198047603,0.206179955,0.175333878,0.226718363
,09.10.2002,0.200299762,0.207944614,0.175356367,0.226179375
,10.10.2002,0.197579719,0.208306362,0.175585415,0.225734519
,11.10.2002,0.196085957,0.208562894,0.17567623,0.225388035
,12.10.2002,0.193814456,0.208836377,0.17577287,0.225113639
,13.10.2002,0.188982348,0.207640606,0.17566435,0.224861989
,14.10.2002,0.18708458,0.206213404,0.175069261,0.224637107
,15.10.2002,0.184862209,0.20515774,0.174418813,0.224359215
,16.10.2002,0.183292347,0.204041422,0.173713585,0.224032473
,17.10.2002,0.180641199,0.202835002,0.172999541,0.223650093
,18.10.2002,-9999,-9999,-9999,-9999
,19.10.2002,-9999,-9999,-9999,-9999
,20.10.2002,-9999,-9999,-9999,-9999
,21.10.2002,-9999,-9999,-9999,-9999
,22.10.2002,0.17766974,0.200821496,0.170540075,0.221461347
,23.10.2002,0.172583255,0.198930586,0.169997462,0.221073004
,24.10.2002,0.168526802,0.196143632,0.168884929,0.220655367
,25.10.2002,0.167432056,0.193874661,0.167468106,0.220155357
,26.10.2002,0.168655714,0.193241318,0.166282218,0.219535157
,27.10.2002,0.170484656,0.193418572,0.199523738,0.218857901
,28.10.2002,0.169642696,0.193659602,0.165265236,0.218197243
,29.10.2002,0.168874133,0.19338764,0.16496055,0.217647783
,30.10.2002,0.164865311,0.192034402,0.164504792,0.217124661
,31.10.2002,0.162008852,0.189924716,0.163592075,0.216610782
,01.11.2002,0.160099889,0.187992345,0.162426294,0.21604681
,02.11.2002,0.158768046,0.186479807,0.161257077,0.215404219
,03.11.2002,0.157619908,0.185244751,0.160194821,0.214690739
,04.11.2002,0.156541331,0.184149831,0.159242782,0.213966322
,05.11.2002,0.155632205,0.183129209,0.158346006,0.213208075
,06.11.2002,0.15514379,0.18227899,0.157516705,0.212454214
,07.11.2002,0.155637995,0.181961857,0.156829352,0.211724812
,08.11.2002,0.156551212,0.181861962,0.156342271,0.211002468
,09.11.2002,0.158593753,0.182513855,0.156077047,0.210332162
,10.11.2002,0.157933823,0.182887428,0.156045424,0.209733578
,11.11.2002,0.157103823,0.182626867,0.155918987,0.209215224
,12.11.2002,0.155570894,0.1819298,0.155619323,0.208740801
,13.11.2002,0.155546385,0.181164886,0.155143223,0.208270333
,14.11.2002,0.15747569,0.181369278,0.154744341,0.207806567
,15.11.2002,0.157537588,0.181869374,0.154649533,0.207334037
,16.11.2002,0.156057954,0.18160131,0.154574626,0.206894626
,17.11.2002,0.155993902,0.180992777,0.154279538,0.206501386
,18.11.2002,0.15779557,0.181272081,0.154010775,0.206122325
,19.11.2002,0.158215568,0.18170814,0.153992413,0.205735998
,20.11.2002,0.160038732,0.18231202,0.153869137,0.205385175
,21.11.2002,0.161377499,0.182951581,0.15382345,0.205050031
,22.11.2002,0.162249091,0.183528304,0.154029717,0.204812552
,23.11.2002,0.163297724,0.184388447,0.154304298,0.204622812
,24.11.2002,0.160652322,0.184437817,0.154614777,0.20448508
,25.11.2002,0.157196916,0.182928822,0.154472826,0.204364336
,26.11.2002,0.154435049,0.181199313,0.153863431,0.204237091
,27.11.2002,0.151678616,0.179241612,0.153002666,0.2040002
,28.11.2002,0.150394083,0.17750129,0.151966513,0.203677846
,29.11.2002,0.151103871,0.176532269,0.151008195,0.203230009
,30.11.2002,0.152221802,0.176721282,0.150403306,0.202752838
,01.12.2002,0.151884602,0.176507841,0.150084667,0.202228567
,02.12.2002,0.153838503,0.176795776,0.149802676,0.201748457
,03.12.2002,0.154147668,0.177538751,0.149815922,0.201336714
,04.12.2002,0.152157465,0.17706478,0.149823341,0.200952509
,05.12.2002,0.151458952,0.176307096,0.149523459,0.200617909
,06.12.2002,0.151035911,0.175924888,0.149172543,0.200326286
,07.12.2002,0.149912697,0.175249351,0.148803752,0.199985838
,08.12.2002,0.149258569,0.174556713,0.14836832,0.199647887
,09.12.2002,0.148724913,0.174022183,0.147935787,0.199284989
,10.12.2002,0.14809999,0.173432498,0.147498789,0.198909034
,11.12.2002,0.148391425,0.172994604,0.147074233,0.198518475
,12.12.2002,0.149200319,0.17315842,0.146773419,0.198113353
,13.12.2002,0.14872282,0.173065003,0.146613217,0.197717842
,14.12.2002,0.149048865,0.172936972,0.146426857,0.197360774
,15.12.2002,0.149679691,0.173091263,0.146284273,0.197024406
,16.12.2002,0.15011474,0.17332647,0.146233973,0.196716152
