@T,climate ,
name,sunh ,
,,
missing_val,-9999,
date_start,21.11.2001 ,
date_end,14.02.2014 ,
date_format,dd.MM.yyyy ,
,,
tres,d ,
unit,h ,
,,
@H,date,sunh[0]
name,-,Drake
ID,-,1
elevation,-,1572
x,-,512701
y,-,4495474
,21.11.2001,8.947369296
,22.11.2001,4.935206448
,23.11.2001,3.4357734
,24.11.2001,12.53288088
,25.11.2001,2.736311472
,26.11.2001,5.134173624
,27.11.2001,9.164797344
,28.11.2001,12.62723645
,29.11.2001,7.724849328
,30.11.2001,9.854003232
,01.12.2001,11.49496963
,02.12.2001,11.88880157
,03.12.2001,9.759647664
,04.12.2001,7.556650272
,05.12.2001,11.80265083
,06.12.2001,11.3062585
,07.12.2001,10.59243811
,08.12.2001,11.32882178
,09.12.2001,7.67151792
,10.12.2001,8.643790512
,11.12.2001,11.13395702
,12.12.2001,5.257246104
,13.12.2001,9.11761956
,14.12.2001,7.002824112
,15.12.2001,5.944400784
,16.12.2001,11.21395414
,17.12.2001,10.70320334
,18.12.2001,9.339150024
,19.12.2001,10.90832414
,20.12.2001,9.843747192
,21.12.2001,9.575038944
,22.12.2001,9.597602232
,23.12.2001,11.18728843
,24.12.2001,10.55551637
,25.12.2001,8.526871656
,26.12.2001,11.10524011
,27.12.2001,10.91652898
,28.12.2001,3.495258432
,29.12.2001,6.972055992
,30.12.2001,3.665508696
,31.12.2001,10.15553081
,01.01.2002,6.260286816
,02.01.2002,12.36878424
,03.01.2002,11.58112037
,04.01.2002,4.190617944
,05.01.2002,8.750453328
,06.01.2002,10.49398013
,07.01.2002,10.53500429
,08.01.2002,2.90245932
,09.01.2002,9.347354856
,10.01.2002,9.792466992
,11.01.2002,8.305341192
,12.01.2002,10.06322645
,13.01.2002,10.78730287
,14.01.2002,9.412993512
,15.01.2002,9.2817162
,16.01.2002,12.15135619
,17.01.2002,12.22725089
,18.01.2002,9.605807064
,19.01.2002,11.80470204
,20.01.2002,12.6415949
,21.01.2002,12.79953792
,22.01.2002,12.54108571
,23.01.2002,12.5903147
,24.01.2002,14.0753893
,25.01.2002,7.509472488
,26.01.2002,9.987331752
,27.01.2002,10.57807966
,28.01.2002,7.214098536
,29.01.2002,11.91956969
,30.01.2002,11.21805655
,31.01.2002,14.8445923
,01.02.2002,14.91228216
,02.02.2002,12.63133886
,03.02.2002,15.05586672
,04.02.2002,14.77280002
,05.02.2002,15.41482812
,06.02.2002,15.79840402
,07.02.2002,9.798620616
,08.02.2002,6.805908144
,09.02.2002,7.884843552
,10.02.2002,16.3317181
,11.02.2002,8.904293928
,12.02.2002,9.294023448
,13.02.2002,16.54504373
,14.02.2002,4.06139184
,15.02.2002,17.2034815
,16.02.2002,16.75426694
,17.02.2002,16.51632682
,18.02.2002,11.78213875
,19.02.2002,15.95429582
,20.02.2002,14.95330632
,21.02.2002,18.204471
,22.02.2002,11.36779474
,23.02.2002,12.58416108
,24.02.2002,13.86616608
,25.02.2002,15.44559624
,26.02.2002,19.59313882
,27.02.2002,14.10410621
,28.02.2002,16.49581474
,01.03.2002,12.29904317
,02.03.2002,20.00748283
,03.03.2002,20.7951467
,04.03.2002,20.39721235
,05.03.2002,19.4598103
,06.03.2002,17.93986517
,07.03.2002,15.75532865
,08.03.2002,5.212119528
,09.03.2002,21.08026462
,10.03.2002,17.80448544
,11.03.2002,21.27718058
,12.03.2002,15.4599547
,13.03.2002,19.50288566
,14.03.2002,17.71218108
,15.03.2002,21.46589172
,16.03.2002,18.54497153
,17.03.2002,18.02191349
,18.03.2002,13.47848777
,19.03.2002,22.2289411
,20.03.2002,22.47918847
,21.03.2002,17.19117425
,22.03.2002,23.0494243
,23.03.2002,15.2568851
,24.03.2002,4.535220888
,25.03.2002,7.30230048
,26.03.2002,23.23608422
,27.03.2002,23.18890644
,28.03.2002,17.68141296
,29.03.2002,21.57255454
,30.03.2002,17.8967898
,31.03.2002,21.68742218
,01.04.2002,23.19095765
,02.04.2002,7.136152632
,03.04.2002,21.7161391
,04.04.2002,24.93653566
,05.04.2002,24.82577042
,06.04.2002,16.99015586
,07.04.2002,18.52445945
,08.04.2002,13.31849354
,09.04.2002,21.60742507
,10.04.2002,10.06732886
,11.04.2002,17.71423229
,12.04.2002,22.28432371
,13.04.2002,24.70064674
,14.04.2002,9.981178128
,15.04.2002,16.27838669
,16.04.2002,21.4351236
,17.04.2002,26.66980642
,18.04.2002,22.42175465
,19.04.2002,10.52269704
,20.04.2002,3.14860428
,21.04.2002,25.73240436
,22.04.2002,27.88617276
,23.04.2002,27.94360658
,24.04.2002,27.8964288
,25.04.2002,18.83829427
,26.04.2002,15.56866872
,27.04.2002,15.60353926
,28.04.2002,27.46362391
,29.04.2002,26.04008556
,30.04.2002,27.13543063
,01.05.2002,6.438741912
,02.05.2002,23.8965732
,03.05.2002,25.89444979
,04.05.2002,26.22264307
,05.05.2002,22.98788806
,06.05.2002,21.71203668
,07.05.2002,15.90711804
,08.05.2002,22.09971499
,09.05.2002,26.72518903
,10.05.2002,16.7686254
,11.05.2002,17.17681579
,12.05.2002,17.51936753
,13.05.2002,29.2809942
,14.05.2002,16.18608233
,15.05.2002,10.53500429
,16.05.2002,5.575183344
,17.05.2002,12.61903162
,18.05.2002,23.7427326
,19.05.2002,28.03180853
,20.05.2002,8.982239832
,21.05.2002,20.47105584
,22.05.2002,30.88709006
,23.05.2002,22.18791694
,24.05.2002,13.09080946
,25.05.2002,27.41849734
,26.05.2002,29.52713916
,27.05.2002,26.95902674
,28.05.2002,24.86269217
,29.05.2002,21.98484734
,30.05.2002,29.05331011
,31.05.2002,23.0514755
,01.06.2002,14.54716714
,02.06.2002,27.68105196
,03.06.2002,21.02693321
,04.06.2002,15.0517643
,05.06.2002,30.06660686
,06.06.2002,28.20616121
,07.06.2002,22.75610155
,08.06.2002,29.54970245
,09.06.2002,29.41432272
,10.06.2002,27.50464807
,11.06.2002,30.32300786
,12.06.2002,31.18246402
,13.06.2002,26.39084213
,14.06.2002,27.98668195
,15.06.2002,21.26692454
,16.06.2002,26.13854354
,17.06.2002,27.64207901
,18.06.2002,25.42472316
,19.06.2002,19.51519291
,20.06.2002,20.2802935
,21.06.2002,21.48230138
,22.06.2002,24.07913071
,23.06.2002,28.23898054
,24.06.2002,25.43908162
,25.06.2002,22.82994504
,26.06.2002,29.31381353
,27.06.2002,25.10473471
,28.06.2002,26.62467984
,29.06.2002,27.53541619
,30.06.2002,26.39494454
,01.07.2002,26.6144238
,02.07.2002,23.46376831
,03.07.2002,17.52346994
,04.07.2002,26.21648945
,05.07.2002,25.65650966
,06.07.2002,21.88023574
,07.07.2002,26.76416198
,08.07.2002,23.49658764
,09.07.2002,26.49340253
,10.07.2002,21.59101541
,11.07.2002,29.83687157
,12.07.2002,30.49325813
,13.07.2002,27.02671661
,14.07.2002,29.9722513
,15.07.2002,29.84097398
,16.07.2002,29.6912358
,17.07.2002,28.99382508
,18.07.2002,27.69541042
,19.07.2002,27.43285579
,20.07.2002,25.05550572
,21.07.2002,22.14484157
,22.07.2002,22.82789383
,23.07.2002,17.55013565
,24.07.2002,26.64724313
,25.07.2002,14.6661372
,26.07.2002,24.73551727
,27.07.2002,26.95902674
,28.07.2002,23.42069294
,29.07.2002,28.7948579
,30.07.2002,28.28410711
,31.07.2002,23.07403879
,01.08.2002,19.41878614
,02.08.2002,19.16443634
,03.08.2002,15.22611698
,04.08.2002,23.59709683
,05.08.2002,19.21981896
,06.08.2002,23.82272971
,07.08.2002,25.5129251
,08.08.2002,23.36736154
,09.08.2002,27.52926257
,10.08.2002,27.19081325
,11.08.2002,28.42153805
,12.08.2002,10.57397724
,13.08.2002,25.61958792
,14.08.2002,27.44311183
,15.08.2002,24.55911338
,16.08.2002,24.83602646
,17.08.2002,22.9735296
,18.08.2002,12.98004422
,19.08.2002,22.12227828
,20.08.2002,17.94191638
,21.08.2002,15.90301562
,22.08.2002,23.50479247
,23.08.2002,20.29260074
,24.08.2002,18.12447389
,25.08.2002,24.05451622
