@T,climate ,
name,tmax ,
descr,max temperature ,
,,
missing_val,-9999,
date_start,21.11.2001,
date_end,14.02.2014,
date_format,dd.MM.yyyy ,
,,
tres,d ,
unit,C ,
,,
@H,date,tmax[1]
name,-,Drake
ID,-,1
elevation,-,1572
x,-,512701
y,-,4495474
,21.11.2001,13.82
,22.11.2001,12.76
,23.11.2001,6.45
,24.11.2001,9.04
,25.11.2001,-0.69
,26.11.2001,-0.93
,27.11.2001,-3.89
,28.11.2001,-5.09
,29.11.2001,2.83
,30.11.2001,5.73
,01.12.2001,4.84
,02.12.2001,12.27
,03.12.2001,16.73
,04.12.2001,6.78
,05.12.2001,7.26
,06.12.2001,13.33
,07.12.2001,5.73
,08.12.2001,6.05
,09.12.2001,11.79
,10.12.2001,4.28
,11.12.2001,7.59
,12.12.2001,-2.13
,13.12.2001,1.14
,14.12.2001,7.26
,15.12.2001,8.47
,16.12.2001,2.59
,17.12.2001,13.82
,18.12.2001,7.26
,19.12.2001,8.8
,20.12.2001,5.57
,21.12.2001,10.58
,22.12.2001,3.31
,23.12.2001,7.5
,24.12.2001,5.24
,25.12.2001,8.47
,26.12.2001,9.04
,27.12.2001,7.59
,28.12.2001,9.92
,29.12.2001,-0.61
,30.12.2001,-5.64
,31.12.2001,-0.05
,01.01.2002,-3.1
,02.01.2002,-3.82
,03.01.2002,11.55
,04.01.2002,5
,05.01.2002,2.83
,06.01.2002,5.73
,07.01.2002,17.21
,08.01.2002,16.53
,09.01.2002,12.12
,10.01.2002,2.59
,11.01.2002,11.79
,12.01.2002,9.59
,13.01.2002,5.73
,14.01.2002,0.58
,15.01.2002,-4.78
,16.01.2002,-3.58
,17.01.2002,-2.13
,18.01.2002,0.34
,19.01.2002,2.11
,20.01.2002,3.56
,21.01.2002,9.28
,22.01.2002,11.79
,23.01.2002,-1.41
,24.01.2002,0.43
,25.01.2002,11.46
,26.01.2002,12.27
,27.01.2002,14.54
,28.01.2002,2.11
,29.01.2002,1.14
,30.01.2002,-3.26
,31.01.2002,-1.17
,01.02.2002,2.83
,02.02.2002,5.09
,03.02.2002,6.05
,04.02.2002,8.8
,05.02.2002,3.8
,06.02.2002,11.79
,07.02.2002,10.25
,08.02.2002,10.25
,09.02.2002,0.82
,10.02.2002,7.02
,11.02.2002,17.6
,12.02.2002,0.1
,13.02.2002,9.52
,14.02.2002,7.98
,15.02.2002,10.34
,16.02.2002,11.79
,17.02.2002,16.48
,18.02.2002,11.55
,19.02.2002,9.76
,20.02.2002,11.21
,21.02.2002,9.76
,22.02.2002,19.01
,23.02.2002,21.43
,24.02.2002,7.42
,25.02.2002,-7.08
,26.02.2002,-5.81
,27.02.2002,1.06
,28.02.2002,8.23
,01.03.2002,-7.08
,02.03.2002,-11.53
,03.03.2002,-3.65
,04.03.2002,6.38
,05.03.2002,10
,06.03.2002,5.24
,07.03.2002,13.82
,08.03.2002,-0.69
,09.03.2002,3.56
,10.03.2002,12.03
,11.03.2002,13.82
,12.03.2002,18.76
,13.03.2002,10.25
,14.03.2002,-1.58
,15.03.2002,-0.13
,16.03.2002,4.28
,17.03.2002,5.81
,18.03.2002,5.33
,19.03.2002,8.8
,20.03.2002,16.24
,21.03.2002,-4.06
,22.03.2002,15.03
,23.03.2002,20.22
,24.03.2002,1.55
,25.03.2002,-1.17
,26.03.2002,14.06
,27.03.2002,18.18
,28.03.2002,19.63
,29.03.2002,11.55
,30.03.2002,12.76
,31.03.2002,17.69
,01.04.2002,23.48
,02.04.2002,-2.93
,03.04.2002,8.55
,04.04.2002,13.82
,05.04.2002,17.21
,06.04.2002,22.75
,07.04.2002,19.15
,08.04.2002,11.06
,09.04.2002,20.95
,10.04.2002,20.7
,11.04.2002,17.21
,12.04.2002,20.08
,13.04.2002,24.31
,14.04.2002,22.75
,15.04.2002,26.85
,16.04.2002,16.73
,17.04.2002,25.04
,18.04.2002,18.76
,19.04.2002,4.76
,20.04.2002,3.8
,21.04.2002,12.76
,22.04.2002,20.22
,23.04.2002,25.04
,24.04.2002,14.54
,25.04.2002,12.85
,26.04.2002,18.42
,27.04.2002,17.21
,28.04.2002,20.7
,29.04.2002,22.51
,30.04.2002,21.78
,01.05.2002,10.49
,02.05.2002,14.79
,03.05.2002,21.78
,04.05.2002,20.46
,05.05.2002,24.55
,06.05.2002,25.39
,07.05.2002,16.73
,08.05.2002,17.94
,09.05.2002,15.03
,10.05.2002,16.73
,11.05.2002,16.97
,12.05.2002,13.58
,13.05.2002,20.32
,14.05.2002,24.8
,15.05.2002,22.26
,16.05.2002,9.76
,17.05.2002,13.82
,18.05.2002,22.75
,19.05.2002,20.81
,20.05.2002,16.73
,21.05.2002,29.29
,22.05.2002,19.49
,23.05.2002,15.51
,24.05.2002,9.76
,25.05.2002,20.56
,26.05.2002,24.9
,27.05.2002,27.09
,28.05.2002,27.82
,29.05.2002,29.53
,30.05.2002,31.83
,31.05.2002,32.57
,01.06.2002,30.26
,02.06.2002,32.08
,03.06.2002,23.58
,04.06.2002,16.24
,05.06.2002,23.23
,06.06.2002,28.8
,07.06.2002,31.83
,08.06.2002,33.78
,09.06.2002,33.41
,10.06.2002,24.55
,11.06.2002,24.8
,12.06.2002,28.31
,13.06.2002,22.51
,14.06.2002,26.01
,15.06.2002,27.82
,16.06.2002,28.07
,17.06.2002,32.92
,18.06.2002,32.92
,19.06.2002,30.37
,20.06.2002,25.77
,21.06.2002,31.83
,22.06.2002,31.83
,23.06.2002,32.92
,24.06.2002,34.39
,25.06.2002,32.44
,26.06.2002,32.19
,27.06.2002,34.02
,28.06.2002,33.17
,29.06.2002,35.97
,30.06.2002,33.9
,01.07.2002,37.07
,02.07.2002,34.63
,03.07.2002,31.35
,04.07.2002,30.37
,05.07.2002,30.37
,06.07.2002,27.58
,07.07.2002,31.83
,08.07.2002,31.1
,09.07.2002,33.41
,10.07.2002,28.56
,11.07.2002,28.8
,12.07.2002,35.48
,13.07.2002,34.39
,14.07.2002,33.9
,15.07.2002,34.14
,16.07.2002,35.24
,17.07.2002,34.14
,18.07.2002,34.39
,19.07.2002,34.26
,20.07.2002,34.51
,21.07.2002,28.31
,22.07.2002,25.77
,23.07.2002,29.53
,24.07.2002,35.73
,25.07.2002,33.9
,26.07.2002,31.35
,27.07.2002,32.08
,28.07.2002,29.4
,29.07.2002,32.92
,30.07.2002,35.24
,31.07.2002,36.95
,01.08.2002,24.69
,02.08.2002,29.4
,03.08.2002,30.62
,04.08.2002,29.88
,05.08.2002,29.29
,06.08.2002,32.19
,07.08.2002,31.46
,08.08.2002,30.13
,09.08.2002,27.82
,10.08.2002,31.35
,11.08.2002,33.41
,12.08.2002,18.91
,13.08.2002,23.34
,14.08.2002,32.44
,15.08.2002,25.04
,16.08.2002,36.46
