@T,climate ,
name,wind ,
desc,wind speed ,
,,
missing_val,-9999,
date_start,21.11.2001 ,
date_end,14.02.2014,
date_format,dd.MM.yyyy ,
,,
tres,d ,
unit,m/s ,
,,
@H,date,wind[0]
name,-,Drake
ID,-,1
elevation,-,1572
x,-,512701
y,-,4495474
,21.11.2001,2.285799815
,22.11.2001,2.216668981
,23.11.2001,5.42302287
,24.11.2001,4.056317269
,25.11.2001,3.342513981
,26.11.2001,5.087244537
,27.11.2001,2.456432269
,28.11.2001,1.976357037
,29.11.2001,2.06249625
,30.11.2001,2.941994074
,01.12.2001,2.239712593
,02.12.2001,2.535987593
,03.12.2001,2.613896944
,04.12.2001,3.385857917
,05.12.2001,6.960360926
,06.12.2001,3.635497037
,07.12.2001,4.054122639
,08.12.2001,1.986781528
,09.12.2001,2.073469398
,10.12.2001,2.642975787
,11.12.2001,3.125245648
,12.12.2001,2.048779815
,13.12.2001,1.998303333
,14.12.2001,2.401566528
,15.12.2001,4.294983241
,16.12.2001,2.035612037
,17.12.2001,2.229836759
,18.12.2001,3.118113102
,19.12.2001,2.899198796
,20.12.2001,2.576039583
,21.12.2001,3.838500278
,22.12.2001,2.903039398
,23.12.2001,2.209536435
,24.12.2001,2.867925324
,25.12.2001,4.816756435
,26.12.2001,2.493192315
,27.12.2001,2.275923981
,28.12.2001,5.147596852
,29.12.2001,2.517881898
,30.12.2001,2.13875963
,31.12.2001,2.321462546
,01.01.2002,2.20843912
,02.01.2002,1.973065093
,03.01.2002,2.4032125
,04.01.2002,5.612309676
,05.01.2002,2.136016343
,06.01.2002,2.386752778
,07.01.2002,3.101104722
,08.01.2002,3.002346389
,09.01.2002,3.904339167
,10.01.2002,1.971967778
,11.01.2002,3.994318981
,12.01.2002,3.04020375
,13.01.2002,7.918865417
,14.01.2002,3.068185278
,15.01.2002,2.096513009
,16.01.2002,2.395531296
,17.01.2002,2.821289444
,18.01.2002,3.944391157
,19.01.2002,2.960099769
,20.01.2002,6.308007269
,21.01.2002,3.645921528
,22.01.2002,5.062006296
,23.01.2002,2.862987407
,24.01.2002,2.421866852
,25.01.2002,2.567809722
,26.01.2002,3.022646713
,27.01.2002,3.20534963
,28.01.2002,2.792210602
,29.01.2002,2.707717361
,30.01.2002,2.190882083
,31.01.2002,4.834313472
,01.02.2002,2.00104662
,02.02.2002,2.605118426
,03.02.2002,2.472343333
,04.02.2002,5.0104325
,05.02.2002,2.930472269
,06.02.2002,3.064344676
,07.02.2002,2.041098611
,08.02.2002,6.192789213
,09.02.2002,10.03558569
,10.02.2002,3.192730509
,11.02.2002,3.987735093
,12.02.2002,2.053717731
,13.02.2002,2.469600046
,14.02.2002,4.816207778
,15.02.2002,2.360417222
,16.02.2002,2.943640046
,17.02.2002,2.905782685
,18.02.2002,3.06983125
,19.02.2002,4.147943056
,20.02.2002,5.066395556
,21.02.2002,4.724033333
,22.02.2002,3.61794
,23.02.2002,3.739741944
,24.02.2002,4.504021713
,25.02.2002,5.63261
,26.02.2002,5.273788056
,27.02.2002,4.690565231
,28.02.2002,4.812915833
,01.03.2002,4.694405833
,02.03.2002,2.758193843
,03.03.2002,4.387157685
,04.03.2002,2.078407315
,05.03.2002,2.228190787
,06.03.2002,3.267347917
,07.03.2002,3.117015787
,08.03.2002,5.967291019
,09.03.2002,3.479129676
,10.03.2002,2.215023009
,11.03.2002,4.399228148
,12.03.2002,3.149935231
,13.03.2002,4.863940972
,14.03.2002,3.864835833
,15.03.2002,2.063593565
,16.03.2002,3.059406759
,17.03.2002,2.840492454
,18.03.2002,2.601826481
,19.03.2002,2.010922454
,20.03.2002,3.402317639
,21.03.2002,3.241012361
,22.03.2002,2.09212375
,23.03.2002,2.794405231
,24.03.2002,3.167492269
,25.03.2002,2.190333426
,26.03.2002,2.236420648
,27.03.2002,4.743236343
,28.03.2002,5.05267912
,29.03.2002,3.464315926
,30.03.2002,3.3512925
,31.03.2002,2.830067963
,01.04.2002,6.018316157
,02.04.2002,4.203906111
,03.04.2002,3.76388287
,04.04.2002,3.27722375
,05.04.2002,3.135121481
,06.04.2002,3.329346204
,07.04.2002,4.073874306
,08.04.2002,4.730617222
,09.04.2002,2.461918843
,10.04.2002,3.863738519
,11.04.2002,3.311789167
,12.04.2002,2.173325046
,13.04.2002,3.594347731
,14.04.2002,2.864084722
,15.04.2002,2.735698889
,16.04.2002,5.611212361
,17.04.2002,5.409306435
,18.04.2002,5.32152125
,19.04.2002,4.2401175
,20.04.2002,5.429058102
