@T,climate ,
name,tmin ,
descr,min temperature ,
,,
missing_val,-9999,
date_start,21.11.2001 ,
date_end,14.02.2014,
date_format,dd.MM.yyyy ,
,,
tres,d ,
unit,C ,
,,
@H,date,tmin[0]
name,-,Drake
ID,-,1
elevation,-,1572
x,-,512701
y,-,4495474
,21.11.2001,-3.34
,22.11.2001,0.34
,23.11.2001,-0.93
,24.11.2001,-4.13
,25.11.2001,-6.12
,26.11.2001,-11.29
,27.11.2001,-14.17
,28.11.2001,-18.06
,29.11.2001,-12.97
,30.11.2001,-5.33
,01.12.2001,-7.08
,02.12.2001,-1.65
,03.12.2001,-2.69
,04.12.2001,-2.69
,05.12.2001,-2.21
,06.12.2001,-0.21
,07.12.2001,-6.12
,08.12.2001,-9.01
,09.12.2001,-3.65
,10.12.2001,-7.56
,11.12.2001,-9.55
,12.12.2001,-10.27
,13.12.2001,-12.49
,14.12.2001,-7.32
,15.12.2001,-6.6
,16.12.2001,-10.51
,17.12.2001,-6.6
,18.12.2001,-7.8
,19.12.2001,-9.55
,20.12.2001,-6.12
,21.12.2001,-8.04
,22.12.2001,-8.11
,23.12.2001,-10.27
,24.12.2001,-10.51
,25.12.2001,-4.2
,26.12.2001,-6.36
,27.12.2001,-8.04
,28.12.2001,-9.55
,29.12.2001,-10.51
,30.12.2001,-8.59
,31.12.2001,-12.01
,01.01.2002,-17.1
,02.01.2002,-18.78
,03.01.2002,-10.99
,04.01.2002,-5.16
,05.01.2002,-8.59
,06.01.2002,-6.12
,07.01.2002,-5.81
,08.01.2002,6.53
,09.01.2002,-0.93
,10.01.2002,-6.6
,11.01.2002,-5.16
,12.01.2002,-6.12
,13.01.2002,-3.89
,14.01.2002,-8.59
,15.01.2002,-11.29
,16.01.2002,-13.15
,17.01.2002,-13.63
,18.01.2002,-15.13
,19.01.2002,-14.41
,20.01.2002,-5.57
,21.01.2002,-7.08
,22.01.2002,-7.8
,23.01.2002,-13.93
,24.01.2002,-14.89
,25.01.2002,-7.08
,26.01.2002,-0.69
,27.01.2002,-6.36
,28.01.2002,-11.77
,29.01.2002,-10.75
,30.01.2002,-12.01
,31.01.2002,-13.87
,01.02.2002,-13.87
,02.02.2002,-6.36
,03.02.2002,-7.32
,04.02.2002,-10.03
,05.02.2002,-7.32
,06.02.2002,-7.15
,07.02.2002,-6.6
,08.02.2002,-4.13
,09.02.2002,-5.16
,10.02.2002,-9.01
,11.02.2002,-6.36
,12.02.2002,-8.04
,13.02.2002,-10.82
,14.02.2002,-7.8
,15.02.2002,-9.79
,16.02.2002,-7.8
,17.02.2002,-2.69
,18.02.2002,0.82
,19.02.2002,-3.17
,20.02.2002,-6.12
,21.02.2002,-5.64
,22.02.2002,-4.85
,23.02.2002,3.07
,24.02.2002,-6.84
,25.02.2002,-16.33
,26.02.2002,-16.09
,27.02.2002,-12.49
,28.02.2002,-12.97
,01.03.2002,-17.34
,02.03.2002,-22.18
,03.03.2002,-17.82
,04.03.2002,-11.05
,05.03.2002,-4.06
,06.03.2002,-3.89
,07.03.2002,-5.57
,08.03.2002,-11.95
,09.03.2002,-13.87
,10.03.2002,-7.08
,11.03.2002,0.82
,12.03.2002,0.58
,13.03.2002,-2.37
