@T,crop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name,crop.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
descr,default crop input parameters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@H,CID,IDC,CPNM,CPDESC,PHU,BIO_E,HVSTI,BLAI,FRGRW1,LAIMX1,FRGRW2,LAIMX2,DLAI,CHTMX,RDMX,T_OPT,T_BASE,CNYLD,CPYLD,PLTNFR1,PLTNFR2,PLTNFR3,PLTPFR1,PLTPFR2,PLTPFR3,WSYF,GSI,VPDFR,FRGMAX,WAVP,CO2HI,BIOEHI,RSDCO_PL,ALAI_MIN,ENDBION,MAXFERT,BION20,BION40,BION60,BION80,CFACTOR
,0,4,AGRL,Fallow-Agricultural-Land-Generic,1600,0.1,0.1,0.1,0.1,1,0.11,1,0.1,0.1,0.1,30,11,0.02,0,0.04,0.02,0.01,0.01,0,0,0.25,0.01,4,0.75,8.5,660,36,0.05,1,0.1,0.1,2,20,70,120,0.5
,1,4,AGRL,Agricultural-Land-Generic,1600,33.5,0.45,3,0.15,0.05,0.5,0.95,0.64,1,2,30,11,0.02,0,0.04,0.02,0.01,0.01,0,0,0.25,0.01,4,0.75,8.5,660,36,0.05,1,234.5,117.25,2,20,70,120,0.2
,2,4,AGRR,Agricultural-Land-Row Crops,1600,39,0.5,3,0.15,0.05,0.5,0.95,0.7,2.5,2,25,8,0.01,0,0.05,0.02,0.01,0,0,0,0.3,0.01,4,0.75,7.2,660,45,0.05,1,136.5,68.25,2,20,70,120,0.2
,3,5,AGRC,Agricultural-Land-Close-Grown,1600,30,0.4,4,0.05,0.05,0.45,0.95,0.5,0.9,1.3,18,0,0.03,0,0.07,0.03,0.01,0.01,0,0,0.2,0.01,4,0.75,6,660,39,0.05,1,315,157.5,2,20,70,120,0.2
,4,7,ORCD,Orchard,1600,15,0.1,4,0.1,0.15,0.5,0.75,0.99,3.5,2,20,7,0,0,0.01,0,0,0,0,0,0.05,0.01,4,0.75,3,660,20,0.05,1,0,0,2,20,70,120,0.1
,5,6,HAY,Hay,1600,35,0.9,4,0.05,0.05,0.49,0.95,0.99,0.5,2,25,12,0.02,0,0.06,0.02,0.01,0.01,0,0,0.9,0.01,4,0.75,10,660,36,0.05,1,245,122.5,2,20,70,120,0.1
,6,7,FRST,Forest-Mixed,1600,18,0.1,6,0.1,0.5,0.5,0.99,0.99,24,2,15,7,0.005,0,0.011,0.01,0.009,0,0,0,0.01,0,4,0.75,8,660,16,0.05,3,31.5,15.75,2,20,70,120,0.0015
,7,7,FRSD,Forest-Deciduous,1600,16,0.1,5.9,0.05,0.5,0.2,0.99,0.99,23,1.5,15,8,0.005,0,0.011,0.01,0.009,0,0,0,0.01,0,4,0.75,8,660,16,0.05,2,28,14,2,20,70,120,0.0015
,8,7,FRSE,Forest-Evergreen,1600,20,0.1,6.2,0.2,0.5,0.5,0.99,0.99,25,2.5,15,6,0.005,0,0.011,0.01,0.009,0,0,0,0.6,0,4,0.75,8,660,16,0.05,5,35,17.5,2,20,70,120,0.0015
,9,6,WETL,Wetlands-Mixed,1600,47,0.9,6,0.1,0.2,0.2,0.95,0.7,2.5,2.2,25,12,0.02,0,0.04,0.02,0,0,0,0,0.9,0.01,4,0.75,8.5,660,54,0.05,2,329,164.5,2,20,70,120,0.0001
,10,7,WETF,Wetlands-Forested,1600,15,0.76,5,0.05,0.05,0.4,0.95,0.99,6,3.5,30,10,0,0,0.01,0,0,0,0,0,0.01,0,4,0.75,8,660,16,0.05,2,0,0,2,20,70,120,0.0001
,11,6,WETN,Wetlands-Non-Forested,1600,47,0.9,6,0.1,0.2,0.2,0.95,0.7,2.5,2.2,25,12,0.02,0,0.04,0.02,0,0,0,0,0.9,0.01,4,0.75,8.5,660,54,0.05,2,329,164.5,2,20,70,120,0.0001
,12,6,PAST,Pasture,700,30,0.9,4,0.1,0.5,0.5,0.99,0.99,0.9,0.8,21,2.5,0.013,0,0.015,0.014,0.013,0.01,0,0,0.9,0.01,4,0.75,10,660,36,0.05,1,300,150,2,20,70,120,0.1
,13,6,SPAS,Summer-Pasture,1600,35,0.9,4,0.05,0.05,0.49,0.95,0.99,0.5,2,25,12,0.02,0,0.06,0.02,0.01,0.01,0,0,0.9,0.01,4,0.75,10,660,36,0.05,1,245,122.5,2,20,70,120,0.1
