@T,hgeo,,,,,,
name,hgeo.csv,,,,,,
descr,hydrogeology input parameters,,,,,,
,,,,,,,
@H,GID,RG1_max,RG2_max,RG1_k,RG2_k,RG1_active,Kf_geo
min,1,0,0,0,0,0,0
max,-9999,-9999,-9999,-9999,-9999,1,-9999
unit,n/a,mm,mm,d,d,n/a,cm/d
,1,20,88,8,500,1,50
,2,90,230,8,500,1,50
,3,90,710,8,500,1,50
,4,90,1400,8,500,1,50
,5,90,2428,8,500,1,50
,6,90,3388,8,500,1,50
,7,90,4451,8,500,1,50
,8,90,5000,8,500,1,50
,9,90,5000,8,500,1,50
,10,90,5000,8,500,1,50
,11,90,5000,8,500,1,50
,12,90,5000,8,500,1,50
,13,90,5000,8,500,1,50
,14,90,5000,8,500,1,50
,15,90,5000,8,500,1,50
,16,90,5000,8,500,1,45
,17,90,800,8,500,1,1
,18,90,1400,8,500,1,1
,19,90,2400,8,500,1,1
,20,90,3400,8,500,1,1
,21,90,4400,8,500,1,1
,22,90,5000,8,500,1,1
,23,90,5000,8,500,1,1
,24,90,5000,8,500,1,1
,25,90,5000,8,500,1,1
,26,90,5000,8,500,1,1
