@T,hrus,,,,,,,,,,,,,,
name,hrus.csv,,,,,,,,,,,,,,
descr,hru input parameters,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
@H,ID,x,y,elevation,area,type,slope,aspect,flowlength,soilID,landuseID,hgeoID,slopelength,subcatch,tiledrainage
min,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
max,9999,999999,9999999,10000,9999999999,3,90,360,999999,9999,9999,9999,9999,9999,1
unit,n/a,m,m,m,m2,n/a,deg,deg,m,n/a,n/a,n/a,m,n/a,n/a
,1,456240,4713665,357,343575,2,1.7,197,0,93,7,12,659.56,3,1
,2,455648,4713567,357,72900,2,1.1,-1,0,93,7,11,226.07,3,1
,3,456675,4713591,360,4275,2,2.7,270,0,89,7,13,57.43,3,0
,4,455475,4713148,362,582075,2,1.9,93,0,95,7,11,1091.54,3,1
,5,459263,4713470,353,30825,2,1.5,110,0,1,7,9,105,3,0
,6,456210,4713297,355,342900,2,0.6,-1,0,94,7,12,1091.54,3,1
,7,456878,4713298,359,28125,2,2.9,259,0,95,7,13,250.92,3,0
,8,459435,4713095,350,427950,2,0.9,-1,0,7,7,8,982.9,3,1
,9,457943,4713124,351,294525,3,1.4,-1,0,93,7,12,990.62,3,1
,10,458603,4713012,350,520650,3,0.7,-1,0,93,7,11,664.71,3,1
,11,454830,4713221,365,41625,2,3,186,0,93,3,11,594.41,3,0
,12,455048,4713143,367,37350,2,1.7,265,0,89,7,12,204.85,3,0
,13,449775,4712814,369,265275,2,2.6,111,0,93,7,13,545.77,3,0
,14,454665,4712816,362,253125,2,1.2,-1,0,93,7,10,841.69,3,1
,15,457590,4712813,355,143325,3,2.9,99,0,93,7,12,1144.26,3,1
,16,459233,4712864,350,221625,2,0.5,-1,0,7,7,9,545.77,3,1
,17,456188,4712736,356,175725,2,1.5,-1,0,93,7,12,460.92,3,1
,18,456038,4712227,356,420300,2,1.4,97,0,93,7,12,876.84,3,1
,19,456443,4712714,354,197325,2,1,-1,0,93,7,12,1815.18,3,1
,20,456833,4713025,357,338400,2,2,271,0,93,7,12,784.26,3,1
,21,454283,4712766,362,39600,2,3.1,126,0,93,3,9,553.05,3,1
,22,460073,4712560,350,446850,3,0.6,-1,0,7,7,6,774.41,3,1
,23,446760,4712816,381,44325,2,1.2,-1,0,91,7,14,253.49,3,1
,24,447113,4712803,379,92025,2,0.7,-1,0,91,7,14,283.49,3,1
,25,450233,4712774,362,22275,2,1.6,204,0,93,7,12,171.21,3,1
,26,451523,4712770,365,35550,2,2,181,0,95,7,11,177.43,3,0
,27,456983,4712662,357,274050,2,1.4,-1,0,93,7,12,678.2,3,1
,28,457883,4712741,350,18675,3,1.5,100,0,93,7,12,378.64,3,1
,29,450615,4712746,364,7650,2,2.2,192,0,89,7,12,51.21,3,0
,30,458168,4712363,352,1004175,3,1.5,-1,0,93,7,13,1778.53,3,1
,31,464505,4712672,351,60075,2,0.7,-1,0,2,7,9,630.62,3,1
,32,450488,4712736,363,900,2,3.3,175,0,89,7,12,0,3,0
,33,450570,4712552,361,308250,2,1.1,-1,0,93,7,11,778.05,3,1
,34,451035,4712710,364,6750,2,2.1,182,0,89,7,11,57.43,3,1
,35,451365,4712565,363,275850,2,1.2,-1,0,93,7,10,533.35,3,1
,36,447300,4712504,378,317025,2,0.6,-1,0,92,7,14,976.69,3,1
,37,446715,4712555,381,118575,2,1.1,107,0,92,7,14,490.92,3,1
,38,447885,4712680,378,7200,2,2.1,184,0,97,7,14,973.05,3,1
,39,449520,4712338,370,358425,2,2.3,104,0,88,7,13,625.92,3,0
,40,448095,4712356,375,535500,2,1.3,-1,0,92,7,14,1141.69,3,1
,41,455378,4712310,362,699975,2,1.8,-1,0,93,7,11,898.05,3,1
,42,447765,4712617,378,16650,2,0.8,-1,0,92,3,14,126.21,3,1
,43,449963,4712308,362,323100,2,1.1,109,0,93,7,13,588.2,3,1
,44,454545,4712479,360,334575,2,0.9,-1,0,93,7,9,898.05,3,1
,45,460733,4712288,349,101025,2,0.9,-1,0,8,7,5,427.28,3,1
,46,448958,4712405,376,200475,2,1.2,-1,0,91,7,14,382.28,3,1
,47,459233,4712495,349,155250,3,0.7,-1,0,3,7,9,578.35,3,1
,48,464190,4712434,350,228375,2,0.7,-1,0,7,7,7,696.84,3,1
,49,459675,4712439,349,138600,3,0.6,-1,0,2,7,7,756.84,3,1
,50,464910,4712261,353,319050,2,0.9,-1,0,2,7,10,445.92,3,1
,51,460485,4712251,349,295650,3,0.9,-1,0,4,7,5,998.97,3,1
,52,464558,4712210,352,218925,2,0.9,-1,0,7,7,9,630.63,3,1
,53,461918,4712032,349,468225,2,0.7,-1,0,7,7,3,906.84,3,1
,54,461138,4712211,349,468225,2,0.8,-1,0,7,7,4,955.48,3,1
,55,451965,4712417,361,67950,2,1.8,120,0,93,7,9,696.84,3,1
,56,448553,4712400,376,17100,2,0.1,-1,0,91,7,14,105,3,1
,57,456945,4712339,354,324900,3,1.7,188,0,88,7,11,1815.18,3,1
,58,452198,4712140,359,441900,2,0.7,-1,0,93,7,8,918.2,3,1
,59,453968,4712166,359,200025,2,1.1,-1,0,93,7,9,723.2,3,1
,60,446580,4712048,381,251325,2,1,-1,0,92,7,14,841.69,3,1
,61,450563,4712157,361,362250,2,1.2,-1,0,93,7,11,725.77,3,1
,62,451365,4712151,362,372600,2,1.4,-1,0,93,7,10,725.77,3,1
,63,448650,4712044,375,119925,2,1.6,201,0,89,7,14,385.92,3,0
,64,458595,4712093,350,351900,2,0.8,-1,0,93,7,13,722.13,3,1
,65,459428,4712126,349,249975,3,0.8,-1,0,6,7,8,828.64,3,1
,66,463688,4712132,349,295875,2,0.7,-1,0,7,7,5,608.35,3,1
,67,447300,4712130,379,315675,2,0.7,-1,0,91,7,14,581.99,3,1
,68,449040,4712124,374,212175,2,1.5,101,0,91,7,14,834.41,3,1
,69,454553,4712085,359,304875,2,0.8,-1,0,93,7,8,952.9,3,1
,70,465338,4712039,354,150525,2,0.9,-1,0,7,7,13,703.49,3,1
,71,456968,4711990,354,255600,3,1.5,-1,0,88,7,11,649.71,3,0
,72,463268,4712088,350,90675,2,1,-1,0,7,7,5,441.84,3,1
,73,453443,4712045,358,57150,2,0.7,-1,0,93,7,8,316.07,3,1
,74,453548,4711918,358,99225,2,1.4,-1,0,93,7,8,723.2,3,1
,75,464168,4711971,350,211725,2,1,-1,0,7,7,7,718.49,3,1
,76,453000,4712058,357,183150,2,0.6,-1,0,93,7,8,1093.05,3,1
,77,460035,4712011,349,94050,3,1.2,-1,0,2,7,5,439.71,3,1
,78,462975,4711992,350,122175,2,0.6,-1,0,7,7,4,381.21,3,1
,79,463065,4712130,352,1350,2,2.4,121,0,1,7,5,15,3,0
,80,465585,4711876,356,42525,2,1.2,-1,0,2,7,13,527.13,3,0
,81,459150,4711979,350,29700,2,1,-1,0,1,7,9,174.85,3,0
,82,459713,4711914,350,40275,2,1.3,98,0,1,7,7,213.64,3,1
,83,462495,4711952,350,49950,2,0.9,-1,0,2,7,4,310.92,3,1
,84,459023,4711926,350,5175,2,1.5,35,0,7,7,10,132.43,3,1
,85,446445,4711374,381,456300,2,0.6,-1,0,14,7,13,551.99,3,1
,86,463223,4711917,351,8100,2,0.9,-1,0,1,7,5,60,3,0
,87,463350,4711870,350,16875,2,1.1,127,0,2,7,5,93.64,3,1
,88,447315,4711599,378,476775,2,0.9,-1,0,16,7,14,898.05,3,1
,89,452978,4711560,357,566550,3,0.7,-1,0,22,7,8,1093.05,3,1
,90,448755,4711736,371,250200,2,1.3,-1,0,22,7,13,730.92,3,1
,91,459915,4711860,349,9675,2,0.9,-1,0,1,7,6,105,3,0
,92,448298,4711412,371,597375,2,0.7,-1,0,32,7,13,1350.62,3,1
,93,451358,4711688,361,378225,3,1.9,98,0,12,7,9,655.48,3,0
,94,459360,4711523,349,512775,2,0.6,-1,0,83,7,8,1222.9,3,1
,95,446648,4711764,381,191475,2,0.2,-1,0,33,7,14,578.35,3,1
,96,458858,4711692,350,129825,2,0.4,-1,0,26,7,11,1222.9,3,1
,97,446025,4711796,382,17775,2,1.2,36,0,18,7,14,168.64,3,1
,98,449183,4711730,372,91125,2,2,108,0,10,7,13,460.92,3,0
,99,449528,4711704,366,170100,2,1.9,105,0,22,7,13,515.77,3,1
,100,450548,4711704,361,297900,3,1.2,-1,0,22,7,11,825.63,3,1
,101,453863,4711737,358,199800,2,1,-1,0,22,7,9,498.2,3,1
,102,454598,4711717,359,298575,2,0.9,-1,0,22,7,9,618.2,3,1
,103,456300,4711631,354,120825,3,1.5,-1,0,9,7,11,979.26,3,1
,104,457785,4711704,358,242325,2,1.8,274,0,12,7,13,485.77,3,1
,105,465743,4711855,356,8100,2,0.8,195,0,2,3,13,78.64,3,0
,106,449715,4711357,363,465975,2,1.3,-1,0,22,7,13,922.9,3,1
,107,452490,4711814,358,13950,2,0.4,-1,0,22,7,8,698.35,3,1
,108,455948,4711459,356,345375,3,1.6,101,0,9,7,12,922.9,3,1
,109,456960,4711741,355,209250,2,1.2,-1,0,22,7,11,485.77,3,1
,110,458828,4711840,350,12825,2,0.1,-1,0,93,7,11,66.21,3,1
,111,455033,4711812,361,8100,2,1.4,-1,0,22,7,10,81.21,3,1
,112,460148,4711680,349,201825,2,1,-1,0,68,7,5,615.63,3,1
,113,462480,4711470,348,296325,2,0.7,-1,0,83,7,4,805.48,3,1
,114,463208,4711779,350,14625,2,0.8,-1,0,2,7,5,151.07,3,1
,115,455640,4711778,364,100800,2,2.2,104,0,10,7,13,922.9,3,0
,116,458708,4711327,350,268425,2,0.9,-1,0,33,7,13,821.54,3,1
,117,460830,4711751,348,32175,2,0.7,-1,0,61,7,4,177.43,3,1
,118,463523,4711554,349,271575,2,0.7,-1,0,61,7,5,542.13,3,1
,119,452153,4711624,358,287550,3,1,-1,0,22,7,8,1275.62,3,1
,120,455280,4711670,363,143775,2,1,-1,0,22,7,12,618.2,3,1
,121,460530,4711663,349,77850,3,1,-1,0,61,7,5,464.56,3,1
,122,461910,4711657,348,314550,2,0.8,-1,0,61,7,3,565.92,3,1
,123,462803,4711146,348,521100,2,0.5,-1,0,83,7,4,1084.26,3,1
,124,465075,4711716,354,164700,2,1,-1,0,83,7,12,695.77,3,1
,125,465720,4711473,355,377100,2,1.2,-1,0,61,7,13,1023.82,3,1
,126,458100,4711555,354,154350,2,1.8,88,0,12,7,13,684.85,3,1
,127,461198,4711660,348,161100,2,0.4,-1,0,61,7,3,565.92,3,1
,128,456338,4711119,355,454500,3,1.8,-1,0,10,7,12,979.26,3,1
,129,460778,4711605,348,78750,3,0.7,-1,0,61,7,4,395.77,3,1
,130,465893,4710730,355,977175,2,0.8,-1,0,83,7,13,1023.82,3,1
,131,464513,4711610,352,130950,2,0.8,-1,0,83,7,9,424.71,3,1
,132,464115,4711588,350,140850,2,1,-1,0,61,7,7,534.85,3,1
,133,466613,4711558,358,25425,2,2.2,282,0,60,7,13,186.21,3,0
,134,456885,4711582,354,80775,2,0.9,-1,0,22,7,11,1088.97,3,1
,135,445980,4711298,382,56250,2,1,-1,0,18,7,13,256.07,3,1
,136,453900,4711388,358,343125,2,0.8,-1,0,22,7,9,799.71,3,1
,137,459743,4710998,349,747900,2,0.7,-1,0,83,7,7,1222.9,3,1
,138,453458,4711443,357,32175,2,1.6,282,0,22,3,8,799.71,3,1
,139,456975,4711147,357,599850,2,1.5,-1,0,22,7,13,1088.97,3,1
,140,465083,4711496,354,140400,2,0.7,-1,0,61,7,12,285,3,1
,141,457538,4711426,361,72900,2,2,74,0,12,7,13,256.07,3,0
,142,449108,4711359,372,125100,2,2.2,123,0,12,7,14,475.92,3,0
,143,455160,4711313,364,202050,2,1.4,296,0,22,7,13,557.13,3,1
,144,460898,4710645,349,276750,3,1.2,-1,0,61,7,4,619.71,3,1
,145,447300,4710995,378,576450,2,1.3,-1,0,16,7,13,1246.25,3,1
,146,450533,4711344,362,285300,2,0.6,-1,0,33,7,11,523.05,3,1
,147,452153,4711337,358,250200,2,1,-1,0,22,7,8,712.9,3,1
,148,455648,4710939,362,402750,3,2.1,104,0,10,7,13,605.77,3,0
,149,461445,4710949,348,831150,3,0.7,-1,0,68,7,3,1357.46,3,1
,150,447893,4711335,375,147375,2,2,100,0,24,7,14,593.35,3,0
,151,448718,4711327,371,157725,2,1.4,-1,0,12,7,14,485.77,3,1
,152,451328,4711327,362,194850,3,1.8,90,0,9,7,10,655.48,3,1
,153,454613,4711287,359,308025,2,0.9,-1,0,22,7,10,678.2,3,1
,154,457755,4711432,363,17550,2,1.6,284,0,26,7,13,136.07,3,0
,155,460343,4710946,349,650700,3,1.2,-1,0,61,7,5,1188.82,3,1
,156,463125,4711470,349,450,2,0.1,121,0,70,7,4,0,3,0
,157,458003,4711271,358,111375,2,2.8,94,0,10,7,13,349.71,3,0
,158,458288,4711271,351,119925,2,0.6,-1,0,22,7,13,355.92,3,1
,159,460553,4711349,349,58950,2,0.5,-1,0,83,7,5,288.64,3,1
,160,466448,4710909,356,432450,2,0.9,-1,0,83,7,13,724.26,3,1
,161,460793,4711293,348,65925,2,1.6,108,0,61,7,4,513.2,3,1
,162,461880,4711339,348,163800,2,0.3,-1,0,83,7,3,805.48,3,1
,163,463500,4711252,349,329850,3,0.6,-1,0,61,7,5,854.12,3,1
,164,464873,4710855,352,774450,2,0.9,-1,0,61,7,12,1257.61,3,1
,165,464483,4711237,351,160425,2,0.8,-1,0,68,7,9,618.2,3,1
,166,464100,4711228,350,119025,3,1,-1,0,83,7,8,718.05,3,1
,167,452963,4711060,357,381600,3,0.7,-1,0,22,7,8,684.41,3,1
,168,457763,4711162,362,72000,2,1.9,191,0,12,7,14,338.35,3,0
,169,451530,4711209,362,74700,2,1.4,113,0,12,7,9,319.71,3,0
,170,455378,4711233,368,2475,2,1.6,162,0,9,7,13,168.64,3,0
,171,457500,4711168,360,48600,2,1.4,265,0,12,7,13,292.28,3,1
,172,461835,4711136,348,126900,2,0.5,-1,0,83,7,3,760.92,3,1
,173,445875,4710898,381,130050,2,0.9,-1,0,18,7,13,425.77,3,1
,174,458783,4711097,350,51075,2,0.9,-1,0,22,7,11,452.13,3,1
,175,459083,4711104,349,35325,2,1.2,-1,0,83,7,10,349.71,3,1
,176,446850,4711056,380,20475,2,1,-1,0,18,7,13,87.43,3,1
,177,450540,4710941,362,193275,2,0.9,-1,0,10,7,11,679.26,3,1
,178,460718,4710740,349,123750,3,1.6,289,0,61,7,4,560.77,3,1
,179,448935,4711034,373,33975,2,1,-1,0,9,7,14,178.49,3,1
,180,451155,4710988,364,119025,2,1.3,-1,0,22,7,10,655.48,3,1
,181,452175,4710791,358,495675,2,0.6,-1,0,22,7,8,1049.12,3,1
,182,453593,4710778,357,287100,3,0.5,-1,0,22,7,8,738.64,3,1
,183,446475,4710776,380,672525,2,0.5,-1,0,14,7,13,1050.18,3,1
