@T, rot_hru
name, hrus_rot.csv
descr, hru rotation input parameter
# hru rotation information,
# Tue Sep 01 16:27:01 MDT 2015,
# ID = HRU or Field ID or polygon ID,
# RID = Rotation ID,
# REDU = Reduction switch for nitrogen modul,
# IRRI = LAMPS detected Irrigation (1 detected / 0 not detected),
# LAMPS provided information,
 ,
@H,ID,RID,REDU
,1,16,1
,2,10,1
,3,16,1
,4,7,1
,5,16,1
,6,16,1
,7,4,1
,8,15,1
,9,17,1
,10,15,1
,11,4,1
,12,15,1
,13,10,1
,14,17,1
,15,16,1
,16,17,1
,17,14,1
,18,10,1
,19,14,1
,20,16,1
,21,4,1
,22,16,1
,23,14,1
,24,14,1
,25,10,1
,26,14,1
,27,17,1
,28,15,1
,29,10,1
,30,16,1
,31,14,1
,32,10,1
,33,10,1
,34,10,1
,35,14,1
,36,17,1
,37,10,1
,38,15,1
,39,14,1
,40,15,1
,41,15,1
,42,3,1
,43,10,1
,44,17,1
,45,15,1
,46,17,1
,47,16,1
,48,14,1
,49,15,1
,50,10,1
,51,10,1
,52,14,1
,53,15,1
,54,17,1
,55,17,1
,56,17,1
,57,16,1
,58,16,1
,59,17,1
,60,10,1
,61,14,1
,62,10,1
,63,16,1
,64,15,1
,65,7,1
,66,14,1
,67,15,1
,68,15,1
,69,16,1
,70,14,1
,71,17,1
,72,10,1
,73,16,1
,74,17,1
,75,10,1
,76,16,1
,77,14,1
,78,17,1
,79,15,1
,80,10,1
,81,7,1
,82,7,1
,83,16,1
,84,3,1
,85,14,1
,86,16,1
,87,4,1
,88,16,1
,89,15,1
,90,17,1
,91,10,1
,92,16,1
,93,10,1
,94,14,1
,95,14,1
,96,15,1
,97,14,1
,98,17,1
,99,14,1
,100,14,1
,101,17,1
,102,16,1
,103,17,1
,104,16,1
,105,16,1
,106,7,1
,107,17,1
,108,14,1
,109,17,1
,110,15,1
,111,4,1
,112,10,1
,113,15,1
,114,15,1
,115,14,1
,116,17,1
,117,15,1
,118,14,1
,119,17,1
,120,16,1
,121,16,1
,122,16,1
,123,15,1
,124,14,1
,125,17,1
,126,15,1
,127,17,1
,128,15,1
,129,17,1
,130,15,1
,131,14,1
,132,10,1
,133,17,1
,134,16,1
,135,14,1
,136,17,1
,137,14,1
,138,3,1
,139,16,1
,140,10,1
,141,4,1
,142,16,1
,143,17,1
,144,17,1
,145,16,1
,146,10,1
,147,17,1
,148,10,1
,149,15,1
,150,16,1
,151,16,1
,152,14,1
,153,17,1
,154,17,1
,155,10,1
,156,16,1
,157,17,1
,158,15,1
,159,16,1
,160,15,1
,161,17,1
,162,17,1
,163,16,1
,164,16,1
,165,17,1
,166,16,1
,167,15,1
,168,17,1
,169,17,1
,170,17,1
,171,17,1
,172,16,1
,173,16,1
,174,17,1
,175,14,1
,176,16,1
,177,10,1
,178,17,1
,179,16,1
,180,7,1
,181,17,1
,182,7,1
,183,10,1
,184,17,1
,185,17,1
,186,16,1
,187,7,1
,188,7,1
,189,10,1
,190,7,1
,191,10,1
,192,16,1
,193,16,1
,194,16,1
,195,16,1
,196,15,1
,197,10,1
,198,16,1
,199,7,1
,200,17,1
,201,17,1
,202,17,1
,203,15,1
,204,4,1
,205,14,1
,206,7,1
,207,16,1
,208,16,1
,209,14,1
,210,7,1
,211,17,1
,212,15,1
,213,15,1
,214,16,1
,215,16,1
,216,10,1
,217,15,1
,218,17,1
,219,3,1
,220,14,1
,221,16,1
,222,17,1
,223,14,1
,224,14,1
,225,10,1
,226,10,1
,227,17,1
,228,16,1
,229,7,1
,230,15,1
,231,17,1
,232,16,1
,233,15,1
,234,16,1
,235,17,1
,236,14,1
,237,15,1
,238,10,1
,239,17,1
,240,7,1
,241,16,1
,242,17,1
,243,14,1
,244,15,1
,245,7,1
,246,10,1
,247,7,1
,248,10,1
,249,16,1
,250,7,1
,251,7,1
,252,16,1
,253,7,1
,254,7,1
,255,14,1
,256,14,1
,257,7,1
,258,17,1
,259,14,1
,260,17,1
,261,17,1
,262,17,1
,263,15,1
,264,16,1
,265,16,1
,266,17,1
,267,17,1
,268,15,1
,269,10,1
,270,14,1
,271,10,1
,272,10,1
,273,7,1
,274,15,1
,275,16,1
,276,17,1
,277,7,1
,278,16,1
,279,15,1
,280,14,1
,281,16,1
,282,7,1
,283,17,1
,284,15,1
,285,10,1
,286,16,1
,287,17,1
,288,16,1
,289,17,1
,290,15,1
,291,14,1
,292,7,1
,293,17,1
,294,10,1
,295,7,1
,296,15,1
,297,10,1
,298,7,1
,299,14,1
,300,17,1
,301,15,1
,302,16,1
,303,16,1
,304,10,1
,305,10,1
,306,10,1
,307,17,1
,308,15,1
,309,16,1
,310,10,1
,311,16,1
,312,16,1
,313,10,1
,314,16,1
,315,17,1
,316,17,1
,317,15,1
,318,15,1
,319,7,1
,320,16,1
,321,16,1
,322,17,1
,323,16,1
,324,7,1
,325,17,1
,326,10,1
,327,7,1
,328,14,1
,329,17,1
,330,16,1
,331,17,1
,332,17,1
,333,17,1
,334,14,1
,335,16,1
,336,17,1
,337,7,1
,338,16,1
,339,15,1
,340,10,1
,341,10,1
,342,17,1
,343,17,1
,344,15,1
,345,14,1
,346,17,1
,347,15,1
,348,14,1
,349,10,1
,350,10,1
,351,17,1
,352,14,1
,353,15,1
,354,15,1
,355,10,1
,356,7,1
,357,7,1
,358,14,1
,359,10,1
,360,7,1
,361,10,1
,362,10,1
,363,17,1
,364,16,1
,365,10,1
,366,10,1
,367,7,1
,368,4,1
,369,7,1
,370,7,1
,371,7,1
,372,10,1
,373,14,1
,374,16,1
,375,15,1
,376,17,1
,377,17,1
,378,15,1
,379,10,1
,380,14,1
,381,14,1
,382,4,1
,383,7,1
,384,15,1
,385,15,1
,386,15,1
,387,4,1
,388,16,1
,389,16,1
,390,17,1
,391,4,1
,392,17,1
,393,10,1
,394,17,1
,395,14,1
,396,14,1
,397,15,1
,398,17,1
,399,7,1
,400,15,1
,401,7,1
,402,10,1
,403,17,1
,404,10,1
,405,10,1
,406,10,1
,407,10,1
,408,17,1
,409,10,1
,410,14,1
,411,10,1
,412,7,1
,413,15,1
,414,17,1
,415,15,1
,416,10,1
,417,15,1
,418,7,1
,419,15,1
,420,15,1
,421,4,1
,422,10,1
,423,15,1
