@T,obs,,,,,,
descr,observed runoff at Drake,,,,,,
unit,m3/s  //  mg/l  //  mg/l ,,,,,,
,,,,,,,
missing_val,-9999,,,,,,
date_start,09.01.2001,,,,,,
date_end,31.12.2013,,,,,,
date_format,dd.MM.yyyy,,,,,,
,,,,,,,
@H,date,orun[1],no3_n[1],sedim[1],no3_n_conc[2],no3_n_ntrax[3],no3_n_load[4]
name,-,SF450,SF450,SF450,SF450,SF450,SF450
ID,-,1,2,3,4,5,6
elevation,-,289,289,289,289,289,289
x,-,487469.4,487469.4,487469.4,487469.4,487469.4,487469.4
y,-,4684771.7,4684771.7,4684771.7,4684771.7,4684771.7,4684771.7
,01.01.2000,-9999,-9999,-9999,-9999,-9999,-9999
,02.01.2000,-9999,-9999,-9999,-9999,-9999,-9999
,03.01.2000,-9999,-9999,-9999,-9999,-9999,-9999
,04.01.2000,-9999,-9999,-9999,-9999,-9999,-9999
,05.01.2000,-9999,-9999,-9999,-9999,-9999,-9999
,06.01.2000,-9999,-9999,-9999,-9999,-9999,-9999
,07.01.2000,-9999,-9999,-9999,-9999,-9999,-9999
,08.01.2000,-9999,-9999,-9999,-9999,-9999,-9999
,09.01.2000,-9999,-9999,-9999,-9999,-9999,-9999
,10.01.2000,-9999,-9999,-9999,-9999,-9999,-9999
,11.01.2000,-9999,-9999,-9999,-9999,-9999,-9999
,12.01.2000,-9999,-9999,-9999,-9999,-9999,-9999
,13.01.2000,-9999,-9999,-9999,-9999,-9999,-9999
,14.01.2000,-9999,-9999,-9999,-9999,-9999,-9999
,15.01.2000,-9999,-9999,-9999,-9999,-9999,-9999
,16.01.2000,-9999,-9999,-9999,-9999,-9999,-9999
,17.01.2000,-9999,-9999,-9999,-9999,-9999,-9999
,18.01.2000,-9999,-9999,-9999,-9999,-9999,-9999
,19.01.2000,-9999,-9999,-9999,-9999,-9999,-9999
,20.01.2000,-9999,-9999,-9999,-9999,-9999,-9999
,21.01.2000,-9999,-9999,-9999,-9999,-9999,-9999
