@T,obs,,,,,
descr,observed runoff at Drake,,,,,
unit,m3/s  //  mg/l  //  mg/l ,,,,,
,,,,,,
missing_val,-9999,,,,,
date_start,09.01.2001,,,,,
date_end,31.12.2013,,,,,
date_format,dd.MM.yyyy,,,,,
,,,,,,
@H,date,orun[1],no3_n[1],sedim[1],no3_n[2],no3_n[3]
name,-,SF450,SF450,SF450,SF450,SF450
ID,-,1,2,3,4,5
elevation,-,289,289,289,289,289
x,-,487469.4,487469.4,487469.4,487469.4,487469.4
y,-,4684771.7,4684771.7,4684771.7,4684771.7,4684771.7
,01.01.2008,1.387525483,7.99,-9999,-9999,-9999
,02.01.2008,1.274258097,7.97,-9999,-9999,-9999
,03.01.2008,1.359208637,7.95,-9999,-9999,-9999
,04.01.2008,1.670693949,7.93,-9999,-9999,-9999
,05.01.2008,1.840595029,7.91,-9999,-9999,-9999
,06.01.2008,1.812278182,7.89,-9999,-9999,-9999
,07.01.2008,2.038812955,7.86,-9999,-9999,-9999
,08.01.2008,2.265347728,7.84,-9999,-9999,-9999
,09.01.2008,2.095446648,7.82,-9999,-9999,-9999
,10.01.2008,2.293664575,7.8,-9999,-9999,-9999
,11.01.2008,2.237030881,7.78,-9999,-9999,-9999
,12.01.2008,2.123763495,7.76,-9999,-9999,-9999
,13.01.2008,1.897228722,7.74,-9999,-9999,-9999
,14.01.2008,1.670693949,7.72,-9999,-9999,-9999
,15.01.2008,1.50079287,7.7,-9999,7.7,-9999
,16.01.2008,1.642377103,7.64,-9999,-9999,-9999
,17.01.2008,1.557426563,7.58,-9999,-9999,-9999
,18.01.2008,1.160990711,7.51,-9999,-9999,-9999
,19.01.2008,0.821188551,7.45,-9999,-9999,-9999
,20.01.2008,0.707921165,7.39,-9999,-9999,-9999
,21.01.2008,0.622970625,7.32,-9999,-9999,-9999
,22.01.2008,0.509703239,7.26,-9999,-9999,-9999
,23.01.2008,0.424752699,7.2,-9999,-9999,-9999
,24.01.2008,0.311485313,7.13,-9999,-9999,-9999
,25.01.2008,0.453069546,7.07,-9999,-9999,-9999
,26.01.2008,0.594653779,7.01,-9999,-9999,-9999
,27.01.2008,0.991089631,6.94,-9999,-9999,-9999
,28.01.2008,1.104357017,6.88,-9999,-9999,-9999
,29.01.2008,0.906139091,6.81,-9999,-9999,-9999
,30.01.2008,0.594653779,6.75,-9999,-9999,-9999
,31.01.2008,0.679604318,6.69,-9999,-9999,-9999
,01.02.2008,0.764554858,6.62,-9999,-9999,-9999
,02.02.2008,0.906139091,6.56,-9999,-9999,-9999
,03.02.2008,0.849505398,6.5,-9999,-9999,-9999
,04.02.2008,1.104357017,6.43,-9999,-9999,-9999
,05.02.2008,1.019406478,6.37,-9999,-9999,-9999
,06.02.2008,0.934455938,6.31,-9999,-9999,-9999
,07.02.2008,0.877822245,6.24,-9999,-9999,-9999
,08.02.2008,0.991089631,6.18,-9999,-9999,-9999
,09.02.2008,0.934455938,6.12,-9999,-9999,-9999
,10.02.2008,0.679604318,6.05,-9999,-9999,-9999
,11.02.2008,0.877822245,5.99,-9999,-9999,-9999
,12.02.2008,0.792871705,5.92,-9999,-9999,-9999
,13.02.2008,0.736238012,5.86,-9999,-9999,-9999
,14.02.2008,0.792871705,5.8,-9999,-9999,-9999
,15.02.2008,0.707921165,5.73,-9999,-9999,-9999
,16.02.2008,0.821188551,5.67,-9999,-9999,-9999
,17.02.2008,0.877822245,5.61,-9999,-9999,-9999
,18.02.2008,0.764554858,5.54,-9999,-9999,-9999
,19.02.2008,0.651287472,5.48,-9999,-9999,-9999
,20.02.2008,0.538020085,5.42,-9999,-9999,-9999
,21.02.2008,0.396435852,5.35,-9999,-9999,-9999
,22.02.2008,0.481386392,5.29,-9999,-9999,-9999
,23.02.2008,0.566336932,5.22,-9999,-9999,-9999
,24.02.2008,0.736238012,5.16,-9999,-9999,-9999
,25.02.2008,0.991089631,5.1,-9999,-9999,-9999
,26.02.2008,0.934455938,5.03,-9999,-9999,-9999
,27.02.2008,0.877822245,4.97,-9999,-9999,-9999
,28.02.2008,0.679604318,4.91,-9999,-9999,-9999
,29.02.2008,1.104357017,4.84,-9999,-9999,-9999
,01.03.2008,1.614060256,4.78,-9999,-9999,-9999
,02.03.2008,7.872083355,4.72,-9999,-9999,-9999
,03.03.2008,28.26021291,4.65,-9999,-9999,-9999
,04.03.2008,20.24654532,4.59,-9999,-9999,-9999
,05.03.2008,11.63822395,4.52,-9999,-9999,-9999
,06.03.2008,7.815449662,4.46,-9999,-9999,-9999
,07.03.2008,6.201389405,4.4,-9999,-9999,-9999
,08.03.2008,5.380200854,4.33,-9999,-9999,-9999
,09.03.2008,4.530695456,4.27,-9999,-9999,-9999
,10.03.2008,4.757230229,4.19,-9999,4.2,-9999
,11.03.2008,7.192479036,4.01,-9999,-9999,-9999
,12.03.2008,14.63980969,3.79,-9999,-9999,-9999
,13.03.2008,27.92041075,3.39,-9999,3.3,-9999
,14.03.2008,43.3247753,2.09,-9999,2.1,-9999
