@T,climate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name,rainfall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
desc,measured precipitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
missing_val,-9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date_start,01.01.1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date_end,30.04.2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date_format,dd.MM.yyyy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tres,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unit,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@H,date,rain[1],rain[2],rain[3],rain[4],rain[5],rain[6],rain[7],rain[8],rain[9],rain[10],rain[11],rain[12],rain[13],rain[14],rain[21],rain[23],rain[24],rain[25],rain[26],rain[27],rain[28],rain[29],rain[30],rain[31],rain[32],rain[33],rain[34],rain[35],rain[18],rain[19],rain[20]
name,-,BELLE-PLAINE,Algona,ALLISON,AMES-8-WSW,ANKENY-3-S,Boone,DES MOINES INTERNATIONAL AIRPORT IA US,MASON CITY MUNICIPAL AIRPORT IA US,SPENCER MUNICIPAL AIRPORT IA US,CEDAR RAPIDS MUNICIPAL AIRPORT IA US,WATERLOO MUNICIPAL AIRPORT IA US,ESTHERVILLE MUNICIPAL AIRPORT IA US,MARSHALLTOWN MUNICIPAL AIRPORT IA US,AMES MUNICIPAL AIRPORT IA US,IASF901,MARSHALLTOWN-IA5198,Clarion-IA1541,HAMPTON-2-NW-IA3584,eldora,iowa falls,webster city,SF400 buckeye,BC350 beaver creek ,TC240,hubbard,jewell,popejoy,williams,TC241,TC323 Tipton Creek U/S,TC325 Tipton Creek
ID,-,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20,21,22,24,25,26,27,28,29,30,12,13,14
elevation,-,250,360,310,334,263,330,285.9,367,407.8,256,268,401.4,296.9,283.5,347.81,268,362,343,326,345,326,351,289.68,337,332,329,358,363,336.8,313.6,295.2
x,-,560038.16,393732.57,516186.63,435903.58,450061.14,426290.49,445516.31,473486.1,320343.42,605821.09,549151.78,358481.27,506910,448767.47,479000.054,505790.88,440188.15,483632.39,491855.91,478097.92,434232.03,469832.4,489702.92,468063.18,475271.74,447796.1,464442.24,456166.64,467814.52,479283.61,484254.42
y,-,4636861.44,4769226.05,4733472.05,4652408.83,4614421.86,4654789.79,4598240.58,4778008.39,4781874.72,4637559.93,4711504.07,4806812.17,4662061.63,4648900.8,4686248.098,4657550.66,4730902.45,4733072.72,4689963.58,4709025.14,4701905.52,4696105.08,4687423.69,4692100.99,4683129.33,4683279.94,4714636.98,4703579.85,4692359.54,4685087.51,4686215.33
,01.01.1980,0,0,0,0,0,0,0,0,-9999,0,0,-9999,-9999,-9999,-9999,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
