@T,reaches,,,,,
name,reach.csv,,,,,
descr,reach input parameters,,,,,
,,,,,,
@H,ID,length,slope,rough,width,deepsink
min,0,0,0,0,0,0
max,99999999,99999999,90,9999,99999999,1
unit,n/a,m,%,n/a,m,n/a
,-81,294,0.001,30,12.8,0
,-80,959,0.786,30,1.2,0
,-79,1604,0.934,30,1.3,0
,-78,3441,0.073,30,12.7,0
,-77,19224,0.141,30,7.4,0
,-76,1156,0.15,30,12.6,0
,-75,2454,0.106,30,10.2,0
,-74,2177,0.425,30,1.5,0
,-73,3421,0.626,30,1.5,0
,-72,11138,0.118,30,9.9,0
,-71,2467,0.916,30,1.3,0
,-70,8112,0.14,30,1.9,0
,-69,1775,0.168,30,9.7,0
,-68,5206,0.113,30,6.8,0
,-67,1328,0.262,30,1.5,0
,-66,677,0.23,30,1.6,0
,-65,2543,0.748,30,1.5,0
,-64,4405,0.08,30,5.6,0
,-63,3303,0.085,30,6.2,0
,-62,4079,0.142,30,2.4,0
,-61,1587,0.268,30,1.2,0
,-60,339,0.001,30,1.2,0
,-59,292,0.277,30,4.9,0
,-58,2664,0.16,30,2.4,0
,-57,6071,0.131,30,3.2,0
,-56,418,0.377,30,1.1,0
,-55,403,0.001,30,1.2,0
,-54,3045,0.184,30,1.6,0
,-53,2616,0.028,30,1.8,0
,-52,2385,0.135,30,3.7,0
,-51,1807,0.797,30,1.2,0
,-50,2057,0.043,30,2.3,0
,-49,3893,0.151,30,1.5,0
,-48,6383,0.042,30,2.9,0
,-47,9640,0.095,30,9.5,0
,-46,2799,0.03,30,9.3,0
,-45,1216,1.056,30,1.2,0
,-44,2655,0.092,30,9.1,0
,-43,2350,0.108,30,1.5,0
,-42,2986,0.264,30,1.5,0
,-41,4960,0.278,30,1.9,0
,-40,6834,0.049,30,8.8,0
,-39,2644,0.102,30,1.5,0
,-38,7582,0.054,30,8.4,0
,-37,1699,0.608,30,2.2,0
,-36,394,0.205,30,1.2,0
,-35,4385,0.037,30,7.8,0
,-34,4587,0.199,30,1.8,0
,-33,2870,0.086,30,1.4,0
,-32,1803,0.046,30,7.4,0
,-31,3182,0.077,30,3.1,0
,-30,6051,0.164,30,1.6,0
,-29,794,0.11,30,2.4,0
,-28,3019,0.167,30,1.4,0
,-27,1666,0.097,30,1.4,0
,-26,7083,0.148,30,2,0
,-25,3981,0.042,30,6.7,0
,-24,548,0.001,30,6.5,0
,-23,3848,0.148,30,1.6,0
,-22,1733,0.292,30,1.5,0
,-21,166,0.524,30,2,0
,-20,3002,0.08,30,2.7,0
,-19,528,0.001,30,1.3,0
,-18,763,0.001,30,1.4,0
,-17,3051,0.001,30,1.9,0
,-16,2487,0.077,30,5.8,0
,-15,954,0.001,30,4.1,0
,-14,135,0.001,30,1.2,0
,-13,1325,0.363,30,1.2,0
,-12,1759,0.046,30,2.3,0
,-11,1239,0.212,30,1.4,0
,-10,887,0.001,30,3.9,0
,-9,7787,0.072,30,2.1,0
,-8,1432,0.291,30,2,0
,-7,771,0.214,30,1.4,0
,-6,4178,0.113,30,3.4,0
,-5,2417,0.034,30,5.3,0
,-4,544,0.168,30,1.2,0
,-3,2475,0.065,30,1.5,0
,-2,4660,0.05,30,1.5,0
,-1,10753,0.078,30,4.8,0
