@T,climate,,,,,,,
name,rhum.csv,,,,,,,
descr,relative humidity,,,,,,,
,,,,,,,,
missing_val,-9999,,,,,,,
date_start,01.01.1980,,,,,,,
date_end,30.04.2015,,,,,,,
date_format,dd.MM.yyyy,,,,,,,
,,,,,,,,
unit,%,,,,,,,
tres,d,,,,,,,
,,,,,,,,
@H,date,rehum[0],rehum[2],rehum[3],rehum[4],rhum[5],rhum[6],rhum[7]
name,-,IASF901,Cedar Rapids-A131329,WATERLOO MUNICIPAL AIRPORT IA US,MARSHALLTOWN MUNICIPAL AIRPORT IA US,Ames-Airport,ESTHERVILLE MUNICIPAL AIRPORT IA US,MASON CITY MUNICIPAL AIRPORT IA US
ID,-,1,3,4,5,6,7,8
elevation,-,347.81,240,268,296.9,280,401.4,367
x,-,479000.054,614596.25,549151.78,506910,448767.87,358481.27,473486.1
y,-,4686248.098,4640922.26,4711504.07,4662061.63,4648899.79,4806812.17,4778008.39
,01.01.1980,-9999,-9999,91.09,-9999,-9999,-9999,74.71
,02.01.1980,-9999,-9999,84.17,-9999,-9999,-9999,68.93
,03.01.1980,-9999,-9999,81.73,-9999,-9999,-9999,64.05
,04.01.1980,-9999,-9999,94.08,-9999,-9999,-9999,67.32
,05.01.1980,-9999,-9999,92.93,-9999,-9999,-9999,79.14
,06.01.1980,-9999,-9999,90.14,-9999,-9999,-9999,75
,07.01.1980,-9999,-9999,75.54,-9999,-9999,-9999,59.08
,08.01.1980,-9999,-9999,58.07,-9999,-9999,-9999,49.29
,09.01.1980,-9999,-9999,53.17,-9999,-9999,-9999,49.65
,10.01.1980,-9999,-9999,81.6,-9999,-9999,-9999,66.34
,11.01.1980,-9999,-9999,63.16,-9999,-9999,-9999,49.88
,12.01.1980,-9999,-9999,53.47,-9999,-9999,-9999,45.57
,13.01.1980,-9999,-9999,59.08,-9999,-9999,-9999,50.04
,14.01.1980,-9999,-9999,77.95,-9999,-9999,-9999,59.92
,15.01.1980,-9999,-9999,95.71,-9999,-9999,-9999,72.89
,16.01.1980,-9999,-9999,99.99,-9999,-9999,-9999,75.11
,17.01.1980,-9999,-9999,93.45,-9999,-9999,-9999,67.58
,18.01.1980,-9999,-9999,91.26,-9999,-9999,-9999,71.68
,19.01.1980,-9999,-9999,90.72,-9999,-9999,-9999,66.51
,20.01.1980,-9999,-9999,75.65,-9999,-9999,-9999,54.08
,21.01.1980,-9999,-9999,81.23,-9999,-9999,-9999,58.93
,22.01.1980,-9999,-9999,73.82,-9999,-9999,-9999,58.37
,23.01.1980,-9999,-9999,73.67,-9999,-9999,-9999,62.38
,24.01.1980,-9999,-9999,88.27,-9999,-9999,-9999,67.62
,25.01.1980,-9999,-9999,74.99,-9999,-9999,-9999,59.78
,26.01.1980,-9999,-9999,53.88,-9999,-9999,-9999,53.37
,27.01.1980,-9999,-9999,56.8,-9999,-9999,-9999,48.7
,28.01.1980,-9999,-9999,55.71,-9999,-9999,-9999,49.06
,29.01.1980,-9999,-9999,49.95,-9999,-9999,-9999,47.83
