@T,soils,,,,,,,,,,,
name,soils_hor.csv,,,,,,,,,,,
descr,soil input parameters by horizon,,,,,,,,,,,
,,,,,,,,,,,,
@H,SID,depth,aircapacity,fieldcapacity,deadcapacity,kf,bulk_density,corg,root,kvalue,A_skel,p_content
min,1,0,0,0,0,0,0,0,0,0,0,0
max,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1,100,500
unit,n/a,cm,Vol.%,Vol.%,Vol.%,cm/d,g/cm,%,n/a,n/a,%,mg/100g_soil
,101,18,0.445,0.275,0.14,30.67,1.47,2.03,1,0.24,2,10
,102,28,0.432,0.269,0.136,27.17,1.51,1.51,1,0.24,2,10
,103,45,0.416,0.292,0.159,11.88,1.55,0.44,1,0.37,4,10
,104,61,0.394,0.233,0.105,26.95,1.61,0.15,1,0.37,4,10
,201,56,0.513,0.362,0.199,21.02,1.29,2.03,1,0.24,2,10
,202,61,0.453,0.326,0.188,12.34,1.45,1.74,1,0.32,2,10
,203,35,0.42,0.282,0.15,16.56,1.54,0.87,1,0.32,3,10
,301,51,0.471,0.313,0.172,23.93,1.4,2.91,1,0.24,3,10
,302,43,0.423,0.283,0.15,17.04,1.53,0.87,1,0.28,3,10
,303,58,0.38,0.231,0.04,32.69,1.64,0.29,1,0.15,12,10
,401,25,0.523,0.367,0.199,23.57,1.26,3.78,1,0.24,2,10
,402,21,0.464,0.334,0.196,13.32,1.42,2.33,1,0.24,2,10
,403,53,0.448,0.307,0.166,17.23,1.46,1.74,1,0.32,3,10
,404,104,0.394,0.233,0.105,26.95,1.61,0.15,1,0.37,4,10
,501,51,0.478,0.315,0.173,25.7,1.38,3.2,1,0.24,3,10
,502,56,0.42,0.292,0.16,12.98,1.54,0.58,1,0.32,3,10
,503,45,0.414,0.295,0.164,10.37,1.55,0.15,1,0.32,3,10
,601,91,0.587,0.401,0.241,37.39,1.1,6.1,1,0.32,0.01,10
,602,61,0.565,0.399,0.239,27.02,1.15,4.94,1,0.32,0.01,10
,701,20,0.471,0.313,0.172,24.14,1.4,2.91,1,0.24,2,10
,702,21,0.471,0.313,0.172,24.14,1.4,2.91,1,0.24,2,10
,703,66,0.438,0.294,0.159,18.62,1.49,1.45,1,0.32,2,10
,704,45,0.411,0.283,0.153,13.18,1.56,0.29,1,0.32,3,10
,801,20,0.471,0.313,0.172,24.14,1.4,2.91,1,0.24,2,10
,802,21,0.471,0.313,0.172,24.14,1.4,2.91,1,0.24,2,10
,803,66,0.438,0.294,0.159,18.62,1.49,1.45,1,0.32,2,10
,804,45,0.411,0.283,0.153,13.18,1.56,0.29,1,0.32,3,10
,901,41,0.52,0.364,0.2,23.04,1.27,3.78,1,0.28,2,10
,902,61,0.474,0.351,0.187,11.92,1.39,1.74,1,0.32,2,10
,903,50,0.423,0.283,0.15,17.04,1.53,0.87,1,0.32,3,10
,1001,18,0.445,0.275,0.14,30.67,1.47,2.03,1,0.24,2,10
,1002,28,0.432,0.269,0.136,27.168,1.51,1.45,1,0.24,2,10
,1003,45,0.416,0.292,0.159,11.88,1.55,0.44,1,0.37,4,10
,1004,61,0.394,0.233,0.105,26.95,1.61,0.15,1,0.37,4,10
,1101,18,0.435,0.27,0.137,27.84,1.5,1.57,1,0.28,2,10
,1102,23,0.417,0.263,0.133,23.33,1.54,0.87,1,0.32,2,10
,1103,48,0.405,0.258,0.13,20.52,1.58,0.44,1,0.32,2,10
,1104,63,0.394,0.233,0.105,26.95,1.61,0.15,1,0.37,4,10
,1201,18,0.435,0.27,0.137,27.84,1.5,1.57,1,0.28,2,10
,1202,23,0.417,0.263,0.133,23.33,1.54,0.87,1,0.32,2,10
,1203,48,0.405,0.258,0.13,20.52,1.58,0.44,1,0.32,2,10
,1204,63,0.394,0.233,0.105,26.95,1.61,0.15,1,0.37,4,10
,1301,18,0.435,0.27,0.137,27.84,1.5,1.57,1,0.28,2,10
,1302,23,0.417,0.263,0.133,23.33,1.54,0.87,1,0.32,2,10
,1303,48,0.405,0.258,0.13,20.52,1.58,0.44,1,0.32,2,10
,1304,63,0.394,0.233,0.105,26.95,1.61,0.15,1,0.37,4,10
,1401,56,0.537,0.394,0.232,17.59,1.23,3.49,1,0.28,2,10
,1402,40,0.513,0.424,0.282,4.06,1.29,0.29,1,0.28,2,10
,1403,56,0.431,0.318,0.183,8.74,1.51,0.58,1,0.37,3,10
,1501,36,0.627,0.387,0.2,82.56,0.99,20.35,1,0.28,0.01,10
,1502,81,0.627,0.387,0.2,82.56,0.99,20.35,1,0.28,0.01,10
,1503,35,0.495,0.328,0.144,28.87,1.34,2.91,1,0.37,12,10
,1601,38,0.487,0.364,0.226,11.04,1.36,3.2,1,0.28,2,10
,1602,64,0.456,0.349,0.215,7.42,1.44,1.45,1,0.28,2,10
,1603,60,0.408,0.282,0.152,12.79,1.57,0.15,1,0.37,3,10
,1701,43,0.454,0.29,0.152,27.05,1.45,2.33,1,0.24,3,10
,1702,43,0.411,0.279,0.147,14.35,1.56,0.44,1,0.32,6,10
,1703,66,0.423,0.047,0.011,299.28,1.53,0.15,1,0.1,19,10
,1801,46,0.521,0.379,0.225,16.85,1.27,3.78,1,0.32,2,10
,1802,30,0.521,0.379,0.225,16.85,1.27,3.78,1,0.32,2,10
,1803,26,0.467,0.37,0.238,5.47,1.41,1.74,1,0.28,2,10
,1804,50,0.424,0.288,0.156,15.82,1.53,0.87,1,0.37,2,10
,1901,203,0.398,0.265,0.133,15.79,1.6,0.01,1,0.01,0.01,10
,2001,60,0.523,0.325,0.165,47.78,1.26,4.65,1,0.01,0.01,10
,2002,60,0.459,0.316,0.138,24.76,1.43,1.74,1,0.01,12,10
,2101,23,0.579,0.388,0.201,42.6,1.12,5.23,1,0.28,0.01,10
,2102,13,0.566,0.386,0.2,36.83,1.15,4.65,1,0.28,0.01,10
,2103,5,0.489,0.369,0.186,11.83,1.35,1.74,1,0.28,0.01,10
,2104,162,0.433,0.338,0.149,6.55,1.5,0.29,1,0.43,2,10
,2201,25,0.523,0.367,0.199,23.57,1.26,3.78,1,0.24,2,10
,2202,21,0.464,0.334,0.196,13.32,1.42,2.33,1,0.24,2,10
,2203,53,0.448,0.307,0.166,17.23,1.46,1.74,1,0.32,3,10
,2204,104,0.394,0.233,0.105,26.95,1.61,0.15,1,0.37,4,10
,2301,23,0.579,0.388,0.201,42.6,1.12,5.23,1,0.28,0.01,10
,2302,10,0.506,0.375,0.193,15.05,1.31,2.33,1,0.28,0.01,10
,2303,31,0.48,0.362,0.175,11.4,1.38,1.45,1,0.43,0.01,10
,2304,88,0.439,0.345,0.16,6.17,1.49,0.29,1,0.43,2,10
,2401,43,0.461,0.342,0.206,10.25,1.43,2.03,1,0.24,2,10
,2402,36,0.439,0.329,0.196,8.11,1.49,0.87,1,0.24,3,10
,2403,73,0.414,0.295,0.164,10.37,1.55,0.15,1,0.28,3,10
,2501,43,0.461,0.342,0.206,10.25,1.43,2.03,1,0.24,2,10
,2502,36,0.439,0.329,0.196,8.11,1.49,0.87,1,0.24,3,10
,2503,73,0.414,0.295,0.164,10.37,1.55,0.15,1,0.28,3,10
,2601,46,0.478,0.315,0.173,25.7,1.38,3.2,1,0.24,3,10
,2602,45,0.465,0.331,0.19,14.47,1.42,2.33,1,0.32,3,10
,2603,61,0.416,0.296,0.164,10.7,1.55,0.29,1,0.32,3,10
,2701,71,0.587,0.401,0.241,37.39,1.1,6.1,1,0.32,0.01,10
,2702,20,0.565,0.399,0.239,27.2,1.15,4.94,1,0.32,0.01,10
,2703,61,0.514,0.398,0.24,9.62,1.29,2.03,1,0.32,2,10
,2801,15,0.43,0.28,0.147,21.19,1.51,1.28,1,0.28,2,10
,2802,137,0.406,0.277,0.146,13.75,1.57,0.15,1,0.37,4,10
,2901,18,0.435,0.27,0.137,27.84,1.5,1.57,1,0.28,2,10
,2902,23,0.417,0.263,0.133,23.33,1.54,0.87,1,0.32,2,10
,2903,48,0.405,0.258,0.13,20.42,1.58,0.44,1,0.32,2,10
,2904,63,0.394,0.236,0.105,26.18,1.61,0.15,1,0.37,4,10
,3001,30,0.412,0.17,0.086,79.99,1.56,1.16,1,0.2,6,10
,3002,51,0.39,0.182,0.097,51.48,1.62,0.29,1,0.2,6,10
,3003,71,0.405,0.091,0.028,195.31,1.58,0.29,1,0.15,6,10
,3101,25,0.405,0.166,0.084,77.33,1.58,0.87,1,0.23,6,10
,3102,64,0.39,0.182,0.097,51.48,1.62,0.29,1,0.2,6,10
,3103,63,0.422,0.054,0.018,291.26,1.53,0.29,1,0.15,6,10
,3201,71,0.636,0.382,0.187,98.02,0.96,8.72,1,0.32,0.01,10
,3202,20,0.565,0.399,0.239,27.02,1.15,4.94,1,0.32,0.01,10
,3203,61,0.514,0.398,0.24,9.62,1.29,2.03,1,0.32,2,10
,3301,20,0.471,0.317,0.177,22.1,1.4,2.91,1,0.24,2,10
,3302,21,0.471,0.313,0.172,24.14,1.4,2.91,1,0.24,2,10
,3303,66,0.438,0.294,0.159,18.62,1.49,1.45,1,0.32,2,10
,3304,45,0.411,0.283,0.153,13.18,1.56,0.29,1,0.32,3,10
,3401,20,0.471,0.313,0.172,24.14,1.4,2.91,1,0.24,2,10
,3402,21,0.471,0.313,0.172,24.14,1.4,2.91,1,0.24,2,10
,3403,66,0.438,0.294,0.159,18.62,1.49,1.45,1,0.32,2,10
,3404,45,0.411,0.283,0.153,13.18,1.56,0.29,1,0.32,3,10
,3501,25,0.523,0.367,0.199,23.57,1.26,3.78,1,0.24,2,10
,3502,21,0.464,0.334,0.196,13.32,1.42,2.33,1,0.24,2,10
,3503,53,0.448,0.307,0.166,17.23,1.46,1.74,1,0.32,3,10
,3504,104,0.394,0.233,0.105,26.95,1.61,0.15,1,0.37,4,10
,3601,25,0.523,0.367,0.199,23.57,1.26,3.78,1,0.24,2,10
,3602,21,0.464,0.334,0.196,13.32,1.42,2.33,1,0.24,2,10
,3603,53,0.448,0.307,0.166,17.23,1.46,1.74,1,0.32,3,10
,3604,104,0.394,0.233,0.105,26.95,1.61,0.15,1,0.37,4,10
,3701,56,0.52,0.364,0.2,23,1.27,3.78,1,0.28,2,10
,3702,40,0.453,0.326,0.188,12.34,1.45,1.74,1,0.32,2,10
,3703,56,0.423,0.283,0.15,17.04,1.53,0.87,1,0.32,3,10
,3801,20,0.504,0.356,0.193,20.23,1.31,3.2,1,0.28,2,10
,3802,16,0.481,0.353,0.188,13.44,1.37,2.03,1,0.28,2,10
,3803,10,0.462,0.348,0.185,9.7,1.42,1.16,1,0.28,2,10
,3804,12,0.444,0.344,0.183,6.7,1.47,0.44,1,0.28,2,10
,3805,18,0.411,0.279,0.147,14.06,1.56,0.44,1,0.28,8,10
,3806,26,0.429,0.038,0.004,44.851,1.51,0.15,1,0.15,8,10
,3807,50,0.429,0.038,0.004,39.696,1.51,0.15,1,0.15,20,10
,3901,23,0.468,0.299,0.148,3.002,1.41,2.62,1,0.24,4,10
,3902,18,0.452,0.293,0.145,25.464,1.45,2.03,1,0.24,4,10
,3903,7,0.434,0.286,0.141,20.76,1.5,1.31,1,0.24,4,10
,3904,49,0.418,0.281,0.149,15.672,1.54,0.73,1,0.28,6,10
,3905,103,0.413,0.065,0.018,235.608,1.55,0.15,1,0.15,17,10
,4001,102,0.516,0.365,0.198,21.768,1.28,3.49,1,0.24,0.01,10
,4002,50,0.407,0.248,0.119,25.752,1.57,0.58,1,0.28,3,10
,4101,18,0.445,0.275,0.14,30.672,1.47,2.03,1,0.24,2,10
,4102,28,0.432,0.269,0.136,27.168,1.51,1.45,1,0.24,2,10
,4103,45,0.416,0.292,0.159,11.88,1.55,0.44,1,0.37,4,10
,4104,61,0.394,0.233,0.105,26.952,1.61,0.15,1,0.37,4,10
,4201,18,0.435,0.27,0.137,27.84,1.5,1.57,1,0.28,2,10
,4202,23,0.417,0.263,0.133,23.328,1.54,0.87,1,0.32,2,10
,4203,48,0.405,0.258,0.13,20.424,1.58,0.44,1,0.32,2,10
,4204,63,0.394,0.233,0.105,26.952,1.61,0.15,1,0.37,4,10
,4301,18,0.435,0.27,0.137,27.84,1.5,1.57,1,0.28,2,10
,4302,23,0.417,0.263,0.133,23.328,1.54,0.87,1,0.32,2,10
,4304,48,0.405,0.258,0.13,20.424,1.58,0.44,1,0.32,2,10
,4304,63,0.394,0.233,0.105,26.952,1.61,0.15,1,0.37,4,10
,4401,23,0.43,0.253,0.119,35.304,1.51,1.45,1,0.32,2,10
,4402,13,0.43,0.253,0.119,35.304,1.51,1.45,1,0.32,2,10
,4403,73,0.415,0.292,0.165,11.736,1.55,0.44,1,0.37,2,10
,4404,50,0.4,0.255,0.128,19.344,1.59,0.15,1,0.28,2,10
,4501,23,0.43,0.253,0.119,35.304,1.51,1.45,1,0.32,2,10
,4502,13,0.43,0.253,0.119,35.304,1.51,1.45,1,0.32,2,10
,4503,73,0.415,0.292,0.165,11.736,1.55,0.44,1,0.37,2,10
,4504,50,0.4,0.255,0.128,19.344,1.59,0.15,1,0.28,2,10
,4601,41,0.452,0.278,0.141,32.616,1.45,2.33,1,0.24,3,10
,4602,23,0.411,0.23,0.098,37.056,1.56,0.87,1,0.37,9,10
,4603,88,0.42,0.053,0.017,262.416,1.54,0.15,1,0.2,17,10
,4701,41,0.452,0.278,0.141,32.616,1.45,2.33,1,0.24,3,10
,4702,23,0.411,0.23,0.098,37.056,1.56,0.87,1,0.37,9,10
,4703,88,0.42,0.053,0.017,262.416,1.55,0.15,1,0.2,17,10
,4801,58,0.452,0.278,0.141,32.616,1.45,2.33,1,0.24,3,10
,4802,36,0.421,0.277,0.144,18.336,1.53,0.87,1,0.28,6,10
,4803,58,0.422,0.054,0.018,269.352,1.53,0.29,1,0.17,14,10
,4901,58,0.452,0.278,0.141,32.616,1.45,2.33,1,0.24,3,10
,4902,36,0.421,0.277,0.144,18.336,1.53,0.87,1,0.28,6,10
,4903,58,0.422,0.054,0.018,269.352,1.53,0.29,1,0.17,14,10
