@T,climate,,,,,,,,,,
name, solrad.csv ,,,,,,,,,,
descr,solar radiation ,,,,,,,,,,
,,,,,,,,,,,
missing_val,-9999,,,,,,,,,,
date_start,01.01.1980 ,,,,,,,,,,
date_end,30.07.2014,,,,,,,,,,
date_format,dd.MM.yyyy ,,,,,,,,,,
,,,,,,,,,,,
tres,d,,,,,,,,,,
unit,MJ/m2 ,,,,,,,,,,
,,,,,,,,,,,
@H,date,solrad[2],solrad[4],solrad[6],solrad[8],solrad[10],solrad[12],solrad[13],solrad[16],solrad[18],solrad[20]
name,-,BELLE-PLAINE-merra,Algona-merra,ALLISON-merra,AMES-8-WSW-merra,ANKENY-3-S-merra,Boone-merra,IASF901,MARSHALLTOWN-IA5198-merra,Clarion-IA1541-merra,HAPTON-2-NW-IA3584-merra
ID,-,2,4,6,8,9,11,12,18,18,19
elevation,-,250,360,310,334,263,330,347.81,268,353,343
x,-,560038,393732,516186,435903,450061,426290,479000.054,505790,437858,483632
y,-,4636861,4769226,4733472,4652408,4614421,4654789,4686248.098,4657550,4732561,4733072
,01.01.1980,6.61,5.32,5.95,6.44,6.42,6.47,-9999,6.27,5.91,5.92
,02.01.1980,7.71,7.68,7.84,7.31,7,7.32,-9999,7.66,7.54,7.69
,03.01.1980,6.53,5.87,6.47,6.56,6.66,6.56,-9999,6.55,6.27,6.39
,04.01.1980,6.4,4.39,5.3,5.6,6.19,5.72,-9999,5.52,4.82,4.99
,05.01.1980,6.42,5.36,6.76,5.27,5.42,5.23,-9999,6.05,5.65,6.58
,06.01.1980,3.83,4.28,2.95,3.51,3.69,3.53,-9999,3.29,3.55,3.08
,07.01.1980,9.4,8.49,8.4,9.24,9.48,9.27,-9999,9.17,8.74,8.51
,08.01.1980,8.82,7.31,8.54,8.23,8.28,8.18,-9999,8.72,8.04,8.42
,09.01.1980,9.37,8.55,8.94,9.02,9.1,9,-9999,9.18,8.87,8.92
,10.01.1980,5.17,6,5.68,5.71,5.81,5.74,-9999,5.53,5.73,5.68
,11.01.1980,9.83,9.25,9.42,9.71,9.9,9.73,-9999,9.68,9.45,9.43
,12.01.1980,7.64,6.16,6.35,6.84,7.49,6.89,-9999,6.94,6.23,6.27
,13.01.1980,6.05,8.84,8.64,9.06,8.66,9.12,-9999,8.2,8.98,8.79
,14.01.1980,8.49,6.19,7.03,8.39,9.21,8.56,-9999,7.96,6.84,6.93
,15.01.1980,4.11,2.64,3.98,5.32,5.24,5.47,-9999,4.48,4.11,4.12
,16.01.1980,0.86,4.19,2.55,2.97,1.69,3,-9999,1.49,4.19,3.09
,17.01.1980,6.35,5.49,5.99,5.61,5.71,5.56,-9999,5.93,5.81,5.93
,18.01.1980,9.89,7.06,8.3,8.33,9.43,8.39,-9999,9.07,7.31,7.87
,19.01.1980,2.9,5.85,4.65,3.68,3.15,3.62,-9999,3.5,4.87,4.7
,20.01.1980,9.24,7.01,7.3,8.16,9.11,8.25,-9999,8.16,7,7.21
,21.01.1980,6.01,8.43,6.85,8.54,8.21,8.69,-9999,6.91,8.41,7.35
,22.01.1980,10.22,8.49,7.45,9.68,10.2,9.83,-9999,9.1,8.28,7.42
,23.01.1980,11.04,9.46,9.97,10.42,10.87,10.47,-9999,10.79,9.37,9.91
,24.01.1980,4.15,4.59,3.96,4.64,4.72,4.7,-9999,4.11,4.52,4.07
,25.01.1980,10.68,9.49,10.38,10.41,10.39,10.37,-9999,10.59,10.26,10.35
,26.01.1980,5.79,6.07,5.34,6.18,6.42,6.29,-9999,5.7,5.76,5.5
,27.01.1980,9.41,8.74,8.68,7.53,7.61,7.39,-9999,8.59,8.09,8.3
,28.01.1980,8.34,7.11,6.93,7.39,7.47,7.37,-9999,7.69,7.09,6.92
,29.01.1980,11.72,9.92,10.98,11.27,11.43,11.27,-9999,11.5,10.52,10.67
,30.01.1980,5.99,4.83,5.05,6.39,6.76,6.5,-9999,5.86,5.42,5.15
,31.01.1980,11.18,8.74,10.12,8.98,9.32,8.98,-9999,10.24,8.67,9.36
,01.02.1980,9.22,8.67,9.16,8.48,8.7,8.44,-9999,8.96,8.97,9.18
,02.02.1980,9.51,9.99,10.78,9.7,9.6,9.64,-9999,10.16,10.34,10.69
,03.02.1980,11.27,10.87,11.32,11.97,12.17,12.04,-9999,11.51,11.35,11.22
,04.02.1980,8.88,7.5,8.93,7.03,6.61,6.81,-9999,8.33,7.96,8.65
,05.02.1980,4.45,4.85,4.54,6.43,7.33,6.73,-9999,4.78,4.95,4.54
,06.02.1980,11.11,10.13,11.53,11.03,11.27,10.96,-9999,11.62,11.1,11.44
,07.02.1980,7.99,7.93,8.24,6.72,6.07,6.55,-9999,7.58,7.71,8.05
,08.02.1980,6.47,6.79,6.76,7.28,6.79,7.35,-9999,6.88,6.76,6.76
,09.02.1980,11.91,10.26,11.86,11.08,10.67,10.88,-9999,11.61,10.86,11.61
,10.02.1980,11.41,13.09,12.23,13.29,12.81,13.34,-9999,12.59,13.07,12.49
,11.02.1980,12.45,11.58,11.75,12.1,12.26,12.15,-9999,12.08,11.57,11.62
,12.02.1980,11.66,11.09,11.49,12.15,12.21,12.27,-9999,11.84,11.59,11.43
,13.02.1980,10.37,8.6,8.93,10.25,11.21,10.36,-9999,9.95,9.12,8.92
,14.02.1980,11.61,9.79,10.67,10.55,10.8,10.55,-9999,10.84,10.35,10.56
,15.02.1980,8.11,6.9,7.91,7.93,7.49,7.92,-9999,8.21,7.39,7.73
,16.02.1980,12.92,11.51,11.74,12.35,12.8,12.45,-9999,12.27,11.55,11.59
,17.02.1980,12.24,13.16,12.29,13.52,13.89,13.65,-9999,12.55,12.93,12.38
,18.02.1980,13.22,10.93,11.31,11.94,12.71,11.97,-9999,12.27,11.05,11.2
,19.02.1980,11.28,11.22,10.58,11.1,11.04,11.08,-9999,11.25,11.05,10.76
,20.02.1980,12.48,10.11,11.23,11.23,11.55,11.16,-9999,12.46,10.44,10.91
,21.02.1980,6.42,6.91,7.11,5.72,4.41,5.54,-9999,6.54,6.74,6.99
,22.02.1980,11.72,11.59,12.66,11.26,11.31,11.14,-9999,11.81,12.24,12.5
,23.02.1980,13.84,14.01,13.48,14.14,13.83,14.18,-9999,14.08,13.9,13.53
,24.02.1980,15.71,13.13,13.44,14.88,15.41,14.94,-9999,15.01,13.76,13.48
,25.02.1980,15.29,14.82,13.1,15.89,16.41,16.09,-9999,14.97,13.97,12.7
