@T,climate,,,,,,,,,
name,wind.csv,,,,,,,,,
desc,wind speed,,,,,,,,,
,,,,,,,,,,
missing_val,-9999,,,,,,,,,
date_start,01.01.1980,,,,,,,,,
date_end,30.04.2015,,,,,,,,,
date_format,dd.MM.yyyy,,,,,,,,,
,,,,,,,,,,
tres,d,,,,,,,,,
unit,m/s,,,,,,,,,
,,,,,,,,,,
@H,date,wind[0],wind[1],wind[2],wind[3],wind[4],wind[5],wind[6],wind[7],wind[8]
name,-,DES MOINES INTERNATIONAL AIRPORT IA US,MASON CITY MUNICIPAL AIRPORT IA US,SPENCER MUNICIPAL AIRPORT IA US,CEDAR RAPIDS MUNICIPAL AIRPORT IA US,WATERLOO MUNICIPAL AIRPORT IA US,ESTHERVILLE MUNICIPAL AIRPORT IA US,MARSHALLTOWN MUNICIPAL AIRPORT IA US,AMES MUNICIPAL AIRPORT IA US,IASF901
ID,-,1,2,3,4,5,6,7,8,9
elevation,-,285.9,367,407.8,256,268,401.4,296.9,283.5,347.81
x,-,445516.31,473486.1,320343.42,605821.09,549151.78,358481.27,506910,448767.47,479000.054
y,-,4598240.58,4778008.39,4781874.72,4637559.93,4711504.07,4806812.17,4662061.63,4648900.8,4686248.098
,01.01.1980,-9999,3.74,-9999,-9999,3.92,-9999,-9999,-9999,-9999
,02.01.1980,-9999,5.92,-9999,-9999,4.76,-9999,-9999,-9999,-9999
,03.01.1980,-9999,2.85,-9999,-9999,3.26,-9999,-9999,-9999,-9999
,04.01.1980,-9999,5.83,-9999,-9999,4.61,-9999,-9999,-9999,-9999
,05.01.1980,-9999,6.45,-9999,-9999,5.32,-9999,-9999,-9999,-9999
,06.01.1980,-9999,11.55,-9999,-9999,9.39,-9999,-9999,-9999,-9999
,07.01.1980,-9999,10.27,-9999,-9999,8.62,-9999,-9999,-9999,-9999
,08.01.1980,-9999,4.96,-9999,-9999,3.94,-9999,-9999,-9999,-9999
,09.01.1980,-9999,3.8,-9999,-9999,3.49,-9999,-9999,-9999,-9999
,10.01.1980,-9999,8.19,-9999,-9999,7.46,-9999,-9999,-9999,-9999
,11.01.1980,-9999,13.12,-9999,-9999,11,-9999,-9999,-9999,-9999
,12.01.1980,-9999,8.7,-9999,-9999,6.22,-9999,-9999,-9999,-9999
,13.01.1980,-9999,7.49,-9999,-9999,6.22,-9999,-9999,-9999,-9999
,14.01.1980,-9999,5.38,-9999,-9999,4.57,-9999,-9999,-9999,-9999
,15.01.1980,-9999,4.95,-9999,-9999,4.57,-9999,-9999,-9999,-9999
,16.01.1980,-9999,6.83,-9999,-9999,5.02,-9999,-9999,-9999,-9999
,17.01.1980,-9999,6.69,-9999,-9999,6,-9999,-9999,-9999,-9999
,18.01.1980,-9999,1.93,-9999,-9999,2.04,-9999,-9999,-9999,-9999
,19.01.1980,-9999,5.12,-9999,-9999,5.02,-9999,-9999,-9999,-9999
,20.01.1980,-9999,4.57,-9999,-9999,3.71,-9999,-9999,-9999,-9999
,21.01.1980,-9999,5.59,-9999,-9999,4.44,-9999,-9999,-9999,-9999
,22.01.1980,-9999,10.22,-9999,-9999,8.79,-9999,-9999,-9999,-9999
,23.01.1980,-9999,4.93,-9999,-9999,4.97,-9999,-9999,-9999,-9999
,24.01.1980,-9999,6.15,-9999,-9999,5.12,-9999,-9999,-9999,-9999
,25.01.1980,-9999,6.87,-9999,-9999,6.58,-9999,-9999,-9999,-9999
,26.01.1980,-9999,6.84,-9999,-9999,6.43,-9999,-9999,-9999,-9999
,27.01.1980,-9999,5.19,-9999,-9999,4.82,-9999,-9999,-9999,-9999
,28.01.1980,-9999,5.41,-9999,-9999,4.69,-9999,-9999,-9999,-9999
