@T,climate   
name,tmax   
descr,max temperature   

missing_val,-9999 
date_start,01.08.2002   
date_end,01.10.2003   
date_format,dd.MM.yyyy   

tres,d   
unit,C   

@H,date,tmax[1]
name,-,Drake
ID,-,1
elevation,-,1572
x,-,512701
y,-,4495474
,01.08.2002,31.6
,02.08.2002,31.7
,03.08.2002,31.8
,04.08.2002,29.5
,05.08.2002,30.5
,06.08.2002,32.1
,07.08.2002,31.3
,08.08.2002,31.1
,09.08.2002,30.5
,10.08.2002,30.3
,11.08.2002,31.4
,12.08.2002,28.9
,13.08.2002,28.6
,14.08.2002,28.9
,15.08.2002,27.8
,16.08.2002,27.7
,17.08.2002,27.9
,18.08.2002,28.7
,19.08.2002,27.1
,20.08.2002,29.5
,21.08.2002,30.5
,22.08.2002,30.9
,23.08.2002,29.9
,24.08.2002,29.5
,25.08.2002,28.9
,26.08.2002,30.4
,27.08.2002,28.3
,28.08.2002,29
,29.08.2002,28.3
,30.08.2002,28.9
,31.08.2002,28.7
,01.09.2002,29.9
,02.09.2002,27.2
,03.09.2002,27.3
,04.09.2002,27.7
,05.09.2002,27.9
,06.09.2002,26.1
,07.09.2002,25.8
,08.09.2002,25.8
,09.09.2002,25.2
,10.09.2002,24.7
,11.09.2002,24.6
,12.09.2002,23.9
,13.09.2002,23.3
,14.09.2002,22.5
,15.09.2002,25.3
,16.09.2002,26.7
,17.09.2002,23.9
,18.09.2002,22.4
,19.09.2002,25.4
,20.09.2002,26.4
,21.09.2002,20.6
,22.09.2002,20.8
,23.09.2002,22.8
,24.09.2002,22.1
,25.09.2002,22.5
,26.09.2002,24.5
,27.09.2002,23.2
,28.09.2002,22.7
,29.09.2002,22.7
,30.09.2002,22.3
,01.10.2002,21.4
,02.10.2002,21.8
,03.10.2002,22.5
,04.10.2002,17.9
,05.10.2002,19.5
,06.10.2002,18.2
,07.10.2002,20.7
,08.10.2002,18.2
,09.10.2002,15.2
,10.10.2002,14.6
,11.10.2002,15.7
,12.10.2002,15.1
,13.10.2002,15.4
,14.10.2002,17.2
,15.10.2002,18.5
,16.10.2002,18.8
,17.10.2002,18.8
,18.10.2002,18.9
,19.10.2002,18.3
,20.10.2002,19.4
,21.10.2002,15.2
,22.10.2002,13.7
,23.10.2002,16
,24.10.2002,16.9
,25.10.2002,16.3
,26.10.2002,12
,27.10.2002,11.8
,28.10.2002,14.6
,29.10.2002,14.7
,30.10.2002,12
,31.10.2002,9.4
,01.11.2002,10.1
,02.11.2002,10.1
,03.11.2002,12.9
,04.11.2002,12.3
,05.11.2002,13.1
,06.11.2002,14.2
,07.11.2002,16.4
,08.11.2002,16.6
,09.11.2002,12.6
,10.11.2002,11.8
,11.11.2002,12
,12.11.2002,10.9
,13.11.2002,10.4
,14.11.2002,7.9
,15.11.2002,7.9
,16.11.2002,9.9
,17.11.2002,11.3
,18.11.2002,14.3
,19.11.2002,13.6
,20.11.2002,8.9
,21.11.2002,9.1
,22.11.2002,9.7
,23.11.2002,7.7
,24.11.2002,7.1
,25.11.2002,7.5
,26.11.2002,7.5
,27.11.2002,5.8
,28.11.2002,5.7
,29.11.2002,5.4
,30.11.2002,5.2
,01.12.2002,4.8
,02.12.2002,6.8
,03.12.2002,4.4
,04.12.2002,3
,05.12.2002,3.1
,06.12.2002,5
,07.12.2002,2.9
,08.12.2002,2.7
,09.12.2002,3.8
,10.12.2002,6.3
,11.12.2002,6.4
,12.12.2002,4.3
,13.12.2002,7.8
,14.12.2002,5.6
,15.12.2002,4.6
,16.12.2002,3.7
,17.12.2002,5
,18.12.2002,3.3
,19.12.2002,5.8
,20.12.2002,5.9
,21.12.2002,4.9
,22.12.2002,1.9
,23.12.2002,2.6
,24.12.2002,3.2
,25.12.2002,5.3
,26.12.2002,6.1
,27.12.2002,5.3
,28.12.2002,6.6
,29.12.2002,4.5
,30.12.2002,4.4
,31.12.2002,3.4
,01.01.2003,2.5
,02.01.2003,5.8
,03.01.2003,7
,04.01.2003,4.3
,05.01.2003,2.7
,06.01.2003,4.8
,07.01.2003,5.6
,08.01.2003,8.5
,09.01.2003,6.2
,10.01.2003,4.4
,11.01.2003,4.4
,12.01.2003,4
,13.01.2003,6.4
,14.01.2003,5.1
,15.01.2003,5
,16.01.2003,4.2
,17.01.2003,5.8
,18.01.2003,7.5
,19.01.2003,7.5
,20.01.2003,7.8
,21.01.2003,6.5
,22.01.2003,4.4
,23.01.2003,6.9
,24.01.2003,6.1
,25.01.2003,8.5
,26.01.2003,6.6
,27.01.2003,6.5
,28.01.2003,6.3
,29.01.2003,6
,30.01.2003,6.1
,31.01.2003,5.6
,01.02.2003,4.4
,02.02.2003,3.8
,03.02.2003,5.6
,04.02.2003,5.9
,05.02.2003,5.2
,06.02.2003,5.4
,07.02.2003,3.7
,08.02.2003,2.8
,09.02.2003,4.3
,10.02.2003,4.7
,11.02.2003,6
,12.02.2003,6
,13.02.2003,8.9
,14.02.2003,5.7
,15.02.2003,3.5
,16.02.2003,7.8
,17.02.2003,6.7
,18.02.2003,6.3
,19.02.2003,7.5
,20.02.2003,7.3
,21.02.2003,8
,22.02.2003,8.5
,23.02.2003,8.7
,24.02.2003,7.5
,25.02.2003,5.8
