@T,climate  
name,tmin  
descr,min temperature  

missing_val,-9999 
date_start,01.08.2002  
date_end,01.10.2003  
date_format,dd.MM.yyyy  

tres,d  
unit,C  

@H,date,tmin[0]
name,-,Drake
ID,-,1
elevation,-,1572
x,-,512701
y,-,4495474
,01.08.2002,14.69
,02.08.2002,12.76
,03.08.2002,16.73
,04.08.2002,15.76
,05.08.2002,14.54
,06.08.2002,14.21
,07.08.2002,14.45
,08.08.2002,12.76
,09.08.2002,11.21
,10.08.2002,13
,11.08.2002,14.79
,12.08.2002,9.28
,13.08.2002,6.45
,14.08.2002,9.76
,15.08.2002,11.7
,16.08.2002,10.97
,17.08.2002,7.74
,18.08.2002,8.95
,19.08.2002,10
,20.08.2002,14.21
,21.08.2002,14.93
,22.08.2002,10.73
,23.08.2002,9.76
,24.08.2002,11.21
,25.08.2002,15.27
,26.08.2002,11.55
,27.08.2002,14.21
,28.08.2002,14.21
,29.08.2002,10.73
,30.08.2002,10.49
,31.08.2002,13.48
,01.09.2002,15.76
,02.09.2002,13.72
,03.09.2002,9.67
,04.09.2002,13.97
,05.09.2002,15.76
,06.09.2002,11.79
,07.09.2002,13.97
,08.09.2002,13.72
,09.09.2002,13.48
,10.09.2002,11.46
,11.09.2002,8.95
,12.09.2002,11.94
,13.09.2002,11.46
,14.09.2002,11.94
,15.09.2002,8.71
,16.09.2002,8.95
,17.09.2002,10
,18.09.2002,7.74
,19.09.2002,4.52
,20.09.2002,6.69
,21.09.2002,3.56
,22.09.2002,5.97
,23.09.2002,5
,24.09.2002,3.47
,25.09.2002,6.45
,26.09.2002,5
,27.09.2002,3.56
,28.09.2002,7.02
,29.09.2002,4.76
,30.09.2002,8.23
,01.10.2002,4.52
,02.10.2002,1.79
,03.10.2002,2.27
,04.10.2002,3.96
,05.10.2002,3.47
,06.10.2002,2.75
,07.10.2002,1.31
,08.10.2002,7.74
,09.10.2002,5.24
,10.10.2002,4.76
,11.10.2002,3.07
,12.10.2002,-2.93
,13.10.2002,-2.45
,14.10.2002,1.06
,15.10.2002,-1.97
,16.10.2002,-0.21
,17.10.2002,-2.21
,18.10.2002,2.99
,19.10.2002,-1.17
,20.10.2002,1.38
,21.10.2002,0.75
,22.10.2002,-4.13
,23.10.2002,-5.16
,24.10.2002,-5.4
,25.10.2002,-2.45
,26.10.2002,-3.65
,27.10.2002,0.02
,28.10.2002,-2.45
,29.10.2002,-7.56
,30.10.2002,-11.17
,31.10.2002,-12.67
,01.11.2002,-11.71
,02.11.2002,-8.04
,03.11.2002,-10.03
,04.11.2002,-8.76
,05.11.2002,-2.21
,06.11.2002,-2.93
,07.11.2002,-1.17
,08.11.2002,4.52
,09.11.2002,1.06
,10.11.2002,0.51
,11.11.2002,-3.17
,12.11.2002,-7.08
,13.11.2002,0.02
,14.11.2002,0.26
,15.11.2002,-3.65
,16.11.2002,-5.64
,17.11.2002,0.58
,18.11.2002,-0.69
,19.11.2002,2.75
,20.11.2002,1.79
,21.11.2002,0.82
,22.11.2002,-0.21
,23.11.2002,-2.13
,24.11.2002,-7.08
,25.11.2002,-10.51
,26.11.2002,-13.69
,27.11.2002,-11.71
,28.11.2002,-5.16
,29.11.2002,-0.45
,30.11.2002,-3.65
,01.12.2002,-2.21
,02.12.2002,-1.17
,03.12.2002,-4.13
,04.12.2002,-2.69
,05.12.2002,-4.37
,06.12.2002,-6.12
,07.12.2002,-4.13
,08.12.2002,-6.6
,09.12.2002,-5.64
,10.12.2002,-6.12
,11.12.2002,-1.17
,12.12.2002,-6.6
,13.12.2002,-5.64
,14.12.2002,-3.41
,15.12.2002,-1.65
,16.12.2002,-5.64
,17.12.2002,-0.69
,18.12.2002,-4.37
,19.12.2002,-8.59
,20.12.2002,-9.79
,21.12.2002,-7.08
,22.12.2002,-8.11
,23.12.2002,-11.17
,24.12.2002,-12.43
,25.12.2002,-12.19
,26.12.2002,-13.69
,27.12.2002,-6.84
,28.12.2002,0.02
,29.12.2002,-0.69
,30.12.2002,-6.12
,31.12.2002,-7.08
,01.01.2003,-8.04
,02.01.2003,-7.8
,03.01.2003,-0.69
,04.01.2003,-1.41
,05.01.2003,-0.93
,06.01.2003,-4.61
,07.01.2003,-3.17
,08.01.2003,-2.06
,09.01.2003,-10.99
,10.01.2003,-13.39
,11.01.2003,-12.43
,12.01.2003,-9.79
,13.01.2003,-5.4
,14.01.2003,-4.61
,15.01.2003,-8.35
,16.01.2003,-8.11
,17.01.2003,-8.52
,18.01.2003,-9.55
,19.01.2003,-5.88
,20.01.2003,-3.1
,21.01.2003,-7.32
,22.01.2003,-12.91
,23.01.2003,-12.19
,24.01.2003,-6.84
,25.01.2003,-4.37
,26.01.2003,-9.07
,27.01.2003,2.83
,28.01.2003,-2.21
,29.01.2003,-5.09
,30.01.2003,-2.13
,31.01.2003,-2.69
,01.02.2003,8.23
,02.02.2003,-3.89
,03.02.2003,-6.6
,04.02.2003,-9.79
,05.02.2003,-10.51
,06.02.2003,-16.09
,07.02.2003,-18.06
,08.02.2003,-12.43
,09.02.2003,-10.99
,10.02.2003,-10.99
,11.02.2003,-9.07
,12.02.2003,-10.03
,13.02.2003,-2.93
,14.02.2003,-2.13
