@T,climate  
name,tmax  
descr,max temperature  

missing_val,-9999 
date_start,01.08.2002  
date_end,01.10.2003  
date_format,dd.MM.yyyy  

tres,d  
unit,C  

@H,date,tmax[1]
name,-,Drake
ID,-,1
elevation,-,1572
x,-,512701
y,-,4495474
,01.08.2002,15.2
,02.08.2002,15.3
,03.08.2002,15.4
,04.08.2002,14.6
,05.08.2002,13.8
,06.08.2002,14.6
,07.08.2002,14.3
,08.08.2002,14.5
,09.08.2002,14.4
,10.08.2002,14.3
,11.08.2002,13.8
,12.08.2002,12.5
,13.08.2002,12.1
,14.08.2002,12.5
,15.08.2002,12.2
,16.08.2002,12
,17.08.2002,11
,18.08.2002,12.2
,19.08.2002,11.8
,20.08.2002,12
,21.08.2002,12.8
,22.08.2002,12.8
,23.08.2002,13.1
,24.08.2002,13.1
,25.08.2002,13.1
,26.08.2002,12.3
,27.08.2002,12.2
,28.08.2002,12.7
,29.08.2002,11.1
,30.08.2002,12.4
,31.08.2002,11.6
,01.09.2002,11.1
,02.09.2002,10.9
,03.09.2002,9.8
,04.09.2002,9.7
,05.09.2002,10.3
,06.09.2002,10.5
,07.09.2002,9.3
,08.09.2002,9.9
,09.09.2002,10.2
,10.09.2002,9.5
,11.09.2002,8
,12.09.2002,9.5
,13.09.2002,8.6
,14.09.2002,7.4
,15.09.2002,7.3
,16.09.2002,8.5
,17.09.2002,7.5
,18.09.2002,6.5
,19.09.2002,6.3
,20.09.2002,6.6
,21.09.2002,7.2
,22.09.2002,6.1
,23.09.2002,5.7
,24.09.2002,6.1
,25.09.2002,6.3
,26.09.2002,6.6
,27.09.2002,7.1
,28.09.2002,5.9
,29.09.2002,5
,30.09.2002,6.3
,01.10.2002,5.6
,02.10.2002,5.1
,03.10.2002,4.6
,04.10.2002,4.7
,05.10.2002,4.4
,06.10.2002,5.1
,07.10.2002,2.9
,08.10.2002,4.1
,09.10.2002,2.7
,10.10.2002,1.8
,11.10.2002,2.4
,12.10.2002,1.7
,13.10.2002,1.7
,14.10.2002,2.1
,15.10.2002,1.9
,16.10.2002,1
,17.10.2002,1.5
,18.10.2002,1.5
,19.10.2002,2.4
,20.10.2002,2.9
,21.10.2002,1.3
,22.10.2002,-0.1
,23.10.2002,-0.1
,24.10.2002,0.1
,25.10.2002,-0.2
,26.10.2002,-2.1
,27.10.2002,-2.3
,28.10.2002,-1.5
,29.10.2002,0
,30.10.2002,-2.1
,31.10.2002,-2.5
,01.11.2002,-2.5
,02.11.2002,-4
,03.11.2002,-2.6
,04.11.2002,-2.5
,05.11.2002,-2.4
,06.11.2002,-1.3
,07.11.2002,-0.5
,08.11.2002,1.4
,09.11.2002,-1.2
,10.11.2002,-1.7
,11.11.2002,-1.4
,12.11.2002,-1.9
,13.11.2002,-2.7
,14.11.2002,-3.7
,15.11.2002,-6
,16.11.2002,-5
,17.11.2002,-2.5
,18.11.2002,-1.5
,19.11.2002,-1.8
,20.11.2002,-3.5
,21.11.2002,-4.5
,22.11.2002,-5.9
,23.11.2002,-5.1
,24.11.2002,-7.8
,25.11.2002,-5.8
,26.11.2002,-7.3
,27.11.2002,-7.7
,28.11.2002,-6.7
,29.11.2002,-8.5
,30.11.2002,-7.9
,01.12.2002,-7.9
,02.12.2002,-8.2
,03.12.2002,-8.5
,04.12.2002,-8.6
,05.12.2002,-8.9
,06.12.2002,-8.8
,07.12.2002,-7.5
,08.12.2002,-9.9
,09.12.2002,-8.7
,10.12.2002,-8.7
,11.12.2002,-7.4
,12.12.2002,-7.8
,13.12.2002,-7.4
,14.12.2002,-7.1
,15.12.2002,-8.3
,16.12.2002,-9
,17.12.2002,-7.7
,18.12.2002,-8
,19.12.2002,-9.2
,20.12.2002,-7.3
,21.12.2002,-7.2
,22.12.2002,-8.6
,23.12.2002,-10.6
,24.12.2002,-11.6
,25.12.2002,-8.4
,26.12.2002,-7.8
,27.12.2002,-7
,28.12.2002,-7.6
,29.12.2002,-7.5
,30.12.2002,-8.1
,31.12.2002,-9.6
,01.01.2003,-9.3
,02.01.2003,-10.2
,03.01.2003,-6.3
,04.01.2003,-8.6
,05.01.2003,-9.9
,06.01.2003,-10.7
,07.01.2003,-8.4
,08.01.2003,-6.8
,09.01.2003,-7.3
,10.01.2003,-8
,11.01.2003,-8.1
,12.01.2003,-9.6
,13.01.2003,-8.4
,14.01.2003,-6.7
,15.01.2003,-7.2
,16.01.2003,-9.9
,17.01.2003,-8.4
,18.01.2003,-7.8
,19.01.2003,-7.4
,20.01.2003,-6.7
,21.01.2003,-8.3
,22.01.2003,-8.7
,23.01.2003,-9
,24.01.2003,-7.7
,25.01.2003,-7.6
,26.01.2003,-7.3
,27.01.2003,-8.5
,28.01.2003,-7.3
,29.01.2003,-6.2
,30.01.2003,-6.8
,31.01.2003,-9.2
,01.02.2003,-9.3
,02.02.2003,-10.5
,03.02.2003,-8.1
,04.02.2003,-7.4
,05.02.2003,-7
,06.02.2003,-8.6
,07.02.2003,-9.2
,08.02.2003,-8.6
,09.02.2003,-8.5
,10.02.2003,-10.8
,11.02.2003,-9.4
,12.02.2003,-8.2
,13.02.2003,-6.2
,14.02.2003,-6.9
,15.02.2003,-8
,16.02.2003,-8.6
