@T, management             ,,,,,,,,,
desc, management.csv             ,,,,,,,,,
# landuse management,,,,,,,,,,
# ID crop-ID referred to crop.csv,,,,,,,,,,
# Date when operation starts,,,,,,,,,,
# Till-id according to till.csv,,,,,,,,,,
# Fert-id according to fert.csv,,,,,,,,,,
# FAmount amount of fertilizer application [kg/ha] absolut,,,,,,,,,,
# Plant (1) assumes that planting operation; - no planting,,,,,,,,,,
# Harvest (1-4)assumes that plant is harvested; - no harvest,,,,,,,,,,
# for harvesting 4 codes are implemented:,,,,,,,,,,
# (1) assumes harvesting with Haupt- & Nebenfrucht, Nebenfrucht leaves the field, plant growth stopped,,,,,,,,
# (2) assumes harvesting with Hauptfrucht, Nebenfrucht remains on the field, plant growth stopped,,,,,,,,
# (3) assumes harvesting with Haupt- & Nebenfrucht, plant growth continues (may not be suitable for meadows)             ,,,,,,,,,
# (4) assumes harvesting with Hauptfrucht, plant growth continues             ,,,,,,,,,
# FracHarv is the fraction of the target biomass which will be removed by the harvest (according to harvest code),,,,,,,,,,
# CID 27 spring wheat; 88 winter rape; 97 winter barley; 12 pasture ; 7 Forrest-Deciduous; 98 urban; 8 Coniferous Forrest; 28 Winter-Wheat; 31Spring Barley; 20 Maize; 188 yellow Mustard; 16 Range-Brush; 18 Water,,,,,,,,,,
# MID: 1 Forrest-Deciduous; 2 Forrest-Coniferous; 3 Pasture;  4 Summer Pasture; 5 Range-Grasses; 6 Range-Brush; 7 Water(not supported in AgES-W); 8 Urban Areas; ,,,,,,,,,,
# Mon Dec 31 12:42:53 MST 2012,,,,,,,,,,
 ,,,,,,,,,,
@H,MID,CID,Date,TID,FID,FAmount,PLANT,HARVEST,FRACHARV,Desc
,11,56, 04-20,79,-,-,-,-,-,soybean - continuous 2000
,11,56, 05-05,-,55,45,-,-,-,soybean - continuous 2000
,11,56, 05-15,-,-,-,1,-,-,soybean - continuous 2000
,11,56, 10-15,-,-,-,-,1,0.9,soybean - continuous 2000
,11,56, 04-25,79,-,-,-,-,-,soybean - continuous 2001
,11,56, 05-10,-,55,45,-,-,-,soybean - continuous 2001
,11,56, 05-18,-,-,-,1,-,-,soybean - continuous 2001
,11,56, 10-21,-,-,-,-,1,0.9,soybean - continuous 2001
,11,56, 04-20,79,-,-,-,-,-,soybean - continuous 2002
,11,56, 05-05,-,55,45,-,-,-,soybean - continuous 2002
,11,56, 05-15,-,-,-,1,-,-,soybean - continuous 2002
,11,56, 10-15,-,-,-,-,1,0.9,soybean - continuous 2002
,11,56, 04-25,79,-,-,-,-,-,soybean - continuous 2003
,11,56, 05-10,-,55,45,-,-,-,soybean - continuous 2003
,11,56, 05-18,-,-,-,1,-,-,soybean - continuous 2003
,11,56, 10-21,-,-,-,-,1,0.9,soybean - continuous 2003
,11,56, 04-20,79,-,-,-,-,-,soybean - continuous 2004
,11,56, 05-05,-,55,45,-,-,-,soybean - continuous 2004
,11,56, 05-15,-,-,-,1,-,-,soybean - continuous 2004
,11,56, 10-15,-,-,-,-,1,0.9,soybean - continuous 2004
,11,56, 04-25,79,-,-,-,-,-,soybean - continuous 2005
,11,56, 05-10,-,55,45,-,-,-,soybean - continuous 2005
,11,56, 05-18,-,-,-,1,-,-,soybean - continuous 2005
,11,56, 10-21,-,-,-,-,1,0.9,soybean - continuous 2005
,11,56, 04-20,79,-,-,-,-,-,soybean - continuous 2006
,11,56, 05-05,-,55,45,-,-,-,soybean - continuous 2006
,11,56, 05-15,-,-,-,1,-,-,soybean - continuous 2006
,11,56, 10-15,-,-,-,-,1,0.9,soybean - continuous 2006
,11,56, 04-25,79,-,-,-,-,-,soybean - continuous 2007
,11,56, 05-10,-,55,45,-,-,-,soybean - continuous 2007
,11,56, 05-18,-,-,-,1,-,-,soybean - continuous 2007
,11,56, 10-21,-,-,-,-,1,0.9,soybean - continuous 2007
,11,56, 04-20,79,-,-,-,-,-,soybean - continuous 2008
,11,56, 05-05,-,55,45,-,-,-,soybean - continuous 2008
,11,56, 05-15,-,-,-,1,-,-,soybean - continuous 2008
,11,56, 10-15,-,-,-,-,1,0.9,soybean - continuous 2008
,11,56, 04-25,79,-,-,-,-,-,soybean - continuous 2009
,11,56, 05-10,-,55,45,-,-,-,soybean - continuous 2009
,11,56, 05-18,-,-,-,1,-,-,soybean - continuous 2009
,11,56, 10-21,-,-,-,-,1,0.9,soybean - continuous 2009
,11,56, 04-20,79,-,-,-,-,-,soybean - continuous 2010
,11,56, 05-05,-,55,45,-,-,-,soybean - continuous 2010
,11,56, 05-15,-,-,-,1,-,-,soybean - continuous 2010
,11,56, 10-15,-,-,-,-,1,0.9,soybean - continuous 2010
,11,56, 04-25,79,-,-,-,-,-,soybean - continuous 2011
,11,56, 05-10,-,55,45,-,-,-,soybean - continuous 2011
,11,56, 05-18,-,-,-,1,-,-,soybean - continuous 2011
,11,56, 10-21,-,-,-,-,1,0.9,soybean - continuous 2011
,11,56, 04-20,79,-,-,-,-,-,soybean - continuous 2012
,11,56, 05-05,-,55,45,-,-,-,soybean - continuous 2012
,11,56, 05-15,-,-,-,1,-,-,soybean - continuous 2012
,11,56, 10-15,-,-,-,-,1,0.9,soybean - continuous 2012
,11,56, 04-25,79,-,-,-,-,-,soybean - continuous 2013
,11,56, 05-10,-,55,45,-,-,-,soybean - continuous 2013
,11,56, 05-18,-,-,-,1,-,-,soybean - continuous 2013
,11,56, 10-21,-,-,-,-,1,0.9,soybean - continuous 2013
,12,56, 04-20,79,-,-,-,-,-,soybean - continuous 2000
,12,56, 05-05,-,55,45,-,-,-,soybean - continuous 2000
,12,56, 05-15,-,-,-,1,-,-,soybean - continuous 2000
,12,56, 10-15,-,-,-,-,1,0.9,soybean - continuous 2000
,12,56, 04-25,79,-,-,-,-,-,soybean - continuous 2001
,12,56, 05-10,-,55,45,-,-,-,soybean - continuous 2001
,12,56, 05-18,-,-,-,1,-,-,soybean - continuous 2001
,12,56, 10-21,-,-,-,-,1,0.9,soybean - continuous 2001
,12,56, 04-20,79,-,-,-,-,-,soybean - continuous 2002
,12,56, 05-05,-,55,45,-,-,-,soybean - continuous 2002
,12,56, 05-15,-,-,-,1,-,-,soybean - continuous 2002
,12,56, 10-15,-,-,-,-,1,0.9,soybean - continuous 2002
,12,56, 04-25,79,-,-,-,-,-,soybean - continuous 2003
,12,56, 05-10,-,55,45,-,-,-,soybean - continuous 2003
,12,56, 05-18,-,-,-,1,-,-,soybean - continuous 2003
,12,56, 10-21,-,-,-,-,1,0.9,soybean - continuous 2003
,12,56, 04-20,79,-,-,-,-,-,soybean - continuous 2004
,12,56, 05-05,-,55,45,-,-,-,soybean - continuous 2004
,12,56, 05-15,-,-,-,1,-,-,soybean - continuous 2004
,12,56, 10-15,-,-,-,-,1,0.9,soybean - continuous 2004
,12,56, 04-25,79,-,-,-,-,-,soybean - continuous 2005
,12,56, 05-10,-,55,45,-,-,-,soybean - continuous 2005
,12,56, 05-18,-,-,-,1,-,-,soybean - continuous 2005
,12,56, 10-21,-,-,-,-,1,0.9,soybean - continuous 2005
,12,56, 04-20,79,-,-,-,-,-,soybean - continuous 2006
,12,56, 05-05,-,55,45,-,-,-,soybean - continuous 2006
,12,56, 05-15,-,-,-,1,-,-,soybean - continuous 2006
,12,56, 10-15,-,-,-,-,1,0.9,soybean - continuous 2006
,12,56, 04-25,79,-,-,-,-,-,soybean - continuous 2007
,12,56, 05-10,-,55,45,-,-,-,soybean - continuous 2007
,12,56, 05-18,-,-,-,1,-,-,soybean - continuous 2007
,12,56, 10-21,-,-,-,-,1,0.9,soybean - continuous 2007
,12,56, 04-20,79,-,-,-,-,-,soybean - continuous 2008
,12,56, 05-05,-,55,45,-,-,-,soybean - continuous 2008
,12,56, 05-15,-,-,-,1,-,-,soybean - continuous 2008
,12,56, 10-15,-,-,-,-,1,0.9,soybean - continuous 2008
,12,56, 04-25,79,-,-,-,-,-,soybean - continuous 2009
,12,56, 05-10,-,55,45,-,-,-,soybean - continuous 2009
,12,56, 05-18,-,-,-,1,-,-,soybean - continuous 2009
,12,56, 10-21,-,-,-,-,1,0.9,soybean - continuous 2009
,12,56, 04-20,79,-,-,-,-,-,soybean - continuous 2010
,12,56, 05-05,-,55,45,-,-,-,soybean - continuous 2010
,12,56, 05-15,-,-,-,1,-,-,soybean - continuous 2010
,12,56, 10-15,-,-,-,-,1,0.9,soybean - continuous 2010
,12,56, 04-25,79,-,-,-,-,-,soybean - continuous 2011
,12,56, 05-10,-,55,45,-,-,-,soybean - continuous 2011
,12,56, 05-18,-,-,-,1,-,-,soybean - continuous 2011
,12,56, 10-21,-,-,-,-,1,0.9,soybean - continuous 2011
,12,56, 04-20,79,-,-,-,-,-,soybean - continuous 2012
,12,56, 05-05,-,55,45,-,-,-,soybean - continuous 2012
,12,56, 05-15,-,-,-,1,-,-,soybean - continuous 2012
,12,56, 10-15,-,-,-,-,1,0.9,soybean - continuous 2012
,12,56, 04-25,79,-,-,-,-,-,soybean - continuous 2013
,12,56, 05-10,-,55,45,-,-,-,soybean - continuous 2013
,12,56, 05-18,-,-,-,1,-,-,soybean - continuous 2013
,12,56, 10-21,-,-,-,-,1,0.9,soybean - continuous 2013
